POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA6014,527,605,1137,1088,1393,2479,0,0,0,77,81,158,0,0,0,2081,2547,4629,48,68,117,182,211,387,17,21,35,0,3,4,25,31,56,11,7,23,39,52,96,46,70,113,89,138,226,7,9,23,12,5,19,183,251,440,202,273,481,7,9,12,4125,5166,9293,223,237,458,81,84,163,30,25,60,0,3,0,24,27,50,49,53,103,71,79,152,4859,4550,9409,50,31,80,6,29,38,4915,4606,9523,416,372,790,32,22,51,10429,11195,21625
POA6015,26,49,74,517,613,1130,0,0,0,18,30,48,0,0,0,793,836,1626,5,7,12,91,123,217,0,0,0,0,0,0,15,17,29,8,5,14,18,12,32,11,19,28,43,37,83,0,0,4,0,0,0,66,115,180,43,75,121,0,0,0,1631,1892,3529,31,36,67,15,11,25,18,13,38,0,0,0,7,4,8,12,11,22,13,15,28,1375,1234,2606,10,6,17,3,4,9,1385,1247,2633,113,121,232,14,12,24,3252,3394,6646
POA6016,356,401,756,289,383,669,0,0,0,35,51,92,0,0,0,1070,1239,2312,5,4,10,141,148,290,9,10,21,4,4,9,7,3,13,5,0,10,11,10,22,16,22,28,34,39,71,6,8,7,0,0,0,43,73,120,101,126,226,0,4,6,1769,2121,3896,266,264,533,46,60,102,31,36,67,0,0,0,10,4,19,17,30,46,27,32,62,2391,2302,4692,24,12,36,10,10,18,2425,2320,4743,230,218,443,15,18,32,5163,5470,10632
POA6017,282,308,586,98,94,199,0,0,0,23,33,58,0,0,0,403,456,858,4,6,14,41,40,76,3,6,11,0,0,7,0,3,0,0,0,0,7,13,23,14,24,43,14,17,29,0,0,0,8,7,11,13,27,40,51,71,115,4,0,6,693,802,1499,172,160,328,64,69,137,6,0,7,0,0,0,36,33,72,8,9,16,40,46,88,701,675,1375,6,0,8,7,3,6,721,683,1393,182,154,339,9,4,9,2167,2227,4397
POA6018,293,488,780,1878,2643,4520,0,0,0,209,251,458,0,0,0,4265,5225,9493,67,97,167,318,351,667,75,88,160,20,32,49,45,65,106,19,19,35,104,176,279,119,163,283,197,282,477,23,20,40,8,20,30,301,468,772,444,572,1012,13,10,21,8097,10471,18568,339,334,680,222,257,477,46,35,83,3,0,3,36,32,71,95,103,203,137,138,280,9150,9054,18207,63,61,120,34,41,71,9249,9156,18400,984,1007,1985,41,62,106,19406,21951,41357
POA6019,124,167,294,1054,1407,2459,0,0,0,92,108,201,0,0,0,2246,2562,4809,18,31,57,115,158,270,21,44,66,9,7,8,24,31,54,11,9,16,39,54,95,51,73,127,100,117,213,0,7,11,0,5,3,153,220,373,252,324,567,12,10,16,4198,5158,9352,82,60,142,70,88,153,22,35,56,0,0,0,13,10,25,40,57,100,57,73,128,6156,5729,11883,50,26,73,20,48,67,6223,5801,12026,656,655,1310,45,35,79,11467,12074,23541
POA6020,76,109,185,1421,1768,3190,0,0,0,116,143,257,0,4,3,2425,2828,5259,33,44,79,144,158,300,31,46,74,18,23,41,19,32,55,6,4,6,56,67,122,94,92,189,133,127,258,6,9,9,8,7,18,267,321,585,235,295,528,9,9,17,5027,5972,11001,71,74,147,53,58,112,22,24,43,0,0,0,10,12,20,18,24,49,32,39,70,4841,4463,9303,39,25,62,7,17,25,4891,4505,9392,390,414,811,21,15,40,10585,11220,21804
POA6021,219,383,602,472,672,1138,0,0,0,99,108,198,0,0,0,3475,3863,7335,18,19,34,667,711,1374,37,60,98,4,4,8,16,18,28,24,25,48,59,65,127,78,93,169,67,93,157,6,13,21,13,16,29,63,108,175,313,356,663,5,6,6,5407,6219,11626,425,388,814,239,246,483,19,23,39,0,0,0,49,55,103,57,72,130,103,131,237,2997,2895,5894,20,12,34,16,23,45,3031,2942,5971,516,480,997,13,25,34,9966,10835,20807
POA6022,38,59,94,251,288,539,0,0,0,39,47,80,0,0,3,505,635,1140,11,9,23,63,46,107,9,14,22,0,5,4,4,5,9,0,0,0,22,17,43,20,21,45,16,27,47,11,7,14,0,0,3,57,80,132,77,81,155,7,4,6,1083,1290,2374,32,24,53,46,37,81,10,3,8,0,0,0,11,5,15,11,14,24,14,26,42,1172,1057,2228,11,7,12,0,8,5,1179,1068,2244,104,78,184,5,6,3,2512,2586,5091
POA6023,41,83,126,907,1108,2010,0,0,0,120,134,256,0,0,3,1464,1672,3138,39,35,76,124,128,246,19,22,34,21,28,54,35,39,68,6,9,10,50,62,104,46,57,101,101,150,255,3,0,3,0,8,3,182,287,477,181,244,429,3,13,16,3300,3981,7282,93,85,175,56,59,113,4,16,24,0,0,0,7,4,14,20,15,33,23,30,48,3862,3436,7296,23,24,49,11,10,18,3889,3469,7360,229,228,463,11,14,29,7648,7966,15618
POA6024,68,120,182,681,804,1488,0,0,0,66,83,150,0,0,0,1383,1613,2996,21,39,56,86,88,177,16,19,35,21,25,42,14,17,30,0,0,4,48,36,90,46,57,105,64,66,135,7,7,16,5,4,13,136,205,342,169,238,412,3,6,11,2775,3317,6092,66,47,114,44,55,96,6,14,19,0,0,0,16,9,25,12,28,43,29,39,68,3230,2931,6165,14,21,36,4,14,21,3251,2966,6218,281,274,555,5,8,16,6525,6838,13364
POA6025,122,202,327,1848,2421,4266,0,0,0,177,181,362,0,0,0,3231,3641,6875,44,48,84,158,172,331,17,23,43,34,50,81,36,53,84,27,26,50,88,90,178,146,174,320,200,218,419,11,12,27,13,21,36,266,309,578,345,423,766,10,12,23,6659,7870,14534,127,127,256,133,140,269,25,21,56,0,0,0,20,22,39,36,43,76,51,69,116,7204,6618,13824,45,31,74,22,37,61,7271,6686,13954,607,588,1193,22,14,35,15025,15715,30741
POA6026,78,129,208,1385,1784,3168,0,0,0,174,207,387,0,0,0,2041,2481,4519,75,80,157,79,105,185,18,23,46,37,41,81,25,41,65,0,3,5,76,88,161,138,149,290,174,211,388,14,29,37,19,7,24,206,332,543,350,392,734,9,9,19,4822,5981,10810,91,93,181,50,73,127,16,13,28,0,0,0,7,5,8,38,45,83,43,55,97,5206,4879,10091,29,21,51,8,21,28,5244,4917,10163,335,318,648,14,14,29,10694,11590,22285
POA6027,213,322,532,2356,2966,5320,0,0,0,344,405,747,0,0,0,3873,4367,8237,50,64,114,165,164,326,51,88,140,41,51,94,41,35,70,44,35,83,114,141,252,223,272,490,300,312,614,7,17,34,22,28,51,239,292,536,601,705,1308,17,23,46,8496,9974,18465,190,159,349,247,228,473,19,23,43,0,0,4,20,25,44,47,88,130,67,113,180,10163,9167,19334,82,37,117,39,54,90,10282,9261,19542,1266,1165,2431,29,30,61,20814,21266,42076
POA6028,90,134,222,1508,1820,3327,0,0,0,277,273,545,0,0,0,2301,2691,4991,17,25,41,81,98,178,20,27,47,18,16,35,13,13,27,62,51,112,96,114,206,146,177,325,229,259,489,7,11,19,9,12,17,152,212,369,377,448,821,12,3,15,5317,6252,11566,126,126,245,123,149,275,4,14,24,0,0,0,27,37,69,66,74,138,96,112,206,4962,4486,9442,29,23,56,8,14,20,5000,4517,9519,419,379,800,12,15,29,11191,11704,22893
POA6029,5,6,15,171,218,389,0,0,0,9,19,23,0,0,0,349,366,715,3,5,9,21,29,42,3,6,8,0,0,0,3,11,12,4,4,4,3,0,4,3,10,17,13,19,28,0,0,0,0,0,0,22,49,65,11,17,24,6,0,3,611,749,1360,3,3,5,0,5,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,613,623,1231,0,4,10,8,3,4,622,622,1248,65,48,112,3,3,6,1308,1450,2758
POA6030,192,320,509,2282,2917,5203,6,5,13,384,460,846,0,0,0,2902,3472,6378,21,26,50,127,138,271,83,109,197,106,111,219,31,33,67,29,28,60,113,143,256,272,296,568,278,316,596,11,32,43,31,47,75,193,259,444,717,823,1544,23,25,47,7615,9254,16867,205,215,413,356,374,736,15,24,40,0,0,0,96,85,188,52,78,132,148,170,315,9358,8836,18194,57,31,84,25,39,61,9438,8901,18335,1141,1120,2259,33,42,70,19141,20412,39550
POA6031,86,166,255,855,1064,1915,0,0,0,161,165,326,0,0,0,1502,1681,3182,27,19,44,47,70,121,31,41,65,37,47,85,7,8,20,33,43,75,45,42,84,150,194,344,103,119,222,4,7,12,22,28,47,81,106,190,339,430,771,9,9,18,3458,4065,7521,196,222,422,160,195,355,11,3,15,0,0,0,102,89,195,22,38,59,127,125,247,4247,4274,8525,29,21,53,11,23,34,4292,4322,8617,390,383,774,10,17,25,8726,9499,18226
POA6032,0,5,5,10,12,24,0,0,0,4,3,9,0,0,0,15,15,38,0,0,0,0,0,4,0,0,0,0,0,5,5,4,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0,0,0,50,45,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,70,0,0,0,0,0,0,37,32,70,7,7,15,0,0,0,93,93,183
POA6033,11,7,18,24,28,54,0,0,0,7,6,9,0,0,0,33,33,71,0,0,0,10,5,18,0,0,0,16,13,28,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,9,8,15,0,0,0,97,98,199,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,77,164,0,0,0,0,0,0,86,77,164,27,20,43,5,0,5,233,211,434
POA6034,14,15,31,116,175,285,0,0,0,25,33,56,0,0,0,245,302,549,3,6,9,6,15,24,3,8,12,28,26,56,0,4,4,0,3,3,9,8,25,38,35,69,17,17,33,0,0,3,0,0,0,12,20,28,73,91,165,4,0,0,588,745,1332,10,6,23,20,31,56,0,5,4,0,0,0,11,12,22,0,7,5,12,16,27,924,958,1887,9,7,14,0,0,6,931,968,1898,98,91,191,3,0,3,1680,1884,3567
POA6035,31,50,81,596,769,1366,0,0,5,96,117,212,0,0,0,627,712,1346,3,9,15,22,20,46,21,40,61,27,36,63,8,5,12,3,4,4,26,42,63,44,73,118,56,71,128,8,12,15,8,4,10,36,50,93,188,218,404,11,9,26,1781,2191,3973,22,12,34,28,21,52,6,4,14,0,0,0,3,3,10,15,20,33,20,21,46,2866,2862,5722,3,9,15,6,9,12,2874,2877,5749,304,293,605,32,6,39,5105,5492,10591
POA6036,42,88,131,857,1025,1884,0,0,0,160,180,342,0,0,0,1258,1578,2831,14,15,24,41,47,90,48,62,115,74,88,167,12,8,17,29,22,56,55,65,123,138,168,307,100,126,225,0,3,5,12,3,18,64,87,150,338,456,791,6,11,12,3206,3953,7164,97,109,209,105,103,205,3,9,8,0,0,0,41,37,81,20,27,48,60,63,125,4139,4091,8234,25,22,46,10,15,23,4173,4128,8301,403,395,801,13,15,24,8102,8861,16965
POA6037,6,17,27,219,237,454,0,0,0,17,26,46,0,0,0,218,246,464,0,6,6,13,4,19,9,4,21,7,9,20,7,12,14,0,0,0,12,14,25,9,15,29,20,21,43,0,5,3,8,8,17,9,13,28,62,71,132,3,5,7,622,697,1322,6,5,10,4,10,9,0,0,0,0,0,0,0,0,3,3,15,17,3,18,21,993,903,1894,7,3,8,0,0,0,998,903,1902,163,152,308,14,0,11,1826,1804,3630
POA6038,37,55,97,420,550,975,0,0,0,77,86,164,0,0,0,681,866,1552,10,15,23,39,34,68,20,18,40,36,26,65,11,4,14,10,9,22,22,29,51,114,146,258,65,57,123,0,0,0,14,24,35,33,38,72,202,254,455,0,8,4,1756,2170,3924,91,77,169,65,53,110,3,5,9,0,0,0,41,24,70,13,10,22,58,39,99,2340,2594,4935,8,3,13,3,18,17,2353,2607,4964,236,244,480,6,9,14,4606,5261,9867
POA6041,6,13,20,94,114,208,0,0,0,13,16,29,0,0,0,94,128,221,0,3,3,10,5,8,9,13,22,0,4,4,6,0,6,0,0,0,3,4,7,10,10,23,21,24,46,0,0,0,3,0,3,5,8,22,33,42,75,0,0,0,307,367,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,332,707,5,3,5,0,0,3,379,338,716,54,48,107,3,8,18,756,780,1536
POA6042,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,8,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,36,0,0,0,0,0,0,21,12,33,19,13,36,0,0,0,62,45,105
POA6043,0,0,0,27,22,47,0,0,0,0,0,3,0,0,0,21,19,42,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,8,0,5,0,0,0,56,50,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,39,86,0,0,0,0,0,0,46,40,89,11,7,23,0,0,0,111,104,220
POA6044,8,20,27,94,102,193,0,0,0,0,0,11,0,0,0,96,92,192,0,0,0,4,8,9,0,0,4,4,11,12,0,0,0,0,0,0,3,10,7,0,0,0,13,16,25,0,3,5,0,0,0,19,16,32,14,13,33,0,0,0,256,273,525,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,255,548,0,0,0,0,0,0,296,253,546,68,60,131,9,15,24,633,630,1266
POA6050,116,162,271,632,792,1429,0,0,0,53,64,117,0,0,0,1607,1850,3456,14,21,32,198,237,430,6,11,19,4,4,13,17,24,41,0,0,0,20,36,53,27,46,72,39,60,96,6,7,19,6,16,24,94,149,239,130,159,288,6,8,16,2862,3480,6343,101,81,178,86,70,157,233,263,495,0,0,0,7,11,13,22,31,51,29,40,66,3514,3498,7013,51,45,97,18,17,40,3585,3567,7152,455,426,880,12,18,31,7472,8103,15576
POA6051,139,230,368,403,425,822,0,0,0,59,61,117,0,0,0,1084,1152,2242,6,14,19,80,88,167,12,17,31,11,11,17,18,17,33,18,20,39,18,41,59,34,45,79,46,54,97,0,4,6,8,12,18,61,88,147,191,207,399,6,7,10,2054,2258,4313,268,240,511,175,118,300,26,24,52,0,0,0,64,69,130,42,35,77,97,104,206,3129,2955,6085,35,34,69,17,23,36,3176,3012,6187,483,374,860,19,21,34,6448,6376,12817
POA6052,124,174,299,383,518,901,0,0,0,48,52,100,0,0,0,1375,1651,3020,0,9,10,142,126,277,25,25,48,6,3,13,6,14,20,3,5,11,17,14,31,20,24,46,36,33,72,0,9,3,0,3,5,73,101,172,122,131,252,4,8,9,2266,2723,4990,53,65,117,122,103,227,30,30,65,0,0,0,9,4,20,16,17,36,28,22,53,2517,2451,4961,23,25,50,5,9,13,2542,2487,5031,268,233,507,7,14,17,5451,5841,11294
POA6053,147,195,345,513,661,1181,0,0,0,52,72,122,0,0,0,1590,1859,3448,17,27,48,94,89,181,15,16,30,8,8,13,17,18,33,7,3,14,42,45,88,41,55,87,72,68,138,6,8,13,12,6,16,76,116,186,147,164,311,8,11,14,2698,3219,5922,134,113,242,145,145,284,16,23,32,0,0,0,42,41,78,33,22,59,67,67,140,3616,3488,7101,27,25,48,12,17,31,3649,3532,7177,385,386,773,9,5,16,7250,7678,14933
POA6054,185,326,508,781,1058,1829,0,0,0,113,117,234,0,0,0,2010,2365,4374,47,52,102,148,121,269,37,38,75,12,22,32,20,38,57,9,6,12,61,54,113,72,76,156,71,102,170,20,32,52,5,13,17,96,145,237,322,383,702,16,16,26,3827,4629,8460,133,137,265,195,167,361,11,8,20,0,0,0,28,28,54,44,67,113,79,97,171,4829,4483,9320,59,37,95,11,23,31,4896,4539,9442,722,605,1323,15,21,33,10053,10530,20579
POA6055,289,387,681,1103,1335,2442,0,0,0,220,240,465,3,4,3,3077,3412,6484,59,76,137,112,140,249,53,62,109,36,43,77,25,26,53,41,35,76,136,147,285,258,297,553,133,136,264,20,18,37,38,51,87,138,185,318,589,707,1300,15,12,29,6053,6931,12984,1079,1027,2100,653,598,1254,12,13,26,0,0,0,744,699,1440,44,62,106,786,761,1545,6010,5499,11505,35,36,70,19,18,39,6065,5554,11613,652,830,1488,30,56,84,15620,16160,31772
POA6056,168,274,440,1899,2344,4237,0,0,0,249,297,547,35,22,57,4024,4458,8487,52,60,110,95,102,203,97,131,227,50,100,153,30,46,71,21,22,42,121,156,276,214,271,485,220,242,463,31,45,80,72,94,168,216,305,518,737,847,1584,39,44,88,8207,9593,17795,203,189,392,163,176,344,7,18,31,3,7,6,73,73,141,63,120,180,139,197,329,9221,8635,17854,82,63,139,37,78,116,9341,8771,18110,1793,1642,3431,38,44,74,20057,20892,40950
