Date,Category,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Estimate,Value
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Actual,change from prior month,Actual,N,0.0
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Percentage,change from prior month,Actual,N,-0.0011683334374186782
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Actual,change from prior month,Actual,N,83.0
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Percentage,change from prior month,Actual,N,0.4376973501158841
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Actual,change from prior month,Actual,N,65.0
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Percentage,change from prior month,Actual,N,1.4603459896652566
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Actual,change from prior month,Actual,N,65.0
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Percentage,change from prior month,Actual,N,0.3409925506242787
2023-09-30,Total Applications,Total,Applications,Number,,Actual,change from prior month,Percentage,N,0.3412252611685653
2023-09-30,Total Applications,Total,Applications,12 month rolling average,,Actual,change from prior month,Percentage,N,0.04889758179233333
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Actual,change from prior month,Percentage,N,399.9999999999477
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Percentage,change from prior month,Percentage,N,399.7556315812335
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Actual,change from prior month,Percentage,N,0.0
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Percentage,change from prior month,Percentage,N,-0.3412252611685568
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Actual,change from prior month,Percentage,N,148.21428571428572
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Percentage,change from prior month,Percentage,N,148.44974590626762
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Actual,change from prior month,Percentage,N,0.44526647485956977
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Percentage,change from prior month,Percentage,N,0.44526647485957377
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Actual,change from prior month,Percentage,N,-500.0
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Percentage,change from prior month,Percentage,N,-500.0
2023-09-30,Total Applications,Total,Applications,12 month rolling average,,Actual,change from prior year,Actual,N,467.2307692307695
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Actual,change from prior year,Actual,N,-328.2307692307695
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,-1.7760454620338164
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Actual,change from prior year,Actual,N,83.0
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Percentage,change from prior year,Actual,N,0.4359970191846765
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Actual,change from prior year,Actual,N,-1147.0
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Percentage,change from prior year,Actual,N,-6.537512016839627
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Actual,change from prior year,Actual,N,-553.0
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Percentage,change from prior year,Actual,N,-75.35691917470422
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Actual,change from prior year,Actual,N,147.0
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Percentage,change from prior year,Actual,N,0.7709586970280018
2023-09-30,Total Applications,Total,Applications,Number,,Actual,change from prior year,Percentage,N,0.7325428194993412
2023-09-30,Total Applications,Total,Applications,12 month rolling average,,Actual,change from prior year,Percentage,N,2.5150826283731478
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,-82.50193348801274
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,-82.93122722690532
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Actual,change from prior year,Percentage,N,-461.1111111111111
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Percentage,change from prior year,Percentage,N,-460.0495214096978
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Actual,change from prior year,Percentage,N,-89.19129082426127
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Percentage,change from prior year,Percentage,N,-89.92383364376062
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Actual,change from prior year,Percentage,N,-3.6343322818086228
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,-18.61636824248903
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Actual,change from prior year,Percentage,N,-154.73684210526315
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Percentage,change from prior year,Percentage,N,-154.75981423498942
2023-09-30,Priority Individuals,Priority,Individuals,Number,,Actual,-,-,N,9568.0
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,Actual,-,-,N,9190.307692307691
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Actual,-,-,N,377.69230769230853
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Percentage,-,-,N,4.10968076736362
2023-09-30,Priority Individuals,Priority,Individuals,Percentage of population,,Percentage,-,-,N,0.33506163691337076
2023-09-30,Priority Individuals,Priority,Individuals,Number,,per 10 000,-,-,N,33.50616369133707
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,per 10 000,-,-,N,32.18352361122657
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Actual,-,-,N,60.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Percentage,-,-,N,0.6310475389145982
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Actual,-,-,N,883.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Percentage,-,-,N,10.166954519286126
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Actual,-,-,N,5117.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Percentage,-,-,N,114.96292967872388
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Actual,-,-,N,145.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Percentage,-,-,N,1.5387880717393612
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,Actual,change from prior month,Actual,N,74.69230769230671
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Actual,change from prior month,Actual,N,-14.692307692306713
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Percentage,change from prior month,Actual,N,-0.1948516073441917
2023-09-30,Priority Individuals,Priority,Individuals,Percentage of population,,Percentage,change from prior month,Actual,N,0.0021011390274668362
2023-09-30,Priority Individuals,Priority,Individuals,Number,,per 10 000,change from prior month,Actual,N,0.21011390274667718
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,per 10 000,change from prior month,Actual,N,0.26156487123977357
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Actual,change from prior month,Actual,N,-1.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Percentage,change from prior month,Actual,N,-0.014660093137905283
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Actual,change from prior month,Actual,N,-28.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Percentage,change from prior month,Actual,N,-0.4297652666857239
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Actual,change from prior month,Actual,N,60.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Percentage,change from prior month,Actual,N,1.3480116827679325
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Actual,change from prior month,Actual,N,60.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Percentage,change from prior month,Actual,N,0.6367398917542185
2023-09-30,Priority Individuals,Priority,Individuals,Number,,Actual,change from prior month,Percentage,N,0.6310475389145982
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,Actual,change from prior month,Percentage,N,0.8193885386867735
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Actual,change from prior month,Percentage,N,-3.7443638502251977
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Percentage,change from prior month,Percentage,N,-4.526661443855864
2023-09-30,Priority Individuals,Priority,Individuals,Percentage of population,,Percentage,change from prior month,Percentage,N,0.6310475389146123
2023-09-30,Priority Individuals,Priority,Individuals,Number,,per 10 000,change from prior month,Percentage,N,0.6310475389145929
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,per 10 000,change from prior month,Percentage,N,0.8193885386867766
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Actual,change from prior month,Percentage,N,-1.639344262295082
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Percentage,change from prior month,Percentage,N,-2.2703918012096915
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Actual,change from prior month,Percentage,N,-3.0735455543358947
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Percentage,change from prior month,Percentage,N,-4.055644344343764
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Actual,change from prior month,Percentage,N,1.1864741941862764
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Percentage,change from prior month,Percentage,N,1.18647419418629
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Actual,change from prior month,Percentage,N,70.58823529411765
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Percentage,change from prior month,Percentage,N,70.58823529411767
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,Actual,change from prior year,Actual,N,1197.6923076923067
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Actual,change from prior year,Actual,N,-314.6923076923067
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,-4.553123359522735
2023-09-30,Priority Individuals,Priority,Individuals,Percentage of population,,Percentage,change from prior year,Actual,N,0.026029904318155328
2023-09-30,Priority Individuals,Priority,Individuals,Number,,per 10 000,change from prior year,Actual,N,2.602990431815531
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,per 10 000,change from prior year,Actual,N,3.7440097335654734
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Actual,change from prior year,Actual,N,-28.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Percentage,change from prior year,Actual,N,-0.39256534930222164
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Actual,change from prior year,Actual,N,-364.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Percentage,change from prior year,Actual,N,-6.5983049590682725
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Actual,change from prior year,Actual,N,191.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Percentage,change from prior year,Actual,N,-16.082561143303266
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Actual,change from prior year,Actual,N,-166.0
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Percentage,change from prior year,Actual,N,-2.1750882119960098
2023-09-30,Priority Individuals,Priority,Individuals,Number,,Actual,change from prior year,Percentage,N,10.166954519286126
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,Actual,change from prior year,Percentage,N,14.984986141053266
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,-45.450505499388825
2023-09-30,Priority Individuals,Priority,Individuals,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,-52.55946334272308
2023-09-30,Priority Individuals,Priority,Individuals,Percentage of population,,Percentage,change from prior year,Percentage,N,8.423052254070795
2023-09-30,Priority Individuals,Priority,Individuals,Number,,per 10 000,change from prior year,Percentage,N,8.423052254070791
2023-09-30,Priority Individuals,Priority,Individuals,12 month rolling average,,per 10 000,change from prior year,Percentage,N,13.164816211947802
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Actual,change from prior year,Percentage,N,-31.818181818181817
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior month,Percentage,change from prior year,Percentage,N,-38.35095804489999
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Actual,change from prior year,Percentage,N,-29.190056134723335
2023-09-30,Priority Individuals,Priority,Individuals,Difference,prior year,Percentage,change from prior year,Percentage,N,-39.357010654009464
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Actual,change from prior year,Percentage,N,3.8773853024766547
2023-09-30,Priority Individuals,Priority,Individuals,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,-12.272502504603526
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Actual,change from prior year,Percentage,N,-53.37620578778135
2023-09-30,Priority Individuals,Priority,Individuals,Difference,financial year to date,Percentage,change from prior year,Percentage,N,-58.566523110143365
2023-09-30,Total Individuals,Total,Individuals,Number,,Actual,-,-,N,34117.0
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,Actual,-,-,N,33928.07692307692
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Actual,-,-,N,188.92307692307804
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Percentage,-,-,N,0.5568340267307572
2023-09-30,Total Individuals,Total,Individuals,Percentage of population,,Percentage,-,-,N,1.1947426700014077
2023-09-30,Total Individuals,Total,Individuals,Number,,per 10 000,-,-,N,119.47426700014077
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,per 10 000,-,-,N,118.81267758328713
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Actual,-,-,N,87.0
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Percentage,-,-,N,0.2556567734352042
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Actual,-,-,N,582.0
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Percentage,-,-,N,1.735500223646936
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Actual,-,-,N,29666.0
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Percentage,-,-,N,666.5019096832173
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Actual,-,-,N,131.0
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Percentage,-,-,N,0.38545283351968457
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,Actual,change from prior month,Actual,N,47.846153846156085
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Actual,change from prior month,Actual,N,39.153846153843915
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Percentage,change from prior month,Actual,N,0.1147790956726989
2023-09-30,Total Individuals,Total,Individuals,Percentage of population,,Percentage,change from prior month,Actual,N,0.0030466515898268653
2023-09-30,Total Individuals,Total,Individuals,Number,,per 10 000,change from prior month,Actual,N,0.30466515898268653
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,per 10 000,change from prior month,Actual,N,0.16755236860056755
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Actual,change from prior month,Actual,N,0.0
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Percentage,change from prior month,Actual,N,-0.0006552791234971655
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Actual,change from prior month,Actual,N,47.0
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Percentage,change from prior month,Actual,N,0.1382469022556836
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Actual,change from prior month,Actual,N,87.0
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Percentage,change from prior month,Actual,N,1.9546169400134659
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Actual,change from prior month,Actual,N,87.0
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Percentage,change from prior month,Actual,N,0.2559877596657447
2023-09-30,Total Individuals,Total,Individuals,Number,,Actual,change from prior month,Percentage,N,0.2556567734352042
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,Actual,change from prior month,Percentage,N,0.1412214520380683
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Actual,change from prior month,Percentage,N,26.142783769900333
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Percentage,change from prior month,Percentage,N,25.964894317087513
2023-09-30,Total Individuals,Total,Individuals,Percentage of population,,Percentage,change from prior month,Percentage,N,0.255656773435206
2023-09-30,Total Individuals,Total,Individuals,Number,,per 10 000,change from prior month,Percentage,N,0.25565677343520593
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,per 10 000,change from prior month,Percentage,N,0.14122145203807074
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Actual,change from prior month,Percentage,N,0.0
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Percentage,change from prior month,Percentage,N,-0.2556567734352217
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Actual,change from prior month,Percentage,N,8.785046728971963
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Percentage,change from prior month,Percentage,N,8.655289702904902
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Actual,change from prior month,Percentage,N,0.2941275905203016
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Percentage,change from prior month,Percentage,N,0.2941275905202994
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Actual,change from prior month,Percentage,N,197.72727272727272
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Percentage,change from prior month,Percentage,N,197.72727272727272
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,Actual,change from prior year,Actual,N,1356.7692307692305
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Actual,change from prior year,Actual,N,-774.7692307692305
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,-2.401881407098453
2023-09-30,Total Individuals,Total,Individuals,Percentage of population,,Percentage,change from prior year,Actual,N,0.0014923357952421057
2023-09-30,Total Individuals,Total,Individuals,Number,,per 10 000,change from prior year,Actual,N,0.14923357952422123
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,per 10 000,change from prior year,Actual,N,2.9166770185696436
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Actual,change from prior year,Actual,N,47.0
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Percentage,change from prior year,Actual,N,0.13623596435922275
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Actual,change from prior year,Actual,N,-2179.0
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Percentage,change from prior year,Actual,N,-7.236359138151986
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Actual,change from prior year,Actual,N,-110.0
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Percentage,change from prior year,Actual,N,-125.62365562670561
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Actual,change from prior year,Actual,N,159.0
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Percentage,change from prior year,Actual,N,0.468878033889139
2023-09-30,Total Individuals,Total,Individuals,Number,,Actual,change from prior year,Percentage,N,1.735500223646936
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,Actual,change from prior year,Percentage,N,4.165535027289237
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,-80.39591315453374
2023-09-30,Total Individuals,Total,Individuals,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,-81.17987217141409
2023-09-30,Total Individuals,Total,Individuals,Percentage of population,,Percentage,change from prior year,Percentage,N,0.12506477077460137
2023-09-30,Total Individuals,Total,Individuals,Number,,per 10 000,change from prior year,Percentage,N,0.1250647707746103
2023-09-30,Total Individuals,Total,Individuals,12 month rolling average,,per 10 000,change from prior year,Percentage,N,2.516633019567351
