SED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SED51104,0,0,0,0,0,12,38,3,4,0,0,0,0,0,0,59,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,21,0,0,3,9,15,9,42,17,0,3,3,0,0,0,0,101,0,0,0,0,4,16,45,28,4,9,3,6,9,12,0,128,0,0,9,4,8,16,4,9,0,0,0,0,0,0,0,54,0,0,7,3,5,18,26,23,5,0,10,0,7,0,6,107,0,0,0,0,4,6,8,6,0,0,0,0,0,0,0,28,13,25,13,25,35,12,77,21,0,3,6,3,5,0,5,242,0,7,8,0,6,0,0,3,0,0,0,0,0,0,0,26,0,0,0,6,4,9,17,13,0,0,3,6,0,0,5,50,4,0,18,21,14,20,208,132,17,10,23,23,14,3,5,520,0,0,0,0,7,14,29,26,4,15,3,5,16,4,3,121,0,0,0,4,5,15,16,20
SED51205,0,0,0,0,3,30,121,87,11,3,19,31,8,7,0,332,0,0,0,3,0,8,82,90,12,7,12,11,9,0,0,234,0,0,4,9,8,8,19,11,0,0,3,0,0,0,3,68,0,6,0,12,81,118,748,477,133,141,94,103,40,0,45,1992,0,3,18,8,0,27,3,0,0,0,0,0,0,0,0,56,0,3,9,8,3,6,20,12,5,3,0,0,0,4,0,73,0,0,0,3,8,0,6,0,0,0,0,0,0,0,0,20,23,18,18,13,19,11,15,7,3,0,6,6,0,0,0,143,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,17,33,31,91,110,21,14,23,26,15,3,5,398,8,8,80,85,57,100,1148,1004,410,296,585,625,145,16,89,4658,0,3,3,19,47,232,471,159,36,39,24,54,31,9,21,1151,0,0,0,5,11,19,42,55
SED51304,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,20,22,19,47,23,3,3,0,0,0,0,5,158,0,0,5,4,15,30,124,54,10,10,6,17,7,0,0,287,4,9,24,11,7,8,0,3,0,0,0,0,0,0,0,62,0,8,10,6,4,5,15,5,0,0,0,0,0,0,0,48,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,34,16,22,12,44,18,66,25,0,0,0,3,9,0,3,250,3,18,19,5,7,0,8,0,0,0,0,0,0,0,3,57,0,0,4,9,14,10,11,7,0,4,6,3,0,0,3,81,7,7,52,32,25,53,82,36,8,4,0,18,4,0,6,339,0,10,6,3,9,17,11,11,3,5,0,0,0,0,0,82,0,0,0,0,9,5,15,43
SED51401,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,19,0,0,3,12,3,5,12,3,0,0,0,0,0,0,3,42,0,0,0,0,0,4,10,10,0,3,0,6,0,0,9,43,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,45,23,21,10,19,0,13,8,0,0,3,0,0,0,11,161,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,3,4,14,10,8,6,30,47,9,5,6,7,8,0,17,182,0,0,0,0,3,4,9,11,0,0,0,0,6,0,0,50,0,0,0,0,0,0,0,0
SED51504,0,0,0,0,0,3,12,0,4,0,0,0,0,0,0,13,0,0,0,0,3,0,16,11,0,0,0,0,0,0,0,31,0,4,17,24,31,18,60,29,0,5,14,3,9,4,0,219,0,0,4,9,60,87,306,229,37,30,24,44,15,5,5,861,8,15,15,8,0,16,0,0,0,4,0,0,0,0,0,60,8,6,10,0,3,6,8,9,3,5,0,5,0,0,3,66,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,15,19,18,13,11,31,17,46,20,6,5,5,0,5,0,9,204,8,19,18,4,0,3,0,3,0,0,0,0,0,0,0,63,0,0,4,20,35,29,33,27,5,3,0,20,0,5,7,197,12,5,34,20,45,70,295,254,44,44,52,68,24,5,10,977,3,7,4,4,15,35,54,25,3,10,5,9,12,3,6,177,0,0,0,0,27,29,44,41
SED51605,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,16,0,0,0,0,5,5,25,8,5,0,3,0,0,0,0,53,0,0,0,3,16,19,26,22,0,3,3,0,6,0,0,105,0,0,0,0,21,41,422,218,26,30,19,39,14,3,11,839,4,36,110,43,36,107,61,6,0,0,0,0,0,0,9,410,3,3,0,0,9,6,0,0,0,0,4,0,0,0,0,28,0,0,0,0,9,0,8,4,0,0,3,0,0,0,0,24,7,10,12,15,26,14,43,20,0,0,9,0,0,0,4,156,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,17,9,16,25,25,0,10,0,9,9,0,0,124,0,0,30,24,28,55,322,218,23,42,46,46,13,3,8,863,0,0,0,3,34,89,100,46,12,8,9,4,12,3,9,335,0,0,0,0,16,12,32,77
SED51706,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,5,13,9,8,15,3,0,0,3,4,0,0,4,56,0,0,0,0,6,0,23,28,0,0,5,6,0,0,0,75,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,15,43,25,15,19,25,10,17,0,0,0,0,0,0,0,4,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,5,0,0,3,0,0,0,0,16,3,3,9,9,4,5,69,54,12,8,11,5,3,0,3,210,3,6,0,0,0,3,16,16,5,0,4,3,0,0,0,53,0,0,0,0,0,0,3,16
SED51804,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,4,0,0,5,0,0,0,14,0,0,13,36,29,47,51,32,4,5,5,10,4,4,0,236,0,5,6,9,31,73,138,104,25,26,44,84,24,3,13,589,0,15,9,4,5,8,3,6,0,0,0,0,0,0,0,51,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,20,11,18,36,33,51,20,3,3,4,9,6,4,5,248,8,11,8,5,0,0,3,5,0,0,0,0,0,0,0,32,0,0,5,17,23,25,48,35,10,6,3,7,9,0,3,201,12,5,25,21,23,46,93,60,3,8,12,12,6,0,3,334,4,7,9,0,14,36,20,9,4,5,6,10,12,0,0,124,0,0,0,5,41,12,26,14
SED51902,0,0,0,0,0,6,14,14,0,0,0,4,0,0,0,38,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,18,0,0,3,18,24,20,41,6,0,0,3,11,0,0,0,123,0,0,0,0,3,3,27,18,5,6,0,0,3,0,0,71,0,0,12,0,0,15,3,0,0,0,0,0,0,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,22,19,3,0,0,0,0,0,0,50,14,16,17,15,33,22,23,7,0,0,0,0,0,0,0,150,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,5,4,4,3,0,0,0,0,0,0,0,24,0,0,26,29,19,28,350,206,24,16,13,37,22,8,13,788,0,7,0,4,3,20,21,21,3,0,0,4,5,0,0,92,0,0,0,0,3,3,6,9
SED52006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,16,15,0,28,14,8,0,0,0,3,0,0,91,0,0,0,0,3,8,34,11,0,0,3,4,0,0,0,74,6,0,10,9,0,4,0,0,0,0,0,0,0,0,3,25,5,0,7,6,3,0,4,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,6,4,0,0,3,0,0,0,0,16,32,28,19,18,28,4,19,18,0,0,0,0,3,0,4,191,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,8,4,4,0,7,3,0,0,0,0,0,0,0,29,9,7,28,18,6,0,37,54,6,4,7,10,0,0,8,195,0,5,0,0,13,12,29,26,8,12,4,17,3,7,0,131,0,0,0,0,3,0,3,23
SED52102,0,0,0,0,0,30,181,85,13,16,8,19,12,6,10,389,0,0,0,0,3,0,88,32,0,4,0,0,0,0,0,129,0,0,4,4,5,6,11,7,0,0,0,0,0,0,0,42,0,0,0,0,8,37,184,73,14,13,10,21,8,0,4,374,0,4,9,5,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,14,0,0,0,0,3,0,6,4,0,0,0,3,0,0,4,18,24,22,18,8,30,7,20,14,0,0,0,3,0,0,3,149,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,4,9,7,14,31,11,0,0,0,0,0,0,0,72,7,5,55,63,30,35,522,384,62,37,85,68,24,4,15,1387,0,0,0,7,15,55,101,41,13,5,8,5,3,6,0,265,0,0,0,0,0,5,13,20
SED52205,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,8,0,6,12,24,32,32,57,28,0,12,7,13,14,6,0,240,5,0,0,0,10,11,56,23,3,3,0,13,5,0,0,130,5,82,161,30,25,44,18,4,0,0,0,5,0,0,31,407,5,9,17,5,3,3,0,0,0,0,0,0,0,0,0,44,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,15,24,23,17,16,64,42,112,64,5,7,17,24,9,0,8,432,4,3,7,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,12,7,6,12,9,3,0,8,4,0,0,3,70,8,9,30,27,24,13,51,37,6,6,12,5,11,0,7,251,0,0,0,4,4,24,33,11,9,3,5,14,4,0,9,123,0,0,0,0,9,4,29,11
SED52301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,14,0,0,0,3,0,3,14,7,7,7,0,6,0,0,0,61,0,0,0,0,0,4,17,21,4,0,0,3,0,0,0,53,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,3,4,7,6,0,0,4,0,0,0,0,30,21,16,10,11,17,8,31,18,3,0,0,0,0,0,0,142,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,3,4,7,4,0,5,68,74,5,11,13,8,8,0,4,223,4,3,0,3,3,9,27,18,4,6,0,0,0,8,0,86,0,0,0,0,0,0,0,4
