SED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SED51104,19232,52402,796,1257,145,241,946,1499,50,82,4,14,0,0,0,0,11,34,71,126,0,0,6,7,8,7,0,0,12,12,18,29,20275,54075,1656,..,21932,54075
SED51205,15292,41582,3089,6789,572,1229,3665,8020,473,938,200,364,154,308,111,179,32,84,981,1874,22,35,0,0,12,9,21,63,58,111,46,87,20034,51674,1765,..,21796,51674
SED51304,12952,36774,1238,2295,529,1143,1766,3441,276,354,35,57,115,184,0,0,16,32,445,628,0,0,0,0,0,0,0,0,0,0,6,21,15169,40867,932,..,16102,40867
SED51401,14722,33390,490,768,26,45,519,810,52,78,0,0,0,0,0,0,8,8,61,93,167,263,50,69,26,39,31,46,266,407,131,234,15701,34935,3567,..,19267,34935
SED51504,10735,30935,1682,3381,1296,2876,2977,6261,1219,2202,1214,2251,352,533,180,316,16,27,2971,5333,0,3,0,0,4,0,0,6,11,14,9,14,16706,42556,1288,..,17991,42556
SED51605,14849,42495,898,1615,171,335,1069,1948,298,431,371,573,503,829,163,242,11,24,1349,2105,9,11,272,402,10,7,3,3,286,428,10,28,17565,47003,1047,..,18613,47003
SED51706,15858,40075,749,1207,13,28,759,1233,182,277,0,0,0,0,0,0,5,9,187,284,144,246,153,217,74,91,17,25,388,578,41,75,17227,42244,1784,..,19013,42244
SED51804,10286,29004,1367,2787,1630,3230,2992,6013,776,1183,1134,1601,1845,3093,304,487,9,18,4057,6374,0,0,0,0,14,18,9,12,22,32,15,23,17376,41448,2194,..,19568,41448
SED51902,15732,44974,175,301,3,9,176,307,15,20,0,0,0,0,0,0,35,74,53,92,14,24,95,152,8,10,14,33,131,224,30,64,16125,45661,979,..,17104,45661
SED52006,15348,36851,981,1467,439,785,1423,2249,34,55,57,108,59,110,65,126,10,16,226,415,52,84,74,96,6,14,0,0,136,198,11,8,17142,39724,4143,..,21285,39724
SED52102,14797,39179,654,1126,50,88,696,1222,25,38,0,0,0,0,0,0,18,46,48,83,169,262,109,163,66,85,41,95,388,595,19,41,15954,41119,972,..,16926,41119
SED52205,12060,29433,2715,4889,1408,2691,4124,7585,501,722,749,1132,1251,1901,204,329,63,131,2777,4218,7,14,169,265,113,125,23,50,321,455,75,112,19350,41801,2108,..,21463,41801
SED52301,13110,33135,1410,2277,337,660,1747,2936,250,399,15,22,4,7,0,0,13,18,285,447,264,469,55,90,77,86,17,29,408,678,87,146,15645,37344,2013,..,17652,37344
SED52404,14265,37978,1076,1927,215,392,1289,2323,86,125,15,26,0,6,0,0,32,69,138,228,0,6,6,7,23,25,0,0,30,31,6,11,15729,40572,930,..,16658,40572
SED52505,17509,53042,642,1461,88,220,730,1685,38,72,0,0,0,0,0,0,21,41,61,117,3,3,0,0,6,0,8,22,9,32,8,33,18324,54914,860,..,19182,54914
SED52604,12893,35094,649,1132,675,1446,1321,2573,68,122,358,577,518,855,0,0,23,48,964,1598,7,13,0,0,78,78,21,51,107,145,29,35,15318,39450,956,..,16277,39450
SED52702,13726,36511,504,710,46,74,549,785,41,69,0,0,0,0,0,0,28,65,77,134,17,28,3,3,10,23,38,96,71,151,26,48,14440,37616,958,..,15397,37616
SED52803,10891,28430,1749,3150,297,604,2045,3752,220,357,0,0,0,0,0,0,4,13,229,369,281,457,489,736,96,114,43,69,912,1370,225,347,14293,34272,2713,..,17007,34272
SED52903,9386,28581,1155,2402,337,627,1493,3031,305,668,0,0,0,0,0,0,7,7,315,682,4431,9034,53,103,296,612,115,309,4902,10059,743,1385,16832,43732,2054,..,18889,43732
SED53004,13959,37436,1404,2490,143,221,1545,2710,18,31,0,0,0,0,0,0,21,36,36,65,90,130,7,11,11,13,4,10,113,159,5,10,15662,40384,741,..,16400,40384
SED53105,15936,44181,820,1559,279,540,1103,2099,344,486,151,261,0,0,0,0,17,33,510,785,4,12,0,0,58,59,4,4,60,70,18,32,17626,47170,1274,..,18903,47170
SED53204,14812,45112,1027,2093,116,253,1142,2350,0,0,0,0,0,0,0,0,4,10,4,10,16,25,8,8,39,54,0,0,58,90,13,27,16033,47582,614,..,16644,47582
SED53306,14735,36886,2648,4086,690,1120,3335,5211,429,620,150,269,152,282,104,199,26,43,859,1408,25,43,67,86,50,53,15,12,148,191,36,52,19118,43744,2955,..,22075,43744
SED53402,11504,28844,2107,3875,2125,3997,4233,7872,1688,2618,828,1232,508,702,281,457,9,16,3309,5025,0,4,0,0,21,19,5,9,25,30,24,54,19103,41838,2410,..,21503,41838
SED53502,14961,38436,2319,3988,519,886,2839,4879,264,406,239,354,110,181,63,91,12,34,694,1063,90,146,149,208,251,268,27,53,515,672,68,120,19079,45165,1700,..,20773,45165
SED53602,14022,39805,2910,5847,446,905,3356,6752,282,421,0,0,17,20,0,0,20,50,314,491,0,0,0,0,39,40,0,0,39,40,18,36,17753,47120,1318,..,19072,47120
SED53701,14562,34120,398,664,94,187,497,855,113,164,0,0,0,0,0,3,3,4,117,171,545,985,173,285,100,166,42,95,856,1522,186,311,16212,36973,5920,..,22131,36973
SED53802,13294,34316,4299,8913,598,1211,4902,10123,88,124,0,0,0,0,0,0,7,11,97,136,0,0,0,0,9,9,7,12,10,10,18,32,18316,44626,1273,..,19588,44626
SED53902,9684,24736,4082,7604,1490,3211,5569,10818,2066,3210,526,760,452,649,112,160,6,6,3161,4795,0,0,0,0,8,13,18,30,24,44,15,23,18455,40413,1695,..,20148,40413
SED54006,15420,39225,592,949,42,81,636,1037,14,24,0,0,0,0,0,0,9,28,23,48,373,545,54,93,35,71,25,50,483,762,53,94,16616,41156,2743,..,19363,41156
SED54104,9378,26147,953,1884,1948,3989,2897,5871,1476,2546,1924,2983,2500,4091,746,1268,7,26,6650,10905,0,0,0,0,21,21,10,15,36,40,27,54,18986,43023,2336,..,21318,43023
SED54203,6539,17147,582,1048,106,187,689,1238,211,311,8,9,0,0,0,0,9,12,227,334,4159,8505,186,404,199,391,31,94,4582,9398,642,1144,12678,29258,2491,..,15168,29258
SED54304,6882,17682,1409,2782,2284,4690,3691,7468,1159,1819,2841,4684,4908,8133,5361,9302,12,16,14272,23951,3,3,0,0,392,392,55,102,450,498,79,112,25374,49715,4688,..,30062,49715
SED54403,11431,33453,1846,3841,528,1104,2369,4950,666,993,214,318,204,332,192,280,0,0,1283,1926,1040,2079,304,487,180,252,51,130,1570,2948,451,741,17106,44017,4318,..,21420,44017
SED54505,13485,40007,1310,2871,107,314,1417,3181,580,1203,0,0,218,321,0,6,22,54,826,1586,0,0,0,0,0,0,0,8,4,5,10,16,15743,44791,929,..,16665,44791
SED54605,13871,32792,1318,1861,468,754,1788,2621,1089,1564,170,249,318,481,34,54,15,31,1618,2379,141,199,88,134,30,33,5,6,273,383,24,27,17568,38196,2197,..,19763,38196
SED54701,14007,33165,889,1378,51,97,941,1476,150,189,8,20,0,0,0,0,4,9,166,218,227,374,66,106,59,91,27,63,389,630,146,309,15647,35789,3897,..,19537,35789
SED54804,9827,25377,4718,8675,2760,5761,7477,14443,955,1366,359,500,534,883,176,319,4,8,2028,3078,71,149,28,55,19,36,0,0,118,235,26,33,19473,43167,2125,..,21598,43167
SED54905,8889,23738,2869,5129,3619,6971,6480,12098,959,1606,840,1281,624,1072,562,907,7,15,2989,4880,0,0,0,0,0,0,3,6,3,9,28,47,18389,40769,2400,..,20789,40769
SED55005,15998,48197,731,1591,37,91,773,1673,38,89,18,24,0,0,0,0,16,41,70,152,0,3,0,0,0,0,10,18,15,23,13,24,16865,50070,767,..,17631,50070
SED55102,15765,44767,373,821,99,193,468,1015,38,69,0,0,0,0,0,0,30,63,71,129,10,11,0,0,145,154,4,8,162,178,24,47,16487,46132,1221,..,17705,46132
SED55202,15296,42197,2095,3726,236,420,2334,4141,410,785,101,181,0,0,0,0,24,50,539,1013,0,0,0,0,21,21,25,36,47,60,20,27,18230,47447,1247,..,19478,47447
SED55306,15322,38263,1294,2146,247,497,1543,2646,42,64,0,0,20,33,0,0,31,63,85,160,146,267,239,386,88,117,15,51,487,824,58,117,17495,42003,5480,..,22974,42003
SED55405,11808,29223,3978,8329,1725,3679,5700,12001,1098,1875,780,1261,1059,1624,128,224,4,15,3063,4995,3,3,0,0,14,15,3,4,26,24,36,66,20633,46313,2125,..,22761,46313
SED55504,16158,45932,955,1612,55,105,1010,1719,4,12,39,45,0,0,0,0,34,79,75,135,110,137,21,17,0,10,13,32,144,195,6,15,17385,47994,959,..,18353,47994
SED55605,16337,45983,508,825,54,100,560,929,11,16,0,0,0,0,0,0,21,57,27,65,4,3,0,0,0,0,0,0,4,3,32,77,16959,47061,1304,..,18266,47061
SED55706,16691,38734,676,1104,118,207,795,1308,102,148,0,0,0,0,0,0,8,16,114,171,185,320,143,300,121,154,20,39,464,811,139,242,18209,41258,5414,..,23618,41258
SED55802,16642,48529,990,1882,245,488,1231,2367,14,31,108,197,0,0,0,0,20,43,146,261,10,13,24,34,9,13,0,0,41,58,24,43,18092,51266,891,..,18981,51266
SED55905,13205,33498,1997,3358,219,409,2219,3771,407,651,340,518,0,0,0,0,38,76,788,1241,0,0,0,3,17,11,0,0,16,16,28,35,16254,38557,1250,..,17503,38557
SED59797,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
