IARE_CODE_2021,Arthritis_Age_0_14,Arthritis_Age_15_24,Arthritis_Age_25_34,Arthritis_Age_35_44,Arthritis_Age_45_54,Arthritis_Age_55_64,Arthritis_Age_65_over,Arthritis_Age_Tot,Asthma_Age_0_14,Asthma_Age_15_24,Asthma_Age_25_34,Asthma_Age_35_44,Asthma_Age_45_54,Asthma_Age_55_64,Asthma_Age_65_over,Asthma_Age_Tot,Cancer_inc_rem_Age_0_14,Cancer_inc_rem_Age_15_24,Cancer_inc_rem_Age_25_34,Cancer_inc_rem_Age_35_44,Cancer_inc_rem_Age_45_54,Cancer_inc_rem_Age_55_64,Cancer_inc_rem_Age_65_over,Cancer_inc_rem_Age_Tot,Dem_inc_Alz_Age_0_14,Dem_inc_Alz_Age_15_24,Dem_inc_Alz_Age_25_34,Dem_inc_Alz_Age_35_44,Dem_inc_Alz_Age_45_54,Dem_inc_Alz_Age_55_64,Dem_inc_Alz_Age_65_over,Dem_inc_Alz_Age_Tot,Dia_exc_ges_dia_Age_0_14,Dia_exc_ges_dia_Age_15_24,Dia_exc_ges_dia_Age_25_34,Dia_exc_ges_dia_Age_35_44,Dia_exc_ges_dia_Age_45_54,Dia_exc_ges_dia_Age_55_64,Dia_exc_ges_dia_Age_65_over,Dia_exc_ges_dia_Age_Tot,HD_inc_Ha_ang_Age_0_14,HD_inc_Ha_ang_Age_15_24,HD_inc_Ha_ang_Age_25_34,HD_inc_Ha_ang_Age_35_44,HD_inc_Ha_ang_Age_45_54,HD_inc_Ha_ang_Age_55_64,HD_inc_Ha_ang_Age_65_over,HD_inc_Ha_ang_Age_Tot,Kid_dis_Age_0_14,Kid_dis_Age_15_24,Kid_dis_Age_25_34,Kid_dis_Age_35_44,Kid_dis_Age_45_54,Kid_dis_Age_55_64,Kid_dis_Age_65_over,Kid_dis_Age_Tot,LC_inc_COPD_emph_Age_0_14,LC_inc_COPD_emph_Age_15_24,LC_inc_COPD_emph_Age_25_34,LC_inc_COPD_emph_Age_35_44,LC_inc_COPD_emph_Age_45_54,LC_inc_COPD_emph_Age_55_64,LC_inc_COPD_emph_Age_65_over,LC_inc_COPD_emph_Age_Tot,MHC_inc_dep_anx_Age_0_14,MHC_inc_dep_anx_Age_15_24,MHC_inc_dep_anx_Age_25_34,MHC_inc_dep_anx_Age_35_44,MHC_inc_dep_anx_Age_45_54,MHC_inc_dep_anx_Age_55_64,MHC_inc_dep_anx_Age_65_over,MHC_inc_dep_anx_Age_Tot,Stroke_Age_0_14,Stroke_Age_15_24,Stroke_Age_25_34,Stroke_Age_35_44,Stroke_Age_45_54,Stroke_Age_55_64,Stroke_Age_65_over,Stroke_Age_Tot,A_oth_LTHC_Age_0_14,A_oth_LTHC_Age_15_24,A_oth_LTHC_Age_25_34,A_oth_LTHC_Age_35_44,A_oth_LTHC_Age_45_54,A_oth_LTHC_Age_55_64,A_oth_LTHC_Age_65_over,A_oth_LTHC_Age_Tot,No_LTHC_Age_0_14,No_LTHC_Age_15_24,No_LTHC_Age_25_34,No_LTHC_Age_35_44,No_LTHC_Age_45_54,No_LTHC_Age_55_64,No_LTHC_Age_65_over,No_LTHC_Age_Tot,Not_st_Age_0_14,Not_st_Age_15_24,Not_st_Age_25_34,Not_st_Age_35_44,Not_st_Age_45_54,Not_st_Age_55_64,Not_st_Age_65_over,Not_st_Age_Tot,Tot_per_Age_0_14,Tot_per_Age_15_24,Tot_per_Age_25_34,Tot_per_Age_35_44,Tot_per_Age_45_54,Tot_per_Age_55_64,Tot_per_Age_65_over,Tot_per_Age_Tot
IARE503002,0,0,0,0,6,5,11,22,5,7,8,6,3,6,6,41,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,4,0,0,11,19,12,46,0,0,0,0,0,7,8,16,0,0,0,0,0,5,4,5,0,0,0,0,0,0,6,9,0,11,4,0,0,3,5,29,0,0,0,0,0,3,0,0,4,0,8,0,0,4,8,27,87,60,42,22,23,10,13,257,10,5,5,0,4,3,0,37,102,82,62,40,49,39,45,421
IARE503003,0,0,6,8,20,26,25,83,30,19,16,17,24,18,13,136,0,0,4,4,6,9,14,30,0,0,0,0,0,4,15,20,4,3,12,16,46,57,49,178,4,0,0,0,16,24,14,65,4,0,9,3,6,10,13,41,0,0,0,0,0,7,11,31,5,25,34,23,18,22,6,123,0,0,0,0,3,10,5,26,26,14,18,8,22,17,18,125,561,229,174,112,93,42,18,1246,96,88,91,84,55,23,16,452,730,370,348,262,240,168,115,2231
IARE503004,0,0,3,3,3,0,4,17,3,3,9,3,11,13,11,52,0,0,0,0,0,3,0,10,0,0,0,0,0,6,15,14,0,3,6,24,47,41,32,154,3,4,5,6,21,20,13,79,0,0,4,4,6,12,12,42,0,0,0,3,3,3,3,19,5,0,4,4,4,7,3,26,0,0,0,0,0,6,7,5,11,7,8,10,20,21,12,88,219,161,129,95,58,20,17,697,25,4,4,10,8,3,0,62,265,188,161,151,138,85,68,1044
IARE503005,0,0,0,0,3,10,0,15,0,4,0,0,6,3,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,11,10,30,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,14,75,30,32,30,15,4,4,187,5,0,0,0,0,6,0,8,82,34,39,42,33,19,20,267
IARE503006,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,13,4,28,0,0,0,7,6,8,0,22,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,13,82,89,62,46,33,19,3,327,13,3,6,9,9,0,0,39,95,94,76,67,56,31,12,431
IARE503007,0,0,0,0,0,4,3,8,0,0,3,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11,7,19,49,0,0,3,3,5,4,13,29,0,0,3,4,4,4,10,25,0,0,0,0,0,0,4,5,0,0,0,4,3,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,18,34,17,8,7,8,0,0,74,3,0,0,0,0,0,0,8,46,24,18,18,17,13,19,141
IARE504001,0,0,0,0,0,4,3,8,3,4,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,15,6,37,0,0,0,5,5,0,7,18,0,0,0,0,0,0,3,16,3,0,0,0,0,0,0,4,3,3,3,0,0,0,4,18,0,0,0,0,0,0,0,6,4,3,3,3,4,3,4,21,104,110,84,64,29,10,5,412,54,5,11,3,8,0,0,82,166,133,96,78,56,28,25,582
IARE504002,0,0,0,5,6,3,0,11,0,5,4,9,13,0,4,39,0,0,0,0,5,0,0,6,0,0,0,0,0,0,4,5,0,3,0,20,36,11,13,78,5,0,4,5,16,8,3,47,0,0,0,0,6,3,0,10,0,0,0,3,0,0,3,8,0,0,11,5,4,3,0,28,0,0,0,0,0,4,0,4,7,5,11,11,10,3,6,52,170,139,115,69,42,10,6,556,85,44,23,22,4,3,6,191,264,196,162,129,98,39,38,919
IARE504003,0,0,0,0,0,6,4,13,4,0,3,7,9,10,3,31,0,0,0,3,0,4,0,7,0,0,0,0,0,0,6,8,0,0,0,7,15,15,19,56,0,5,0,5,4,5,4,27,0,0,0,0,4,4,0,8,0,0,0,0,0,5,0,6,0,4,4,4,0,0,0,13,0,0,0,0,3,0,4,9,0,6,0,3,4,9,3,27,256,174,121,123,79,30,27,805,81,17,15,15,12,3,6,155,348,206,151,162,125,72,68,1133
IARE504004,0,0,0,0,0,0,0,3,0,0,5,0,3,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,10,0,0,0,0,0,5,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,67,58,40,28,20,11,12,233,22,16,10,17,9,3,5,70,93,78,51,46,30,24,17,349
IARE504005,0,0,0,0,0,0,0,3,3,3,0,0,10,5,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,12,3,43,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,4,0,4,4,0,0,13,0,0,0,0,0,0,0,3,3,5,5,3,3,0,4,25,69,71,33,38,14,5,0,231,22,0,0,0,0,0,0,27,99,87,44,50,38,19,5,343
IARE504006,0,0,7,3,9,10,12,40,10,3,11,11,12,8,9,63,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,0,3,3,12,25,19,16,84,9,4,0,4,13,6,16,44,0,0,0,0,8,8,14,28,0,0,0,0,0,3,0,5,0,10,0,5,10,7,0,34,0,0,0,0,4,0,4,4,14,3,12,6,13,5,7,60,364,169,163,99,84,39,12,924,56,20,11,15,14,3,21,137,447,205,202,152,156,84,69,1314
IARE504007,0,0,0,0,5,0,3,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,0,19,0,0,0,0,0,3,5,10,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,45,22,25,26,6,8,6,142,27,5,0,12,5,0,0,41,73,30,31,36,18,20,12,229
IARE504008,0,0,0,0,4,7,3,17,3,0,0,0,5,8,0,25,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,10,12,17,13,41,0,0,0,0,0,13,4,16,0,0,0,3,0,4,3,10,0,0,0,0,0,0,0,5,0,0,0,3,6,0,0,5,0,0,0,0,0,0,0,5,0,0,3,3,0,0,3,16,97,48,47,43,31,12,12,292,34,0,8,10,6,6,0,57,134,51,59,67,55,45,30,448
IARE505001,0,5,11,12,30,39,33,129,116,66,79,30,37,28,24,373,4,0,8,4,8,16,15,47,0,0,0,0,0,0,3,3,0,6,19,27,51,62,50,208,6,0,4,6,22,29,30,93,5,0,3,0,7,10,8,30,6,0,0,0,5,16,16,52,51,85,75,52,37,36,14,350,0,0,0,3,0,8,6,20,60,34,31,28,24,25,10,206,797,298,252,141,85,52,25,1641,88,47,30,24,18,8,7,205,1081,486,446,267,217,174,112,2785
IARE505002,0,0,0,0,0,3,8,23,8,20,16,4,9,7,11,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,6,26,0,0,0,0,0,3,9,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,5,3,12,6,10,9,6,3,56,0,0,0,0,0,0,0,0,9,3,0,3,6,3,0,32,104,46,29,23,20,4,3,226,16,6,3,4,0,0,0,35,138,85,55,32,40,24,21,399
IARE505003,0,0,3,4,6,17,18,48,22,26,26,21,15,16,5,132,0,0,0,0,0,4,0,10,0,0,0,0,0,0,5,10,0,0,8,14,9,13,20,54,0,0,0,0,0,17,7,32,0,0,0,0,0,4,0,11,0,0,0,3,5,5,5,17,16,33,36,30,21,23,7,164,0,0,0,0,0,5,7,15,17,11,18,15,14,16,9,107,243,147,104,50,41,27,9,620,14,20,9,8,0,3,3,64,301,219,181,111,100,83,52,1050
IARE505004,3,6,11,4,10,22,20,64,21,28,20,30,21,19,19,150,0,0,0,0,4,3,5,12,0,0,0,0,0,0,3,3,4,0,10,9,24,34,28,109,0,0,4,0,14,17,17,53,0,0,0,0,7,3,7,24,0,0,4,0,5,7,6,26,3,34,36,19,29,11,8,149,0,0,0,0,0,4,4,8,18,16,16,14,16,11,5,96,230,139,114,56,47,24,19,633,26,16,8,4,8,7,6,72,302,219,190,119,121,100,74,1129
IARE505005,0,0,4,9,9,11,18,56,34,32,36,27,11,15,14,162,0,0,0,0,0,0,7,17,0,0,5,0,0,0,7,10,0,3,5,4,15,15,23,74,0,0,6,0,6,16,17,44,0,0,4,3,3,0,5,12,0,0,4,3,0,5,5,19,11,45,42,25,19,18,20,183,0,0,0,0,0,0,7,13,27,13,18,13,10,12,11,105,310,172,94,46,61,16,10,713,27,20,7,6,14,9,4,84,393,277,173,118,118,80,76,1236
IARE505006,0,0,10,16,24,26,39,114,80,48,41,39,33,27,28,282,0,0,0,4,4,9,15,28,0,0,0,0,0,0,4,6,0,7,7,17,25,38,40,122,3,0,0,0,7,21,22,59,0,5,0,0,8,0,0,16,3,0,0,0,3,12,14,30,24,66,49,36,39,20,13,257,0,0,0,0,3,0,11,14,42,24,22,17,22,19,6,160,597,292,214,131,95,38,12,1376,68,26,24,13,8,7,6,146,787,447,347,232,199,134,98,2248
IARE505007,0,0,0,3,7,16,9,40,18,8,12,6,12,9,10,74,0,0,0,0,3,4,3,13,0,0,0,0,0,0,0,0,0,0,0,9,0,6,9,35,0,0,4,0,5,5,6,22,0,0,0,3,0,0,0,5,0,0,0,3,3,8,4,14,10,22,23,12,23,7,3,106,0,0,0,0,0,5,0,7,7,9,9,5,9,8,9,52,137,68,54,47,27,15,4,353,10,10,5,0,7,0,5,44,174,111,94,66,76,52,46,621
IARE505008,0,6,13,22,30,46,52,174,95,71,52,49,48,36,36,398,0,0,0,3,5,14,12,39,0,0,0,0,0,8,6,13,0,7,22,35,47,62,71,243,4,0,5,11,21,31,44,124,0,0,6,4,6,14,18,43,4,0,3,8,9,13,18,47,33,79,82,80,64,28,23,383,0,0,3,0,5,4,5,23,63,37,36,31,40,27,23,257,805,345,241,142,122,44,32,1729,99,119,214,129,58,21,9,658,1072,622,609,434,333,202,180,3448
IARE505009,0,3,4,6,13,21,27,79,53,22,20,19,20,20,22,173,0,0,0,0,0,6,6,16,0,0,0,0,0,0,4,6,0,3,0,7,8,22,19,66,0,0,0,0,6,8,15,43,0,0,0,0,0,0,0,9,0,0,0,5,3,0,8,22,32,30,32,26,28,22,14,178,0,0,0,0,0,0,7,7,16,17,16,14,17,15,8,99,367,146,111,96,74,31,11,846,27,19,8,16,8,4,6,92,491,228,182,170,144,103,79,1386
IARE505010,4,4,0,6,9,15,25,62,45,22,21,24,17,10,14,152,0,0,0,0,10,3,5,19,0,0,0,0,0,0,6,4,0,0,0,6,13,20,24,67,0,0,0,0,11,10,11,43,0,0,0,5,0,0,3,5,0,0,0,0,4,4,6,23,17,35,30,26,16,7,8,135,0,0,0,0,5,4,4,12,23,15,15,18,13,11,3,89,379,187,118,86,68,36,4,873,35,21,8,9,10,0,0,73,488,266,173,143,130,85,58,1350
IARE505011,0,3,7,12,15,28,16,85,61,29,28,20,17,14,11,177,0,0,0,4,8,3,0,18,0,0,0,0,0,0,5,11,0,3,10,18,25,16,26,105,0,0,0,4,9,6,20,45,0,0,0,0,4,5,5,25,0,0,0,3,4,5,3,19,26,53,49,33,27,21,4,211,0,0,0,0,3,0,4,10,39,18,13,14,20,21,14,139,413,194,147,82,43,19,9,898,44,116,213,133,52,8,10,581,566,395,446,279,177,79,66,2016
IARE505012,3,0,0,6,10,23,10,53,26,26,15,21,15,10,3,111,0,0,0,0,4,6,6,24,0,0,0,0,0,0,6,3,0,3,0,6,10,15,3,43,0,0,4,0,4,9,14,34,0,0,3,0,0,4,0,9,0,0,0,5,3,10,6,20,18,25,25,16,18,22,8,133,0,0,0,0,0,0,3,8,12,17,15,9,14,9,5,77,199,130,74,60,31,28,14,538,19,20,15,10,4,9,0,74,264,211,136,105,76,93,46,927
IARE505013,0,0,0,3,11,8,16,41,37,24,12,10,19,13,13,119,0,0,0,4,5,5,4,23,0,0,0,0,0,0,0,0,0,0,0,3,10,12,14,52,0,0,0,0,6,9,13,27,0,0,0,0,4,3,3,15,0,0,0,0,0,0,6,14,7,22,15,10,15,11,6,86,0,0,0,0,0,0,4,9,17,15,10,5,12,3,10,68,269,134,91,54,47,36,13,645,38,108,260,154,66,21,3,656,363,287,381,240,170,99,49,1594
IARE505014,0,0,3,7,11,17,15,55,21,40,30,19,21,9,8,149,0,4,0,3,0,8,4,17,0,0,0,0,0,0,0,8,0,4,0,7,13,17,18,56,0,3,0,8,3,0,14,33,0,0,0,0,5,0,8,14,0,0,0,7,5,6,9,21,3,60,56,34,27,12,4,198,0,0,0,0,5,0,3,5,13,21,13,9,14,13,10,95,193,196,127,66,65,28,20,693,12,11,3,10,5,3,3,54,247,303,209,132,129,82,75,1164
IARE505015,0,12,17,23,47,40,47,189,143,91,79,60,45,25,26,467,0,4,5,4,11,14,12,40,0,0,0,0,0,0,4,9,4,6,17,22,32,53,34,162,10,7,5,4,16,23,34,83,4,0,0,0,5,5,10,23,5,0,0,3,12,17,17,58,78,107,123,78,82,36,21,513,0,0,3,0,3,6,8,26,114,49,54,33,55,32,19,365,1030,373,287,204,102,63,25,2087,110,34,27,18,21,10,24,233,1430,620,535,378,289,201,131,3579
IARE505016,0,0,0,6,8,5,4,30,35,24,16,10,7,4,0,100,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,3,7,12,9,4,34,0,0,3,0,5,0,5,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,16,24,19,19,10,6,4,94,0,0,0,0,0,0,0,0,23,6,11,10,11,3,4,70,297,87,63,52,24,17,6,552,28,10,22,19,18,8,0,106,390,142,132,111,73,40,27,920
IARE505017,0,0,11,10,18,13,21,73,20,26,27,20,15,19,11,142,0,0,0,3,4,5,8,22,0,0,0,0,0,3,11,16,0,0,8,10,26,30,26,103,0,0,4,8,8,12,18,52,0,0,0,0,0,4,9,12,0,0,6,6,4,7,7,26,11,30,48,30,36,22,15,189,0,0,0,4,6,10,6,26,20,9,19,11,18,22,18,119,253,216,127,45,67,33,14,751,29,22,19,11,7,13,3,99,327,288,226,109,148,118,77,1297
IARE505018,0,0,7,15,34,51,44,157,71,55,66,62,44,44,25,359,0,0,4,9,9,16,19,48,0,0,0,0,0,0,11,16,0,6,16,28,40,54,54,198,0,3,3,3,19,39,39,111,4,0,0,0,6,11,15,34,3,0,3,5,13,23,22,64,32,84,101,71,67,44,12,414,0,0,0,0,9,3,9,23,40,31,41,30,40,31,19,230,527,340,274,147,143,62,30,1516,70,25,17,21,14,24,9,178,727,501,459,317,317,229,152,2699
IARE505019,4,8,18,31,41,71,67,229,198,86,88,65,70,59,31,599,0,0,0,6,12,17,15,56,0,0,0,0,3,0,7,13,4,4,13,35,57,107,60,287,0,8,4,9,22,59,59,165,9,0,0,6,10,14,16,53,4,0,0,3,8,33,15,66,59,104,140,92,72,59,16,554,0,0,0,5,4,13,17,50,129,59,61,52,45,47,29,428,1393,619,495,277,193,90,34,3105,154,86,99,64,39,30,8,477,1902,916,836,543,453,331,196,5170
IARE505020,0,6,9,8,23,33,29,105,71,38,29,37,21,28,10,238,0,3,0,4,5,6,4,21,0,0,0,0,0,0,5,5,0,0,8,18,20,45,29,119,0,0,0,5,7,25,23,66,3,0,0,0,4,5,5,18,4,0,4,0,0,8,14,34,25,66,65,45,30,22,7,256,0,0,0,0,5,5,6,14,55,22,24,17,15,13,15,162,559,261,183,91,67,47,16,1234,68,34,18,7,3,10,7,149,761,404,309,194,151,153,85,2061
IARE505021,0,3,5,14,17,26,25,92,89,49,38,31,26,10,8,250,0,0,6,5,3,8,8,28,0,0,0,0,4,0,0,5,0,0,8,17,22,24,21,88,4,0,4,7,3,18,14,55,0,0,0,8,5,6,6,17,5,0,4,3,7,5,9,30,23,46,50,30,33,19,8,207,0,0,3,0,0,3,3,8,52,28,19,14,24,7,10,163,610,201,166,115,55,29,8,1183,58,27,20,10,8,0,0,129,805,325,278,198,141,97,57,1910
