LGA_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
LGA54340,14,7,100,2839,540,270,17,823,397,4057
LGA54410,0,6,46,964,55,0,0,57,125,1138
LGA54480,0,0,0,420,20,0,0,20,47,491
LGA54550,3,3,54,1644,88,12,9,103,154,1901
LGA54620,0,9,18,705,24,6,0,29,111,847
LGA54690,0,0,6,349,3,4,0,6,12,361
LGA54760,0,0,11,670,14,3,0,19,84,769
LGA54830,40,21,416,32453,8980,909,146,10036,3374,45867
LGA54900,5,0,13,1105,74,3,0,75,80,1265
LGA54970,0,0,5,631,230,8,0,236,464,1333
LGA55040,0,0,3,902,170,10,5,186,500,1588
LGA55110,92,382,2707,78773,5991,520,67,6574,4957,90306
LGA55180,29,17,221,7854,515,77,9,601,639,9093
LGA55250,0,0,0,731,154,13,3,172,292,1200
LGA55320,463,277,3336,78738,19199,2114,164,21479,3309,103523
LGA55390,0,0,0,278,84,3,8,92,155,524
LGA55460,5,4,65,2603,147,15,0,159,353,3119
LGA55530,0,0,9,343,4,0,0,6,67,407
LGA55600,0,11,57,1931,89,3,5,97,267,2292
LGA55670,0,8,18,508,16,0,0,20,128,660
LGA55740,15,36,211,7397,1199,103,14,1311,459,9169
LGA55810,0,0,9,304,27,0,0,31,313,653
LGA55880,0,0,16,409,3,0,0,4,42,459
LGA55950,0,4,11,501,5,0,0,8,63,579
LGA56090,73,120,775,33392,2094,192,21,2302,3475,39166
LGA56160,0,0,0,83,13,0,0,13,7,101
LGA56230,44,36,409,16182,606,46,5,664,1229,18068
LGA56300,0,3,30,1294,47,0,0,48,195,1538
LGA56370,0,17,41,624,43,0,3,46,124,787
LGA56460,3,30,159,3848,390,38,5,428,501,4779
LGA56580,76,59,650,18036,3205,258,31,3498,603,22132
LGA56620,3,0,3,135,1039,84,19,1139,79,1358
LGA56730,15,31,237,9341,557,72,10,636,1386,11358
LGA56790,0,14,86,2708,89,8,3,100,420,3227
LGA56860,0,0,4,190,7,0,0,10,51,255
LGA56930,0,3,41,1377,157,5,0,164,59,1597
LGA57000,0,4,11,405,31,6,0,38,188,629
LGA57080,54,23,268,14938,9679,1098,101,10876,2657,28463
LGA57140,0,0,23,931,53,5,0,51,56,1037
LGA57210,3,30,117,4425,283,65,3,350,609,5388
LGA57280,8,4,33,10907,2270,171,35,2480,2296,15684
LGA57350,0,6,39,685,36,0,0,40,239,961
LGA57420,0,0,32,1752,125,9,0,135,196,2085
LGA57490,111,306,2083,116738,10449,1022,134,11606,7340,135678
LGA57630,0,0,0,67,3,0,0,3,37,109
LGA57700,22,13,249,26899,3283,291,40,3617,1652,32173
LGA57770,0,5,8,763,89,11,0,95,168,1031
LGA57840,147,207,1233,32305,8112,889,109,9113,1987,43405
LGA57910,1550,398,5894,153013,54228,8647,637,63510,9851,226369
LGA57980,53,46,439,13411,2778,270,35,3080,768,17267
LGA58050,317,197,1767,109433,31313,4811,377,36501,7045,152974
LGA58190,0,0,6,327,0,0,0,0,52,386
LGA58260,0,0,6,467,18,0,0,16,89,575
LGA58330,6,7,72,3932,145,17,0,166,502,4601
LGA58400,0,0,0,251,9,0,0,9,37,298
LGA58470,0,0,0,133,22,0,0,22,13,170
LGA58510,170,255,1022,25273,8187,940,114,9240,2373,36889
LGA58540,0,0,12,679,24,3,0,32,98,802
LGA58570,352,42,667,27361,6364,969,73,7410,1761,36537
LGA58610,0,3,47,1502,66,4,0,71,185,1761
LGA58680,0,0,9,428,11,0,0,13,97,535
LGA58760,406,268,2623,156289,37836,6394,388,44618,8208,209111
LGA58820,9,27,106,3645,225,33,3,258,331,4234
LGA58890,0,3,24,664,3,0,0,7,101,773
LGA59030,0,3,6,213,9,0,0,9,25,248
LGA59100,0,3,18,571,16,0,0,18,100,690
LGA59170,0,3,17,873,34,0,0,36,109,1021
LGA59250,0,0,0,223,135,3,0,140,176,535
LGA59310,0,0,20,1150,39,12,0,49,97,1297
LGA59320,0,0,3,387,16,0,0,20,50,448
LGA59330,0,0,9,406,21,0,0,24,41,470
LGA59340,0,13,25,5252,901,73,30,997,1229,7477
LGA59350,0,0,4,173,11,0,0,11,151,340
LGA59360,0,7,21,878,83,9,0,94,203,1173
LGA59370,0,12,108,3069,105,3,5,108,281,3459
LGA59499,0,18,30,4079,497,56,9,562,3411,8055
LGA59799,0,0,0,232,59,3,0,68,219,514
