LGA_CODE_2021,C11_Budh_0_14,C11_Budh_15_24,C11_Budh_25_34,C11_Budh_35_44,C11_Budh_45_54,C11_Budh_55_64,C11_Budh_65_74,C11_Budh_75_84,C11_Budh_85ov,C11_Budh_Tot,C11_C_Ang_0_14,C11_C_Ang_15_24,C11_C_Ang_25_34,C11_C_Ang_35_44,C11_C_Ang_45_54,C11_C_Ang_55_64,C11_C_Ang_65_74,C11_C_Ang_75_84,C11_C_Ang_85ov,C11_C_Ang_Tot,C11_C_As_Apo_0_14,C11_C_As_Apo_15_24,C11_C_As_Apo_25_34,C11_C_As_Apo_35_44,C11_C_As_Apo_45_54,C11_C_As_Apo_55_64,C11_C_As_Apo_65_74,C11_C_As_Apo_75_84,C11_C_As_Apo_85ov,C11_C_As_Apo_Tot,C11_C_Bap_0_14,C11_C_Bap_15_24,C11_C_Bap_25_34,C11_C_Bap_35_44,C11_C_Bap_45_54,C11_C_Bap_55_64,C11_C_Bap_65_74,C11_C_Bap_75_84,C11_C_Bap_85ov,C11_C_Bap_Tot,C11_C_Breth_0_14,C11_C_Breth_15_24,C11_C_Breth_25_34,C11_C_Breth_35_44,C11_C_Breth_45_54,C11_C_Breth_55_64,C11_C_Breth_65_74,C11_C_Breth_75_84,C11_C_Breth_85ov,C11_C_Breth_Tot,C11_C_Cath_0_14,C11_C_Cath_15_24,C11_C_Cath_25_34,C11_C_Cath_35_44,C11_C_Cath_45_54,C11_C_Cath_55_64,C11_C_Cath_65_74,C11_C_Cath_75_84,C11_C_Cath_85ov,C11_C_Cath_Tot,C11_C_Ch_Chr_0_14,C11_C_Ch_Chr_15_24,C11_C_Ch_Chr_25_34,C11_C_Ch_Chr_35_44,C11_C_Ch_Chr_45_54,C11_C_Ch_Chr_55_64,C11_C_Ch_Chr_65_74,C11_C_Ch_Chr_75_84,C11_C_Ch_Chr_85ov,C11_C_Ch_Chr_Tot,C11_C_E_Orth_0_14,C11_C_E_Orth_15_24,C11_C_E_Orth_25_34,C11_C_E_Orth_35_44,C11_C_E_Orth_45_54,C11_C_E_Orth_55_64,C11_C_E_Orth_65_74,C11_C_E_Orth_75_84,C11_C_E_Orth_85ov,C11_C_E_Orth_Tot,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot,C11_C_La_Da_Sai_0_14,C11_C_La_Da_Sai_15_24,C11_C_La_Da_Sai_25_34,C11_C_La_Da_Sai_35_44,C11_C_La_Da_Sai_45_54,C11_C_La_Da_Sai_55_64,C11_C_La_Da_Sai_65_74,C11_C_La_Da_Sai_75_84,C11_C_La_Da_Sai_85ov,C11_C_La_Da_Sai_Tot,C11_C_Luth_0_14,C11_C_Luth_15_24,C11_C_Luth_25_34,C11_C_Luth_35_44,C11_C_Luth_45_54,C11_C_Luth_55_64,C11_C_Luth_65_74,C11_C_Luth_75_84,C11_C_Luth_85ov,C11_C_Luth_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_Tot,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Se_da_Adv_0_14,C11_C_Se_da_Adv_15_24,C11_C_Se_da_Adv_25_34,C11_C_Se_da_Adv_35_44,C11_C_Se_da_Adv_45_54,C11_C_Se_da_Adv_55_64,C11_C_Se_da_Adv_65_74,C11_C_Se_da_Adv_75_84,C11_C_Se_da_Adv_85ov,C11_C_Se_da_Adv_Tot,C11_C_Uni_Ch_0_14,C11_C_Uni_Ch_15_24,C11_C_Uni_Ch_25_34,C11_C_Uni_Ch_35_44,C11_C_Uni_Ch_45_54,C11_C_Uni_Ch_55_64,C11_C_Uni_Ch_65_74,C11_C_Uni_Ch_75_84,C11_C_Uni_Ch_85ov,C11_C_Uni_Ch_Tot,C11_Chr_Ch_nfd_0_14,C11_Chr_Ch_nfd_15_24,C11_Chr_Ch_nfd_25_34,C11_Chr_Ch_nfd_35_44,C11_Chr_Ch_nfd_45_54,C11_Chr_Ch_nfd_55_64,C11_Chr_Ch_nfd_65_74,C11_Chr_Ch_nfd_75_84,C11_Chr_Ch_nfd_85ov,C11_Chr_Ch_nfd_Tot,C11_Chr_Oth_Ch_0_14,C11_Chr_Oth_Ch_15_24,C11_Chr_Oth_Ch_25_34,C11_Chr_Oth_Ch_35_44,C11_Chr_Oth_Ch_45_54,C11_Chr_Oth_Ch_55_64,C11_Chr_Oth_Ch_65_74,C11_Chr_Oth_Ch_75_84,C11_Chr_Oth_Ch_85ov,C11_Chr_Oth_Ch_Tot
LGA50840,4,0,3,8,9,11,3,0,0,48,183,69,65,122,204,251,213,82,41,1221,0,0,0,0,0,0,0,0,0,0,9,0,9,5,4,11,11,0,0,57,0,0,0,0,0,0,0,0,0,0,147,72,44,91,104,111,82,31,6,687,11,3,0,4,8,3,3,0,3,29,4,0,0,4,7,5,4,0,0,23,0,0,0,0,3,9,4,3,0,22,11,0,4,6,0,0,0,0,0,19,0,0,0,0,4,5,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,16,10,0,5,3,12,17,16,8,0,67,0,0,0,3,0,4,0,0,0,9,5,0,0,0,0,3,3,4,0,15,11,13,9,17,33,48,41,24,3,203,25,14,7,9,15,21,13,4,0,110,0,0,0,0,0,3,0,0,0,3
LGA50910,0,0,0,0,0,0,0,0,0,3,27,11,15,34,28,48,59,20,8,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,11,0,0,0,0,0,0,0,0,0,0,27,10,7,18,18,22,8,4,4,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,9,5,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,10,5,14,18,21,18,12,122,5,4,0,7,9,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0
LGA50980,27,15,51,36,32,29,0,0,0,182,261,109,240,371,330,298,155,37,10,1811,0,0,0,0,0,0,0,0,0,0,41,25,26,28,27,21,6,6,0,177,0,0,0,0,0,0,0,0,0,0,1272,709,740,717,621,404,142,71,14,4692,0,0,0,0,4,0,0,0,0,5,5,3,3,10,0,4,0,0,0,25,15,14,13,17,14,6,0,0,0,78,0,0,0,3,0,4,0,0,0,13,8,15,21,21,9,20,5,0,0,103,0,0,0,0,0,0,0,0,0,3,17,11,5,22,12,4,3,0,0,71,73,45,27,38,23,13,0,0,0,230,18,9,19,22,51,48,20,10,0,196,4,6,0,0,9,4,0,0,0,20,3,4,3,11,0,13,0,0,0,35,80,27,52,71,86,66,36,10,0,423,87,50,42,40,36,18,3,4,0,278,6,3,0,10,0,3,0,0,0,26
LGA51080,0,3,0,4,0,4,0,0,0,8,57,6,16,46,39,48,21,13,5,245,0,0,0,0,0,0,0,0,0,0,63,8,30,12,21,13,0,0,0,141,0,0,0,0,0,0,0,0,0,0,58,21,26,27,40,22,10,3,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,3,7,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,0,20,0,0,0,3,0,0,0,0,0,7,0,5,0,5,0,0,0,0,0,10,5,8,4,13,24,11,15,8,6,96,4,4,10,0,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,5,0,0,0,0,0,0,7,51,17,17,32,42,60,32,25,9,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,38,7,20,22,25,37,15,10,6,188,10,0,3,0,4,10,8,5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,3,0,0,19,4,0,0,0,0,0,0,0,0,9,3,0,5,3,0,4,0,0,0,12,4,3,3,12,14,14,10,4,0,58,4,5,3,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
LGA51190,40,37,50,72,45,57,9,0,0,303,742,631,526,841,1127,1203,852,612,282,6814,0,0,0,0,0,0,0,0,0,0,118,57,51,82,87,80,46,29,9,550,0,0,0,0,0,0,0,0,0,0,1253,915,941,951,1086,890,593,436,159,7233,12,3,7,19,11,27,20,20,3,122,13,17,14,17,33,37,15,19,11,175,35,34,26,25,42,35,28,13,7,236,64,17,28,14,15,21,11,4,0,180,33,14,18,21,22,27,22,18,11,183,0,0,0,0,0,0,0,0,0,0,14,9,13,8,10,11,9,4,0,81,49,21,29,28,21,21,10,7,3,190,33,13,38,40,94,109,93,56,20,504,11,9,8,15,26,21,11,6,9,118,23,13,11,18,20,9,13,16,3,129,89,78,67,103,199,232,201,139,49,1161,188,134,134,116,144,104,39,24,7,892,10,8,6,8,13,6,3,3,0,58
LGA51260,45,40,54,67,50,35,8,0,0,306,1131,551,462,1068,1236,1246,1055,715,242,7697,0,0,0,0,0,0,0,0,0,0,131,49,53,74,51,44,44,20,11,474,0,0,0,0,0,3,0,0,0,9,1307,660,568,890,814,655,478,261,62,5694,33,19,16,21,28,36,34,16,3,195,11,6,14,5,12,8,0,10,0,64,52,24,34,35,37,27,10,10,0,227,18,3,11,10,3,3,3,4,0,62,29,8,18,28,18,23,24,11,4,169,0,0,0,0,0,0,0,0,0,0,4,8,10,9,13,13,9,0,0,64,44,8,22,16,26,23,20,10,0,165,68,23,25,70,78,105,90,77,18,543,11,11,12,8,8,12,9,6,4,87,8,19,6,14,20,25,17,18,6,137,108,65,73,119,205,263,227,184,71,1308,271,128,111,149,149,109,64,23,7,1006,18,4,5,9,10,3,7,4,3,50
LGA51310,30,33,60,70,56,35,30,11,5,324,932,464,277,730,785,649,494,373,231,4944,0,0,0,0,0,0,0,0,0,0,30,29,19,23,43,30,20,10,3,205,0,0,0,0,0,0,0,0,0,0,1723,916,625,956,1085,665,474,412,196,7043,30,6,12,21,11,3,15,5,0,111,109,83,43,80,105,67,53,65,26,633,8,6,7,7,0,6,5,8,0,42,6,0,0,3,0,0,3,0,0,14,20,10,16,29,26,11,11,5,8,142,4,0,6,3,3,0,5,0,0,21,20,13,13,19,14,9,0,0,0,93,33,25,20,15,29,23,9,7,0,166,28,26,26,55,92,71,65,49,33,448,5,0,3,0,0,8,7,0,3,25,4,0,0,3,3,0,0,0,0,12,118,111,45,118,177,144,104,101,65,987,86,49,54,67,58,61,17,13,9,411,4,0,0,11,9,5,5,10,0,46
LGA51330,611,1180,971,650,713,582,206,74,28,5006,1327,1184,926,1501,2026,2143,1543,970,379,12000,0,0,0,0,0,0,0,0,0,0,420,373,286,271,302,261,152,70,23,2159,85,65,50,39,33,28,21,15,5,328,3396,3078,2405,2474,2737,2344,1399,900,343,19071,67,38,41,45,42,43,39,11,4,334,67,72,79,75,93,77,33,22,16,525,46,21,40,48,35,40,31,18,9,283,48,25,19,25,20,24,14,7,0,185,64,63,56,62,64,58,45,29,26,462,32,20,29,24,18,12,8,3,0,142,44,76,62,32,39,36,24,13,6,330,267,255,224,166,212,147,72,32,7,1385,283,339,220,261,394,366,229,166,46,2307,18,13,12,26,23,24,14,17,10,149,50,43,47,42,30,34,24,37,64,373,402,398,316,317,423,474,342,174,90,2942,564,617,526,390,394,324,109,44,12,2978,49,31,35,30,24,16,16,11,7,228
LGA51400,13,10,3,13,9,16,7,0,0,78,718,352,256,625,633,468,318,112,29,3490,0,0,0,0,0,0,0,0,0,0,62,36,31,42,44,35,11,5,0,257,0,0,0,0,0,0,0,0,0,0,846,380,342,478,398,284,132,57,11,2931,15,13,3,9,3,8,0,0,0,57,15,7,5,6,8,8,0,0,0,54,17,9,8,20,9,13,6,4,0,96,42,8,12,10,4,6,0,0,0,78,81,19,16,36,34,17,17,6,0,217,0,0,0,0,0,0,0,0,0,0,11,3,0,12,0,0,0,0,0,29,33,8,11,19,11,4,7,0,0,98,91,20,24,57,87,61,36,12,0,379,5,0,4,3,6,0,3,0,0,21,11,12,15,5,11,7,3,6,0,64,78,38,41,71,117,82,65,30,3,535,155,55,59,94,73,52,8,0,0,502,13,3,4,8,0,0,0,0,0,31
LGA51470,0,0,0,0,0,0,0,0,0,0,19,14,14,14,28,35,22,7,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,10,14,9,16,15,5,0,0,99,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,0,20,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,4,4,13,12,4,0,0,45,9,0,0,4,0,5,4,0,0,13,0,0,0,0,0,0,0,0,0,0
LGA51540,39,13,23,39,30,21,3,0,0,164,112,45,71,126,174,180,120,50,8,882,0,0,0,0,0,0,0,0,0,0,10,0,11,9,8,4,10,0,3,50,0,0,0,0,0,0,0,0,0,0,419,169,187,248,242,208,129,46,7,1646,25,7,9,21,22,17,8,4,0,119,0,4,0,7,0,8,3,0,0,24,10,3,4,10,13,9,7,4,0,51,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,4,3,4,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,17,4,3,3,5,7,9,0,0,0,30,11,3,3,14,18,25,25,6,3,109,0,0,0,0,0,3,3,0,0,10,4,0,9,0,0,6,3,0,0,22,16,11,17,18,28,30,21,14,0,152,46,12,19,20,16,18,4,0,0,131,0,0,0,0,0,0,3,0,0,3
LGA51610,0,3,0,0,0,0,0,0,0,7,48,20,29,38,54,78,45,15,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,92,19,28,41,36,43,19,7,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,0,3,9,4,0,0,22,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,16,0,4,0,36,7,0,0,0,0,7,4,0,0,26,0,0,0,0,0,0,0,0,0,0
LGA51680,0,0,0,4,7,3,0,0,0,23,192,95,53,175,236,199,188,42,13,1197,0,0,0,0,0,0,0,0,0,0,6,9,4,5,14,12,7,5,0,55,0,0,0,0,0,0,0,0,0,0,183,119,62,148,139,123,72,22,4,860,0,0,0,4,0,0,0,0,0,11,3,0,3,3,4,4,0,0,0,12,0,0,0,6,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,8,4,0,11,0,0,0,0,31,14,5,0,12,17,24,9,5,0,89,0,3,0,7,0,9,0,0,0,19,3,0,0,0,0,0,3,0,0,11,25,19,11,19,44,31,31,13,4,189,41,16,18,19,29,15,11,5,0,148,0,0,0,0,0,0,0,0,0,0
LGA51710,33,31,30,52,63,113,33,8,0,350,11,5,9,6,24,13,4,0,0,81,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,27,16,11,29,37,20,3,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,9,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,11,3,0,0,25,15,7,5,10,0,5,0,0,0,40,0,0,0,0,0,0,0,0,0,0
LGA51750,5,34,16,15,14,24,6,7,0,116,296,244,148,221,347,358,352,228,177,2374,0,0,0,0,0,0,0,0,0,0,12,10,10,17,11,3,0,8,0,79,0,0,0,0,0,0,0,0,0,0,420,261,209,235,281,229,182,92,53,1967,13,6,0,8,3,0,4,4,0,35,14,10,8,12,14,5,4,5,3,70,0,0,4,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,3,0,12,7,8,4,5,46,0,0,3,0,0,0,0,0,0,9,5,7,8,3,4,4,0,0,0,25,8,7,8,11,7,7,4,0,0,51,20,37,13,24,40,39,35,28,16,245,0,0,0,0,0,0,0,0,0,5,0,4,0,4,0,0,0,0,0,6,80,67,25,50,58,74,69,59,26,507,15,25,11,8,16,25,19,5,4,126,0,0,0,0,0,3,3,0,0,10
LGA51820,205,175,387,318,224,207,59,25,0,1599,2149,1297,1528,2463,2410,2170,1384,810,299,14514,0,0,0,0,0,0,0,0,0,0,386,249,250,233,243,167,90,49,14,1672,17,11,7,11,3,0,0,3,0,69,6365,3927,4125,4642,4042,2998,1926,1187,330,29538,23,27,19,24,24,26,15,11,0,172,198,162,217,223,184,144,95,42,11,1279,69,42,42,48,42,51,30,13,4,340,43,17,19,17,17,20,14,7,0,152,58,41,57,63,48,32,39,24,3,364,10,4,14,8,8,0,0,0,0,46,58,39,57,57,57,28,23,9,0,337,272,171,154,167,179,79,46,20,9,1103,184,123,185,266,353,261,235,113,33,1760,14,17,19,29,26,25,23,18,3,182,23,20,25,17,23,9,3,4,4,135,353,233,264,318,358,347,222,132,61,2295,607,428,460,427,293,199,74,41,9,2539,39,20,27,26,29,20,5,4,0,170
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51890,8,0,14,11,7,6,4,0,0,46,266,196,148,290,384,371,236,112,37,2049,0,0,0,0,0,0,0,0,0,0,29,12,23,23,18,26,12,5,0,150,0,0,0,0,0,0,0,0,0,0,369,251,231,280,327,285,130,108,41,2011,0,0,3,4,7,20,13,8,0,54,0,0,3,5,3,3,3,0,0,13,12,6,9,4,10,11,4,3,0,60,7,0,0,0,6,0,0,0,0,22,0,0,5,7,10,6,9,3,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,19,7,0,0,0,6,11,5,3,0,36,4,3,3,9,27,33,17,11,3,117,4,3,4,14,10,10,5,3,5,57,7,0,5,4,5,4,3,0,0,24,38,29,22,41,66,96,71,52,23,428,35,23,17,26,14,21,4,3,0,154,8,0,6,4,0,4,0,0,0,23
LGA51960,4,4,10,7,0,4,0,0,0,32,127,56,74,118,113,90,32,11,0,621,0,0,0,0,0,0,0,0,0,0,17,11,7,7,19,9,0,0,0,77,4,0,0,0,0,3,0,0,0,10,152,106,119,115,88,71,41,10,4,696,31,14,7,10,13,12,0,0,0,91,0,4,3,6,0,6,0,0,0,17,8,7,3,8,3,5,4,0,0,43,8,0,0,0,3,0,0,0,0,19,3,7,3,5,11,8,0,4,0,45,0,0,0,0,0,0,0,0,0,0,11,4,8,0,3,0,5,0,0,30,27,4,12,5,5,11,0,0,0,66,12,4,7,17,12,17,6,0,0,77,0,0,3,0,3,0,0,0,0,10,3,0,0,0,0,0,0,0,0,8,25,19,10,21,22,30,15,0,4,142,31,15,26,18,8,8,3,0,0,104,7,4,7,8,0,0,0,0,0,21
LGA52030,0,0,0,0,3,0,0,0,0,9,43,6,18,42,47,79,55,20,3,325,0,0,0,0,0,0,0,0,0,0,8,0,3,5,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,20,16,8,33,34,30,28,6,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,3,5,4,7,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,5,13,11,15,10,0,67,3,0,0,0,4,8,0,0,0,14,0,0,0,0,0,0,0,0,0,3
LGA52100,0,0,0,0,0,0,0,0,0,0,47,14,37,36,58,67,42,25,17,339,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,20,17,22,25,34,33,10,14,6,177,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,5,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,17,15,28,22,14,3,129,0,5,0,5,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0
LGA52170,9,0,12,10,12,21,3,0,0,68,334,202,195,225,275,311,252,121,66,1978,0,0,0,0,0,0,0,0,0,0,7,9,6,3,7,6,10,4,0,47,0,0,0,0,0,0,0,0,0,0,317,203,203,197,240,186,101,58,21,1535,0,0,0,0,4,0,0,0,0,11,20,6,7,6,11,14,9,3,0,81,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,5,4,4,13,4,4,6,0,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,4,5,3,10,0,0,0,26,9,17,13,26,33,38,26,12,13,190,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,37,41,17,34,43,54,42,20,4,294,27,3,11,4,9,23,3,4,3,90,0,0,0,0,0,0,0,0,0,10
LGA52240,0,0,0,0,0,0,0,0,0,6,42,13,27,45,55,57,49,21,5,314,0,0,0,0,0,0,0,0,0,0,14,6,5,4,3,18,7,0,4,74,0,0,0,0,0,0,0,0,0,0,32,6,17,30,14,22,6,5,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,3,0,0,0,4,5,3,0,0,21,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,13,0,4,0,3,6,11,0,5,0,33,9,8,4,0,3,3,5,5,0,28,0,0,0,0,0,0,0,0,0,0
LGA52310,0,0,0,0,0,0,0,0,0,0,27,8,6,30,33,47,30,8,0,194,0,0,0,0,0,0,0,0,0,0,14,5,8,5,5,9,8,0,0,66,0,0,0,0,0,0,0,0,0,0,42,14,10,12,20,10,14,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,3,10,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4,0,8,15,3,8,13,13,15,12,9,3,84,0,0,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0
LGA52380,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,8,15,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,3,3,21,8,0,0,57,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,17,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0
