LGA_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
LGA50840,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,9,0,0,3,0,0,0,0,3,25,7,9,9,7,4,0,0,0,0,0,0,0,46,0,3,13,9,6,4,0,0,0,0,0,0,34,0,0,7,3,0,4,0,0,0,0,0,4,16,0,0,8,15,3,9,0,0,0,0,0,0,38,0,0,3,5,7,8,4,0,0,0,0,0,37,0,0,0,6,9,9,0,0,0,0,0,4,32,0,0,3,4,4,7,3,0,0,0,0,0,21,0,4,3,4,6,7,8,0,0,0,0,0,32,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,6,3,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,4,0,0,0,0,0,0,0,0,16,0,3,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0
LGA50980,4,4,7,3,0,0,3,0,3,4,0,10,35,13,7,5,0,0,0,0,0,0,0,0,5,28,44,27,18,9,3,0,8,3,0,0,0,11,123,29,38,18,19,6,6,5,0,0,0,0,8,128,15,15,17,6,10,6,7,10,0,0,0,10,87,28,15,16,3,3,3,3,6,3,0,3,12,103,30,14,18,17,7,19,11,16,13,0,5,18,165,26,13,26,24,12,23,16,15,11,4,14,7,187,21,10,17,20,23,13,15,25,9,8,15,13,191,27,7,26,32,13,8,16,15,18,7,14,11,191,24,19,27,41,10,15,22,38,28,29,34,19,306,14,13,26,29,12,10,14,33,27,29,38,16,249,7,7,26,60,7,19,8,15,23,23,60,21,286,6,9,16,39,10,3,3,15,16,23,54,19,207,3,5,4,6,5,5,3,3,5,10,37,3,91,12,14,20,41,11
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,3,4,0,5,4,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0
LGA51190,0,0,3,3,0,5,7,3,0,0,0,10,46,7,11,10,10,4,8,4,0,0,0,0,0,54,46,54,36,29,15,35,21,0,0,0,0,18,250,59,78,58,49,27,34,38,3,0,0,4,17,362,5,24,56,85,61,101,78,7,0,0,0,12,442,3,7,64,20,10,27,15,7,0,0,0,7,162,3,13,26,67,56,132,115,27,0,0,7,12,453,8,4,22,38,55,123,100,14,0,0,0,6,370,0,0,12,26,55,118,160,23,4,0,5,10,410,3,0,10,25,41,80,135,30,9,4,7,3,344,0,6,10,22,34,113,164,60,7,9,0,8,450,0,0,9,9,15,56,84,41,11,4,0,3,221,0,0,6,3,9,37,84,63,35,25,18,10,284,0,0,3,4,4,23,56,38,17,7,6,0,163,0,0,0,0,0,6,16,16,7,3,0,0,57,0,7,25,20,18
LGA51260,0,0,0,4,3,6,5,7,0,0,0,3,38,3,3,0,0,0,5,6,0,0,0,0,0,31,10,26,28,24,7,23,20,11,0,0,0,4,158,33,54,32,26,23,37,35,7,0,0,7,8,265,0,21,67,36,26,72,81,5,0,0,0,10,333,3,6,48,15,7,25,42,12,0,0,4,3,168,4,5,38,41,36,59,128,16,3,0,0,7,340,3,0,28,26,34,72,100,33,4,0,0,14,316,0,0,21,20,14,56,113,42,6,0,0,11,278,4,0,9,10,15,46,146,45,3,3,0,10,294,3,5,15,18,17,67,149,90,3,0,6,13,378,0,0,7,5,10,24,71,55,6,0,0,12,180,0,0,3,0,0,7,51,53,10,0,0,6,147,0,0,0,5,3,10,24,36,4,0,3,0,88,0,0,0,0,0,0,4,11,3,0,5,0,26,0,5,14,24,19
LGA51310,0,0,0,0,3,0,10,4,0,0,6,6,33,0,0,4,0,0,3,0,0,0,0,0,0,15,0,6,4,8,3,12,0,3,0,3,8,3,46,5,9,3,12,0,7,4,10,3,0,0,6,56,6,0,5,8,8,15,15,8,0,0,0,4,69,0,0,0,4,3,3,3,3,5,0,0,0,32,0,0,4,4,8,23,17,14,6,3,0,3,93,0,0,3,10,13,34,32,19,11,3,3,0,138,0,0,4,4,7,24,45,26,9,7,6,0,139,0,0,5,5,4,24,34,33,11,7,3,0,121,0,0,0,4,7,33,46,53,37,8,16,3,203,0,0,0,0,6,14,25,38,37,10,17,7,155,0,0,0,3,4,9,33,47,61,40,118,3,316,0,0,0,6,5,8,14,35,42,33,59,0,196,0,0,0,0,0,4,3,22,28,22,57,4,136,0,0,0,3,5
LGA51330,9,4,22,20,4,12,42,80,44,13,15,25,280,21,12,12,11,0,4,14,22,8,3,0,14,128,57,113,49,20,12,21,48,48,13,0,14,25,422,90,169,49,34,16,25,55,55,14,3,7,26,546,11,38,59,51,27,47,118,76,9,5,4,14,459,6,8,69,27,15,26,48,49,10,0,3,15,271,12,22,56,65,35,60,174,160,35,4,3,25,647,0,6,46,36,31,72,216,228,31,6,8,16,705,6,5,29,44,33,68,247,278,45,7,9,13,788,0,3,20,17,20,39,197,291,47,11,10,16,672,8,5,19,24,22,52,260,425,77,8,10,26,931,0,0,14,14,14,55,150,313,70,11,11,14,665,3,0,12,8,12,24,109,248,78,21,21,8,554,5,0,8,7,4,11,48,147,81,20,14,8,350,0,0,5,5,0,3,23,56,35,11,17,8,152,3,7,35,28,28
LGA51400,0,0,3,0,0,0,0,5,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,8,3,6,3,0,0,3,4,3,0,0,0,4,30,4,18,21,4,4,5,6,3,0,0,0,0,66,0,9,11,7,4,15,10,0,0,0,0,0,57,0,0,15,0,3,3,0,0,0,0,0,0,23,0,3,8,9,7,10,23,12,0,0,0,5,79,0,0,10,10,0,8,24,12,0,0,0,5,69,0,0,3,7,0,5,22,17,0,0,0,0,73,0,0,0,0,5,4,27,34,4,0,3,3,83,0,0,0,3,3,5,42,58,4,3,0,5,123,0,0,3,6,5,5,16,40,3,0,0,0,76,0,0,0,4,0,3,24,57,9,0,4,0,103,0,0,0,0,0,4,15,29,3,0,0,0,56,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,5,3,3
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
