LGA_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
LGA50840,27,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,4,3,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,53,53,4,0,5,4,4,24,79,78,65,80,53,92,486,0,0,5,0,4,12,13,9,0,0,0,6,42,0,0,0,12,3,11,10,0,0,0,0,6,42,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,12,4,15,5,0,0,0,0,10,54,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,23,12,40,34,4,3,0,0,24,152,20,14,22,82,128,213,248,167,117,144,89,180,1438
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,9,24,10,9,9,13,24,84,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,4,19,3,0,6,15,18,36,45,23,11,19,18,31,229
LGA50980,57,0,0,0,0,0,0,8,3,0,9,0,5,34,0,0,0,0,0,0,0,0,0,3,4,8,18,3,3,4,27,24,26,18,10,5,0,6,24,145,0,0,0,0,0,0,4,0,0,7,4,160,172,7,6,3,33,37,63,157,187,181,348,335,283,1634,0,0,6,6,8,35,76,61,13,18,10,36,256,0,0,7,11,22,34,29,5,3,0,3,11,133,0,0,5,3,0,0,5,5,0,4,0,10,26,0,0,8,9,5,10,0,0,0,0,0,0,38,6,6,60,69,23,50,28,6,4,0,4,43,306,0,0,0,0,0,0,0,0,0,0,0,31,34,8,6,81,93,60,129,145,81,21,24,22,129,798,35,17,93,156,153,281,436,425,377,623,523,613,3727
LGA51080,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,7,14,15,12,13,16,19,107,0,0,0,0,0,3,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,3,3,0,12,7,4,0,0,0,14,44,3,3,6,9,14,36,53,35,21,26,27,48,272
LGA51120,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,20,22,4,12,11,23,94,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,0,0,0,0,3,22,0,3,0,12,27,24,37,27,19,21,24,34,225
LGA51190,147,0,0,0,0,3,7,12,14,5,10,3,4,55,0,0,0,0,0,0,3,7,0,10,3,7,27,0,0,7,20,24,46,43,16,4,8,0,15,197,0,0,0,0,0,0,0,0,0,0,0,259,258,7,0,5,28,45,177,513,391,352,504,412,404,2834,0,0,0,8,11,113,137,80,24,30,14,50,478,0,0,15,59,71,126,97,10,11,5,4,24,435,0,0,0,8,13,15,18,8,4,0,0,7,69,0,0,13,29,7,9,6,3,0,0,0,4,81,17,3,48,157,75,169,104,26,13,8,8,57,685,0,0,0,0,0,3,0,0,0,0,0,6,12,23,3,81,264,178,440,356,135,56,38,29,158,1760,84,27,122,472,680,1200,1627,951,700,888,716,853,8331
LGA51260,187,0,0,0,0,0,0,11,10,11,7,12,6,62,3,0,0,0,0,0,10,9,6,6,7,11,49,5,0,3,11,10,35,55,14,9,0,8,31,183,0,0,0,0,0,0,0,0,0,0,0,545,551,20,3,4,27,46,178,699,592,548,716,666,824,4315,0,0,0,3,22,95,136,68,21,17,15,66,447,0,0,15,63,87,165,97,24,17,7,7,30,515,0,0,0,6,8,12,11,3,4,0,3,10,54,0,0,7,11,8,6,4,0,0,0,0,3,40,20,0,25,92,47,121,52,19,4,0,5,37,429,0,0,0,0,0,0,0,0,0,0,0,9,8,19,9,44,178,178,402,308,119,47,31,24,150,1497,111,53,116,445,798,1482,2082,1281,975,1149,1058,1444,10983
LGA51310,154,0,0,0,0,0,0,0,0,0,3,9,7,20,0,0,0,0,0,0,0,0,4,3,18,4,36,5,3,0,0,4,12,29,16,20,18,42,8,167,0,0,0,0,0,0,0,0,0,4,4,199,210,12,8,7,8,11,48,161,189,228,516,2521,383,4088,0,0,0,3,0,16,61,48,25,37,83,25,300,0,0,6,8,10,38,53,17,7,9,13,23,193,0,0,0,0,4,4,4,0,0,0,4,0,13,0,0,4,7,0,4,5,0,0,0,0,0,20,18,0,10,18,14,42,39,21,16,5,8,20,205,0,0,0,0,0,0,0,0,0,0,0,0,5,18,6,18,39,31,103,155,85,48,54,109,70,740,69,33,42,129,144,417,760,530,482,935,3469,648,7672
LGA51330,779,0,0,0,5,0,25,34,18,11,13,15,16,137,0,0,0,0,0,5,10,4,11,19,10,14,86,44,20,38,59,44,142,230,88,60,83,46,68,921,0,0,0,0,0,8,13,5,0,3,0,805,840,54,19,71,152,163,751,2088,1730,1401,2264,2587,1309,12600,0,0,0,16,18,154,327,210,87,111,86,81,1100,3,4,24,83,75,200,184,68,33,21,16,68,784,0,0,3,11,4,19,16,8,4,4,0,16,87,10,3,15,31,20,32,23,3,3,0,0,14,152,68,15,62,173,99,264,170,70,51,27,23,113,1141,0,0,0,0,0,3,4,4,0,0,0,41,49,82,24,114,315,222,670,726,361,170,171,127,326,3307,402,143,310,878,1239,2708,4594,3144,2292,3234,3412,2227,24575
LGA51400,64,0,0,0,0,0,0,3,3,4,0,3,3,23,0,0,0,0,0,0,0,0,4,5,5,3,24,0,0,4,4,9,15,24,5,8,6,4,9,95,0,0,0,0,0,0,3,0,0,0,0,277,285,0,4,4,16,19,67,302,347,319,452,405,447,2395,0,0,0,9,3,28,88,55,13,18,9,28,248,0,0,6,33,29,59,42,9,5,3,0,18,211,0,0,0,0,0,8,6,3,3,3,0,0,34,0,0,3,12,0,3,3,3,0,0,0,0,39,5,6,16,47,24,48,43,7,3,3,0,22,226,0,0,0,0,0,0,0,0,0,0,0,9,7,3,7,32,101,61,150,186,80,25,27,11,75,761,39,24,58,190,277,472,830,666,512,672,601,707,5058
LGA51470,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,4,3,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,13,0,0,7,6,4,16,37,13,8,14,6,23,130
LGA51540,22,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,8,10,17,9,5,0,0,0,5,48,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,3,8,8,29,58,58,51,68,48,75,408,0,0,0,0,0,11,22,9,6,0,0,4,64,0,0,8,7,7,5,6,0,0,0,0,5,40,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,7,3,3,4,0,0,0,0,0,0,13,0,0,10,19,11,19,18,3,3,3,0,9,93,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,17,27,25,44,38,15,9,3,4,26,219,8,9,26,56,86,118,201,131,107,131,95,161,1135
LGA51610,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,23,26,0,0,0,0,0,3,15,23,21,32,36,40,179,0,0,0,0,0,0,4,0,3,0,0,0,8,0,0,3,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,5,0,0,0,0,8,37,3,3,3,19,18,40,62,40,56,51,54,67,420
LGA51680,25,0,0,0,0,0,0,5,0,0,9,0,0,14,0,0,0,0,0,0,0,0,3,3,0,5,7,0,0,0,0,0,5,11,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,102,102,3,0,3,0,0,24,92,76,89,144,136,158,738,0,0,0,0,3,13,17,8,3,3,8,7,63,0,0,0,9,4,6,8,3,0,0,0,0,32,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,10,0,11,4,4,4,0,0,10,52,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,7,15,4,36,39,18,12,3,10,25,165,24,9,15,53,89,173,244,172,158,240,218,268,1664
