LGA_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
LGA50840,868,18,0,0,21,7,895,311,12,0,0,12,6,327,316,14,0,0,14,11,342,491,15,0,0,18,10,523,639,28,0,0,28,7,670,725,30,0,0,32,20,773,502,19,0,0,19,13,538,178,13,0,0,9,0,188,60,3,0,0,3,3,61,4089,146,7,0,148,84,4322,745,17,0,0,17,61,821,357,9,0,0,9,25,387,266,11,0,0,9,25,303,453,22,0,0,22,31,507,591,28,4,0,34,65,693,742,30,3,4,31,54,831,666,25,0,0,25,43,737,257,10,0,0,15,33,297,79,3,0,0,6,8,90,4155,143,10,0,162,348,4661,764,35,3,4,43,62,867,375,8,0,0,9,30,413,329,23,0,0,21,24,381,464,24,0,0,27,47,537,613,20,0,0,21,62,699,813,24,0,0,24,55,896,832,28,0,0,30,58,922,391,8,0,0,7,28,426,89,5,0,0
LGA50910,178,0,0,0,0,4,183,59,0,0,0,0,0,61,75,0,0,0,0,6,83,118,3,0,0,3,6,132,115,0,0,0,0,6,118,124,3,0,0,3,9,136,113,7,0,0,7,5,117,56,0,0,0,0,9,63,24,0,0,0,0,12,33,859,12,0,0,12,62,935,154,3,0,0,4,15,169,65,7,0,0,7,7,77,68,3,0,0,3,4,80,84,5,0,0,5,4,99,137,7,0,0,3,14,156,103,3,0,0,3,19,121,126,5,0,0,5,23,151,61,0,0,0,4,13,79,19,0,0,0,0,22,40,826,28,3,0,33,112,974,130,3,0,0,5,25,161,54,0,0,0,0,14,68,55,6,0,0,6,4,67,81,8,0,0,10,12,102,118,11,0,0,11,13,137,112,0,0,0,3,14,134,123,0,0,0,0,6,133,82,0,0,0,4,5,90,40,0,0,0
LGA50980,2979,260,45,12,318,326,3624,1479,199,13,0,212,200,1887,1992,268,30,0,302,306,2595,1996,237,18,4,258,286,2538,1729,190,11,3,206,201,2133,1229,90,12,0,104,134,1464,432,39,4,0,47,47,528,150,17,9,0,31,13,187,32,4,9,0,11,0,41,12013,1308,152,25,1482,1502,14997,3059,320,80,13,411,414,3883,1272,260,16,3,284,194,1745,2037,411,40,5,460,372,2870,1927,313,10,5,325,343,2596,1712,229,9,9,246,257,2215,1479,128,7,5,136,230,1847,622,41,11,4,50,99,777,164,24,9,0,34,37,229,37,0,3,0,7,17,58,12310,1726,182,43,1954,1961,16217,3036,400,56,20,466,483,3994,1338,270,5,3,279,251,1869,1888,551,23,0,579,421,2890,1988,376,11,5,395,326,2707,1744,228,11,5,244,367,2353,1395,173,0,0,179,254,1828,763,60,8,0,72,117,953,228,12,8,0,23,39,289,50,3,6,0
LGA51080,282,13,5,0,16,13,311,81,4,0,0,4,4,94,122,3,0,0,3,3,133,138,8,0,0,4,13,155,177,4,0,0,4,10,188,127,3,0,0,3,0,134,74,0,0,0,0,0,72,37,0,0,0,0,0,37,11,0,0,0,0,0,14,1054,38,7,0,43,42,1139,233,7,4,0,8,29,277,84,0,0,0,0,10,92,114,8,0,0,8,19,141,121,3,0,0,3,9,132,142,8,0,0,8,10,158,142,8,0,0,8,23,170,79,0,0,0,0,16,96,48,0,0,0,0,14,64,9,0,0,0,0,3,14,974,34,4,0,35,132,1142,184,12,0,0,12,36,228,83,0,0,0,0,13,95,99,5,0,0,5,11,114,104,11,0,0,11,8,125,107,0,0,0,0,18,129,160,0,0,0,0,17,179,98,0,0,0,0,12,104,45,0,0,0,0,9,52,13,0,0,0
LGA51120,218,3,5,0,5,7,235,66,3,0,0,9,4,72,85,3,0,0,3,5,91,117,0,0,0,0,4,127,116,5,0,0,5,0,128,159,5,0,0,5,3,160,69,0,0,0,0,9,81,52,4,0,0,4,8,56,19,3,0,0,3,3,26,898,31,3,0,36,38,970,167,7,3,0,4,13,187,51,0,0,0,0,4,58,75,7,0,0,7,7,98,92,0,0,0,0,3,99,94,7,0,0,7,14,113,140,3,0,0,4,9,150,118,3,0,0,3,17,136,58,4,0,0,4,4,64,15,0,0,0,0,0,19,818,30,3,0,37,72,926,157,3,3,0,8,18,181,62,9,0,0,9,14,87,77,6,0,0,6,7,88,90,6,0,0,6,13,111,99,3,0,0,7,15,123,115,5,0,0,5,28,143,129,0,0,0,0,27,155,54,3,0,0,5,16,72,18,0,0,0
LGA51190,4799,253,95,6,354,360,5501,3727,172,14,0,193,325,4246,3456,461,35,0,496,363,4325,3382,386,36,3,425,340,4145,3816,291,32,3,324,279,4423,3465,216,25,5,248,205,3913,2167,145,22,0,165,122,2456,1411,128,43,0,172,78,1662,544,66,23,0,89,39,679,26772,2111,320,26,2463,2118,31348,4677,406,100,13,519,350,5541,3060,238,23,9,267,273,3599,3144,574,75,14,658,401,4208,3046,543,36,5,584,370,4001,3582,336,33,6,369,364,4317,3763,217,20,5,237,318,4317,2816,175,18,5,198,245,3267,1513,112,26,4,140,153,1804,709,56,33,0,90,80,874,26307,2651,355,51,3063,2550,31920,4660,389,82,19,489,295,5449,3097,210,12,0,221,227,3544,3150,501,74,0,571,490,4214,3046,562,31,3,593,405,4053,3549,368,40,0,406,340,4290,3932,238,32,0,272,244,4440,3484,165,24,0,187,210,3875,1904,118,18,3,137,112,2158,800,54,27,0
LGA51260,6022,186,55,8,250,271,6549,2990,86,15,3,108,135,3225,2912,187,22,3,216,153,3281,3998,205,15,3,223,201,4421,3866,129,9,0,136,157,4158,3542,90,7,0,94,152,3790,2469,74,4,0,83,114,2661,1513,54,5,0,60,89,1658,483,12,7,0,22,85,581,27795,1033,136,23,1190,1353,30331,6715,264,66,5,338,417,7478,3223,131,24,4,160,208,3586,3118,326,42,0,375,287,3774,4273,324,25,3,354,318,4945,4375,217,19,5,240,340,4954,4259,127,12,4,143,329,4725,3837,103,10,0,113,298,4246,1872,53,5,0,59,189,2127,719,31,0,0,31,100,852,32396,1591,204,21,1818,2478,36688,6823,348,78,21,447,350,7621,3337,144,18,0,159,161,3663,3122,375,39,0,414,276,3812,4364,461,17,0,483,321,5162,4890,286,31,0,317,302,5504,4903,154,14,0,174,278,5355,5119,114,7,0,129,260,5509,2692,73,9,0,81,194,2960,940,41,0,0
LGA51310,4530,385,73,8,470,136,5141,2855,284,13,3,303,108,3256,1894,516,23,6,538,135,2575,2993,473,26,4,508,118,3622,3284,417,24,7,446,114,3843,2326,259,13,0,277,118,2723,1417,202,14,4,225,57,1699,1051,170,34,0,209,53,1312,576,89,14,0,102,61,743,20926,2789,239,36,3065,901,24895,4745,547,133,8,695,183,5632,2767,318,15,0,333,120,3211,2036,576,18,7,602,212,2845,2733,666,30,8,699,180,3611,3349,475,18,3,498,175,4026,2632,333,29,0,362,143,3139,1628,206,21,4,231,109,1975,1094,192,31,4,230,120,1437,677,75,17,0,91,63,832,21659,3392,324,37,3749,1305,26709,4735,727,89,28,844,76,5652,3048,347,4,0,350,53,3456,2155,539,12,0,555,126,2837,2772,837,37,0,874,97,3743,3654,613,27,0,634,109,4391,3124,365,33,0,401,86,3602,2212,266,40,0,307,98,2616,1330,178,35,0,218,58,1608,778,128,31,0
LGA51330,9645,3365,999,114,4475,600,14726,9004,5312,409,63,5778,772,15560,6785,5078,447,53,5582,708,13084,6703,3476,545,31,4054,431,11181,7753,2796,479,19,3286,375,11412,6985,1831,422,23,2281,316,9579,4210,780,289,13,1082,181,5470,2469,387,201,3,589,152,3212,995,135,84,0,218,79,1288,54551,23154,3884,321,27361,3603,85514,9080,4617,1432,119,6164,600,15850,7741,5707,430,31,6167,612,14518,6013,7273,795,35,8105,802,14922,5660,5272,707,27,6006,509,12172,6554,3600,624,23,4243,453,11245,6562,2129,596,20,2746,369,9676,4917,1180,401,13,1587,297,6805,2486,488,270,3,760,195,3444,1072,199,112,0,317,159,1549,50088,30472,5365,265,36100,3999,90187,9193,6113,1259,308,7680,525,17402,7524,5529,168,11,5711,472,13703,5877,7724,512,24,8261,743,14885,5605,7135,748,20,7907,517,14030,6123,4404,813,10,5233,396,11751,6483,2556,749,7,3310,326,10116,5604,1644,668,7,2316,176,8086,3168,643,317,0,959,169,4299,1173,190,135,0
LGA51400,3564,185,24,3,211,248,4028,1624,88,0,0,88,83,1794,1411,116,6,0,119,80,1618,2121,194,0,0,198,125,2447,1916,132,5,0,134,92,2146,1368,59,3,0,61,65,1495,728,26,3,0,27,28,789,242,10,0,0,15,11,274,42,0,0,0,5,7,59,13022,812,46,4,869,745,14636,3663,239,33,5,283,207,4152,1951,153,3,0,161,110,2216,1535,200,19,5,222,115,1873,2058,285,3,0,285,129,2476,2241,243,7,5,257,158,2654,1692,95,12,0,106,110,1908,1157,59,4,3,63,75,1294,391,16,0,0,19,32,441,92,8,0,0,8,7,102,14770,1302,84,20,1407,947,17121,3527,305,46,14,373,130,4029,2026,152,9,0,160,105,2289,1565,188,12,0,198,78,1842,1923,374,10,7,386,122,2425,2293,285,4,0,297,136,2727,2089,122,7,0,132,114,2332,1525,72,8,0,82,87,1692,640,21,3,0,26,33,701,118,8,0,0
LGA51470,99,4,0,0,4,7,111,43,0,0,0,0,3,51,55,5,0,0,5,4,70,49,0,0,0,0,5,54,83,7,0,0,7,6,93,86,0,0,0,0,9,93,44,0,0,0,0,6,54,16,0,0,0,0,0,21,4,0,0,0,0,0,7,486,20,0,0,20,39,546,85,10,4,0,7,5,102,36,0,0,0,0,9,45,55,5,0,0,5,0,66,59,6,0,0,6,4,63,72,4,0,0,4,14,84,94,4,0,0,4,8,104,57,4,0,0,4,0,60,25,0,0,0,0,0,25,5,0,0,0,0,0,5,483,25,4,0,26,48,551,66,3,0,0,3,11,76,30,0,0,0,0,11,41,47,11,0,0,11,4,62,64,4,0,0,4,26,95,51,0,0,0,0,12,64,75,0,0,0,0,3,82,76,0,0,0,0,9,86,31,0,0,0,0,5,33,6,0,0,0
LGA51540,1071,72,21,4,99,140,1312,453,38,8,0,50,57,557,540,91,24,0,114,75,728,676,82,24,4,115,92,879,654,68,29,6,96,87,838,594,46,37,0,80,94,770,391,28,4,0,38,48,480,140,15,8,0,24,22,183,34,7,0,0,9,3,50,4546,452,158,13,624,618,5788,827,123,19,0,151,157,1125,435,50,11,0,65,69,560,492,117,36,0,152,111,759,473,95,24,0,120,114,711,617,78,27,0,104,126,851,554,58,25,5,89,109,750,373,33,10,0,52,65,487,149,19,3,0,27,39,213,47,0,0,0,0,18,65,3967,579,156,12,753,810,5524,689,88,18,9,109,176,973,377,57,6,0,65,120,558,429,110,28,0,143,148,715,384,106,12,0,123,108,617,522,77,36,0,112,123,767,582,44,26,0,74,91,753,446,24,18,0,47,65,556,187,15,6,0,20,41,241,51,3,4,0
LGA51610,243,3,0,0,3,6,258,86,5,0,0,5,9,99,107,3,0,0,3,3,108,160,7,0,0,7,5,170,154,10,0,0,8,5,170,199,5,0,0,5,9,211,105,0,0,0,0,3,113,28,0,0,0,0,5,33,5,0,0,0,0,0,0,1086,27,3,0,33,50,1172,266,10,0,0,10,52,329,112,0,0,0,0,7,114,94,0,0,0,0,14,108,155,6,0,0,6,33,200,210,9,0,0,9,35,253,170,3,0,0,3,26,199,131,4,0,0,4,9,147,49,0,0,0,0,4,55,9,0,0,0,0,0,12,1196,37,0,0,37,185,1416,275,0,0,0,0,52,327,117,3,0,0,3,16,142,117,0,0,0,0,6,127,156,3,0,0,3,40,194,214,15,0,0,15,34,274,215,4,0,0,12,31,254,152,5,0,0,5,19,169,50,3,0,0,3,0,53,7,0,0,0
LGA51680,908,15,5,0,26,41,980,458,12,0,0,14,29,494,285,15,0,0,15,14,307,600,31,0,0,29,32,660,723,30,0,0,34,43,795,569,32,6,0,35,19,623,398,10,0,0,10,13,419,120,5,0,0,5,6,129,19,0,0,0,3,0,28,4069,147,13,4,162,199,4431,964,19,7,0,28,70,1057,567,13,0,0,15,40,628,412,16,0,0,17,46,469,633,34,0,0,38,61,723,816,43,3,0,49,89,952,703,27,0,0,27,64,800,489,28,3,0,28,45,562,212,6,0,0,6,26,239,27,5,0,0,3,5,36,4820,189,14,0,209,442,5474,1008,48,3,4,56,53,1109,565,45,0,0,45,49,665,449,20,0,0,20,41,516,605,36,0,0,37,41,682,811,43,7,4,51,86,942,855,33,3,0,39,96,988,567,25,0,0,26,51,642,280,7,0,0,7,29,309,62,6,0,0
LGA51710,102,100,38,0,141,22,265,41,85,7,0,97,179,319,63,70,12,0,83,431,580,81,83,15,3,105,131,318,114,83,38,6,122,37,274,72,64,80,0,149,18,238,12,14,34,0,45,5,65,3,0,6,0,6,0,12,0,0,0,0,0,0,0,496,508,233,12,747,823,2072,126,110,39,4,152,36,314,32,75,4,0,80,63,180,58,108,11,0,122,138,315,80,96,15,0,112,86,281,97,94,32,0,126,81,305,82,64,64,0,136,57,269,24,33,62,0,97,20,139,3,0,20,0,23,7,31,3,0,0,0,0,0,6,503,588,252,8,845,489,1842,107,121,29,5,155,29,285,39,52,0,0,52,37,127,72,83,10,0,91,156,319,65,93,16,0,110,97,271,94,85,21,3,106,64,263,80,58,42,0,99,27,210,33,50,69,0,121,20,178,4,6,23,0,28,3,32,0,0,3,0
LGA51750,1188,131,30,0,160,109,1459,1167,181,10,4,194,139,1504,761,175,9,0,184,75,1018,777,165,13,0,171,54,1009,1035,131,9,0,135,65,1241,1004,83,0,0,87,45,1135,849,28,0,0,33,47,932,542,16,0,0,20,37,600,316,19,0,0,21,57,384,7632,931,78,3,1009,641,9282,1295,170,44,0,215,84,1596,1149,207,27,0,238,87,1474,829,188,7,0,197,115,1133,749,187,11,0,199,84,1038,1052,167,9,0,173,95,1318,977,103,12,0,114,100,1191,935,52,14,0,61,86,1088,652,25,4,0,26,75,756,403,21,3,0,22,38,463,8045,1120,124,8,1254,757,10055,1421,246,34,12,290,59,1776,1299,194,9,0,205,77,1583,949,198,4,0,204,84,1244,871,243,16,0,256,45,1175,1205,200,22,0,222,54,1475,1122,115,9,0,125,40,1286,1060,64,21,0,84,51,1196,940,29,11,0,36,51,1030,457,19,7,0
LGA51820,15606,1814,493,57,2365,780,18751,9563,1921,72,27,2020,486,12063,10497,2775,171,24,2976,618,14096,10941,2757,265,41,3065,575,14576,9126,2217,246,15,2482,445,12051,6670,1623,371,26,2025,299,8995,3705,990,362,15,1358,176,5241,1958,487,401,0,893,128,2973,674,90,125,0,214,52,941,68727,14682,2510,216,17408,3548,89686,16400,2648,806,98,3543,947,20891,10133,2197,115,13,2328,664,13128,11554,3867,270,27,4161,1090,16801,11171,3920,372,22,4319,891,16380,10302,2831,310,36,3173,793,14266,7959,1912,385,13,2314,611,10886,4896,1236,367,10,1613,450,6959,2336,632,373,6,1013,382,3725,842,177,142,6,326,265,1428,75586,19423,3137,236,22791,6090,104472,18007,3364,681,229,4272,687,22972,11197,2245,45,4,2296,482,13975,13075,3849,147,8,4002,820,17894,12535,4943,308,14,5264,771,18564,11555,3292,376,10,3677,600,15830,9750,2341,385,9,2735,457,12939,6901,1670,476,0,2155,316,9368,3278,809,374,9,1194,272,4740,1128,261,249,6
LGA51860,39,59,30,5,94,0,129,5,30,4,0,37,0,40,16,50,9,0,53,3,68,31,30,0,0,38,6,68,34,38,36,0,74,4,107,15,10,50,0,60,0,77,4,0,31,0,35,0,38,0,0,17,0,15,0,15,0,0,5,0,5,0,5,129,224,183,4,414,9,554,34,46,37,3,82,3,116,5,43,0,3,43,0,48,16,42,4,0,44,4,72,26,41,4,0,39,0,66,14,38,8,0,54,5,76,17,19,44,4,63,8,86,5,0,35,0,42,4,56,0,0,17,0,20,4,22,0,0,0,0,0,0,0,121,224,153,9,391,34,541,23,60,26,0,82,15,130,3,35,0,0,38,7,49,8,41,0,0,43,17,65,18,53,3,0,54,9,85,17,26,6,0,29,6,53,32,41,26,0,66,17,111,4,10,38,0,46,7,63,0,3,19,0,23,5,33,0,0,11,0
LGA51890,1655,28,13,0,43,65,1767,1071,17,3,0,17,52,1142,934,51,6,0,59,88,1083,1146,52,12,0,66,71,1285,1242,42,8,0,50,83,1378,1153,43,6,0,51,46,1254,616,39,0,0,39,14,670,351,32,5,0,37,22,406,122,14,4,0,18,3,144,8301,321,53,3,377,452,9127,1537,27,5,0,35,104,1672,983,11,0,0,14,73,1072,845,39,3,0,45,96,985,858,39,9,3,46,71,976,1082,30,4,0,36,86,1205,1182,30,7,0,37,102,1314,869,37,0,0,40,80,993,330,32,0,0,36,57,423,98,11,4,0,8,41,150,7787,262,31,8,304,711,8798,1411,30,15,4,49,113,1571,849,21,0,0,21,82,947,820,35,3,0,37,67,920,858,38,5,0,45,77,976,1012,32,0,0,32,76,1120,1199,25,0,0,28,74,1301,1120,28,3,0,32,71,1220,487,24,0,0,24,61,568,121,5,0,0
LGA51960,859,40,10,4,50,98,998,479,31,3,0,34,70,574,515,57,0,0,56,83,655,523,53,3,0,54,66,645,409,38,0,0,35,56,506,347,21,3,0,20,44,412,132,13,0,0,11,23,158,33,4,0,0,4,4,38,4,0,0,0,0,0,9,3288,244,22,7,271,439,3998,700,39,9,0,44,85,831,354,21,0,0,21,53,431,464,41,0,0,46,88,597,374,49,4,5,53,63,487,446,36,0,0,43,72,552,336,33,0,0,33,53,418,178,6,0,0,12,31,217,51,3,0,0,4,13,66,3,0,0,0,0,0,3,2915,227,16,3,248,449,3613,527,23,3,0,27,136,690,288,23,0,0,23,106,412,315,26,0,0,28,114,461,301,38,0,0,39,129,471,378,30,0,0,32,123,533,383,37,0,0,33,95,513,236,21,0,0,15,47,297,60,4,0,0,6,21,86,13,0,0,0
LGA52030,175,3,0,0,3,5,185,71,0,0,0,0,6,72,79,0,11,0,12,4,96,140,0,0,0,0,5,146,159,0,0,0,0,19,172,183,0,0,0,0,9,186,120,5,0,0,5,10,142,52,0,0,0,0,7,63,3,0,0,0,0,0,3,986,13,11,0,29,55,1068,131,0,0,0,5,7,149,55,0,0,0,0,0,56,77,9,0,0,9,11,97,86,0,0,0,0,11,98,142,3,0,0,3,12,156,217,4,0,0,4,18,233,171,0,0,0,0,12,180,56,0,0,0,0,5,62,9,0,0,0,0,0,12,950,15,0,0,17,70,1038,114,3,0,0,5,10,132,49,0,0,0,0,14,60,81,3,0,0,3,13,98,74,4,0,0,4,8,89,87,5,0,0,5,18,107,188,0,0,0,0,29,220,201,0,0,0,0,23,215,85,0,0,0,0,13,103,20,0,0,0
LGA52100,185,0,0,0,0,0,190,64,0,0,0,0,0,66,114,3,0,0,3,3,119,123,0,0,0,0,0,127,156,0,0,0,0,3,162,165,4,0,0,4,4,171,118,0,0,0,0,8,126,61,0,0,0,4,4,71,35,0,0,0,0,0,33,1013,13,0,0,18,37,1064,192,5,0,0,6,34,230,87,0,0,0,6,7,98,99,3,0,0,3,16,120,111,3,0,0,4,19,132,131,0,0,0,0,12,142,168,3,0,0,3,7,177,115,0,0,0,6,5,123,70,0,0,0,0,14,87,28,0,0,0,0,6,34,1000,30,4,0,32,116,1147,155,3,0,0,6,4,173,77,0,0,0,0,5,84,91,9,0,0,9,9,105,114,4,0,0,4,0,118,104,0,0,0,0,9,110,131,0,0,0,0,7,147,145,0,0,0,0,7,156,62,3,0,0,3,7,75,37,0,0,0
LGA52170,1140,68,10,0,79,103,1325,844,43,0,0,47,73,965,829,87,0,0,84,129,1044,762,79,0,0,83,83,927,926,71,0,0,71,68,1068,962,40,0,0,41,92,1094,572,34,0,0,34,47,649,277,28,0,0,28,32,337,134,9,0,0,9,57,199,6451,456,16,3,477,679,7605,1179,79,12,4,95,65,1340,762,41,5,0,47,59,866,779,85,6,0,92,83,952,701,93,0,0,93,45,834,954,93,5,0,94,90,1133,943,51,0,0,51,79,1072,735,32,0,0,32,42,808,318,27,0,0,27,18,363,191,15,0,0,15,16,224,6562,513,26,0,543,496,7594,1130,76,19,0,90,24,1252,938,43,5,0,41,33,1014,762,81,0,0,87,55,908,722,76,0,0,80,45,841,987,77,0,0,83,19,1094,1002,60,0,0,64,49,1113,895,32,0,0,36,28,959,514,22,0,0,24,39,577,161,10,0,0
LGA52240,219,4,0,0,9,7,234,79,3,6,0,3,4,88,101,8,0,0,11,5,119,137,7,0,0,7,9,156,144,0,0,0,0,15,159,142,4,0,0,4,7,158,103,0,0,0,0,5,107,47,0,0,0,0,4,52,13,0,0,0,0,0,13,977,36,6,0,38,61,1079,182,9,0,0,9,16,200,58,0,0,0,0,6,63,90,12,0,0,16,10,113,116,9,0,0,9,18,147,131,3,0,0,3,10,143,171,5,0,0,5,15,188,128,0,0,0,5,15,147,63,0,0,0,0,4,63,14,0,0,0,0,5,11,945,40,0,0,38,98,1084,189,3,0,0,4,23,215,74,0,0,0,0,9,87,73,9,0,0,9,12,90,114,12,0,0,16,16,132,137,5,0,0,5,14,159,151,3,0,0,5,19,178,118,5,0,0,5,14,134,76,0,0,0,0,13,85,11,0,0,0
