LGA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
LGA50840,0,8,0,11,5,15,0,0,0,3,44,5,0,0,0,0,4,17,5,3,0,0,4,35,0,0,0,0,5,4,0,8,0,0,0,0,16,0,0,0,0,0,0,5,6,0,0,0,0,18,3,0,0,0,0,6,4,5,0,0,0,0,21,0,0,0,0,0,0,3,9,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,3,9,14,4,19,42,26,45,103,69,3,0,0,26,359
LGA50910,0,0,4,5,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,14,9,22,17,5,0,0,0,0,9,68
LGA50980,18,20,29,34,50,64,41,18,34,35,345,3,3,25,19,23,30,52,78,55,23,48,49,409,4,0,5,13,9,24,19,34,35,28,37,21,231,3,0,19,19,10,33,46,34,37,30,71,27,335,4,0,9,13,13,31,34,32,37,31,116,31,359,5,11,10,20,16,27,23,22,33,28,53,30,285,0,12,17,11,4,9,7,3,0,0,0,40,94,96,128,313,273,174,268,379,435,295,174,394,370,3299
LGA51080,3,5,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,21,10,6,0,0,0,0,0,10,61
LGA51120,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,24,14,11,3,7,0,0,0,0,3,70
LGA51190,12,21,21,77,242,152,26,4,5,7,575,0,0,4,9,17,49,144,127,23,7,7,5,397,0,0,0,0,10,19,50,63,18,0,0,6,181,0,0,0,6,6,16,52,96,24,4,5,5,214,0,6,0,6,0,6,24,40,30,19,16,10,158,0,3,3,8,10,35,87,66,14,7,7,9,249,0,0,9,14,5,18,10,6,0,0,0,25,91,30,59,320,355,291,754,1455,931,187,54,49,187,4659
LGA51260,11,5,10,9,63,192,67,15,13,17,397,0,0,3,3,10,12,56,149,83,14,7,19,359,0,0,0,0,3,3,20,89,55,10,9,8,201,0,0,0,4,0,0,21,85,60,22,16,12,226,3,0,3,4,0,4,8,47,60,21,51,22,221,6,3,0,5,7,10,29,116,96,21,7,16,311,0,0,8,9,3,7,7,9,6,0,0,24,71,33,27,246,217,158,215,547,1205,588,148,145,192,3713
LGA51310,3,4,7,36,53,34,40,16,24,4,228,0,0,0,4,10,27,37,56,47,36,39,4,259,0,0,0,0,0,5,9,26,32,21,30,4,126,0,0,3,0,0,9,13,43,53,43,78,7,253,0,0,3,0,0,0,9,35,62,77,293,7,480,0,0,0,4,5,4,10,18,32,22,60,5,164,0,0,0,0,0,3,0,0,0,0,3,0,12,5,5,40,39,83,261,285,327,315,249,562,61,2229
LGA51330,33,33,18,71,359,570,171,33,13,20,1317,0,4,30,23,17,60,281,620,204,40,28,32,1332,5,0,15,10,11,27,147,319,149,38,19,18,756,0,5,19,15,6,23,136,364,200,67,44,9,890,0,6,15,13,5,6,71,248,186,90,76,19,733,3,3,19,29,11,39,144,392,142,45,27,50,899,0,3,12,10,0,3,19,20,5,5,0,34,111,51,87,601,418,243,599,2339,3806,1362,370,249,381,10504
LGA51400,0,13,5,11,30,83,13,0,0,11,165,0,0,0,0,0,8,20,95,14,5,6,4,144,0,0,0,0,0,5,17,49,14,4,0,3,86,0,0,4,0,0,8,13,57,21,8,0,4,108,0,0,0,0,0,3,3,23,17,0,3,6,63,0,0,0,5,3,9,14,52,14,0,3,7,105,0,0,0,0,0,0,3,0,0,0,0,10,20,4,12,76,112,57,89,227,544,106,20,6,68,1330
LGA51470,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18,4,6,0,0,0,0,0,23,70
LGA51540,10,15,10,17,27,10,7,0,10,19,115,0,5,3,11,9,22,19,18,5,0,7,20,118,3,3,3,10,3,10,8,8,4,0,4,0,60,6,6,6,6,0,14,8,18,10,0,15,7,85,0,0,9,10,7,9,10,10,5,4,21,13,94,3,3,4,3,0,4,6,8,0,0,0,3,44,6,0,4,5,0,7,0,0,0,0,3,6,23,45,58,107,148,75,142,137,95,32,9,74,128,1046
LGA51610,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,4,0,0,6,15,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,12,3,7,14,0,6,15,66
LGA51680,3,0,0,0,3,6,0,0,3,0,17,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,17,0,0,0,3,0,5,3,0,0,6,0,0,18,0,0,0,4,0,0,0,5,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,13,16,9,15,34,34,17,11,6,11,164
LGA51710,6,6,0,3,3,3,0,0,0,6,26,6,0,0,3,0,3,0,3,0,0,0,5,27,4,0,6,3,0,0,0,0,0,0,0,0,14,14,5,5,0,0,0,3,0,0,0,0,9,31,9,3,3,3,0,0,0,0,0,0,0,0,23,0,0,0,4,3,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,32,32,13,12,13,16,4,3,4,24,213
LGA51750,0,6,0,10,22,38,25,24,15,4,135,0,0,3,0,0,3,19,33,36,13,21,0,131,0,0,0,0,0,4,4,13,21,16,21,0,82,0,0,3,0,0,0,7,14,26,22,46,0,127,0,0,0,0,0,0,4,20,23,29,147,12,242,0,0,0,0,0,0,0,17,20,19,22,0,75,0,0,0,0,0,0,0,3,0,0,4,3,12,3,0,21,22,28,53,143,256,233,175,324,42,1297
LGA51820,13,24,23,69,280,676,240,36,23,33,1417,7,0,13,24,24,45,219,647,304,53,24,30,1393,0,0,9,15,0,24,87,330,164,47,17,18,717,0,0,8,9,6,20,67,355,270,93,37,20,896,5,0,9,12,6,16,31,212,209,87,89,16,691,5,0,12,18,8,36,98,309,222,54,28,39,827,0,0,22,12,11,6,9,23,9,3,0,50,144,75,99,545,499,382,716,1869,4092,1785,440,276,366,11144
LGA51860,0,0,0,3,0,0,0,3,0,3,12,7,0,0,0,0,5,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,6,0,0,3,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,8,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,7,0,0,21,4,0,6,3,0,16,89
LGA51890,0,5,10,18,22,0,0,0,0,3,58,0,0,0,3,5,12,18,8,0,0,0,3,51,0,0,0,4,3,6,9,0,0,0,0,0,19,0,0,0,0,0,5,10,7,0,0,0,0,30,0,0,0,0,0,4,3,4,0,0,0,7,20,0,0,5,0,0,8,13,14,3,0,0,0,43,0,0,0,5,0,4,0,0,0,0,0,8,18,3,7,73,68,87,186,150,58,8,0,0,48,688
LGA51960,6,11,14,8,5,0,0,0,0,4,44,0,0,3,16,9,14,10,6,0,0,0,3,59,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,3,3,10,10,3,4,0,0,0,5,34,0,3,3,9,5,11,6,6,0,0,0,3,49,0,0,3,13,0,8,5,0,0,0,0,0,39,0,0,0,5,0,0,0,0,0,0,0,4,11,6,6,60,109,64,90,52,17,0,0,0,24,421
LGA52030,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,9,17,18,6,5,0,0,3,11,86
LGA52100,3,0,0,0,0,0,0,0,0,3,13,3,0,0,0,4,4,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,21,18,18,11,4,6,0,3,0,10,88
LGA52170,0,0,0,4,14,17,12,4,6,4,70,0,0,0,0,0,3,9,15,17,14,21,4,82,0,0,0,0,0,0,3,10,14,4,12,5,41,0,0,0,0,0,0,0,14,26,15,36,7,105,0,0,0,0,0,0,7,11,27,24,189,5,263,0,0,0,0,0,0,5,4,13,12,24,7,67,0,0,0,0,0,0,0,0,0,0,8,3,12,4,11,24,10,18,16,62,116,146,86,329,28,847
LGA52240,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,5,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,18,40,11,8,5,0,0,0,0,14,95
LGA52310,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,6,5,7,7,3,0,0,0,9,49
LGA52380,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,4,0,0,0,0,15,34
LGA52450,0,6,7,3,0,0,0,0,0,3,24,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,21,18,14,28,14,0,0,0,0,14,121
LGA52520,5,3,0,0,0,0,0,0,0,3,14,0,0,0,0,0,7,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,4,3,7,14,10,8,25,14,9,4,0,0,16,108
LGA52590,0,0,0,3,17,7,0,0,0,8,44,0,0,0,0,4,5,10,8,6,0,0,3,33,0,0,0,0,0,0,0,7,0,0,0,5,17,0,0,0,0,0,0,9,7,3,0,0,3,29,0,0,5,0,0,0,3,0,0,0,0,4,21,0,0,0,0,0,3,0,20,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,27,9,19,40,87,69,9,0,10,37,311
LGA52660,0,0,9,7,40,55,6,0,0,0,127,0,0,5,3,5,5,33,64,9,0,0,0,125,0,0,0,4,0,6,23,38,9,0,0,6,80,0,0,0,0,3,6,12,39,9,0,0,4,83,0,0,0,0,0,0,6,27,17,3,0,9,55,0,0,4,0,6,8,19,49,5,0,0,9,93,0,0,5,0,0,0,0,0,0,0,0,4,7,7,8,35,36,57,79,294,382,69,12,4,55,1035
LGA52730,4,5,3,8,16,12,4,0,0,3,52,0,0,0,0,0,0,8,9,4,0,0,6,40,0,0,0,0,0,3,10,5,3,0,5,0,22,0,0,0,0,0,5,3,7,0,0,4,3,23,0,0,0,0,0,0,7,4,3,4,5,4,29,0,0,4,0,0,6,11,14,4,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,55,49,31,60,148,105,27,7,21,28,531
LGA52800,33,20,7,12,11,12,4,0,0,21,182,29,13,18,12,6,19,11,15,0,0,0,10,137,9,4,7,0,5,4,13,4,6,0,0,15,63,19,3,10,7,3,7,4,10,8,3,5,18,97,7,4,12,3,8,12,4,3,3,3,5,15,85,25,19,22,12,3,11,15,6,4,0,0,15,130,9,17,6,4,0,4,0,0,0,0,0,10,50,381,252,236,129,54,97,82,80,18,7,14,157,1507
LGA52870,0,0,0,0,12,10,0,0,0,0,30,0,0,0,4,5,3,6,13,0,0,0,4,40,0,0,0,0,0,0,9,9,3,0,0,0,20,0,0,0,0,0,0,0,9,0,0,0,0,15,0,0,0,0,0,0,3,0,4,0,0,0,11,0,0,4,0,0,0,4,8,6,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,0,8,5,3,26,35,29,49,95,63,7,0,8,29,357
LGA52940,0,0,0,0,0,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,15,8,11,3,5,4,0,0,0,16,65
LGA53010,0,0,4,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,12,3,7,0,0,0,0,0,5,35
LGA53080,0,6,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11,29,8,0,4,0,0,0,4,25,98
LGA53150,0,0,0,6,12,24,20,8,3,0,71,0,0,3,0,3,4,10,26,15,7,12,0,81,0,0,0,0,0,0,4,8,10,3,4,0,35,0,0,0,0,0,0,0,15,14,14,12,0,53,0,0,0,0,0,3,0,11,15,21,53,0,106,0,0,0,0,0,5,6,13,17,5,13,0,57,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,20,19,17,52,81,152,115,73,115,15,663
LGA53220,35,19,7,7,5,9,9,10,9,33,173,39,4,31,14,7,3,4,10,12,10,3,46,180,9,0,45,4,4,0,3,7,11,8,0,14,110,33,8,90,10,20,0,3,11,10,6,10,32,228,56,7,120,10,16,3,3,4,9,14,16,45,293,20,0,47,4,6,0,5,3,3,0,0,14,110,8,0,5,0,0,0,0,0,0,0,0,10,26,294,56,410,82,60,22,33,57,73,43,29,243,1416
LGA53290,9,5,11,22,37,35,6,3,6,14,158,0,0,9,12,13,24,53,45,7,0,6,22,181,3,0,0,0,9,14,15,25,5,0,0,9,76,0,0,0,0,4,17,26,45,12,3,0,0,118,0,0,5,0,0,13,11,17,9,0,6,17,71,0,0,5,12,13,22,31,30,6,0,3,6,116,0,0,3,3,4,3,0,0,0,0,0,13,34,23,19,149,138,126,241,324,260,49,15,20,125,1475
LGA53360,5,4,4,13,3,9,11,3,10,15,75,0,0,5,11,15,17,8,17,12,7,5,4,91,0,0,4,3,7,9,4,9,8,7,6,8,62,0,0,0,4,0,14,4,11,12,4,21,4,82,0,0,0,0,4,7,8,13,3,9,35,21,106,0,0,0,5,4,4,7,6,15,9,4,0,48,4,0,0,5,0,0,0,0,0,0,0,3,22,20,15,46,57,39,85,45,96,81,39,106,98,724
LGA53430,11,3,7,32,69,143,83,41,26,13,428,0,0,4,5,4,20,61,150,118,57,41,15,477,0,0,0,0,4,3,21,43,61,46,24,4,204,0,0,0,0,0,4,13,66,97,66,61,6,336,0,0,5,0,8,5,13,35,72,95,187,6,427,0,0,10,11,10,10,21,47,96,46,61,15,331,0,3,19,0,3,4,4,6,3,0,12,26,77,52,73,465,214,153,287,507,834,666,399,453,169,4273
LGA53570,3,5,3,11,7,14,0,0,0,12,54,0,0,3,3,0,8,11,3,0,0,0,8,39,0,0,5,0,0,5,4,5,0,0,0,0,21,0,0,6,0,3,0,0,5,5,0,0,0,14,4,0,0,3,0,0,4,4,0,0,0,0,6,0,0,0,0,0,3,3,9,4,0,0,0,34,0,0,0,0,0,0,0,4,0,0,0,5,10,11,10,30,22,26,58,64,68,12,0,0,50,352
LGA53640,0,4,0,0,5,0,0,0,0,4,7,0,0,0,4,0,6,0,0,0,0,0,0,12,0,0,4,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,19,21,13,19,4,0,0,0,0,12,101
