LGA_CODE_2021,C16_2500_2999_R650more,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R1_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650more,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000more_R1_74,C16_4000more_R75_99,C16_4000more_R100_149,C16_4000more_R150_199,C16_4000more_R200_224,C16_4000more_R225_274,C16_4000more_R275_349,C16_4000more_R350_449,C16_4000more_R450_549,C16_4000more_R550_649,C16_4000more_R650more,C16_4000more_R_NS,C16_4000more_R_Tot,C16_PI_S_R1_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650more,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R1_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650more,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R1_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650more,C16_Tot_R_NS,C16_Tot_R_Tot,C21_Neg_Ni_inc_R1_74,C21_Neg_Ni_inc_R75_99,C21_Neg_Ni_inc_R100_149,C21_Neg_Ni_inc_R150_199,C21_Neg_Ni_inc_R200_224,C21_Neg_Ni_inc_R225_274,C21_Neg_Ni_inc_R275_349,C21_Neg_Ni_inc_R350_449,C21_Neg_Ni_inc_R450_549,C21_Neg_Ni_inc_R550_649,C21_Neg_Ni_inc_R650more,C21_Neg_Ni_inc_R_NS,C21_Neg_Ni_inc_R_Tot,C21_1_149_R1_74,C21_1_149_R75_99,C21_1_149_R100_149,C21_1_149_R150_149,C21_1_149_R200_224,C21_1_149_R225_274,C21_1_149_R275_349,C21_1_149_R350_449,C21_1_149_R450_549,C21_1_149_R550_649,C21_1_149_R650more,C21_1_149_R_NS,C21_1_149_R_Tot,C21_150_299_R1_74,C21_150_299_R75_99,C21_150_299_R100_149,C21_150_299_R150_199,C21_150_299_R150_224,C21_150_299_R225_274,C21_150_299_R275_349,C21_150_299_R350_449,C21_150_299_R450_549,C21_150_299_R550_649,C21_150_299_R650more,C21_150_299_R_NS,C21_150_299_R_Tot,C21_300_399_R1_74,C21_300_399_R75_99,C21_300_399_R100_149,C21_300_399_R150_199,C21_300_399_R200_224,C21_300_399_R225_274,C21_300_399_R275_349,C21_300_399_R350_449,C21_300_399_R450_549,C21_300_399_R550_649,C21_300_399_R650more,C21_300_399_R_NS,C21_300_399_R_Tot,C21_400_499_R1_74,C21_400_499_R75_99,C21_400_499_R100_149,C21_400_499_R150_199,C21_400_499_R200_224,C21_400_499_R225_274,C21_400_499_R275_349,C21_400_499_R350_449,C21_400_499_R450_549,C21_400_499_R550_649,C21_400_499_R650more,C21_400_499_R_NS,C21_400_499_R_Tot,C21_500_649_R1_74,C21_500_649_R75_99,C21_500_649_R100_149,C21_500_649_R150_199,C21_500_649_R200_224,C21_500_649_R225_274,C21_500_649_R275_349,C21_500_649_R350_449,C21_500_649_R450_549,C21_500_649_R550_649,C21_500_649_R650more,C21_500_649_R_NS,C21_500_649_R_Tot,C21_650_799_R1_74,C21_650_799_R75_99,C21_650_799_R100_149,C21_650_799_R150_199,C21_650_799_R200_224,C21_650_799_R225_274,C21_650_799_R275_349,C21_650_799_R350_449,C21_650_799_R450_549,C21_650_799_R550_649,C21_650_799_R650more,C21_650_799_R_NS,C21_650_799_R_Tot,C21_800_999_R1_74,C21_800_999_R75_99,C21_800_999_R100_149,C21_800_999_R150_199,C21_800_999_R200_224,C21_800_999_R225_274,C21_800_999_R275_349,C21_800_999_R350_449,C21_800_999_R450_549,C21_800_999_R550_649,C21_800_999_R650more,C21_800_999_R_NS,C21_800_999_R_Tot,C21_1000_1249_R1_74,C21_1000_1249_R75_99,C21_1000_1249_R100_149,C21_1000_1249_R150_199,C21_1000_1249_R200_224,C21_1000_1249_R225_274,C21_1000_1249_R275_349,C21_1000_1249_R350_449,C21_1000_1249_R450_549,C21_1000_1249_R550_649,C21_1000_1249_R650more,C21_1000_1249_R_NS,C21_1000_1249_R_Tot,C21_1250_1499_R1_74,C21_1250_1499_R75_99,C21_1250_1499_R100_149,C21_1250_1499_R150_199,C21_1250_1499_R200_224,C21_1250_1499_R225_274,C21_1250_1499_R275_349,C21_1250_1499_R350_449,C21_1250_1499_R450_549,C21_1250_1499_R550_649,C21_1250_1499_R650more,C21_1250_1499_R_NS,C21_1250_1499_R_Tot,C21_1500_1999_R1_74,C21_1500_1999_R75_99
LGA50840,0,0,6,0,0,0,0,0,0,4,7,0,0,0,0,8,6,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,12,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,13,4,45,46,30,58,93,40,0,0,0,12,332,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,3,0,0,0,0,0,10,3,0,4,11,4,4,7,5,0,0,0,0,35,0,3,7,5,3,7,8,0,0,0,0,0,33,0,0,3,3,5,0,12,0,0,0,0,0,25,0,0,0,6,0,6,13,4,0,0,0,0,27,0,0,0,6,0,3,9,10,0,0,0,0,32,0,0,0,0,0,3,14,0,0,0,0,4,23,0,0
LGA50910,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,19,16,11,14,8,0,0,0,0,6,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0
LGA50980,32,11,221,3,4,0,22,19,18,28,18,25,30,61,21,262,0,0,0,6,7,16,13,14,23,17,66,6,180,9,8,24,28,13,30,40,26,28,29,39,22,292,6,8,10,15,0,5,5,4,3,3,10,20,95,154,102,291,290,190,270,319,338,289,195,324,207,2965,4,0,5,4,0,4,0,8,3,0,0,11,35,6,0,8,4,0,0,0,7,0,0,0,3,26,10,7,15,13,4,0,0,0,0,0,3,3,63,11,18,32,37,13,5,7,7,0,0,4,17,145,10,10,51,17,9,6,12,4,0,0,0,15,124,0,9,28,16,7,12,15,7,0,0,0,14,118,7,15,25,18,7,9,18,17,8,3,7,20,157,6,10,24,14,8,12,17,22,11,0,4,22,156,9,8,19,20,17,17,31,46,10,5,9,14,209,5,10,15,12,9,15,40,34,13,4,9,25,199,0,11
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,15,20,5,4,0,0,0,0,0,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
LGA51120,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,5,3,6,18,22,19,12,5,5,0,0,0,0,6,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0
LGA51190,0,0,149,0,0,4,5,4,8,42,59,16,0,3,4,145,0,0,0,0,5,0,12,31,22,6,0,0,73,0,0,17,15,6,34,99,90,13,4,0,18,302,4,3,20,17,9,9,26,4,0,0,0,25,114,56,52,333,348,207,638,1489,871,122,32,24,134,4307,0,3,8,8,3,8,11,8,4,0,0,12,71,0,0,7,0,0,5,7,0,0,0,0,5,29,0,11,23,18,12,11,15,3,0,0,0,0,94,4,16,65,22,25,31,24,14,0,0,4,8,223,6,9,105,55,28,54,72,21,5,0,0,20,366,5,0,26,82,48,105,117,39,3,0,0,8,432,3,5,22,45,38,75,126,43,0,0,3,12,378,3,6,6,22,28,97,136,55,7,0,0,11,378,0,6,12,21,21,90,175,97,11,4,3,13,446,0,0,9,9,22,68,152,90,10,5,0,13,380,0,5
LGA51260,0,8,164,0,5,0,3,4,0,10,55,42,4,0,9,135,0,0,0,0,4,4,8,31,21,11,10,0,86,0,0,7,16,11,10,36,128,69,11,6,9,300,0,5,20,9,4,5,7,14,0,4,6,23,95,22,44,287,269,138,192,585,1352,406,52,47,124,3512,0,0,7,4,0,9,6,7,3,0,3,11,46,0,0,0,0,0,0,4,0,3,0,0,5,16,6,7,8,0,0,4,0,9,3,0,4,9,52,0,3,44,20,7,17,19,19,5,0,5,9,141,3,0,82,35,15,21,32,22,4,0,0,9,235,3,0,30,51,22,33,52,63,17,5,4,5,275,0,4,12,34,17,24,65,92,22,5,4,7,293,4,0,10,18,19,29,54,85,28,5,5,8,261,4,0,9,11,12,20,55,113,38,3,8,19,302,0,0,9,3,16,14,65,127,45,15,9,11,317,0,0
LGA51310,31,0,127,0,0,0,0,0,3,12,17,49,47,130,5,269,0,0,0,6,0,0,3,9,23,38,173,0,257,0,0,0,0,3,4,19,26,27,35,74,5,206,0,0,5,3,0,4,6,0,5,3,4,11,37,11,5,40,39,49,158,305,276,302,232,522,53,2006,0,0,0,0,0,9,0,0,6,4,4,5,30,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,4,0,5,0,0,0,0,14,0,3,3,0,0,7,11,0,5,3,0,0,38,0,0,11,4,11,7,7,6,7,0,0,3,50,0,0,3,4,10,20,26,8,3,0,4,3,82,0,0,0,0,7,21,20,11,9,0,5,0,74,0,0,3,0,13,31,20,19,3,5,10,5,114,0,0,3,0,9,29,37,32,15,7,10,8,149,0,0,0,3,6,34,25,35,11,12,9,0,145,0,0
LGA51330,20,9,510,0,0,3,7,0,6,33,194,144,64,23,11,492,0,0,5,4,0,4,17,70,88,34,29,4,256,8,0,28,30,18,18,82,310,162,43,34,22,762,3,0,24,10,7,6,10,14,6,6,3,40,138,111,96,637,431,239,312,1312,3455,1461,376,223,286,8938,4,0,14,14,9,18,39,51,24,4,3,28,217,0,0,12,5,0,7,13,11,10,0,0,16,76,7,19,23,19,10,8,22,24,7,0,0,13,158,12,14,85,35,15,19,58,52,7,0,0,21,314,4,10,167,43,28,46,78,64,10,0,4,17,473,0,6,54,46,24,53,100,102,26,5,8,20,431,9,8,34,36,31,62,136,124,19,4,0,24,491,5,0,32,34,21,48,164,213,46,14,10,16,599,0,0,26,31,17,56,291,295,73,13,8,30,825,0,5,14,34,19,61,281,344,77,15,10,17,875,0,3
LGA51400,0,0,67,0,0,0,0,4,0,4,30,16,4,0,4,64,0,0,0,0,0,0,0,16,12,4,0,0,34,0,0,3,5,0,0,7,54,13,0,0,4,97,0,0,6,0,0,0,0,0,0,0,0,7,19,8,12,81,111,51,68,208,546,91,18,3,38,1234,0,0,3,0,0,0,0,9,0,0,0,4,20,0,0,0,0,0,3,0,0,0,0,0,0,7,0,3,5,6,0,3,0,0,0,0,0,0,17,0,0,11,13,4,0,8,10,0,0,0,0,45,0,0,34,29,3,10,7,10,4,0,0,0,99,0,4,9,14,5,6,14,8,0,0,0,4,70,0,0,0,20,9,9,23,26,3,0,0,0,91,0,0,0,0,9,9,18,29,0,0,0,4,71,0,0,5,0,6,4,34,39,5,0,0,0,100,0,0,0,8,10,0,27,62,4,0,0,0,116,0,0
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,8,5,0,5,0,0,0,0,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0
