LGA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA50840,0,21,25,35,45,66,64,34,11,310,4,15,24,50,66,73,69,12,3,327,3,21,34,45,62,85,46,14,0,314,0,18,28,42,42,41,19,0,0,193,0,14,32,34,50,47,15,10,3,196,0,9,21,41,55,30,12,0,0,163,0,3,45,70,86,73,15,3,0,290,0,0,9,7,20,18,4,0,0,58,0,0,6,15,27,26,12,0,0,85,23,16,32,49,71,60,72,42,15,377,250,160,381,537,699,896,922,426,104,4367
LGA50910,3,0,10,9,4,0,9,7,4,44,0,11,10,6,11,5,7,0,0,47,0,0,8,10,14,18,8,9,0,68,0,4,3,10,9,9,8,0,0,36,0,0,11,0,18,12,4,0,0,42,0,0,0,6,4,3,0,0,0,17,0,3,0,8,21,14,0,0,0,48,0,0,0,0,0,0,9,0,0,9,0,0,4,0,3,0,0,0,0,11,4,6,5,17,13,20,12,8,3,95,29,35,67,102,137,134,133,90,41,770
LGA50980,36,83,160,118,96,77,54,20,3,642,32,102,266,185,122,94,51,6,4,863,22,103,310,237,210,174,70,14,0,1129,7,80,261,250,208,170,38,5,0,1017,3,27,290,279,192,142,47,6,5,987,6,26,203,219,164,121,36,5,0,783,0,20,269,382,359,200,49,6,0,1286,0,3,36,73,67,43,13,0,0,238,0,0,45,103,110,51,22,8,0,345,170,167,490,373,404,287,141,49,28,2106,961,917,2890,2707,2353,1828,953,289,75,12969
LGA51080,0,4,5,7,3,13,7,8,0,50,0,3,10,10,12,17,9,0,0,63,0,7,17,19,17,26,14,0,0,95,0,9,10,7,9,11,0,0,0,44,0,0,9,0,6,0,6,0,0,26,0,0,7,4,3,8,7,0,0,28,0,0,6,10,9,13,6,0,0,43,0,0,0,0,4,7,0,0,0,13,0,0,0,4,11,3,3,3,0,30,16,4,15,19,21,26,13,7,0,122,55,44,114,125,129,179,104,52,13,816
LGA51120,6,3,10,4,8,5,11,0,0,45,6,8,9,10,7,11,0,6,4,53,0,7,11,13,9,16,13,4,0,64,0,5,9,9,11,8,3,0,0,41,0,6,8,13,3,16,8,0,0,57,0,0,0,6,5,5,3,0,0,23,0,0,3,6,16,9,4,0,0,45,0,0,0,0,9,3,0,0,0,20,0,0,3,4,5,14,3,0,0,35,8,14,7,9,19,30,29,18,12,146,40,45,88,111,123,143,155,72,26,798
LGA51190,73,216,323,278,314,286,315,156,60,2024,44,267,478,348,375,351,223,106,27,2228,27,219,493,390,427,403,264,68,16,2308,4,113,355,342,346,315,120,37,10,1644,3,75,282,294,307,275,85,22,7,1355,4,35,230,263,264,246,57,15,3,1107,0,52,321,416,482,448,97,12,12,1831,0,4,57,98,128,89,24,0,5,409,6,5,45,129,193,134,75,14,3,604,119,162,528,454,389,300,265,173,145,2539,1764,1785,4214,4053,4290,4440,3875,2158,968,27536
LGA51260,95,246,322,391,420,450,469,251,70,2710,63,224,428,466,474,478,375,152,44,2708,23,176,484,583,630,543,335,129,26,2935,10,86,358,436,480,401,210,64,18,2064,6,28,287,384,454,331,143,56,25,1716,0,17,203,316,405,256,69,25,5,1298,4,25,306,614,671,431,138,33,4,2233,0,4,61,166,188,121,41,5,0,586,0,6,58,216,281,190,89,38,11,880,149,87,329,373,347,342,345,292,193,2466,2269,1394,3812,5162,5504,5355,5509,2960,1045,33019
LGA51310,31,132,144,115,121,154,228,150,69,1139,14,127,199,174,174,174,218,126,67,1266,8,139,273,209,239,258,201,119,49,1483,0,79,271,216,240,223,167,67,23,1291,3,54,311,249,262,259,140,66,31,1383,0,26,272,245,247,215,97,33,12,1143,0,19,457,638,698,543,194,54,24,2629,0,6,123,248,326,210,65,27,6,1006,5,9,139,950,1337,761,201,56,27,3473,40,37,150,127,145,119,140,129,149,1031,1984,1472,2837,3743,4391,3602,2616,1608,969,23216
LGA51330,113,769,1136,824,628,574,599,307,87,5040,91,769,1703,1151,956,778,539,237,70,6302,46,665,2021,1544,1118,935,521,123,29,6999,17,407,1539,1238,992,787,305,70,15,5364,8,230,1245,1198,1002,750,232,47,17,4728,5,84,754,984,823,518,148,22,7,3341,0,91,1017,1871,1641,1028,261,27,11,5949,0,13,178,477,399,246,68,6,0,1390,0,16,165,578,672,449,92,23,7,2008,229,485,988,691,522,446,301,276,226,4157,5932,7768,14885,14030,11751,10116,8086,4299,1591,78459
LGA51400,59,124,147,152,161,134,147,78,11,1013,38,161,189,188,198,168,92,34,10,1070,14,109,216,264,265,201,78,25,4,1182,3,63,173,182,251,189,51,12,0,929,5,42,141,244,227,180,43,5,3,887,0,19,127,175,225,156,21,3,0,714,0,28,205,363,433,264,52,4,0,1353,0,4,27,70,112,80,18,0,0,308,0,0,27,96,123,78,18,6,0,345,96,55,98,146,164,153,105,59,22,902,1385,903,1842,2425,2727,2332,1692,701,136,14148
LGA51470,0,0,4,6,9,9,9,0,4,34,0,4,4,8,6,11,3,0,0,44,0,0,11,6,0,3,0,0,0,30,0,4,3,13,6,4,3,0,0,34,0,0,6,6,0,4,0,0,0,20,0,0,0,5,3,3,0,0,0,11,0,0,4,3,4,3,0,0,0,19,0,0,0,5,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,9,7,0,9,22,12,5,10,11,0,79,15,29,62,95,64,82,86,33,11,473
LGA51540,13,27,65,51,46,58,26,3,5,295,14,36,85,52,54,58,29,12,4,342,5,27,74,48,86,76,38,7,4,366,0,20,53,50,59,42,15,7,0,252,0,10,50,34,46,43,16,0,0,211,0,6,28,31,48,31,14,0,0,160,0,9,41,75,73,50,20,0,0,261,0,0,11,8,10,14,0,0,0,54,0,0,8,14,23,14,8,0,0,68,62,80,156,117,145,98,84,63,14,814,257,307,715,617,767,753,556,241,70,4280
LGA51610,11,3,5,10,7,9,8,0,0,57,0,6,12,11,21,18,12,0,0,85,0,4,19,16,25,29,8,3,0,107,0,0,10,19,14,24,4,0,0,77,0,5,14,16,30,19,4,3,0,82,0,3,3,14,12,10,4,0,0,53,0,4,20,28,27,23,4,0,0,112,0,0,4,14,12,6,3,0,0,33,0,0,7,5,11,3,0,0,0,25,16,8,6,39,47,31,25,6,0,179,94,47,127,194,274,254,169,53,9,1226
LGA51680,16,34,27,36,56,46,52,21,5,286,15,43,55,48,67,81,38,9,0,354,4,31,46,60,99,75,29,9,0,354,0,12,42,59,70,83,19,4,0,293,0,4,45,64,73,78,23,4,0,294,0,3,33,54,66,46,5,0,0,205,3,3,45,100,142,106,19,0,0,424,0,0,18,28,37,31,0,0,0,119,0,0,9,28,53,46,7,3,0,143,45,21,46,50,90,100,51,43,14,461,415,255,516,682,942,988,642,309,77,4820
LGA51710,3,0,5,8,7,6,5,0,0,47,3,3,16,9,14,12,6,0,0,67,0,6,28,15,22,14,13,0,0,106,5,3,25,15,23,16,13,0,0,98,0,0,20,25,21,21,17,0,0,103,0,6,16,24,19,14,12,0,0,94,0,3,13,31,48,27,10,0,0,147,0,0,3,5,8,13,8,0,0,29,0,0,3,6,6,5,3,0,0,17,8,28,159,93,70,31,23,0,0,424,54,73,319,271,263,210,178,32,4,1406
LGA51750,7,54,67,40,43,61,81,98,36,486,4,53,72,43,65,68,107,90,35,530,3,75,107,64,73,85,94,94,38,638,0,37,117,74,72,84,80,55,30,549,3,33,148,78,95,76,70,54,13,571,0,6,100,74,85,73,52,38,18,452,3,9,204,197,210,165,98,75,35,1003,0,4,42,80,85,74,40,21,12,358,0,0,58,278,414,274,135,61,17,1247,43,45,100,51,73,60,70,84,79,609,859,725,1244,1175,1475,1286,1196,1030,529,9513
LGA51820,205,820,1086,1049,853,842,678,321,104,5964,159,947,1677,1361,1187,995,570,167,60,7115,64,814,2390,1795,1656,1309,525,126,24,8702,21,528,2023,1707,1430,1065,362,58,4,7198,8,253,1923,1671,1515,1038,271,37,9,6735,7,119,1359,1549,1189,758,166,28,3,5161,0,151,2026,3061,2524,1392,286,31,7,9484,0,25,412,754,533,303,66,7,7,2108,0,12,323,889,819,456,120,17,6,2650,267,386,1015,949,765,598,501,489,410,5380,6500,7474,17894,18564,15830,12939,9368,4740,1811,95118
LGA51860,0,0,3,5,6,5,11,3,0,36,0,8,13,9,7,9,0,0,0,47,0,6,14,6,8,13,0,0,0,37,0,0,5,5,4,4,0,0,0,23,0,0,0,7,4,6,0,5,0,16,0,0,0,4,3,4,4,0,0,14,0,0,0,12,3,11,0,0,0,28,0,0,0,4,0,4,0,0,0,6,0,0,0,0,4,0,0,0,0,7,3,5,17,10,6,20,7,8,0,84,17,36,65,85,53,111,63,33,11,467
LGA51890,26,40,58,72,66,77,96,40,13,494,5,41,84,64,70,68,56,28,0,418,12,43,67,84,75,114,74,5,0,471,4,33,54,59,75,69,23,10,0,328,0,22,56,60,63,74,17,0,0,299,0,29,60,59,59,51,11,0,0,273,0,15,95,144,174,121,10,0,0,568,0,5,14,30,36,24,4,0,0,112,0,4,14,25,27,27,0,4,0,107,65,38,79,94,85,89,104,79,54,679,528,423,920,976,1120,1301,1220,568,183,7239
LGA51960,5,9,13,12,17,23,15,4,0,98,8,13,25,23,26,23,13,4,0,128,3,16,19,25,44,33,17,0,0,156,3,19,23,17,28,20,3,0,0,111,3,15,23,21,33,28,9,0,0,128,0,7,22,23,25,22,6,0,0,109,0,15,69,79,86,64,10,0,0,323,0,3,27,23,23,19,0,0,0,91,0,0,15,18,31,26,5,0,0,93,50,55,127,136,133,105,58,19,5,685,204,208,461,471,533,513,297,86,14,2789
LGA52030,0,0,0,7,7,9,21,4,0,56,0,0,9,9,9,12,14,6,0,56,0,4,9,11,13,21,16,4,0,66,0,3,7,3,3,10,5,0,0,36,0,0,8,6,9,17,0,4,0,47,0,0,6,7,9,4,12,0,0,36,0,0,10,9,11,16,12,0,0,52,0,0,0,0,0,4,0,0,0,7,0,0,0,0,7,6,4,0,0,25,5,8,15,6,22,34,23,18,12,140,27,32,98,89,107,220,215,103,23,922
LGA52100,5,3,12,12,6,6,4,4,0,61,0,10,12,6,13,12,9,0,0,72,0,3,11,20,11,17,7,3,0,77,3,6,7,15,9,12,14,3,0,70,0,0,14,12,15,12,8,0,0,64,0,0,10,10,6,7,7,0,0,37,0,0,6,15,13,14,10,0,0,55,0,0,0,3,4,3,0,0,0,8,0,0,0,3,10,3,3,0,0,17,4,0,4,0,9,10,9,6,7,56,35,52,105,118,110,147,156,75,42,833
LGA52170,3,41,50,24,24,30,48,40,15,274,4,21,46,21,41,40,61,34,11,283,0,38,60,27,43,65,79,47,16,375,0,25,81,28,50,78,69,26,8,370,0,25,106,53,54,55,61,33,5,391,0,9,109,41,47,60,35,32,4,341,0,9,165,137,151,122,104,41,8,730,0,9,43,62,65,69,37,17,5,311,0,0,62,260,420,341,175,53,5,1315,15,22,72,53,35,61,44,50,50,398,556,451,908,841,1094,1113,959,577,219,6722
LGA52240,0,4,9,11,18,15,5,3,0,61,0,6,12,7,20,15,8,7,0,73,0,4,9,23,19,22,9,3,0,83,0,0,4,8,19,12,3,0,0,44,0,6,11,13,10,10,5,3,6,55,0,0,3,11,3,10,4,0,0,35,0,0,8,9,12,10,9,0,0,39,0,5,0,5,0,3,4,0,0,15,0,0,0,6,5,5,6,0,0,22,9,6,10,12,12,29,24,13,3,115,43,45,90,132,159,178,134,85,15,882
LGA52310,3,3,8,6,17,3,11,3,5,58,0,4,3,8,6,14,7,6,0,61,0,7,7,8,11,24,8,4,0,67,0,4,5,0,5,9,3,6,0,34,0,0,10,5,14,12,5,0,0,40,0,0,3,7,13,3,0,0,0,28,0,0,4,7,10,9,0,0,0,33,0,0,0,3,3,3,0,0,0,8,0,0,0,0,10,8,3,0,0,15,7,5,3,8,14,11,4,9,0,73,28,41,74,75,142,166,151,61,12,756
LGA52380,0,0,0,0,0,3,3,0,0,9,0,0,0,0,5,3,0,0,0,7,0,4,0,3,0,0,4,0,0,11,0,0,6,0,4,3,0,0,0,10,0,0,4,3,0,0,0,0,0,7,0,5,6,0,3,0,0,0,0,18,0,0,9,0,3,4,0,0,0,27,0,0,0,3,7,0,0,0,0,12,0,0,0,0,0,3,0,0,0,12,0,4,6,7,6,3,9,0,0,32,4,14,35,20,31,35,58,11,0,209
LGA52450,3,4,4,20,4,12,8,5,5,65,8,4,8,17,18,9,18,5,0,82,4,5,18,11,20,10,9,6,0,90,0,7,13,18,10,7,10,0,0,64,0,5,19,7,3,6,6,0,0,51,0,0,14,9,8,16,0,0,0,50,0,3,12,15,11,11,4,0,0,64,0,0,0,7,5,6,3,0,0,17,0,0,4,0,7,0,0,0,0,17,11,8,7,17,18,12,18,7,10,116,144,56,152,155,136,154,151,64,27,1039
LGA52520,3,12,4,10,11,20,12,3,0,76,0,10,12,12,16,19,7,0,3,77,0,9,17,28,13,22,11,4,0,94,0,8,20,18,11,19,6,0,0,92,4,5,17,16,11,14,6,3,0,81,0,0,12,22,4,14,3,0,0,58,0,5,16,22,10,15,0,0,0,72,0,0,8,4,0,3,0,0,3,18,0,0,0,8,13,7,8,0,0,36,4,9,28,39,31,35,22,11,4,188,46,69,176,211,155,204,118,63,36,1081
LGA52590,10,6,29,25,25,36,41,15,3,206,5,17,40,30,29,39,48,14,3,228,3,12,57,30,44,42,33,10,6,235,0,3,25,31,28,33,19,3,0,143,3,9,35,23,28,26,9,5,0,140,0,0,16,22,24,22,8,4,0,98,0,3,33,40,58,51,14,3,0,203,0,0,0,13,13,19,5,0,0,60,0,0,3,11,14,15,5,5,0,50,15,12,59,47,53,59,65,25,8,340,117,108,368,364,413,589,599,265,65,2885
LGA52660,38,84,137,117,140,109,127,93,30,875,28,122,154,164,174,129,87,38,14,904,13,90,221,184,192,144,67,13,3,932,0,57,175,166,153,135,34,18,0,737,3,19,170,176,148,121,23,9,5,682,0,20,111,136,135,136,13,4,0,551,0,33,227,281,249,202,34,4,0,1035,0,0,38,69,65,50,11,0,0,234,0,3,31,59,73,46,19,4,6,234,30,42,107,112,125,114,112,100,91,828,842,688,1843,1927,1851,1805,1489,900,347,11691
LGA52730,9,19,43,57,68,88,61,37,8,401,7,19,32,57,69,80,60,38,8,378,6,12,52,71,77,100,59,21,3,405,0,3,33,52,76,59,36,12,3,263,0,0,21,58,44,65,25,12,5,233,0,3,21,37,41,48,15,11,0,177,0,6,21,65,77,62,25,3,0,253,0,0,7,13,18,18,10,3,0,72,0,0,3,16,33,27,15,13,0,105,39,21,51,71,95,92,90,55,22,531,395,126,393,691,833,1055,1042,542,155,5225
LGA52800,5,19,44,36,27,33,21,5,0,191,11,32,62,31,30,30,23,3,0,217,6,28,83,47,45,39,21,0,0,267,0,30,78,41,37,45,14,0,0,255,0,9,82,49,48,55,19,0,0,266,0,11,35,37,39,36,18,0,0,175,0,4,65,56,62,66,18,0,0,271,0,0,9,14,10,10,4,0,0,48,0,0,4,10,10,11,6,0,0,37,127,128,304,220,188,159,92,23,8,1238,483,550,1270,958,858,781,421,119,29,5466
LGA52870,25,23,46,52,55,83,83,26,0,393,10,22,55,68,72,68,51,22,3,365,4,21,43,71,70,104,60,13,0,379,0,15,36,39,62,71,25,7,0,258,0,8,33,60,61,40,19,5,0,229,0,8,20,42,70,49,19,0,0,208,0,12,53,79,109,92,29,8,0,378,0,0,8,16,30,22,3,4,0,85,0,0,4,21,32,23,9,5,0,100,27,15,40,45,66,65,73,40,12,380,319,216,502,684,847,1009,978,460,127,5132
LGA52940,0,0,5,6,3,0,13,8,0,34,0,7,5,12,13,15,3,3,0,53,0,0,8,0,11,14,12,0,0,52,0,0,3,6,0,0,6,0,0,17,0,0,5,6,9,7,0,0,0,28,0,0,3,6,4,0,3,0,0,26,0,0,9,12,9,3,6,0,0,39,0,0,0,3,6,0,0,0,0,7,0,0,0,6,7,5,0,0,0,18,0,7,4,5,10,12,11,7,0,64,23,36,55,86,90,84,126,45,10,557
LGA53010,0,0,5,5,6,3,7,3,0,37,0,4,8,8,3,7,6,3,0,43,0,6,13,6,11,15,3,3,0,60,0,4,6,4,8,14,4,0,0,35,0,0,4,6,5,7,0,0,0,24,0,0,5,10,4,0,0,0,0,16,0,0,0,5,8,7,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,5,0,0,0,11,5,3,10,19,19,22,23,5,0,107,21,21,74,93,89,102,96,44,0,540
