LGA_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
LGA50840,10,0,0,0,14,0,0,0,15,0,0,16,49,15,0,0,63,0,0,0,63,0,0,67,0,0,4,5,7,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,3,0,0,3,64,14,6,4,91,3,0,3,90,4,0,99,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,65,14,6,4,89,3,0,3,89,6,0,103,56,6,5,0,66,4,0,4,66,6,0,75,0,0,0,0,0,0,0,0,0,0,0,0,124,19,7,4,156,4,0,4,159,17,0,176,27,4,0,0,32,3,0,3,32,0,0,32,86,12,3,3,106,0,0,0,106,0,0,108,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,4,0,0,0,4,0,0,4,116,16,7,5,144,3,0,3
LGA50910,5,0,0,0,5,0,0,0,5,0,0,3,17,0,0,0,16,0,0,0,16,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,21,0,0,3,29,0,0,0,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,25,0,0,3,30,0,0,0,30,0,0,31,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,3,41,0,0,0,41,0,0,43,5,0,0,0,5,0,0,0,5,0,0,10,27,0,0,0,27,0,0,0,27,0,0,27,0,0,4,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,0,4,0,36,0,0,0
LGA50980,122,17,7,4,147,0,0,0,151,9,0,155,214,20,7,3,249,3,0,3,249,9,4,262,73,9,6,0,86,0,0,0,92,9,0,99,4,0,0,0,4,0,0,0,4,0,3,11,413,47,20,8,488,6,0,6,496,23,10,530,4,0,0,0,4,10,0,10,10,0,0,10,0,0,0,0,4,0,0,6,9,0,0,9,7,0,0,0,3,9,0,7,15,0,0,15,422,47,23,8,494,15,0,16,516,23,10,550,116,12,7,9,147,18,5,22,166,57,0,228,0,0,0,0,0,0,0,0,0,0,9,9,537,60,32,12,638,32,3,34,681,86,21,776,231,41,3,3,277,0,3,0,287,23,0,310,240,30,7,5,284,3,0,3,290,4,0,293,11,0,7,0,26,0,0,0,26,0,0,30,4,3,0,0,6,0,0,0,6,6,3,13,480,72,21,13,596,7,5,8
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0,0,0,22,0,0,27,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,34,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,34,3,0,35,4,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,37,0,0,0,39,3,0,42,8,0,0,0,8,0,0,0,8,0,0,8,32,0,0,0,33,0,0,0,33,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,46,0,0,0
LGA51120,10,0,0,0,10,0,0,0,10,0,0,10,13,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,25,0,0,25,21,0,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,47,0,0,0,47,0,0,47,13,0,0,0,16,0,0,0,16,0,0,16,15,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,28,0,0,0
LGA51190,90,16,6,0,106,0,3,5,110,10,0,124,353,42,11,6,409,5,0,9,419,15,0,434,60,16,13,0,94,0,0,0,95,0,0,100,5,0,0,6,10,0,0,0,10,0,0,11,499,79,29,6,617,8,4,12,635,30,0,665,0,0,0,0,0,0,0,0,3,0,0,3,13,0,0,0,20,3,0,3,22,0,0,22,12,0,0,0,22,3,0,3,22,0,0,27,516,83,29,13,638,15,4,15,657,31,0,691,309,35,22,11,375,8,3,14,384,32,0,416,0,0,0,0,0,0,0,0,0,0,0,0,821,116,49,24,1017,24,6,25,1041,63,0,1106,145,27,5,0,178,4,0,0,182,13,0,192,422,46,10,6,478,0,0,0,480,16,0,504,10,5,5,0,20,0,0,0,20,3,0,24,3,0,0,5,7,0,0,0,7,0,7,11,584,74,22,6,688,4,4,3
LGA51260,151,41,8,0,195,0,0,0,195,17,0,215,518,76,20,5,613,9,0,11,626,12,0,642,75,15,16,0,110,0,0,5,112,0,0,111,4,0,0,6,10,0,0,0,10,0,0,10,745,131,45,10,929,8,3,13,943,38,0,981,6,0,0,0,3,0,0,0,3,0,0,11,20,0,8,0,22,0,0,0,25,3,0,27,24,0,8,0,32,0,0,0,29,3,0,36,771,127,52,10,962,11,3,13,976,36,0,1010,345,51,22,0,426,4,0,4,429,25,0,457,3,0,0,0,3,0,0,0,5,0,7,9,1121,182,74,14,1389,13,3,16,1408,65,7,1479,299,45,10,3,355,0,4,4,362,25,0,384,776,84,45,13,909,3,0,0,919,29,0,948,30,10,8,0,51,0,0,0,51,0,0,50,12,0,0,13,24,0,0,0,24,0,0,24,1112,143,63,24,1341,3,4,6
LGA51310,180,24,5,0,213,4,0,4,213,13,3,233,474,47,9,0,534,0,0,0,538,10,0,546,91,19,23,0,128,0,0,0,128,3,0,133,9,0,0,3,11,0,0,0,11,0,0,14,747,92,37,9,885,4,5,5,896,22,5,919,10,0,0,0,9,0,0,0,9,0,0,9,24,0,0,0,24,0,0,0,24,0,0,24,37,0,0,0,38,0,0,0,38,0,0,38,784,97,37,9,919,10,5,7,932,22,5,960,230,25,0,0,259,0,0,4,261,11,0,271,0,0,0,0,0,0,0,0,0,0,6,10,1019,121,36,6,1183,11,7,13,1195,36,7,1234,369,51,4,0,422,8,3,7,428,23,0,451,752,57,12,8,823,7,3,7,828,7,0,835,30,3,11,0,40,0,0,0,40,0,0,42,3,0,0,9,13,0,0,0,13,0,0,13,1150,106,20,9,1288,14,5,20
LGA51330,681,91,8,3,784,15,9,17,800,31,0,834,1104,213,29,18,1358,19,6,24,1383,48,4,1437,273,38,35,0,342,4,0,4,349,9,0,351,7,0,0,11,22,0,0,0,22,0,0,29,2064,343,68,33,2505,37,14,49,2554,87,6,2645,54,11,0,0,68,8,0,8,70,0,0,70,76,16,0,0,97,5,0,5,97,0,0,105,131,29,0,0,161,10,0,10,173,0,0,175,2192,376,68,38,2675,42,14,57,2727,86,6,2822,1044,244,34,28,1354,44,17,63,1418,134,8,1562,7,0,0,19,21,0,0,0,21,0,10,33,3245,620,96,84,4046,88,28,116,4168,228,20,4409,1010,130,15,5,1156,20,3,26,1179,58,0,1241,1451,238,11,11,1709,28,7,31,1742,58,4,1801,60,13,11,0,83,0,0,0,85,0,0,83,15,0,0,9,26,0,0,0,26,0,9,30,2533,372,38,26,2973,51,9,62
LGA51400,84,4,0,0,89,3,0,6,93,4,0,97,259,26,17,3,306,0,0,3,305,4,0,309,71,3,6,0,84,0,0,0,84,0,0,87,0,0,0,6,6,0,0,0,6,0,0,4,410,38,29,11,481,4,3,10,486,13,0,500,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,4,10,0,0,0,10,0,0,0,10,0,0,8,419,38,29,11,487,4,3,10,492,11,0,511,203,20,11,5,233,0,0,0,234,10,0,249,0,3,0,3,8,0,0,0,8,0,0,8,626,59,33,12,728,5,3,9,733,25,0,760,174,24,4,0,194,7,0,8,197,9,0,213,385,33,25,0,448,0,0,0,448,6,0,455,21,0,3,0,26,0,0,0,26,0,0,26,0,0,0,3,6,0,0,0,6,0,0,6,571,60,36,9,675,7,0,8
LGA51470,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,8,0,0,8,9,3,0,0,10,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,18,0,0,0,18,0,0,16,0,0,3,0,3,0,0,0,3,0,0,3,4,0,0,0,3,0,0,0,3,0,0,3,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,14,0,0,0
LGA51540,31,3,0,0,37,0,0,0,37,3,0,39,45,10,0,0,55,0,0,0,52,3,0,57,19,0,0,0,24,4,0,4,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,95,13,4,0,114,3,0,3,116,10,0,127,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0,6,0,0,6,99,13,4,0,116,5,0,5,117,10,0,128,37,5,3,0,42,7,0,7,50,17,0,67,0,0,0,0,0,0,0,0,0,0,0,0,135,19,9,0,162,8,0,8,170,30,0,194,48,3,0,0,48,0,0,0,48,8,0,56,40,11,0,0,53,4,0,4,56,10,0,60,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,92,14,0,0,113,4,0,4
LGA51610,10,0,0,0,10,0,0,0,10,0,0,10,18,0,0,0,26,0,0,0,26,0,0,26,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,39,0,0,0,39,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,39,0,0,0,39,0,0,39,19,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,54,0,0,0,54,0,0,54,27,0,0,0,30,0,0,0,30,0,0,29,17,0,6,0,23,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,5,0,52,0,0,0
LGA51680,37,4,0,0,37,0,0,0,37,4,0,42,49,8,3,0,66,0,0,0,66,0,0,65,13,0,0,0,13,0,0,0,13,0,0,19,0,0,0,4,4,0,0,0,4,0,0,4,97,15,3,3,120,0,0,0,120,10,0,133,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,104,15,3,3,125,0,0,0,125,10,0,132,61,3,10,0,75,0,0,0,75,5,0,80,0,0,0,0,0,0,0,0,0,0,0,0,161,18,13,5,196,0,0,0,196,17,0,217,49,5,0,0,61,0,0,0,59,8,0,64,90,8,4,5,110,0,0,0,111,6,0,114,7,0,0,0,7,0,0,0,7,0,0,7,4,0,0,0,4,0,0,0,4,0,0,4,149,20,3,7,178,0,0,0
LGA51710,12,0,0,0,12,0,0,0,12,0,0,12,17,0,0,0,21,0,0,0,21,0,0,21,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,40,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,44,0,0,0,44,0,0,44,16,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,55,6,0,0,65,0,0,0,65,0,0,65,27,6,0,0,29,0,0,0,29,0,0,34,33,0,0,0,34,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,8,0,0,65,0,0,0
LGA51750,46,11,0,0,59,0,0,0,62,4,0,63,121,17,5,0,134,0,0,0,139,0,0,139,37,5,0,0,47,0,0,0,47,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,212,29,8,0,245,0,0,4,246,6,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,5,0,0,5,0,6,0,0,5,0,0,0,5,0,0,5,213,31,8,0,248,0,0,4,253,6,0,261,80,9,3,0,93,0,0,0,94,4,4,101,0,0,0,0,0,0,0,0,0,0,0,0,294,37,7,0,344,3,0,7,347,10,4,363,110,7,0,0,123,0,0,0,123,8,0,134,147,19,4,0,171,0,0,0,172,0,0,172,3,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,268,25,8,0,304,3,0,3
LGA51820,824,114,22,7,966,10,6,10,974,43,0,1018,2188,221,54,10,2486,11,3,16,2498,50,3,2555,620,59,80,0,759,0,0,3,765,13,0,781,17,0,0,14,34,0,0,0,34,0,5,37,3648,402,162,35,4240,19,5,29,4271,111,12,4388,24,7,3,0,31,0,0,0,35,5,0,38,84,10,0,3,99,0,0,0,106,0,0,110,107,14,3,3,128,4,0,4,140,4,0,145,3754,415,164,34,4370,28,5,35,4410,120,12,4535,1397,137,58,23,1616,24,7,34,1644,99,8,1752,9,0,0,3,13,5,0,5,13,0,13,25,5158,552,222,64,5996,56,20,70,6068,218,29,6314,1180,134,24,8,1342,16,11,32,1373,68,0,1440,2354,223,67,15,2665,12,8,21,2678,59,4,2743,126,15,14,0,156,0,0,0,156,4,0,158,17,0,0,16,38,0,0,0,38,0,4,39,3681,372,102,43,4194,33,21,46
LGA51860,9,0,0,0,9,0,0,0,9,0,0,9,3,4,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,22,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,22,0,0,0,22,0,0,22,8,4,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,32,0,0,0,32,0,0,32,13,0,0,0,14,0,0,0,14,0,0,11,11,3,0,0,11,0,0,0,11,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,26,0,0,0
LGA51890,20,4,0,4,26,0,0,0,29,0,0,32,86,13,4,0,108,0,0,0,105,3,0,109,11,3,5,0,19,0,0,0,19,0,0,19,0,0,0,0,4,0,0,0,4,0,0,4,125,19,6,8,155,4,0,4,154,4,0,160,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,126,19,6,8,162,4,0,4,157,4,0,165,85,9,11,7,109,3,0,4,115,19,3,136,0,0,0,0,3,0,0,0,3,0,0,3,215,24,12,15,270,8,0,9,275,23,3,308,45,0,0,3,48,0,0,0,55,0,0,51,131,3,5,0,143,0,0,0,145,9,0,151,8,0,0,0,9,0,0,0,9,0,0,9,3,0,0,0,3,0,0,0,3,0,0,4,186,9,8,6,202,6,0,6
LGA51960,21,4,0,0,21,0,0,3,23,0,0,24,30,4,0,0,38,0,0,0,38,0,0,38,4,0,5,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,51,8,9,0,68,0,0,3,67,0,0,70,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,6,0,0,0,6,0,0,4,56,12,9,0,71,0,0,3,71,0,0,72,52,3,4,0,57,0,0,0,58,13,0,67,0,0,0,0,0,0,0,0,0,0,0,0,104,15,11,0,126,0,3,0,130,11,0,144,21,4,0,0,25,0,0,0,29,0,0,28,25,0,3,0,36,0,0,0,36,0,0,36,0,0,4,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,54,4,8,0,61,0,0,0
LGA52030,3,0,0,0,3,0,0,0,3,0,0,3,19,6,0,0,22,0,0,0,22,0,0,22,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,31,0,0,0,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,31,0,0,0,31,0,0,31,12,0,0,0,12,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,41,0,0,0,41,0,0,44,8,0,0,0,8,0,0,0,8,0,0,10,12,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,24,0,0,0,25,0,0,0
LGA52100,14,0,0,0,14,0,0,0,14,0,0,14,21,3,0,0,17,3,0,3,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,38,3,0,3,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,43,3,0,3,45,0,0,45,6,0,0,0,12,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,43,8,0,0,51,5,0,5,56,0,0,56,19,0,0,0,17,0,0,0,17,0,0,17,22,4,0,0,26,3,0,3,29,0,0,29,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,45,6,0,0,50,3,0,3
LGA52170,47,7,0,0,48,0,0,0,49,0,0,51,111,10,3,0,124,0,0,0,124,0,0,124,26,0,5,0,26,0,0,0,26,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,180,12,5,0,204,0,0,0,203,3,0,204,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0,7,0,0,7,188,12,5,0,214,0,0,0,214,3,0,216,80,7,0,0,92,0,0,0,95,5,0,96,0,0,0,0,0,0,0,0,0,0,0,0,271,22,9,0,308,0,0,0,307,3,0,312,60,9,0,0,70,0,0,0,70,8,0,80,121,4,4,0,133,0,0,0,130,0,0,129,5,0,4,0,10,0,0,0,10,0,0,10,3,0,0,0,3,0,0,0,3,0,0,3,186,13,4,0,209,0,0,5
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,17,0,0,0,17,0,0,17,7,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,28,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,28,0,0,0,28,0,0,28,16,0,4,3,22,0,0,0,20,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,3,46,0,0,0,48,3,0,50,4,0,0,0,6,0,0,0,6,4,0,12,22,0,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,37,0,0,0
LGA52310,3,0,0,0,3,0,0,0,3,0,0,0,5,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,12,0,0,14,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17,0,0,0,17,0,0,20,11,0,0,0,11,0,0,0,11,5,0,15,7,0,0,0,7,0,0,0,7,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,18,0,0,0
