LGA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA50840,0,98,8,107,3,72,8,81,15,154,18,191,34,186,28,253,39,260,43,346,51,344,36,424,55,380,38,465,11,185,17,216,3,37,0,43,218,1720,195,2132,9,121,16,139,13,59,11,79,12,168,13,191,55,209,22,285,75,255,22,351,82,356,31,472,58,368,30,452,22,172,15,206,0,44,10,57,329,1740,164,2237,12,217,21,250,17,127,21,160,29,329,26,381,92,397,55,537,115,520,61,699,125,698,70,896,114,744,60,922,36,352,35,426,8,81,13,104,543,3467,364,4367
LGA50910,0,9,4,15,0,16,4,21,4,19,4,30,3,35,9,50,6,53,11,73,10,58,11,75,7,69,7,76,4,37,5,40,0,17,0,19,40,313,39,392,6,11,4,19,4,7,4,17,6,26,5,41,7,38,10,51,19,44,5,65,10,39,4,53,9,48,0,57,3,43,4,51,0,25,0,22,57,287,35,383,6,21,4,29,3,26,9,35,10,50,5,67,11,74,12,102,29,100,6,137,20,96,20,134,12,112,6,133,0,85,3,90,0,39,3,41,99,594,74,770
LGA50980,20,358,80,459,31,328,94,452,44,997,219,1265,79,952,195,1231,82,877,237,1194,53,682,164,903,32,398,71,512,8,112,26,149,0,31,9,37,356,4749,1100,6206,21,384,91,503,27,356,79,464,110,1232,281,1620,151,1117,207,1469,139,840,175,1159,109,695,121,928,39,336,69,438,11,108,24,140,0,25,8,33,619,5091,1056,6766,41,744,172,961,63,687,164,917,161,2235,499,2890,231,2076,399,2707,223,1721,412,2353,167,1372,289,1828,75,737,137,953,23,223,50,289,0,50,20,75,974,9840,2150,12969
LGA51080,0,14,9,22,0,23,0,25,0,48,7,54,8,46,6,58,13,44,9,69,21,68,7,95,3,49,5,59,3,21,3,31,0,4,0,4,54,320,47,419,0,20,7,29,3,13,3,20,0,49,9,57,11,42,7,70,12,44,5,64,27,45,11,82,4,39,3,47,3,20,3,29,0,9,0,9,69,276,54,403,8,33,15,55,3,38,4,44,4,94,12,114,20,88,13,125,25,94,15,129,48,113,18,179,14,88,11,104,11,38,10,52,0,13,0,13,119,596,103,816
LGA51120,0,17,5,20,0,23,4,31,0,44,5,48,3,42,9,58,0,47,13,59,5,54,14,70,5,62,17,90,3,24,9,27,0,7,0,8,27,314,70,413,0,15,0,17,0,12,3,17,9,28,3,37,8,37,4,51,13,46,11,59,12,48,15,77,5,51,11,68,5,33,11,46,0,8,6,12,50,277,64,388,0,34,9,40,0,40,8,45,7,72,11,88,16,78,15,111,14,89,18,123,16,101,28,143,18,112,23,155,10,51,20,72,0,13,9,26,80,586,134,798
LGA51190,37,774,54,864,31,760,106,892,118,1656,373,2146,176,1543,332,2045,214,1621,256,2097,307,1668,161,2138,213,1499,142,1847,97,827,74,997,24,270,52,344,1209,10623,1542,13376,63,779,58,898,49,774,62,892,166,1734,165,2067,302,1570,129,2009,396,1688,117,2198,533,1666,109,2299,337,1580,113,2025,124,945,91,1158,29,489,107,622,1987,11232,944,14159,98,1555,108,1764,82,1536,164,1785,276,3393,541,4214,480,3117,457,4053,608,3304,376,4290,841,3329,272,4440,545,3076,254,3875,219,1773,163,2158,51,760,156,968,3200,21852,2488,27536
LGA51260,37,1081,75,1192,23,676,41,739,84,1577,189,1851,176,2017,216,2408,259,2166,219,2649,335,2003,176,2518,238,2285,143,2673,156,1184,113,1447,39,303,51,404,1348,13300,1221,15871,49,945,83,1079,29,578,46,653,149,1671,141,1965,357,2254,146,2760,516,2214,127,2854,600,2097,140,2837,418,2263,160,2844,186,1188,138,1510,40,553,59,645,2353,13752,1045,17146,88,2025,155,2269,50,1251,88,1394,230,3251,328,3812,528,4271,362,5162,775,4384,349,5504,935,4100,318,5355,656,4547,305,5509,339,2369,254,2960,82,856,111,1045,3699,27052,2264,33019
LGA51310,38,1013,17,1069,45,669,19,729,59,1247,67,1371,130,1550,67,1749,256,1807,73,2138,330,1365,51,1746,182,1026,58,1264,95,611,45,749,49,276,22,345,1175,9559,422,11155,37,853,20,914,50,670,21,742,93,1298,69,1462,235,1708,52,1993,472,1732,49,2259,543,1256,50,1857,278,1009,65,1355,143,665,48,861,57,500,63,621,1916,9697,452,12062,74,1869,45,1984,92,1337,40,1472,155,2543,140,2837,366,3259,121,3743,732,3540,121,4391,875,2622,105,3602,460,2030,127,2616,237,1276,91,1608,107,776,90,969,3089,19255,877,23216
LGA51330,125,2763,111,2996,180,3723,278,4176,374,6819,610,7804,527,5919,417,6867,630,4948,302,5879,623,3997,245,4867,482,3210,126,3817,219,1656,107,1987,66,514,51,631,3224,33554,2249,39025,150,2670,117,2937,183,3210,202,3597,447,6184,451,7085,797,6064,303,7168,989,4674,208,5867,1084,3982,183,5256,750,3375,139,4274,302,1863,142,2310,46,809,99,959,4741,32846,1843,39434,272,5433,227,5932,358,6934,475,7768,817,13006,1064,14885,1324,11987,722,14030,1621,9616,512,11751,1713,7984,430,10116,1237,6588,266,8086,520,3524,254,4299,112,1327,150,1591,7968,66395,4092,78459
LGA51400,20,621,47,693,19,407,29,452,52,722,44,821,92,938,89,1117,130,1089,99,1318,140,953,77,1165,80,712,65,861,42,282,24,353,7,38,8,56,583,5765,483,6833,36,615,40,689,22,402,25,449,93,877,57,1022,189,1054,66,1308,254,1097,52,1409,278,833,56,1162,131,653,50,831,52,276,29,356,7,66,7,82,1056,5871,379,7313,56,1242,87,1385,38,807,57,903,145,1598,102,1842,280,1995,158,2425,385,2187,153,2727,416,1787,127,2332,215,1367,110,1692,97,556,51,701,7,104,17,136,1641,11641,861,14148
LGA51470,0,5,3,11,0,7,0,7,0,26,0,22,6,35,11,50,0,31,10,41,0,37,6,36,9,40,7,57,4,17,0,18,0,3,0,3,13,198,44,253,0,0,4,0,5,14,0,18,0,27,3,37,3,27,9,43,3,22,0,28,5,36,5,46,0,28,4,35,0,8,5,13,0,3,0,4,19,162,34,218,0,9,7,15,5,24,0,29,0,53,4,62,10,57,18,95,3,49,12,64,12,74,8,82,7,70,6,86,4,25,11,33,0,6,0,11,31,365,79,473
LGA51540,10,98,39,143,8,102,38,147,27,238,85,353,20,218,60,298,33,299,77,404,36,306,52,391,20,263,38,323,11,87,27,130,4,26,5,29,160,1639,411,2216,9,88,19,111,10,113,42,162,36,264,64,363,24,230,54,318,51,251,58,355,55,258,44,367,21,182,28,237,10,86,18,114,0,23,12,40,226,1496,339,2060,16,184,55,257,13,216,78,307,63,508,152,715,46,449,114,617,84,549,130,767,86,564,94,753,43,448,69,556,21,172,46,241,4,47,16,70,390,3133,754,4280
LGA51610,6,36,5,47,0,25,4,29,0,53,5,61,4,80,16,91,16,102,21,139,14,102,16,134,4,73,7,83,10,28,3,37,0,9,0,8,50,498,84,634,0,38,9,45,0,18,4,27,5,53,4,71,17,71,16,100,21,93,22,129,20,85,13,118,11,68,3,87,3,16,0,20,0,3,0,3,76,439,74,595,3,73,15,94,0,40,4,47,6,110,6,127,16,147,36,194,37,196,40,274,37,188,29,254,19,138,12,169,11,43,3,53,0,4,0,9,125,943,159,1226
LGA51680,8,180,26,213,4,126,11,143,14,216,22,248,25,284,22,328,43,374,54,466,58,395,54,503,37,262,30,334,16,127,23,164,3,21,5,33,213,1980,243,2441,15,160,28,198,3,103,6,106,17,221,26,264,55,281,18,351,77,360,33,472,86,355,42,484,61,227,21,310,17,116,15,144,0,33,10,40,333,1859,187,2376,20,338,52,415,11,227,18,255,29,440,44,516,84,562,36,682,122,731,86,942,144,751,93,988,99,490,54,642,37,242,34,309,3,60,9,77,547,3836,428,4820
LGA51710,4,11,4,22,0,20,31,52,0,86,133,221,3,69,72,146,8,87,55,152,9,87,17,111,4,96,26,128,0,17,0,16,0,4,0,4,33,482,342,856,5,28,3,32,0,17,3,23,8,67,25,94,6,88,20,117,11,82,17,109,14,70,13,99,5,43,5,52,0,15,3,14,0,0,0,0,47,409,89,546,4,43,8,54,0,36,30,73,9,152,160,319,20,158,97,271,17,170,70,263,22,154,35,210,8,140,25,178,0,31,0,32,0,4,0,4,79,895,434,1406
LGA51750,23,427,22,471,27,307,21,351,27,530,55,616,46,472,28,539,84,572,31,693,100,460,20,581,86,433,24,542,45,377,33,461,14,144,25,189,452,3726,257,4439,18,341,25,385,18,335,28,375,46,545,39,629,78,522,28,632,179,576,32,785,189,490,28,703,143,479,24,648,90,445,33,571,19,287,35,344,779,4021,274,5074,46,771,49,859,39,644,42,725,74,1074,97,1244,120,997,55,1175,262,1154,61,1475,291,949,45,1286,227,907,56,1196,141,827,67,1030,40,427,65,529,1232,7747,528,9513
LGA51820,129,3025,150,3309,158,3341,202,3707,411,7689,568,8664,652,7933,604,9189,843,6572,434,7856,853,5079,307,6237,522,3741,222,4491,269,1778,192,2247,66,514,116,697,3913,39687,2784,46388,146,2925,125,3191,230,3361,176,3770,641,8160,427,9232,1181,7843,353,9379,1502,6195,281,7977,1460,4992,251,6705,764,3886,232,4876,253,2007,242,2497,48,847,213,1115,6227,40221,2288,48736,279,5953,270,6500,388,6704,375,7474,1055,15848,994,17894,1835,15779,951,18564,2344,12772,714,15830,2313,10075,554,12939,1286,7629,449,9368,523,3784,436,4740,119,1365,325,1811,10139,79911,5072,95118
LGA51860,0,8,0,8,0,16,3,20,0,20,11,32,0,34,7,45,0,22,6,27,3,45,13,53,4,23,5,30,6,13,3,18,0,5,0,3,11,170,45,229,0,5,3,8,0,16,5,21,4,27,5,36,5,26,12,42,0,21,3,31,5,37,15,54,5,25,3,32,0,9,0,12,0,0,0,0,19,169,47,236,0,12,3,17,0,25,5,36,3,51,17,65,5,65,17,85,3,41,10,53,10,73,25,111,5,49,8,63,4,21,8,33,0,6,0,11,28,342,97,467
LGA51890,16,235,33,289,13,193,16,219,29,366,45,440,52,388,49,489,66,406,51,523,98,513,49,652,64,543,50,656,33,216,32,285,7,48,23,77,380,2910,340,3630,9,205,24,244,13,166,19,201,62,378,37,474,79,368,46,493,108,450,37,600,145,461,37,642,91,441,40,567,34,214,38,286,3,66,32,101,552,2741,315,3611,25,444,57,528,28,360,33,423,97,741,85,920,138,753,90,976,179,854,90,1120,242,973,81,1301,156,983,83,1220,70,433,69,568,10,109,59,183,928,5652,655,7239
LGA51960,4,71,18,97,0,67,28,94,13,180,80,266,11,147,72,235,8,217,82,308,19,218,63,300,10,133,28,176,3,38,9,49,0,7,4,8,65,1079,384,1525,7,69,29,112,12,76,25,112,10,133,47,191,24,159,61,241,23,164,43,229,24,149,39,212,6,99,20,128,4,24,9,32,0,7,0,7,103,871,285,1262,8,149,50,204,12,144,54,208,23,314,124,461,31,306,136,471,36,375,127,533,45,368,101,513,20,228,55,297,6,59,21,86,0,11,4,14,172,1954,669,2789
LGA52030,0,6,3,12,0,10,3,18,0,33,13,53,3,34,0,44,3,35,13,60,17,96,15,133,16,97,13,118,6,47,8,55,3,3,6,13,51,371,84,502,0,10,6,14,0,13,0,12,4,39,7,49,4,35,9,45,10,27,9,55,16,65,8,88,18,76,10,96,8,30,4,48,0,6,7,13,61,302,59,419,3,16,5,27,0,18,11,32,6,78,20,98,13,69,8,89,19,70,24,107,30,162,29,220,28,168,20,215,13,77,16,103,4,9,12,23,110,672,141,922
LGA52100,0,22,0,26,0,32,0,32,3,47,0,50,3,48,3,61,11,46,6,55,14,56,6,70,11,69,3,84,3,25,3,33,3,12,0,19,42,358,27,428,0,14,0,9,0,16,0,22,3,46,4,50,3,47,0,55,14,38,4,57,19,51,3,72,17,52,7,77,0,36,6,38,3,20,0,25,58,316,36,409,0,32,7,35,0,45,0,52,9,95,4,105,14,100,8,118,20,84,9,110,24,108,8,147,20,122,13,156,3,57,8,75,4,29,3,42,102,674,60,833
LGA52170,9,266,6,285,9,200,12,227,20,380,37,438,26,349,35,411,78,417,13,509,109,412,31,559,68,385,18,472,30,239,25,292,5,64,17,91,373,2729,191,3282,13,253,6,274,22,197,11,227,31,402,29,472,36,377,19,431,125,440,16,581,204,330,20,556,97,373,18,482,41,217,23,283,7,88,26,125,579,2684,179,3437,25,517,19,556,28,402,18,451,57,782,66,908,67,728,54,841,203,864,30,1094,318,747,51,1113,160,758,39,959,78,452,42,577,16,155,45,219,948,5405,361,6722
LGA52240,0,13,3,24,0,18,4,20,5,42,3,44,3,48,3,59,13,57,13,82,10,81,13,99,7,65,6,77,8,35,3,43,0,7,0,4,38,372,53,464,0,14,3,22,5,16,0,22,3,34,4,43,13,55,11,80,13,51,8,70,12,56,9,77,8,41,12,62,4,28,7,38,0,6,3,5,62,309,55,421,5,34,14,43,5,34,8,45,6,76,10,90,21,105,14,132,28,109,18,159,21,141,17,178,15,106,15,134,7,60,12,85,0,9,0,15,100,680,106,882
LGA52310,0,15,0,15,3,17,5,17,0,35,3,35,0,29,4,43,9,63,5,72,18,59,9,83,8,69,6,85,8,27,5,39,0,7,0,10,49,311,40,399,0,8,7,13,0,25,4,26,0,29,6,40,5,23,3,35,17,46,4,69,19,55,4,81,12,52,4,65,0,20,6,23,0,0,0,8,60,263,34,358,0,25,3,28,0,31,9,41,4,62,8,74,11,57,10,75,30,106,13,142,38,116,15,166,17,125,4,151,9,45,12,61,3,9,0,12,115,578,68,756
LGA52380,0,4,0,4,0,3,0,8,0,28,6,33,0,9,5,10,0,23,6,25,0,15,0,18,0,24,5,36,3,4,3,12,0,0,0,0,8,116,18,143,0,0,0,0,0,6,4,5,0,3,0,8,0,3,3,5,0,8,0,8,0,14,0,16,3,16,4,24,0,5,0,5,0,0,0,0,3,51,12,70,0,4,0,4,0,9,3,14,0,33,3,35,0,15,7,20,0,29,7,31,0,32,7,35,6,43,7,58,3,9,3,11,0,0,0,0,5,169,34,209
LGA52450,3,69,5,78,3,22,0,26,4,75,3,83,3,55,8,70,11,55,8,75,11,75,4,91,3,62,5,76,0,30,0,36,0,7,0,14,48,459,44,547,0,57,3,59,3,21,0,30,6,53,3,67,11,63,15,86,11,53,5,62,14,52,0,68,12,52,10,73,4,16,3,22,0,12,4,13,60,376,47,489,3,126,6,144,8,42,5,56,10,128,10,152,16,117,23,155,15,107,11,136,24,125,11,154,18,117,17,151,5,50,7,64,0,19,4,27,107,835,94,1039
