LGA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA57490,12068,3223,1022,144,43,13,124,16640
LGA57630,0,0,0,0,0,0,0,0
LGA57700,3428,759,268,58,15,0,27,4562
LGA57770,55,12,0,0,0,0,0,71
LGA57840,3926,460,75,21,8,0,11,4491
LGA57910,22579,2547,532,155,28,7,64,25915
LGA57980,1613,147,21,5,0,0,0,1791
LGA58050,15945,2845,887,257,53,20,112,20120
LGA58190,34,5,0,0,0,0,0,38
LGA58260,41,10,0,0,0,0,0,57
LGA58330,255,82,16,7,0,0,8,374
LGA58400,12,0,0,0,0,0,0,15
LGA58470,10,0,0,4,0,0,0,18
LGA58510,2917,373,72,15,5,0,15,3398
LGA58540,71,0,4,0,0,0,0,80
LGA58570,3098,325,39,13,0,0,9,3488
LGA58610,103,15,10,0,0,0,0,131
LGA58680,41,3,0,0,0,0,0,48
LGA58760,23035,4133,1368,266,46,12,126,28985
LGA58820,313,84,20,9,0,0,7,434
LGA58890,67,0,0,0,0,0,0,73
LGA59030,23,0,0,0,0,0,0,23
LGA59100,51,5,0,0,0,0,0,57
LGA59170,89,7,8,0,0,0,0,106
LGA59250,6,0,0,0,0,0,0,9
LGA59310,93,10,10,0,0,0,0,118
LGA59320,46,4,6,0,0,0,0,53
LGA59330,29,3,0,0,0,0,0,33
LGA59340,461,88,20,26,3,0,10,605
LGA59350,3,0,0,0,0,0,0,6
LGA59360,53,10,3,0,0,0,0,63
LGA59370,204,39,15,5,0,0,8,269
LGA59499,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0
