LGA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA57350,34,9,39,91,49,3,138,458,211,812
LGA57420,29,6,32,330,77,13,422,1081,192,1688
LGA57490,1682,377,2083,23979,8089,1294,33357,65730,7159,106248
LGA57630,0,0,0,4,0,0,4,67,36,113
LGA57700,222,22,249,6427,1960,339,8727,13795,1638,24159
LGA57770,3,5,8,127,30,6,164,568,137,860
LGA57840,968,249,1233,6165,2725,257,9143,25944,2093,37180
LGA57910,5277,535,5894,36810,12554,1312,50678,127168,10254,188101
LGA57980,353,83,439,2771,1039,94,3906,9821,817,14538
LGA58050,1514,230,1767,27842,8241,1102,37184,75505,7052,119743
LGA58190,8,0,6,54,10,6,67,202,44,315
LGA58260,7,0,6,84,20,3,108,277,68,455
LGA58330,60,9,72,484,268,33,785,2717,480,3977
LGA58400,0,0,0,32,9,0,37,188,32,266
LGA58470,0,0,0,18,11,10,47,72,14,129
LGA58510,692,332,1022,5345,1690,192,7223,21899,2608,31730
LGA58540,12,0,12,104,28,3,131,456,83,670
LGA58570,587,61,667,5509,1692,245,7443,21957,1891,31291
LGA58610,44,5,47,221,91,3,318,990,169,1479
LGA58680,7,0,9,66,19,0,87,285,92,463
LGA58760,2196,394,2623,39348,11754,1691,52797,101734,8464,162994
LGA58820,79,27,106,578,260,35,869,2337,334,3533
LGA58890,21,4,24,94,36,6,135,428,76,636
LGA59030,8,3,6,36,13,0,45,136,29,203
LGA59100,13,3,18,97,36,0,129,337,91,552
LGA59170,18,3,17,162,59,16,242,458,97,803
LGA59250,0,0,0,46,23,0,70,224,150,452
LGA59310,19,0,20,201,57,9,271,693,94,1058
LGA59320,5,0,3,70,19,4,96,219,40,357
LGA59330,4,4,9,50,22,0,72,291,48,409
LGA59340,14,8,25,960,494,108,1559,3106,1092,5761
LGA59350,4,0,4,25,6,0,31,127,151,313
LGA59360,13,7,21,119,39,8,169,677,213,1055
LGA59370,90,18,108,381,202,20,600,2085,276,2964
LGA59499,12,23,30,613,205,45,861,3063,3361,7285
LGA59799,0,0,0,40,5,3,45,248,221,516
