"Table_Number","Year","Measure","Indigenous_Status","Remoteness","Housing_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Capital expenditure","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","382.7","254.6","387.3","30.8","126.2","66.1","13.9","214.3","","1476.0"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Total","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1738.3","951.5","1107.0","698.4","642.3","217.7","162.8","396.4","","5914.5"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","166.76","104.77","140.29","252.96","293.38","282.46","348.32","744.01","","173.91"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","Public housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1070.2","502.6","511.6","499.3","295.0","63.8","139.8","98.3","","3180.6"
"18A.1","2018-19","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","50.4","..","47.3","..","21.0","1.6","..","108.0","","228.3"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1391.2","631.5","730.7","659.6","343.0","113.3","145.2","206.9","","4221.5"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Capital expenditure","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","381.8","282.9","357.6","17.5","172.6","62.1","6.2","280.0","","1560.5"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Total","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1773.0","914.4","1088.3","677.0","515.6","175.4","151.4","486.9","","5782.0"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","172.91","96.76","144.62","253.06","196.81","213.11","342.70","841.60","","167.65"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","Public housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1173.8","444.2","503.8","520.6","300.7","65.5","133.1","101.4","","3243.1"
"18A.1","2017-18","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","51.2","..","44.3","..","21.5","1.7","..","94.8","","213.4"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1478.6","570.8","708.7","755.9","348.8","145.7","138.4","196.4","","4343.2"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Capital expenditure","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","513.0","293.3","414.2","37.2","186.7","35.5","-3.1","201.1","","1678.1"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Total","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1991.6","864.1","1122.9","793.1","535.6","181.2","135.2","397.5","","6021.2"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","186.80","89.38","142.74","292.44","201.86","277.65","332.67","795.90","","175.34"
"18A.2","2021-22","Properties transferred to community housing","All people","All areas","Community housing","2021-22 dollars","Property transferred from State and Territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","276.7","0","4.3","0","0","614.9","na","0.4","",""
"18A.2","2021-22","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from State and Territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and Territory governments (unpublished)","no.","558","0","1","0","0","2027","na","12","",""
"18A.2","2020-21","Properties transferred to community housing","All people","All areas","Community housing","2021-22 dollars","Property transferred from State and Territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","20.0","0","1.1","0","75.2","2.5","na","0","",""
"18A.2","2020-21","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from State and Territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and Territory governments (unpublished)","no.","47","0","2","0","250","24","na","0","",""
"18A.2","2019-20","Properties transferred to community housing","All people","All areas","Community housing","2021-22 dollars","Property transferred from State and Territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1625.0","0","0.9","0","0","15.3","na","0","",""
"18A.2","2019-20","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from State and Territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and Territory governments (unpublished)","no.","4549","0","1","0","0","103","na","0","",""
"18A.2","2018-19","Properties transferred to community housing","All people","All areas","Community housing","2021-22 dollars","Property transferred from State and Territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","3158.9","122.1","0","0","3.3","2.9","2.3","4.5","",""
"18A.2","2018-19","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from State and Territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and Territory governments (unpublished)","no.","8869","458","na","0","12","70","0","39","",""
"18A.2","2017-18","Properties transferred to community housing","All people","All areas","Community housing","2021-22 dollars","Property transferred from State and Territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","131.5","99.5","0","43.7","1162.8","43.5","na","1.1","",""
"18A.2","2017-18","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from State and Territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and Territory governments (unpublished)","no.","na","na","na","90","4003","na","na","3","",""
"18A.3","2022","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","96712","63987","52643","32034","31591","4999","10744","4890","","297600"
"18A.3","2022","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4120","..","3229","..","1350","164","..","5428","","14291"
"18A.3","2022","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","54292","16159","11524","6571","12430","9252","958","495","","111681"
"18A.3","2022","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","54098","12154","11495","7186","12121","8791","687","495","","107027"
"18A.3","2022","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3989","1864","5184","2698","681","96","..","1790","","16302"
"18A.3","2021","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","96728","63921","52195","31919","31938","7031","10859","4929","","299520"
"18A.3","2021","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4531","..","3216","..","1365","221","..","5381","","14714"
"18A.3","2021","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","53233","14996","11439","7997","12387","7019","970","478","","108519"
"18A.3","2021","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","52963","10905","11422","6638","12067","6717","690","478","","101880"
"18A.3","2021","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3611","1694","5236","2699","681","90","..","1803","","15814"
"18A.3","2020","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","96939","64072","51890","32409","32147","7050","10985","4911","","300403"
"18A.3","2020","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4560","..","3242","..","1388","218","..","5231","","14639"
"18A.3","2020","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","49509","14857","11054","8005","12151","6919","936","464","","103895"
"18A.3","2020","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","49312","10728","11049","6899","11830","6457","523","464","","97262"
"18A.3","2020","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2869","1670","5238","2699","689","87","..","1801","","15053"
"18A.3","2019","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","100623","64428","51817","32905","32472","7037","10955","4954","","305191"
"18A.3","2019","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4591","..","3271","..","1414","218","..","5168","","14662"
"18A.3","2019","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","46557","15081","10941","7968","11622","6698","907","431","","100205"
"18A.3","2019","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","46250","10627","10941","6872","11284","6218","647","431","","93270"
"18A.3","2019","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3719","1612","5400","2711","697","81","..","1973","","16193"
"18A.3","2018","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","111341","64295","51413","33293","32686","7005","11181","5017","","316231"
"18A.3","2018","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4603","..","3292","..","1449","222","..","5120","","14686"
"18A.3","2018","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","35345","14486","11116","8062","11561","5980","895","374","","87819"
"18A.3","2018","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","34743","10341","11104","6961","11271","6056","677","374","","81527"
"18A.3","2018","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3461","1707","5224","2704","727","81","..","1862","","15766"
"18A.3","2017","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","110221","64170","51263","33836","37281","7065","11077","5000","","319913"
"18A.3","2017","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4608","..","3324","..","1734","223","..","5032","","14921"
"18A.3","2017","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","34398","14278","11512","7847","7484","6115","883","385","","82902"
"18A.3","2017","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","33837","10042","11490","6722","7134","6044","674","385","","76328"
"18A.3","2017","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3370","1720","5232","2649","735","76","..","2248","","16030"
"18A.3","2016","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","110174","64241","51188","33533","37852","7166","10917","4970","","320041"
"18A.3","2016","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4613","..","3344","..","1769","223","..","na","","9949"
"18A.3","2016","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","32266","14236","11679","7409","7472","6076","715","373","","80226"
"18A.3","2016","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","32647","9902","11737","6282","7173","6156","563","373","","74833"
"18A.3","2016","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3004","1939","5154","2670","692","76","..","1926","","15461"
"18A.3","2015","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","110214","64404","51248","33361","39428","7234","10833","4905","","321627"
"18A.3","2015","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4641","..","3355","..","1817","222","..","na","","10035"
"18A.3","2015","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","28214","13943","11580","6776","5941","6202","663","301","","73620"
"18A.3","2015","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","27858","10000","11586","6217","5712","6046","546","301","","68266"
"18A.3","2015","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3055","1964","5000","2575","1116","75","..","1858","","15643"
"18A.3","2014","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","110805","64471","51368","33467","39422","8413","10848","5009","","323803"
"18A.3","2014","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4632","..","3383","..","1815","283","..","na","","10113"
"18A.3","2014","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","26425","14268","11667","6967","5974","4787","610","338","","71036"
"18A.3","2014","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","26254","9980","11660","6018","5702","4720","527","338","","65199"
"18A.3","2014","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2746","1966","5013","2493","1102","73","..","2152","","15545"
"18A.3","2013","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","111216","64616","51675","33661","40018","11139","10956","5059","","328340"
"18A.3","2013","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4540","..","3405","..","1803","336","..","na","","10084"
"18A.3","2013","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","26038","13957","11673","6479","5875","2434","590","339","","67385"
"18A.3","2013","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","26026","9783","12284","5722","5615","2114","507","339","","62390"
"18A.3","2013","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2991","1960","4777","2439","1100","62","..","2065","","15394"
"18A.4","2022","Descriptive data","All people","All areas","Public housing","","Public housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","92613","60639","51684","30892","30323","4897","10302","4664","","286014"
"18A.4","2022","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3986","..","3180","..","1303","161","..","4896","","13526"
"18A.4","2022","Descriptive data","All people","All areas","Community housing","","Community housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","49151","14567","10443","6273","12011","8963","737","na","","102145"
"18A.4","2022","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2767","1802","6174","3014","638","96","..","1790","","16281"
"18A.4","2021","Descriptive data","All people","All areas","Public housing","","Public housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","93131","61001","51260","30744","30144","6904","10421","4740","","288345"
"18A.4","2021","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4372","..","3171","..","1295","217","..","4909","","13964"
"18A.4","2021","Descriptive data","All people","All areas","Community housing","","Community housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","47536","13755","10283","7548","11927","6658","776","na","","98483"
"18A.4","2021","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2671","1640","6846","2905","632","91","..","1803","","16588"
"18A.4","2020","Descriptive data","All people","All areas","Public housing","","Public housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","93107","61577","50882","31274","30501","6961","10610","4701","","289613"
"18A.4","2020","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Households; at 30 June","Total","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4361","..","3182","..","1304","218","..","4767","","13832"
