Table_Number,Year,Measure,Age,Indigenous_Status,Remoteness,Service_Type,Client_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
19A.2,2016,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People staying in boarding houses,,,ABS Census of Population and Housing: Estimating Homelessness,rate,9.2,7.4,7.7,4.0,5.4,2.7,2.4,21.2,7.5
19A.2,2016,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People in other temporary lodging,,,ABS Census of Population and Housing: Estimating Homelessness,rate,0.3,0.2,0.4,0.2,0.2,0.5,0.1,0.8,0.3
19A.2,2016,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People living in 'severely' crowded dwellings,,,ABS Census of Population and Housing: Estimating Homelessness,rate,22.5,15.1,16.2,15.6,12.8,5.2,9.3,483.5,21.8
19A.2,2016,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,Total homeless people,,,ABS Census of Population and Housing: Estimating Homelessness,rate,50.4,41.9,46.1,36.4,37.1,31.8,40.2,599.4,49.8
19A.2,2011,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People who are in improvised dwellings; tents or sleeping out,,,ABS Census of Population and Housing: Estimating Homelessness,rate,2.8,2.0,3.7,4.1,1.6,3.1,0.8,40.0,3.2
19A.2,2011,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People in supported accommodation for the homeless,,,ABS Census of Population and Housing: Estimating Homelessness,rate,7.1,14.6,8.7,4.2,10.1,9.7,30.9,26.7,9.9
19A.2,2011,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People staying temporarily with other households,,,ABS Census of Population and Housing: Estimating Homelessness,rate,7.1,6.2,9.9,9.7,8.7,10.1,8.9,20.2,8.1
19A.2,2011,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People staying in boarding houses,,,ABS Census of Population and Housing: Estimating Homelessness,rate,8.4,7.3,6.9,4.2,5.1,3.8,0.2,13.9,6.9
19A.2,2011,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People in other temporary lodging,,,ABS Census of Population and Housing: Estimating Homelessness,rate,0.4,0.2,0.5,0.3,0.2,0.4,0.1,0.9,0.3
19A.2,2011,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People living in 'severely' crowded dwellings,,,ABS Census of Population and Housing: Estimating Homelessness,rate,14.0,11.2,14.3,18.5,10.7,3.7,7.8,621.4,19.2
19A.2,2011,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,Total homeless people,,,ABS Census of Population and Housing: Estimating Homelessness,rate,39.7,41.7,43.9,41.0,36.4,31.0,48.7,723.3,47.6
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Composition of support provided,Clients receiving support services,Accommodation/accommodation related assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,23.7,29.8,35.9,49.0,20.6,48.6,38.8,48.7,31.1
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Assistance to sustain housing tenure,,,Composition of support provided,Clients receiving support services,Assistance to sustain housing tenure,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,29.2,27.8,30.8,15.4,25.9,12.2,28.4,19.3,26.6
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Mental health services,,,Composition of support provided,Clients receiving support services,Mental health services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.4,4.3,4.1,4.9,0.2,6.1,7.0,2.8,4.3
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Family/relationship assistance,,,Composition of support provided,Clients receiving support services,Family services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,6.0,5.1,4.5,7.4,7.3,5.1,13.9,6.9,5.7
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Disability services,,,Composition of support provided,Clients receiving support services,Disability services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,0.6,0.7,0.7,0.7,0.0,1.0,1.7,0.6,0.6
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Drug/alcohol counselling,,,Composition of support provided,Clients receiving support services,Drug/alcohol assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,1.6,1.4,1.4,2.3,0.1,2.7,2.4,1.2,1.4
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Legal/financial services,,,Composition of support provided,Clients receiving support services,Legal/financial services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,2.5,2.2,3.2,3.7,3.0,2.5,6.7,5.3,2.7
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Immigration/cultural services,,,Composition of support provided,Clients receiving support services,Immigration/cultural services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.9,5.0,3.3,21.4,8.2,1.1,6.1,9.4,6.7
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Domestic/family violence services,,,Composition of support provided,Clients receiving support services,Domestic/family violence services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,20.3,35.0,18.3,30.4,22.8,8.2,15.4,38.2,26.7
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,Other specialist services,,,Composition of support provided,Clients receiving support services,Other specialist services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,16.8,10.5,13.0,17.4,11.5,12.0,17.8,19.6,13.4
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,General services,,,Composition of support provided,Clients receiving support services,General services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,92.7,80.2,91.3,94.7,99.1,89.2,87.9,91.9,88.1
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total clients,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,70588.0,105510.0,41227.0,24470.0,18610.0,6567.0,4012.0,10122.0,278275.0
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total support days,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,'000 days,7454.0,10118.0,3908.0,1813.0,1936.0,823.0,674.0,1019.0,27745.0
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,101314.0,239470.0,60903.0,37838.0,32435.0,13164.0,5984.0,15842.0,506950.0
19A.3,2020-21,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total closed support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,80669.0,211011.0,49117.0,32564.0,28133.0,10775.0,4207.0,12720.0,429196.0
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Composition of support provided,Clients receiving support services,Accommodation/accommodation related assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,24.4,25.7,38.0,49.7,20.8,47.1,39.2,43.5,29.7
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Assistance to sustain housing tenure,,,Composition of support provided,Clients receiving support services,Assistance to sustain housing tenure,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,29.2,27.7,30.6,16.4,26.8,14.9,27.0,20.5,26.7
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Mental health services,,,Composition of support provided,Clients receiving support services,Mental health services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.5,3.9,4.2,5.5,0.2,7.9,6.0,2.6,4.2
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Family/relationship assistance,,,Composition of support provided,Clients receiving support services,Family services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.9,5.0,4.4,7.9,6.6,6.5,12.6,5.6,5.6
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Disability services,,,Composition of support provided,Clients receiving support services,Disability services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,0.6,0.5,0.5,0.5,0.0,1.5,1.4,0.6,0.5
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Drug/alcohol counselling,,,Composition of support provided,Clients receiving support services,Drug/alcohol assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,1.9,1.3,1.6,2.5,0.1,3.8,1.5,1.6,1.5
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Legal/financial services,,,Composition of support provided,Clients receiving support services,Legal/financial services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,3.1,2.1,3.9,4.3,3.4,4.3,6.3,4.1,3.0
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Immigration/cultural services,,,Composition of support provided,Clients receiving support services,Immigration/cultural services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,6.5,4.5,3.4,20.7,6.7,1.1,5.3,9.0,6.4
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Domestic/family violence services,,,Composition of support provided,Clients receiving support services,Domestic/family violence services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,20.3,34.0,21.2,30.2,24.8,9.3,16.1,34.2,27.0
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,Other specialist services,,,Composition of support provided,Clients receiving support services,Other specialist services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,17.8,10.1,15.3,18.1,10.7,13.0,16.6,18.1,13.7
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,General services,,,Composition of support provided,Clients receiving support services,General services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,92.8,79.8,92.2,93.8,99.0,92.6,82.3,91.1,87.7
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total clients,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,70372.0,115306.0,43094.0,24956.0,19218.0,6444.0,4143.0,10277.0,290462.0
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total support days,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,'000 days,7122.0,9575.0,3546.0,1617.0,1906.0,776.0,625.0,964.0,26132.0
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,100389.0,248153.0,61336.0,37914.0,33102.0,12878.0,6178.0,15075.0,515025.0
19A.3,2019-20,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total closed support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,80710.0,220927.0,51096.0,33471.0,27119.0,10906.0,4311.0,12320.0,440860.0
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Composition of support provided,Clients receiving support services,Accommodation/accommodation related assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,24.3,25.0,40.5,46.2,21.8,48.2,38.2,49.1,29.7
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Assistance to sustain housing tenure,,,Composition of support provided,Clients receiving support services,Assistance to sustain housing tenure,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,30.7,27.4,32.2,19.6,24.9,15.6,30.0,21.4,27.5
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Mental health services,,,Composition of support provided,Clients receiving support services,Mental health services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.2,3.6,4.7,5.2,0.2,6.7,4.9,2.7,4.0
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Family/relationship assistance,,,Composition of support provided,Clients receiving support services,Family services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.0,4.6,4.6,8.3,5.7,6.2,12.1,6.2,5.2
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Disability services,,,Composition of support provided,Clients receiving support services,Disability services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,0.6,0.4,0.5,0.5,0.0,1.2,0.8,0.7,0.5
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Drug/alcohol counselling,,,Composition of support provided,Clients receiving support services,Drug/alcohol assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,2.2,1.2,1.8,2.7,0.1,3.0,1.3,1.9,1.6
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Legal/financial services,,,Composition of support provided,Clients receiving support services,Legal/financial services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,3.1,2.3,3.9,4.2,2.1,3.4,5.9,6.9,3.1
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Immigration/cultural services,,,Composition of support provided,Clients receiving support services,Immigration/cultural services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,6.1,4.3,3.6,9.0,6.3,0.9,5.2,13.3,5.3
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Domestic/family violence services,,,Composition of support provided,Clients receiving support services,Domestic/family violence services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,20.3,31.2,19.0,31.3,26.2,8.1,12.3,36.0,25.6
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,Other specialist services,,,Composition of support provided,Clients receiving support services,Other specialist services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,16.1,10.0,15.4,17.3,7.4,11.8,15.2,24.6,13.1
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,General services,,,Composition of support provided,Clients receiving support services,General services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,92.8,81.9,91.9,95.2,99.5,91.4,88.3,89.4,88.8
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total clients,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,73549.0,112919.0,43087.0,24871.0,19637.0,6623.0,3808.0,9646.0,290317.0
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total support days,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,'000 days,7163.0,9375.0,3527.0,1690.0,1981.0,761.0,569.0,967.0,26033.0
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,108233.0,234058.0,61625.0,37691.0,34904.0,13245.0,5642.0,14333.0,509731.0
19A.3,2018-19,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total closed support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,88792.0,208252.0,52273.0,32923.0,29324.0,11110.0,4152.0,11518.0,438344.0
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Composition of support provided,Clients receiving support services,Accommodation/accommodation related assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,25.0,22.7,44.0,43.4,23.8,46.8,38.2,54.2,29.2
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Assistance to sustain housing tenure,,,Composition of support provided,Clients receiving support services,Assistance to sustain housing tenure,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,31.1,25.9,32.1,18.3,22.1,16.0,32.0,25.5,26.8
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Mental health services,,,Composition of support provided,Clients receiving support services,Mental health services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.7,3.6,5.1,4.8,0.3,6.5,6.2,4.0,4.2
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Family/relationship assistance,,,Composition of support provided,Clients receiving support services,Family services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.7,4.5,4.8,7.9,5.6,5.6,12.6,8.9,5.4
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Disability services,,,Composition of support provided,Clients receiving support services,Disability services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,0.6,0.4,0.6,0.4,0.0,1.0,1.2,0.5,0.5
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Drug/alcohol counselling,,,Composition of support provided,Clients receiving support services,Drug/alcohol assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,2.5,1.3,2.3,2.7,0.1,3.0,2.0,2.0,1.8
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Legal/financial services,,,Composition of support provided,Clients receiving support services,Legal/financial services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,3.6,2.8,6.0,4.0,1.4,4.1,6.6,5.4,3.6
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Immigration/cultural services,,,Composition of support provided,Clients receiving support services,Immigration/cultural services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.9,4.3,3.6,9.0,6.3,1.2,5.6,17.2,5.4
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Domestic/family violence services,,,Composition of support provided,Clients receiving support services,Domestic/family violence services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,20.5,33.6,19.3,32.5,24.7,9.5,14.9,40.9,27.0
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,Other specialist services,,,Composition of support provided,Clients receiving support services,Other specialist services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,16.6,10.1,17.4,16.9,7.2,11.3,18.2,26.2,13.5
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,General services,,,Composition of support provided,Clients receiving support services,General services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,93.5,78.9,91.6,94.1,99.4,91.7,93.7,92.4,87.6
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total clients,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,71628.0,116872.0,41118.0,23739.0,19641.0,6508.0,4026.0,9285.0,288795.0
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total support days,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,'000 days,6806.0,8901.0,3204.0,1563.0,1987.0,709.0,566.0,932.0,24668.0
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,111959.0,237137.0,59257.0,35583.0,35397.0,12972.0,6258.0,14121.0,512684.0
19A.3,2017-18,Composition of support provided,All ages,All people,All areas,,,,Composition of support provided,Total closed support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,92448.0,211476.0,50489.0,31066.0,29555.0,11099.0,4755.0,11497.0,442385.0
19A.3,2016-17,Composition of support provided,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Composition of support provided,Clients receiving support services,Accommodation/accommodation related assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,25.5,23.2,45.8,45.1,23.6,38.4,41.1,54.9,29.9
19A.3,2016-17,Composition of support provided,All ages,All people,All areas,Assistance to sustain housing tenure,,,Composition of support provided,Clients receiving support services,Assistance to sustain housing tenure,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,31.9,28.3,30.7,16.4,17.2,18.6,31.8,19.9,27.0
19A.3,2016-17,Composition of support provided,All ages,All people,All areas,Mental health services,,,Composition of support provided,Clients receiving support services,Mental health services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.2,3.6,4.9,5.4,0.4,4.7,7.1,3.5,4.1
19A.3,2016-17,Composition of support provided,All ages,All people,All areas,Family/relationship assistance,,,Composition of support provided,Clients receiving support services,Family services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.6,4.7,5.4,8.5,4.5,5.3,12.2,9.0,5.5
19A.3,2016-17,Composition of support provided,All ages,All people,All areas,Disability services,,,Composition of support provided,Clients receiving support services,Disability services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,0.5,0.3,0.4,0.3,0.0,0.6,1.7,0.3,0.4
19A.3,2016-17,Composition of support provided,All ages,All people,All areas,Drug/alcohol counselling,,,Composition of support provided,Clients receiving support services,Drug/alcohol assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,2.2,1.6,2.2,2.6,0.2,2.2,2.0,2.5,1.8
19A.3,2016-17,Composition of support provided,All ages,All people,All areas,Legal/financial services,,,Composition of support provided,Clients receiving support services,Legal/financial services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,3.7,3.9,4.7,4.4,1.4,3.2,8.5,6.9,3.9
19A.3,2016-17,Composition of support provided,All ages,All people,All areas,Immigration/cultural services,,,Composition of support provided,Clients receiving support services,Immigration/cultural services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.4,4.3,3.5,8.9,5.2,1.3,6.4,17.9,5.2
19A.3,2016-17,Composition of support provided,All ages,All people,All areas,Domestic/family violence services,,,Composition of support provided,Clients receiving support services,Domestic/family violence services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,17.5,32.2,20.1,31.4,22.3,9.8,16.3,36.8,25.2
