SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED51104,212,651,278,471,54,1820,174,154,954,760,982,105,3124,13,5,34,39,101,5,196,22,11,86,161,623,23,922,18,8,78,103,331,110,659,776,589,3576,3363,8720,702,17719
SED51205,162,637,162,280,24,1543,400,156,1341,576,625,102,3192,20,9,111,57,116,7,317,67,17,201,142,366,25,821,120,12,245,151,286,151,962,2462,655,6590,3175,5230,721,18838
SED51304,334,1051,243,251,51,2329,385,201,1131,344,303,59,2422,24,14,101,42,67,7,248,32,12,122,80,245,13,512,51,15,208,91,156,59,580,2022,1038,6503,2347,3765,469,16148
SED51401,121,433,123,267,32,1039,72,55,339,236,351,44,1101,6,0,6,13,32,4,66,11,5,19,24,316,14,387,5,3,27,22,165,73,299,325,296,1814,1255,4625,477,8783
SED51504,313,891,180,151,34,2069,900,262,1803,365,249,98,3678,41,25,156,57,52,7,334,44,14,137,80,156,16,440,124,29,270,91,109,52,675,3827,1212,8563,2203,2493,486,18781
SED51605,230,804,238,413,38,1970,300,196,1186,537,700,84,3005,13,3,64,41,88,13,223,27,14,136,109,554,14,865,46,8,151,111,365,98,781,1470,746,5245,3026,7172,626,18293
SED51706,168,546,190,407,25,1421,99,106,585,357,796,60,2006,0,0,15,20,68,8,117,9,10,52,77,460,14,626,10,0,53,55,254,79,455,389,408,2407,1903,7644,476,13230
SED51804,253,802,150,110,25,1890,916,225,1853,245,152,89,3485,53,17,145,33,32,9,283,60,18,158,73,117,8,434,167,35,301,63,85,60,703,3803,1105,8631,1777,1728,453,17502
SED51902,180,628,235,428,33,1631,164,143,726,477,634,65,2219,13,3,42,34,108,11,211,19,9,72,113,659,20,887,22,11,101,104,386,106,731,738,574,3169,2710,8068,603,15861
SED52006,152,581,184,329,38,1394,114,88,578,405,632,50,1858,4,8,33,29,57,10,138,6,3,36,94,339,20,503,16,4,47,67,227,87,445,483,388,2227,2026,5821,497,11437
SED52102,126,423,180,329,26,1208,143,88,722,395,565,52,1955,8,9,59,30,96,7,208,23,12,59,118,492,16,723,41,5,100,87,302,74,619,814,408,2999,2244,6359,490,13307
SED52205,352,880,227,225,39,2331,545,214,1380,388,432,77,3036,57,26,195,60,81,13,432,35,22,124,98,302,15,601,88,21,234,102,216,94,760,2496,1017,6268,2416,4502,539,17237
SED52301,158,611,207,422,35,1549,173,133,758,427,649,67,2204,3,3,20,12,37,6,80,8,8,37,79,419,15,574,9,4,34,51,206,54,351,472,432,2294,1802,6010,429,11435
SED52404,303,941,253,322,39,2143,261,160,1066,478,461,87,2510,18,13,102,44,83,7,265,22,14,108,108,384,16,656,41,13,158,101,224,62,588,1361,827,5192,2677,5498,521,16072
SED52505,277,1059,242,386,39,2427,551,250,1975,624,606,101,4112,33,8,98,46,89,9,274,58,10,135,142,405,25,774,88,19,311,187,297,102,1009,2917,956,8333,3658,6083,680,22617
SED52604,269,819,266,351,32,2054,246,137,1012,467,537,83,2476,10,6,81,30,68,15,206,25,22,109,145,410,16,730,33,13,136,94,268,64,615,1341,728,4708,2775,5670,530,15758
SED52702,256,840,253,315,37,2019,207,145,780,356,382,49,1929,11,9,77,34,58,8,199,28,24,73,100,425,15,660,28,19,111,78,240,55,527,1173,783,4099,2333,5020,441,13849
SED52803,116,432,107,251,36,1049,133,74,424,236,275,49,1182,0,0,15,24,35,9,73,6,4,24,59,433,13,539,14,5,33,41,220,79,388,613,321,2180,1437,6078,494,11129
SED52903,177,642,164,353,52,1538,221,159,706,322,454,85,1947,18,3,48,25,71,13,180,24,13,53,51,226,17,387,23,3,61,32,174,115,409,682,497,2632,1472,3821,521,9623
SED53004,328,910,266,347,28,2142,247,167,1013,433,475,88,2423,17,4,89,47,84,3,246,35,20,95,103,372,6,636,29,6,137,69,220,52,525,1247,825,4922,2609,5353,439,15390
SED53105,147,541,205,360,32,1474,202,163,1036,511,789,84,2780,13,4,56,42,91,6,221,14,13,94,133,450,11,714,44,18,144,113,355,88,762,1108,538,4209,2674,6977,607,16111
SED53204,188,767,228,340,41,1760,260,158,1072,532,689,82,2792,11,8,73,37,93,7,235,23,18,111,140,497,34,826,53,12,161,101,297,91,710,1321,636,5240,3064,6366,635,17256
SED53306,148,482,182,351,31,1287,124,93,591,407,787,64,2067,5,0,17,18,61,6,117,7,4,44,83,346,16,502,13,11,63,69,256,54,463,494,380,2244,1976,6159,459,11712
SED53402,307,911,194,217,21,2051,461,215,1291,420,455,83,2926,52,21,183,63,90,12,428,42,12,156,126,324,11,678,76,22,239,95,158,73,669,2539,1149,7543,2774,4132,498,18634
SED53502,185,597,195,305,39,1498,210,148,832,533,725,96,2551,15,7,43,30,103,10,212,19,15,90,112,512,22,768,24,6,112,104,294,104,635,975,610,3582,2610,6726,583,15079
SED53602,105,307,154,281,38,974,201,89,731,475,823,88,2407,19,5,51,43,65,9,189,27,4,100,110,397,28,667,32,6,133,106,319,128,724,915,353,3252,2179,5126,657,12481
SED53701,136,421,126,302,36,1072,57,51,318,232,320,45,1021,4,0,26,17,27,9,90,6,3,22,38,301,20,390,6,0,36,41,223,74,393,307,316,1907,1602,5176,599,9907
SED53802,211,646,176,237,34,1551,305,150,1062,489,560,87,2655,16,3,77,68,70,7,238,39,13,151,155,436,35,831,76,14,217,105,230,89,727,1691,667,5347,2842,4861,595,16003
SED53902,266,824,176,171,26,1819,491,201,1281,410,371,64,2820,37,18,175,60,71,6,360,44,19,142,132,281,17,645,67,19,219,103,129,74,615,2414,999,7326,2538,3510,506,17296
SED54006,151,437,185,369,32,1240,72,54,440,312,652,50,1584,7,4,26,26,77,3,137,17,5,39,61,369,20,504,4,0,45,39,250,63,398,297,316,1871,1710,6929,535,11662
SED54104,256,875,138,110,47,2368,1280,287,2182,320,189,104,4364,58,18,159,33,60,4,338,76,15,142,65,123,11,429,189,30,356,76,61,67,779,5213,1285,9604,1807,1817,472,20198
SED54203,66,296,63,152,21,646,41,37,185,89,139,16,503,10,0,23,9,32,3,77,5,4,18,25,118,8,186,11,6,35,21,138,61,267,284,173,1360,915,3528,338,6604
SED54304,323,933,166,159,29,2232,893,276,1878,385,351,75,3864,86,25,265,117,76,20,585,81,25,223,129,278,13,761,154,34,399,130,141,103,963,4860,1510,11875,3436,4077,702,26454
SED54403,155,621,152,312,33,1397,140,118,511,222,335,33,1356,3,5,22,23,41,8,105,12,10,67,79,371,23,558,28,6,84,59,338,90,612,720,477,3128,2271,8935,603,16131
SED54505,276,886,191,218,33,2185,534,203,1435,386,336,84,2984,22,10,81,41,54,7,215,45,21,132,95,184,14,503,123,17,268,87,163,69,722,3166,915,7012,2134,3058,453,16734
SED54605,117,405,195,351,35,1206,108,99,469,357,662,71,1759,4,3,15,23,59,3,106,9,5,42,65,295,20,437,14,5,63,53,271,77,488,482,358,2042,1957,5944,497,11280
SED54701,140,528,155,292,32,1209,63,53,460,215,391,45,1222,6,0,19,9,29,0,60,4,4,27,58,374,9,480,4,3,49,37,165,74,333,279,313,2355,1507,5040,594,10085
SED54804,351,1009,237,231,37,2302,532,231,1624,413,363,51,3222,33,25,159,54,89,9,368,42,17,168,130,356,21,728,73,10,256,112,186,97,734,2482,1161,8246,2923,4593,574,19985
SED54905,294,984,181,170,32,2258,635,208,1506,318,284,71,3014,40,14,143,41,70,7,318,55,21,154,83,208,19,542,117,23,247,93,119,78,687,3278,1094,8126,2229,2942,477,18140
SED55005,159,647,218,364,37,1707,344,159,1125,506,649,94,2884,15,3,67,38,78,10,211,28,20,109,127,431,25,747,77,15,207,104,297,113,825,1897,577,5132,2776,5851,614,16841
SED55102,168,516,211,400,27,1462,150,118,695,474,740,75,2245,4,3,38,32,86,8,175,15,9,72,128,585,15,827,32,4,100,108,389,91,727,780,521,3070,2828,7848,603,15642
SED55202,121,403,170,315,33,1189,167,84,793,476,707,84,2310,14,5,57,50,79,7,206,26,7,110,112,398,22,678,47,5,128,91,305,101,689,1027,381,3409,2353,5694,580,13445
SED55306,213,653,185,327,21,1516,165,151,784,382,573,63,2128,4,3,42,34,75,7,166,15,12,58,75,396,19,573,14,3,100,77,207,69,470,607,600,3521,2323,6548,557,14165
SED55405,260,827,188,199,21,2039,532,197,1384,461,465,77,3121,54,12,160,77,101,10,416,44,25,181,119,283,23,679,132,13,278,103,193,119,842,3382,1012,8194,2942,4408,609,20548
SED55504,167,650,243,398,39,1682,177,148,999,653,833,97,2919,10,9,48,36,100,9,214,23,6,111,149,604,27,920,32,10,113,116,373,112,759,895,565,4031,3077,7638,684,16882
SED55605,195,679,255,538,44,1862,121,121,668,512,851,70,2349,6,11,31,45,101,8,201,9,5,40,73,472,22,631,16,9,70,112,399,78,680,541,487,2719,2796,8625,560,15723
SED55706,173,620,169,342,28,1474,159,112,546,351,464,53,1683,9,9,58,35,66,3,184,17,5,50,49,330,24,476,33,11,94,57,181,69,444,680,508,3220,2102,5814,571,12888
SED55802,161,596,221,435,42,1600,210,130,1117,626,895,108,3082,14,3,74,40,111,8,250,32,6,97,148,598,20,902,45,8,161,121,358,105,795,1142,541,4563,3178,7739,684,17849
SED55905,250,790,205,283,44,1846,254,165,953,393,488,66,2329,10,4,79,38,71,8,215,28,11,89,75,381,11,601,41,13,143,77,244,99,617,1238,691,4415,2182,4979,549,14056
SED59494,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
