SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED51104,6,9,0,8,0,0,19,0,12,4,5,0,0,13,3,47,10,23,14,0,97,15,48,30,33,7,3,133,31,22,11,40,4,0,107,148,46,25,100,7,0,336,1190,50,14,399,17,5,1678,1537,13,6,393,35,5,1991,358,0,0,79,0,0,436,70,0,0,16,0,0,89,18,3,0,6,0,0,25,0,0,0,6,0,0,3,0,0,0,0,0,0,0,4,0,0,0,6,0,8,55,18,3,41,7,12,135,3439,265,101,1145,100,29,5077
SED51205,6,19,0,3,0,0,30,5,31,5,9,5,0,57,22,167,17,65,8,3,286,37,100,22,77,11,4,242,65,36,14,74,6,0,203,272,47,19,160,18,0,518,1345,52,12,478,78,4,1976,1898,17,12,491,123,0,2535,373,4,3,102,25,0,512,36,0,0,12,0,0,51,10,0,0,8,4,0,24,8,0,0,6,3,0,20,0,0,0,0,0,0,0,6,0,0,0,0,0,5,73,34,10,102,17,10,252,4159,502,111,1598,298,37,6703
SED51304,0,0,0,4,0,0,10,0,5,0,0,0,0,4,0,33,10,17,0,0,58,7,14,10,23,3,0,51,9,6,0,35,0,0,44,10,6,0,34,9,0,53,65,0,9,84,11,3,175,258,3,0,171,4,0,441,309,0,0,114,8,0,428,225,0,0,63,3,0,292,117,0,0,34,0,0,149,72,0,0,11,0,0,86,31,0,0,6,0,0,33,37,0,0,10,0,0,45,11,7,6,21,6,0,46,1152,66,36,617,31,9,1915
SED51401,9,26,11,28,47,4,109,0,37,13,12,32,5,99,11,181,71,121,75,6,463,62,122,63,166,65,0,481,63,49,9,169,30,0,322,183,75,15,203,40,0,516,216,47,3,167,46,0,466,128,8,0,89,16,0,244,22,0,0,11,0,0,35,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,13,39,5,70,93,5,232,704,581,193,1043,439,27,2985
SED51504,0,6,0,4,0,0,11,0,21,3,0,0,0,20,8,145,9,26,5,3,194,31,56,19,34,0,0,152,121,18,0,64,9,0,214,476,28,9,162,38,0,713,524,12,5,197,23,0,762,449,6,3,207,14,0,681,349,0,0,111,5,0,465,209,0,0,61,4,0,280,177,0,0,44,0,0,221,145,0,0,26,4,0,173,93,0,0,10,4,0,115,153,0,0,24,0,0,188,28,22,8,28,9,8,102,2778,314,46,1009,114,14,4281
SED51605,0,17,0,3,0,0,24,0,12,0,3,0,0,15,4,118,4,21,4,0,145,11,71,14,39,9,0,140,65,31,3,27,19,0,150,111,39,10,46,16,0,229,385,35,3,154,10,0,593,1344,6,0,309,31,4,1694,609,0,0,127,7,0,749,166,0,0,28,0,0,198,29,0,0,6,3,0,34,16,0,0,3,0,0,21,4,0,0,0,0,0,5,0,0,0,3,0,0,6,31,19,0,46,8,8,112,2774,358,44,805,111,10,4105
SED51706,0,7,0,16,0,0,18,0,6,4,6,6,0,27,7,96,9,50,4,4,172,24,64,17,64,24,0,195,48,33,14,103,20,0,213,152,33,7,158,26,6,372,378,23,6,291,36,3,739,615,3,3,212,17,0,856,127,0,0,34,7,0,160,8,0,0,12,0,0,20,0,0,0,8,0,0,3,0,0,0,4,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,28,6,52,21,6,134,1376,294,60,1008,153,16,2917
SED51804,3,30,4,4,0,0,39,0,33,5,3,0,0,44,5,226,12,21,0,0,265,26,62,11,32,4,0,139,77,20,6,49,3,0,155,215,27,8,58,83,0,389,320,19,0,132,48,0,524,432,11,9,173,8,0,634,463,4,0,160,8,0,635,303,0,0,93,6,0,398,220,0,0,69,3,0,294,185,0,0,49,3,0,236,155,0,0,30,0,0,178,391,0,0,77,0,0,468,33,22,4,57,21,9,141,2834,449,53,1002,194,14,4543
SED51902,0,0,0,7,0,0,9,0,0,0,3,0,0,3,0,0,3,17,0,0,23,3,3,19,34,5,0,67,18,4,0,36,8,0,59,21,4,3,62,3,0,99,141,0,0,148,20,0,305,483,0,0,218,10,0,710,152,0,0,65,3,0,220,38,0,0,22,0,0,59,14,0,0,10,0,0,23,7,0,0,0,0,0,7,5,0,0,0,0,0,5,0,0,0,3,3,0,7,10,0,0,31,15,9,66,886,13,29,647,70,11,1663
SED52006,4,0,0,5,0,0,12,0,0,0,3,0,0,3,4,8,6,36,3,3,61,50,28,25,45,11,0,157,32,6,7,60,8,0,117,161,6,3,130,12,0,312,623,3,5,313,23,0,974,790,5,26,244,32,5,1097,263,0,3,57,10,3,332,62,0,0,12,0,0,74,19,0,0,3,0,0,20,6,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,7,0,0,8,28,3,6,44,9,4,101,2048,60,88,944,114,23,3282
SED52102,0,5,0,8,6,0,13,0,13,4,0,3,0,18,0,71,11,28,6,3,124,7,47,5,36,17,0,118,13,12,3,56,19,0,98,54,28,0,72,27,0,190,401,30,3,276,48,4,765,845,24,3,320,45,0,1235,324,0,0,94,7,0,424,55,0,0,18,4,0,77,9,0,0,8,0,0,13,5,0,0,0,0,0,4,3,0,0,0,0,0,7,0,0,0,0,3,0,3,44,16,3,60,16,7,148,1769,249,36,979,186,18,3238
SED52205,10,46,3,4,0,0,63,5,74,9,4,3,0,94,12,432,39,32,5,3,520,25,181,74,65,7,5,349,81,75,18,86,11,3,263,184,77,20,167,49,0,499,559,55,14,274,41,4,955,1026,24,6,435,37,0,1537,557,0,0,218,16,0,800,277,0,0,105,0,0,382,130,0,0,42,0,0,180,66,0,0,13,0,0,82,26,0,0,3,0,0,34,44,0,0,13,0,0,56,29,69,15,55,18,10,192,3037,1038,203,1509,205,32,6016
SED52301,4,20,0,14,0,0,33,4,27,0,10,7,0,42,39,157,19,72,9,0,300,210,114,39,139,37,10,538,209,37,11,196,33,4,489,380,66,10,262,43,3,768,636,67,22,303,53,0,1084,410,7,0,172,24,0,607,76,3,0,22,6,0,103,17,0,0,9,3,0,29,6,0,0,3,0,0,9,3,0,0,6,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,33,32,8,60,34,6,170,2029,525,107,1258,250,25,4193
SED52404,4,0,0,3,0,0,9,0,8,0,0,0,0,5,4,26,3,15,0,0,49,0,9,3,32,0,0,48,4,3,0,29,0,0,35,13,13,3,56,3,0,88,178,8,0,159,3,0,345,631,3,0,368,10,3,1019,323,0,0,102,5,0,428,166,0,0,39,4,0,216,91,0,0,16,0,0,109,56,0,0,9,0,0,64,21,0,0,3,0,0,26,25,0,0,5,4,0,33,25,0,0,42,5,7,81,1532,75,13,881,40,15,2562
SED52505,0,0,0,0,0,0,5,0,0,0,4,0,0,5,3,7,0,17,0,0,28,6,4,5,28,6,0,45,4,0,0,16,0,0,24,13,0,0,26,0,0,46,67,0,0,104,8,0,175,927,0,0,266,21,3,1222,760,0,0,152,15,0,924,174,0,0,32,4,0,212,37,0,0,7,0,0,44,9,0,0,3,0,0,6,0,0,0,4,0,0,3,9,0,0,3,0,0,9,28,0,0,35,9,6,87,2038,19,6,699,65,9,2838
SED52604,0,8,0,5,0,0,8,0,5,3,4,0,0,11,7,59,0,18,0,0,84,29,36,9,35,0,0,110,21,15,6,32,3,0,71,56,14,5,53,4,0,131,329,15,0,171,18,4,538,883,3,3,282,19,5,1198,365,0,0,111,0,0,481,182,0,0,32,0,0,213,83,0,0,29,0,0,107,39,0,0,6,0,0,47,22,0,0,0,0,0,24,15,0,0,4,0,0,19,36,17,3,28,4,7,90,2060,168,31,813,59,15,3146
SED52702,0,0,0,8,0,0,15,0,0,0,5,0,0,6,0,28,7,13,5,0,49,3,12,28,26,5,0,77,9,0,5,37,3,0,52,16,3,7,64,3,0,88,105,0,9,122,8,0,245,257,0,3,177,12,8,452,144,0,0,69,4,0,220,53,0,0,21,0,0,77,25,0,0,0,0,0,26,9,0,0,6,0,0,10,3,0,0,0,0,0,6,3,0,0,0,0,0,9,18,5,3,36,3,0,57,645,54,56,591,36,11,1396
SED52803,0,17,33,10,69,0,130,5,36,24,11,18,0,98,54,138,53,46,72,9,372,94,96,25,89,79,5,386,98,73,9,92,69,0,338,236,118,11,136,86,3,597,577,59,8,174,77,0,896,643,19,0,181,29,0,875,267,9,0,45,8,0,323,119,4,0,19,6,0,145,30,0,0,3,0,0,37,7,0,0,0,3,0,13,0,0,0,0,0,0,0,3,0,0,0,4,0,4,38,35,12,41,62,10,191,2170,600,171,856,580,35,4414
SED52903,7,407,275,9,77,4,768,0,275,243,3,48,8,582,10,454,190,13,127,9,809,10,324,82,34,122,7,572,23,147,14,38,94,3,315,40,232,33,45,119,0,475,130,180,47,97,79,3,544,251,67,23,126,57,7,527,210,20,3,94,31,0,361,145,3,3,52,12,0,219,98,4,0,54,13,0,168,61,3,0,25,4,0,93,26,0,0,11,5,0,52,32,0,0,13,7,0,51,37,168,66,35,139,13,462,1089,2294,982,649,927,49,5998
SED53004,0,0,0,4,0,0,10,0,0,0,0,0,0,3,0,13,0,24,0,0,35,8,12,15,26,0,0,54,8,6,7,21,0,0,43,14,10,3,41,7,0,80,101,6,0,127,9,4,248,440,0,3,263,14,0,726,411,0,0,115,7,0,535,121,0,0,33,0,0,154,28,0,0,4,0,0,31,8,0,0,0,0,0,12,0,0,0,0,0,0,5,3,0,0,0,0,0,4,12,9,0,33,5,4,65,1162,58,36,697,56,12,2011
SED53105,7,13,3,3,0,0,19,0,25,5,3,0,0,29,13,121,30,35,4,4,208,75,101,49,52,0,0,280,114,28,11,66,7,0,230,292,39,24,142,8,0,514,708,36,9,264,18,0,1035,1061,7,3,287,28,0,1380,340,0,0,81,5,0,437,64,0,0,16,0,0,74,19,0,0,6,0,0,31,4,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,33,3,61,11,9,178,2764,405,131,1019,90,25,4431
SED53204,0,3,0,0,0,0,9,0,8,0,0,0,0,8,3,57,0,8,9,0,76,5,29,4,13,0,0,54,11,9,0,14,0,0,38,61,19,3,31,0,3,118,114,3,0,89,8,0,213,682,8,0,229,19,0,942,530,0,0,113,16,0,661,125,0,0,26,0,0,154,15,0,0,5,0,0,25,3,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,10,27,8,0,30,7,8,87,1580,152,13,558,70,9,2383
SED53306,8,14,6,8,3,0,39,0,33,7,4,3,0,42,15,213,56,32,7,4,338,88,171,102,81,14,0,457,123,68,38,125,11,4,370,564,64,46,311,31,5,1022,1142,19,24,450,40,10,1674,860,11,11,271,28,0,1188,179,5,3,55,4,0,239,45,0,0,17,0,0,64,11,0,0,0,0,0,16,5,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,6,40,44,22,63,10,14,197,3089,640,306,1425,154,43,5660
SED53402,7,27,3,11,0,0,43,0,53,7,9,0,0,72,29,345,18,55,3,0,445,72,113,74,81,16,0,363,242,48,13,126,11,3,435,599,51,15,247,38,0,954,954,41,10,407,43,0,1459,1191,14,6,414,33,10,1652,562,3,0,158,11,0,742,199,0,0,49,0,0,255,66,0,0,13,0,0,83,30,0,0,5,5,0,40,3,0,0,6,0,0,7,12,0,0,3,0,0,18,38,50,8,60,15,8,175,3994,746,150,1641,174,34,6746
SED53502,3,22,4,13,0,0,45,0,33,0,8,0,0,40,4,244,15,48,7,0,318,45,124,34,62,10,0,266,57,44,6,65,11,0,182,346,50,16,182,29,0,626,1113,40,14,442,37,5,1648,772,15,25,290,43,3,1145,191,0,4,66,4,0,265,49,0,0,18,0,0,66,8,0,0,5,0,0,12,4,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,3,4,0,7,48,47,13,56,15,22,204,2646,625,130,1243,163,35,4841
SED53602,4,36,3,8,0,0,54,0,80,0,8,0,0,87,13,489,16,42,15,8,571,16,184,38,67,9,3,309,19,91,19,59,12,0,205,252,111,29,181,43,0,625,1222,84,15,572,150,7,2049,797,19,9,392,100,11,1329,94,0,3,31,11,0,138,16,0,4,9,0,0,34,6,0,0,0,0,0,8,4,0,0,0,0,0,4,0,0,0,4,0,0,5,4,0,0,0,0,0,0,57,59,15,62,18,24,232,2502,1153,144,1447,355,56,5661
SED53701,0,12,0,20,22,0,53,4,13,8,11,27,0,68,8,82,46,125,52,0,312,31,63,25,136,37,0,286,44,38,9,136,33,0,254,107,49,12,183,42,3,398,180,30,9,157,33,0,414,143,0,5,117,16,5,280,29,0,0,35,4,0,71,12,0,0,8,0,0,17,3,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,8,8,96,115,7,248,573,299,112,1019,384,16,2413
SED53802,3,23,7,7,0,0,37,3,36,7,3,0,0,47,13,184,13,39,8,0,268,17,85,35,62,8,3,210,15,23,3,66,4,0,118,148,36,9,115,15,0,324,918,24,12,399,56,0,1414,1441,8,8,478,65,11,2022,405,8,0,111,7,0,540,56,0,0,22,3,0,79,15,0,0,7,0,0,25,10,0,0,4,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,3,48,39,8,71,17,11,197,3105,481,90,1399,196,34,5307
SED53902,3,14,0,5,0,0,21,0,12,0,4,0,0,22,17,81,12,51,9,7,170,51,41,51,68,9,0,235,118,17,30,90,6,5,260,548,20,11,174,25,0,771,1004,16,9,375,34,4,1440,1154,11,13,408,39,3,1629,519,0,0,157,16,0,694,224,0,0,59,4,0,288,98,0,0,20,0,0,122,29,0,0,13,0,0,49,13,0,0,5,0,0,26,22,0,0,7,5,0,35,45,15,3,56,22,9,150,3839,230,135,1489,167,34,5896
SED54006,3,0,0,5,6,0,19,0,9,0,4,3,0,18,7,65,11,55,13,5,150,20,46,12,74,26,5,187,56,24,7,120,35,3,249,140,23,14,187,46,3,421,524,16,11,318,35,3,901,488,7,6,205,34,5,750,94,0,0,30,3,0,132,17,0,0,13,4,0,36,9,0,0,3,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,21,13,0,53,29,4,133,1381,213,67,1081,248,27,3014
SED54104,4,36,0,9,0,0,50,0,45,16,11,0,0,69,12,225,11,31,3,4,291,36,46,27,44,8,0,160,72,12,10,40,0,0,140,366,26,13,124,20,0,545,642,14,13,226,28,0,925,1223,4,11,291,31,4,1572,921,3,13,240,18,0,1190,536,0,0,127,14,0,677,283,0,0,73,5,0,362,204,0,0,41,5,0,247,151,0,0,32,0,0,188,279,0,0,54,6,0,337,57,18,4,62,15,8,156,4796,428,116,1409,156,17,6919
SED54203,16,177,79,8,748,8,1040,0,84,25,6,45,0,161,0,162,22,32,112,0,335,32,102,44,36,74,9,289,20,48,11,48,46,0,174,58,62,20,65,73,4,284,68,32,12,67,28,3,209,81,18,3,66,23,0,195,60,4,0,36,7,0,109,37,0,0,13,0,0,50,11,0,0,6,5,0,26,6,0,0,0,0,0,10,0,0,0,4,0,0,5,5,0,0,11,10,0,30,15,59,28,36,164,11,319,421,757,255,424,1348,35,3237
