UCL_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL513005,25,0,0,0,25,0,0,22,324,40,14,8,390,5,0,3,391,19,0,409,603,57,42,10,712,12,0,14,720,29,0,751,70,3,14,0,93,0,0,0,93,4,0,94,6,0,0,9,18,0,0,0,18,0,0,18,1010,103,66,28,1209,13,4,16,1226,48,0,1278,12,4,4,0,15,0,0,0,14,0,0,16,35,3,9,0,46,5,0,5,52,0,0,52,46,5,8,0,59,10,0,10,64,0,0,66,1053,112,78,31,1270,21,4,24,1292,50,0,1347,380,78,20,26,510,13,3,20,527,71,0,596,0,0,0,0,3,0,0,0,3,0,0,7,1435,188,94,62,1782,35,10,44,1823,121,6,1949
UCL514001,5,0,0,0,5,0,0,5,113,16,0,9,140,8,0,10,143,7,0,151,317,28,20,0,368,0,0,0,371,9,0,382,24,3,8,0,33,5,0,5,33,0,0,33,3,0,0,5,7,0,0,0,7,0,6,10,457,47,23,13,539,9,0,13,553,23,6,584,0,0,0,0,3,0,0,0,10,0,0,10,16,0,0,0,16,0,0,0,16,3,0,14,16,0,0,0,19,0,0,0,18,3,0,24,479,52,23,13,560,15,0,11,576,29,6,606,150,18,14,5,187,10,0,10,196,68,6,266,7,0,0,0,5,0,0,0,5,0,0,11,629,67,35,26,758,17,0,21,780,92,13,878
UCL514002,3,0,0,0,3,0,0,3,208,55,7,4,270,0,0,0,270,8,0,279,520,87,48,8,657,3,0,3,664,10,4,668,40,9,9,3,59,0,0,0,59,0,0,55,4,0,0,3,4,0,0,0,6,0,0,6,764,140,69,15,993,3,0,7,994,14,4,1015,4,0,0,0,4,0,0,0,4,0,0,4,5,0,6,0,12,0,0,0,12,0,0,12,8,0,6,0,13,0,0,0,13,0,0,13,773,140,67,15,1006,3,0,7,1011,14,4,1031,123,19,13,11,162,0,0,0,162,14,0,173,0,0,0,0,0,0,0,0,0,0,0,0,893,162,79,23,1163,3,0,7,1171,28,4,1203
UCL514003,3,0,0,0,3,0,0,3,196,54,9,0,255,3,0,3,264,5,0,271,464,95,28,4,592,0,4,4,597,28,0,615,34,7,20,0,62,0,0,0,62,5,0,67,4,0,0,5,9,0,0,0,9,0,0,9,698,157,60,5,919,3,4,5,925,35,0,963,4,0,0,0,4,0,0,0,4,0,0,4,12,6,0,0,18,0,0,0,18,0,0,15,15,6,0,0,22,0,0,0,22,0,0,24,716,165,60,5,940,3,4,5,952,36,0,988,156,29,6,0,196,4,0,4,200,7,0,211,0,0,0,4,6,0,0,0,6,0,6,11,876,194,65,10,1144,8,4,11,1156,48,6,1207
UCL514004,0,0,0,0,0,0,0,0,153,20,0,0,178,0,0,0,179,16,0,196,250,15,6,0,267,7,0,5,278,15,0,298,25,0,3,0,32,0,0,0,32,6,0,35,3,0,0,0,3,0,0,0,3,0,0,3,438,29,10,0,478,9,0,11,491,40,0,532,0,0,3,0,3,0,0,0,8,0,0,8,13,0,0,0,14,0,0,0,18,0,0,18,15,0,3,0,18,4,0,4,20,0,0,20,448,29,18,0,498,8,0,16,514,40,0,551,159,19,0,8,186,18,0,18,201,49,0,254,4,0,0,0,4,0,0,0,4,0,0,3,608,54,17,8,689,26,0,32,715,90,0,810
UCL515001,0,0,0,0,0,0,0,0,5,5,0,0,13,0,0,0,13,0,0,13,26,7,0,0,39,0,0,0,39,3,0,45,0,0,5,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,36,11,10,0,59,0,0,0,59,5,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,10,0,59,0,0,0,59,5,0,65,6,0,0,0,11,0,0,0,11,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,40,13,10,0,68,0,0,0,68,8,0,79
UCL515002,0,0,0,0,0,0,0,0,49,10,4,4,60,0,0,0,60,0,0,64,71,0,0,0,75,0,0,0,75,0,0,73,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,125,8,0,4,141,0,0,0,141,4,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,3,3,8,0,0,8,0,0,6,0,6,0,3,3,8,0,0,8,125,8,3,4,145,0,3,3,144,4,0,151,26,10,3,0,38,0,0,0,38,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,149,19,4,4,180,0,3,3,183,8,0,185
UCL515003,0,0,0,0,0,0,0,0,59,3,3,3,67,3,0,3,71,0,0,77,91,18,9,0,123,0,0,0,123,0,0,122,3,0,0,5,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,156,25,12,10,202,3,0,3,203,6,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,25,12,10,202,3,0,3,203,5,0,202,38,0,7,0,44,3,0,3,52,8,0,57,0,0,0,0,0,0,0,0,0,0,0,0,192,33,16,10,246,7,0,7,255,13,0,264
UCL515004,0,0,0,0,0,0,0,0,77,0,0,0,83,0,0,0,83,0,0,88,121,3,4,0,136,5,0,3,138,0,0,132,19,0,0,0,21,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,226,6,6,0,234,5,0,6,242,7,0,251,3,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,5,0,0,0,5,0,0,5,4,3,0,0,9,0,0,0,9,0,0,9,230,11,6,0,243,5,0,6,250,7,0,258,76,3,11,3,91,0,0,0,94,3,0,101,0,0,0,0,0,0,0,0,0,0,6,6,304,9,20,3,340,8,0,7,348,9,6,365
UCL515005,0,0,0,0,0,0,0,0,64,13,0,0,74,0,0,0,75,5,0,79,123,13,5,0,140,0,0,5,144,10,0,151,6,0,6,0,12,0,0,0,12,0,0,12,4,0,0,0,4,0,0,0,4,0,3,4,194,22,9,0,228,3,0,0,229,17,3,249,5,0,0,0,5,0,0,0,5,0,0,5,5,4,0,0,5,0,0,0,7,0,0,7,6,4,0,0,7,0,0,0,11,0,0,11,205,22,9,0,235,0,0,4,237,17,3,259,66,0,4,4,81,0,0,0,81,11,0,90,0,0,0,0,0,0,0,0,0,0,0,0,267,29,18,4,317,0,0,4,326,24,3,349
UCL515006,0,0,0,0,0,0,0,0,98,8,7,3,118,0,0,0,118,13,0,132,109,28,0,0,130,0,0,0,136,11,0,144,23,0,0,0,26,4,0,4,22,0,0,22,0,0,0,3,3,0,0,0,3,0,0,3,228,39,5,6,275,3,0,3,282,29,0,307,0,0,0,0,0,3,0,3,3,0,0,3,8,0,0,0,8,0,0,0,10,0,0,10,8,0,0,0,8,4,0,8,12,0,0,12,229,39,5,6,286,8,0,6,294,29,0,319,50,11,3,0,57,9,0,9,68,42,0,114,0,0,0,0,0,0,0,0,0,0,0,0,281,46,10,6,338,22,0,17,357,71,0,427
UCL515007,0,0,0,0,0,0,0,0,56,10,3,0,73,0,0,0,79,5,0,80,187,38,14,4,241,5,0,5,244,6,0,252,14,3,4,0,23,0,0,0,23,0,0,23,0,0,4,0,3,0,0,0,3,3,0,3,259,49,23,11,345,8,0,8,350,5,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,259,49,23,11,346,8,0,8,351,12,0,365,61,8,16,0,80,0,0,0,80,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,325,58,35,11,423,8,0,8,437,10,0,450
UCL515008,0,0,0,0,0,0,0,0,95,4,3,3,111,0,0,0,111,7,0,115,84,16,11,0,108,0,0,0,108,0,0,108,8,0,8,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,185,17,24,5,230,0,0,0,230,7,0,238,3,0,0,3,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,3,9,0,0,0,9,0,0,9,195,17,24,8,241,0,0,0,241,7,0,248,50,0,11,0,62,0,0,0,62,0,0,61,5,0,0,0,5,0,0,0,5,0,0,5,249,17,34,8,305,0,0,0,305,5,0,311
UCL515009,0,0,0,0,0,0,0,0,70,10,3,3,91,3,0,3,94,12,0,106,109,40,7,0,156,0,0,0,156,4,0,164,4,0,3,0,8,0,0,0,8,3,0,10,6,0,0,3,4,0,0,0,4,0,0,3,191,55,11,10,263,3,0,3,267,22,0,288,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,14,0,0,0,12,0,0,12,10,4,0,0,14,0,0,0,12,0,0,12,195,57,11,10,271,3,0,7,271,22,0,299,34,22,0,0,51,4,0,4,55,17,0,67,0,0,0,0,0,0,0,0,0,0,0,0,229,73,11,10,326,3,0,5,328,38,0,366
UCL515010,0,0,0,0,0,0,0,0,79,9,5,0,91,0,0,0,91,9,0,97,32,9,0,0,40,0,0,0,40,3,0,49,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,120,15,7,0,141,0,0,0,141,10,0,151,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,3,10,0,0,10,7,0,0,0,7,0,0,3,10,0,0,10,122,15,7,0,150,0,0,3,152,10,0,161,36,7,0,0,40,8,0,8,49,51,5,99,0,0,0,0,0,0,0,0,0,0,4,4,164,17,7,0,190,11,0,11,196,58,3,260
UCL515011,0,0,0,0,0,0,0,0,58,12,0,0,65,0,0,0,65,0,0,67,116,9,8,5,141,0,0,0,141,0,0,146,21,3,8,0,33,0,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,196,18,17,5,241,0,0,0,238,5,0,248,4,0,0,0,4,0,0,0,4,0,0,4,11,0,0,0,11,0,0,0,11,0,0,11,12,0,0,0,12,0,0,0,12,0,0,12,208,18,17,5,247,0,0,0,251,5,0,257,109,14,0,6,132,6,0,6,134,10,0,147,0,0,0,0,0,0,0,0,0,0,0,0,319,33,16,10,386,6,0,9,391,18,0,407
UCL515012,3,0,0,0,3,0,0,3,98,6,0,0,107,3,0,3,111,5,0,123,164,18,3,0,184,0,0,0,189,0,0,189,18,4,0,0,26,0,0,0,26,0,0,26,3,0,0,0,3,0,0,0,3,0,0,3,282,30,10,0,313,5,0,5,326,5,0,334,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,15,0,0,15,8,0,0,0,8,0,0,0,15,0,0,15,292,30,10,0,328,5,0,5,337,5,0,349,42,7,0,5,54,13,0,13,61,12,0,66,0,0,0,0,0,0,0,0,0,0,0,0,334,29,8,5,376,16,0,16,399,15,0,414
