UCL_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL513005,0,6,123,1212,2015,200,24,52,3629,0,0,45,32,0,0,0,4,77,0,0,0,17,0,0,0,0,17,0,0,45,49,6,0,0,4,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,10,162,1258,2015,200,24,55,3737
UCL514001,9,12,328,1277,821,86,9,52,2589,0,19,20,50,10,0,0,5,106,0,0,0,0,0,0,0,0,0,0,19,20,50,10,0,0,5,106,0,6,58,35,0,0,0,4,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,58,35,0,0,0,4,104,0,4,5,4,0,0,0,0,15,0,0,0,0,3,0,0,3,6,10,43,409,1368,830,86,9,66,2819
UCL514002,0,19,93,765,1184,103,19,34,2214,0,8,20,70,61,4,0,0,168,0,0,0,37,27,4,0,4,70,0,9,26,105,86,12,0,0,241,0,0,17,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,27,131,880,1273,118,22,44,2480
UCL514003,7,25,176,1008,1014,77,18,35,2351,3,8,70,30,3,0,0,5,125,0,20,36,21,0,0,0,0,82,3,32,101,52,3,0,0,8,207,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,13,0,0,0,16,0,0,10,0,0,0,6,5,17,9,55,297,1060,1030,75,21,49,2596
UCL514004,0,29,270,1100,731,109,27,38,2297,0,22,70,26,6,0,0,12,128,0,0,3,0,4,0,0,0,11,0,21,78,26,6,0,0,12,136,0,0,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,0,9,15,0,0,0,0,0,30,0,0,0,0,6,0,0,0,8,4,59,366,1140,735,109,27,45,2484
UCL515001,0,13,61,267,102,13,4,12,474,0,7,22,3,0,0,0,0,37,0,6,5,4,0,0,0,0,16,0,14,27,11,0,0,0,0,49,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,3,25,105,275,104,13,4,18,547
UCL515002,5,7,36,184,230,19,6,8,485,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,7,38,190,230,19,6,9,498
UCL515003,0,18,144,415,253,35,4,6,879,0,17,29,7,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,17,29,7,0,0,0,0,51,0,3,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,40,174,429,255,35,4,7,947
UCL515004,0,0,18,264,378,39,5,7,717,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,268,378,39,5,7,718
UCL515005,0,6,39,337,414,31,0,12,844,0,3,22,22,0,0,0,4,55,0,0,0,0,0,0,0,0,0,0,3,22,22,0,0,0,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,62,353,414,31,0,13,902
UCL515006,6,21,112,625,284,30,5,24,1106,0,37,98,39,0,0,0,11,183,0,5,12,12,0,0,0,0,28,0,37,106,56,0,0,0,7,207,0,35,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,41,14,30,12,3,10,0,0,0,67,0,7,3,3,0,0,0,0,12,16,130,232,690,300,29,5,31,1440
UCL515007,0,8,37,234,309,24,0,8,627,0,0,6,9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,48,248,309,24,4,8,648
UCL515008,0,3,0,229,77,19,3,5,328,0,0,0,5,0,0,0,0,7,0,0,3,3,0,0,0,0,10,0,0,3,9,0,0,0,0,15,0,0,3,0,0,0,0,0,6,0,0,17,12,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,25,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,5,26,246,78,19,3,9,388
UCL515009,0,40,218,540,244,31,5,11,1096,0,6,17,33,3,0,0,0,59,0,0,0,0,0,0,0,0,0,0,6,17,33,3,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,51,235,580,244,30,5,11,1167
UCL515010,0,36,121,307,182,24,5,17,697,0,11,47,18,0,0,0,3,82,0,0,0,0,0,0,0,0,0,0,11,47,17,0,0,0,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,6,0,0,4,25,0,5,0,7,0,0,0,7,11,9,64,168,327,192,25,5,31,819
UCL515011,0,3,87,428,430,36,8,9,993,0,8,16,9,4,0,0,0,38,0,0,0,0,0,0,0,0,0,0,8,16,9,4,0,0,0,38,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,12,108,437,430,36,8,7,1044
UCL515012,3,6,17,141,543,36,3,4,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,17,141,543,36,3,4,750
UCL515013,3,28,73,463,213,30,9,12,826,0,6,9,5,0,0,0,0,18,0,0,3,3,0,0,0,0,8,0,6,13,9,0,0,0,3,25,0,30,10,8,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,8,0,0,0,0,50,11,26,11,9,17,6,0,7,87,0,0,0,3,0,0,0,0,5,19,85,107,495,224,33,9,22,992
UCL515014,0,5,80,124,44,4,0,0,265,0,4,24,11,0,0,0,0,42,0,0,5,3,0,0,0,0,9,0,4,24,16,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,3,16,108,146,45,4,0,3,326
UCL515015,0,12,113,483,339,30,3,8,988,0,16,33,22,0,0,0,4,72,0,0,5,3,0,0,0,0,9,0,16,41,21,0,0,0,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,28,154,507,343,31,3,10,1084
UCL515016,0,7,44,237,263,30,4,10,587,0,0,8,12,0,0,0,0,25,0,0,0,6,0,0,0,0,5,0,4,8,16,0,0,0,0,25,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,3,12,53,253,265,26,7,10,639
UCL515017,4,6,66,194,82,7,8,9,368,0,6,21,17,0,0,0,0,45,0,0,10,8,3,0,0,0,20,0,5,30,28,3,0,0,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,5,5,0,0,0,27,0,4,0,5,0,0,0,0,9,6,25,108,229,88,11,8,19,479
UCL515018,0,5,15,334,135,10,0,4,508,0,0,39,4,0,0,0,0,47,0,0,14,0,0,0,0,0,12,0,0,55,4,0,0,0,0,61,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,78,343,141,10,0,5,580
UCL515019,7,10,137,608,326,46,9,23,1175,0,18,82,11,3,0,0,9,121,0,0,4,0,0,0,0,0,4,0,18,81,11,3,0,0,9,126,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,6,6,32,225,622,329,43,10,28,1313
UCL515020,4,8,68,427,265,31,3,18,821,3,32,74,80,8,0,0,4,192,0,5,4,19,5,0,0,0,28,3,33,73,92,13,0,0,9,222,0,14,57,37,0,0,0,4,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,57,37,0,0,0,4,117,15,57,29,10,9,0,0,39,159,0,6,4,4,0,0,0,5,23,27,114,236,576,282,32,3,74,1336
UCL515021,0,7,36,225,242,39,7,3,556,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,17,5,0,0,0,0,57,0,0,0,0,0,0,0,0,0,7,67,49,226,241,39,7,8,645
UCL515022,4,10,123,744,481,65,12,20,1457,0,55,105,15,0,0,0,8,189,0,4,0,0,0,0,0,0,4,0,59,105,15,0,0,0,8,189,0,9,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,6,0,18,4,78,237,758,484,65,21,31,1677
UCL515023,0,26,123,432,233,21,9,12,859,0,12,15,13,0,0,0,7,40,0,0,0,0,0,0,0,0,0,0,8,15,13,0,0,0,7,43,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,4,37,144,447,233,21,9,24,909
