LGA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50840,74,46,146,206,271,283,81,15,0,1119,60,15,43,47,59,151,321,168,48,914,10,5,4,21,22,23,24,14,12,139,144,67,196,280,349,455,432,200,55,2173,28,70,182,256,320,288,80,18,3,1252,70,31,102,132,180,225,97,18,0,853,0,0,19,12,31,36,13,0,0,115,8,4,12,5,4,9,10,4,0,55,102,111,312,407,542,556,202,37,3,2279,6,0,7,5,11,15,0,0,0,53,15,3,4,5,3,12,0,0,0,40,18,3,12,11,11,24,4,0,0,90,126,114,329,422,549,583,206,37,3,2367,105,27,56,72,87,248,616,337,86,1630,15,13,27,48,51,57,58,31,15,315,240,154,408,539,693,887,875,403,104,4313
LGA50910,8,12,33,35,48,36,21,0,0,189,12,3,6,10,11,14,34,43,25,157,0,0,4,10,5,3,0,6,0,29,17,18,45,50,65,52,51,47,22,371,3,13,38,38,63,56,19,3,0,237,4,7,17,25,21,15,30,6,0,114,0,0,6,6,9,6,0,0,0,25,0,0,3,3,0,0,0,4,0,6,8,19,55,64,96,84,45,11,0,382,0,3,0,5,0,4,0,0,0,10,0,0,0,0,4,3,0,0,0,12,0,3,0,6,4,8,0,0,0,22,7,24,59,67,98,89,47,11,0,410,12,7,10,19,25,22,69,71,37,272,3,5,6,19,11,15,5,6,0,65,26,34,77,98,135,126,121,86,41,749
LGA50980,264,367,1349,1315,1087,998,294,31,0,5709,184,155,341,271,235,741,1240,361,45,3574,64,94,349,244,241,279,197,73,12,1554,522,617,2041,1831,1558,2016,1735,464,61,10840,117,380,1495,1466,1345,988,248,17,0,6062,278,167,477,579,415,436,250,41,3,2650,18,60,247,295,289,433,184,26,0,1552,14,19,65,56,31,34,12,6,0,236,422,624,2291,2392,2087,1896,699,93,3,10498,34,47,72,51,47,38,4,0,0,300,24,15,31,41,26,24,6,0,0,164,53,61,103,91,76,63,10,0,0,459,479,686,2395,2479,2159,1951,703,93,3,10956,373,268,574,453,439,1227,2539,853,100,6833,141,193,589,446,482,533,382,164,30,2970,998,1145,3558,3382,3083,3717,3626,1114,138,20761
LGA51080,3,10,36,48,46,45,14,4,0,215,15,0,15,9,9,26,27,21,5,122,3,3,9,9,3,10,5,7,0,52,23,14,59,67,61,80,46,27,5,387,5,14,49,57,59,73,29,3,0,292,4,10,19,36,25,35,11,6,0,141,0,0,3,4,0,3,0,0,0,17,0,0,5,0,0,3,0,0,0,10,11,24,77,100,89,109,39,11,0,464,0,0,4,3,3,0,0,0,0,16,0,0,3,0,0,5,0,0,0,6,5,0,9,3,4,7,0,0,0,22,14,29,87,101,91,115,44,11,0,489,24,9,13,15,20,41,50,37,14,218,6,4,10,9,14,19,9,13,0,85,45,44,116,127,123,177,98,55,14,790
LGA51120,8,13,32,39,42,33,11,6,0,171,8,3,13,7,3,20,40,32,8,123,0,3,3,0,7,13,10,9,6,54,15,20,41,45,54,69,60,42,12,352,12,17,55,56,64,49,23,5,0,287,0,8,13,23,19,23,11,0,0,104,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,12,30,75,86,89,78,34,4,0,406,0,4,0,0,0,0,0,0,0,4,0,0,3,0,5,0,0,0,0,8,3,4,3,0,5,0,0,0,0,15,17,34,75,88,89,76,37,4,0,421,13,9,13,12,8,30,76,45,19,222,9,14,18,17,25,23,20,15,9,140,34,46,108,113,123,137,136,64,23,788
LGA51190,559,682,1443,1467,1697,1377,331,22,3,7574,291,165,471,433,406,753,1474,1019,531,5541,47,58,136,110,111,98,92,72,89,806,896,901,2052,1999,2209,2229,1904,1115,621,13927,211,752,1867,1799,2026,1631,312,17,0,8615,625,420,795,923,958,893,429,52,5,5099,43,65,136,105,123,138,36,0,0,656,22,27,62,42,31,22,8,5,3,216,905,1264,2857,2865,3141,2684,791,70,10,14588,58,68,115,91,87,74,5,0,0,504,85,43,79,53,54,41,10,3,0,376,149,112,190,144,140,114,19,3,0,872,1053,1379,3053,3012,3278,2799,809,72,10,15456,613,300,817,805,720,1305,2647,1858,829,9903,86,115,302,237,245,204,183,126,125,1630,1753,1800,4177,4049,4247,4309,3640,2064,957,26990
LGA51260,753,545,1513,2221,2399,1811,502,51,5,9791,276,80,373,436,341,886,2123,1300,590,6407,63,36,136,122,121,163,148,120,45,957,1083,665,2021,2782,2864,2858,2771,1465,643,17155,301,608,1746,2256,2622,1757,362,35,5,9698,987,427,941,1529,1539,1466,717,85,10,7696,84,54,191,238,214,218,64,10,0,1069,35,23,42,65,51,33,14,8,3,269,1407,1114,2916,4086,4421,3474,1156,138,19,18727,25,42,74,52,61,36,8,0,0,287,91,22,44,56,45,49,23,0,0,325,119,58,118,102,104,87,24,0,0,616,1525,1168,3036,4191,4529,3560,1179,138,19,19337,630,155,505,583,562,1398,3861,2485,939,11117,106,69,277,253,251,315,292,216,84,1858,2262,1392,3812,5029,5335,5270,5335,2839,1039,32320
LGA51310,507,636,1230,1651,1867,1233,338,50,4,7522,374,87,143,306,340,546,929,775,556,4063,9,12,50,38,29,33,45,38,56,314,900,738,1420,1996,2235,1809,1312,869,615,11898,54,386,1599,2037,2516,1578,298,33,7,8513,798,726,591,976,1055,848,460,89,22,5557,32,44,113,117,82,107,33,9,0,532,3,19,31,33,32,13,7,0,0,147,893,1170,2336,3164,3676,2554,800,135,29,14743,8,39,51,47,54,53,4,4,0,247,136,36,41,35,39,32,17,0,0,336,140,73,88,83,92,87,21,4,0,583,1037,1240,2421,3242,3765,2630,818,137,29,15331,906,193,234,378,453,810,1630,1399,849,6854,22,26,77,71,65,61,79,81,76,557,1970,1458,2729,3693,4281,3505,2526,1618,957,22737
LGA51330,1552,2725,5385,5383,4471,3221,783,71,4,23600,1321,650,1278,1486,1172,1782,3279,2085,861,13914,71,145,329,241,154,131,97,115,74,1368,2952,3515,6993,7110,5792,5137,4161,2274,940,38875,296,1967,6706,7051,6049,3923,762,46,0,26803,2043,3167,3773,3268,2584,2169,988,133,7,18131,65,138,393,299,205,249,78,8,0,1437,34,160,300,148,123,67,22,7,0,861,2439,5429,11178,10755,8960,6405,1852,193,11,47222,75,182,387,303,270,199,31,0,0,1438,461,306,265,206,146,109,39,5,0,1534,535,484,652,506,418,305,70,3,0,2976,2973,5909,11828,11269,9378,6715,1920,201,12,50200,2824,1366,1947,1959,1716,2802,5788,3818,1428,23657,161,336,720,489,329,276,183,198,123,2818,5958,7615,14490,13722,11426,9792,7894,4215,1562,76671
LGA51400,432,338,721,1037,1142,726,139,17,0,4549,231,62,243,212,189,337,600,310,75,2247,27,11,51,47,40,45,34,18,8,275,686,417,1013,1288,1373,1108,773,337,76,7077,174,419,891,1169,1456,895,151,7,0,5162,482,196,400,629,600,474,178,26,0,2986,36,23,86,88,78,107,17,0,0,439,13,11,18,36,28,19,0,3,0,142,708,662,1396,1918,2163,1497,348,36,0,8729,16,25,38,34,34,36,3,0,0,189,79,25,17,21,28,13,0,4,0,177,89,54,53,58,53,50,9,4,0,370,799,710,1452,1971,2220,1548,360,40,0,9095,516,112,278,279,280,527,1116,589,113,3798,56,31,76,84,86,80,69,34,14,529,1368,852,1802,2335,2583,2154,1538,662,132,13419
LGA51470,4,14,20,27,19,32,6,0,0,119,0,7,4,0,4,12,24,14,0,73,4,0,0,9,0,8,4,9,0,35,5,16,32,37,25,47,39,19,0,228,4,17,33,38,38,48,15,0,0,187,0,8,13,20,11,17,7,3,0,72,0,0,0,5,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,5,21,44,62,51,61,31,7,0,275,0,0,0,4,0,7,4,0,0,11,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,4,0,0,14,5,21,44,66,50,72,31,7,0,289,4,7,12,4,5,22,54,33,4,143,8,0,3,20,12,9,8,7,0,74,17,30,54,90,68,97,93,47,4,506
LGA51540,55,117,289,310,315,365,109,10,0,1581,44,39,86,54,77,253,563,219,30,1370,21,43,83,57,65,63,60,24,8,436,122,197,459,427,466,681,732,257,46,3384,39,115,356,332,422,359,112,5,0,1735,44,44,130,135,120,174,86,7,0,745,6,20,83,119,92,185,56,3,0,572,4,9,17,9,11,20,7,4,0,88,99,195,581,592,647,730,262,21,4,3137,9,12,13,15,26,18,4,0,0,88,4,0,9,9,15,8,4,0,0,48,14,13,20,28,36,23,6,0,0,139,111,207,601,617,683,752,269,24,5,3277,93,66,133,96,138,451,1164,509,81,2733,64,86,181,137,156,134,139,60,12,962,262,356,914,851,972,1348,1569,593,98,6973
LGA51610,26,16,51,67,90,79,22,7,0,353,13,0,15,12,13,35,58,16,3,177,6,4,4,22,21,9,3,0,0,71,45,21,66,102,126,127,91,23,3,609,14,21,70,101,113,92,31,7,0,454,27,10,19,27,55,52,20,8,0,212,0,5,14,6,11,7,0,0,0,46,0,0,0,3,7,3,0,0,0,15,44,35,96,140,189,162,53,14,0,720,0,8,0,3,3,0,0,0,0,20,0,0,0,0,0,3,0,0,0,9,8,8,0,3,6,6,3,0,0,31,47,41,97,142,193,168,53,14,0,754,29,0,15,11,24,60,121,49,7,321,14,9,6,31,36,24,16,3,0,136,94,47,116,192,253,250,187,66,9,1211
LGA51680,116,93,179,266,361,293,57,11,0,1377,67,12,55,64,69,137,220,121,33,787,19,0,16,17,22,33,19,13,8,152,201,105,253,347,460,466,303,140,43,2318,53,117,222,337,487,394,78,14,0,1700,98,56,94,155,180,203,67,11,3,859,8,4,13,28,35,40,5,0,0,145,6,10,17,7,12,14,5,6,0,69,168,185,354,522,707,647,147,28,3,2768,6,15,12,13,12,9,0,0,0,70,11,7,4,4,4,10,4,0,0,42,21,24,19,16,18,15,0,0,0,109,188,207,366,539,729,665,150,28,3,2879,185,25,75,91,98,206,429,241,58,1411,31,15,29,33,55,67,43,24,13,309,407,245,474,655,883,935,623,298,74,4591
LGA51710,22,16,76,91,99,72,30,0,0,404,10,5,9,12,11,29,28,13,0,115,3,14,32,28,34,27,12,4,0,154,38,32,118,138,144,127,71,15,0,680,3,30,136,134,160,116,57,0,0,649,24,9,30,34,30,40,23,0,0,194,0,0,4,6,5,7,3,0,0,25,0,0,6,0,3,8,8,0,0,26,28,39,188,180,203,170,96,0,0,904,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,3,0,0,0,12,29,43,188,184,207,177,92,8,0,918,23,24,120,72,43,35,82,33,4,428,7,25,89,66,69,51,38,3,0,352,58,93,392,321,318,264,205,42,4,1699
