LGA_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50840,16,9,24,28,34,68,137,88,30,434,18,3,27,34,41,67,105,48,14,355,9,22,25,34,43,64,65,31,12,296,4,17,26,48,64,79,75,12,3,323,3,17,40,44,61,76,47,15,0,300,0,18,24,39,44,45,18,0,0,189,0,8,37,36,55,56,15,10,3,212,0,9,25,41,49,36,7,0,0,167,0,10,50,71,86,70,13,3,0,310,0,4,12,10,17,19,5,0,0,61,0,0,4,17,23,20,15,0,0,76,22,17,24,54,57,60,67,36,14,354,0,0,0,0,0,0,0,0,0,9,240,154,408,539,691,889,880,403,105,4318
LGA50910,0,5,3,5,12,9,21,15,0,60,0,0,9,12,4,7,15,4,3,59,3,0,9,9,3,0,10,7,4,46,0,11,5,8,9,5,4,5,0,49,0,0,8,10,13,16,6,9,0,59,0,4,3,7,5,8,5,0,0,25,0,0,11,0,14,12,4,0,0,44,0,0,0,6,5,3,0,0,0,17,0,4,4,8,15,13,0,0,0,51,0,0,0,3,0,0,3,0,0,6,0,0,4,0,5,0,0,0,0,11,3,9,7,19,14,18,12,8,3,92,0,0,0,0,0,0,0,0,0,0,26,34,80,98,135,126,121,86,41,748
LGA50980,36,59,89,102,83,155,363,141,18,1045,37,80,128,141,85,198,378,141,8,1198,36,97,205,146,127,192,266,82,3,1150,35,128,329,220,186,229,261,87,13,1487,19,127,369,284,272,330,267,59,3,1741,7,97,327,286,243,280,177,28,3,1444,0,36,350,330,224,265,158,23,5,1397,3,27,259,268,226,200,94,11,0,1076,0,18,336,482,495,344,141,38,4,1856,0,8,54,104,105,98,46,8,0,419,0,4,62,171,180,159,107,56,0,741,176,209,627,492,514,567,420,187,35,3228,0,41,94,11,8,6,16,0,0,178,996,1190,3653,3398,3086,3727,3644,1116,138,20940
LGA51080,8,0,0,4,6,7,17,13,4,62,3,0,9,10,5,13,5,6,0,50,0,5,8,7,4,9,7,8,0,52,3,3,10,12,15,19,9,0,0,66,0,9,17,19,17,23,14,0,0,89,0,9,10,7,9,14,0,0,0,44,0,0,9,0,6,0,6,0,0,25,0,0,5,13,3,4,5,0,0,31,0,0,6,10,8,12,3,0,0,42,0,0,0,0,4,10,0,0,0,18,0,0,0,4,13,3,3,3,0,29,15,4,15,19,20,25,12,7,0,112,0,0,0,0,0,0,0,0,0,0,45,44,116,127,123,177,98,55,14,790
LGA51120,5,0,3,4,4,11,18,16,3,64,0,3,5,9,7,3,3,10,5,41,6,3,13,4,8,5,12,0,0,47,4,8,9,10,7,10,0,6,4,47,0,8,11,12,9,16,10,4,0,62,0,0,11,9,11,8,3,0,0,48,0,3,10,16,4,10,3,0,0,51,0,0,6,13,5,8,3,0,0,28,0,0,6,10,17,4,3,0,0,43,0,0,0,0,9,0,0,0,0,16,0,0,3,4,4,9,4,0,0,24,9,14,15,17,26,28,20,14,12,146,0,0,0,0,0,0,0,0,0,0,34,46,108,113,123,137,136,64,23,788
LGA51190,83,117,186,175,215,307,624,493,268,2465,107,191,290,282,269,277,439,275,133,2266,74,226,332,281,312,277,287,149,63,1986,51,275,476,345,366,354,218,99,27,2207,29,226,484,385,427,392,240,65,11,2268,6,108,357,344,344,306,100,28,13,1606,3,72,284,297,299,265,82,21,13,1339,4,37,225,268,264,254,51,15,3,1113,0,45,330,422,490,428,89,13,12,1824,0,3,59,92,133,80,29,0,5,404,5,4,43,136,184,141,73,9,4,594,114,154,480,427,354,279,226,172,158,2360,6,3,10,9,9,10,4,0,0,47,1756,1802,4188,4056,4257,4318,3640,2065,957,27037
LGA51260,139,96,194,230,222,343,752,502,201,2678,150,156,264,344,353,421,704,414,119,2924,93,237,323,398,422,436,450,245,67,2678,57,229,434,476,463,463,376,149,46,2696,29,177,493,574,625,536,322,122,31,2904,7,88,375,441,475,396,203,60,18,2071,7,24,300,368,457,338,147,56,22,1714,0,15,203,310,407,256,67,24,5,1282,3,22,285,575,620,397,126,29,5,2069,0,4,59,139,160,106,29,7,0,510,0,5,58,206,257,182,105,33,9,859,149,79,282,283,283,352,343,277,194,2240,0,0,23,5,13,10,5,4,0,63,2267,1394,3835,5033,5350,5282,5336,2847,1036,32384
LGA51310,47,136,77,76,73,105,215,210,192,1132,63,151,132,125,126,129,208,205,130,1267,27,128,137,115,120,154,231,150,68,1122,14,124,204,170,175,173,210,126,68,1246,8,135,271,210,240,257,191,115,42,1465,0,81,268,220,249,225,155,68,23,1298,3,57,308,254,265,261,133,66,31,1375,0,26,263,239,240,208,93,30,12,1114,0,17,450,646,681,523,193,54,21,2584,0,6,112,243,321,204,61,28,6,980,5,9,129,929,1283,736,184,56,27,3357,34,29,96,92,96,91,109,126,143,818,3,4,10,7,10,9,13,11,4,66,1969,1461,2738,3699,4289,3518,2540,1626,959,22801
LGA51330,214,612,664,473,462,487,1109,928,496,5444,192,796,1007,680,603,575,827,518,175,5385,118,781,1133,818,628,571,586,298,82,5013,98,767,1681,1142,952,765,530,227,73,6230,46,660,2007,1527,1110,927,503,121,30,6923,13,401,1517,1235,989,776,293,70,13,5298,7,216,1215,1179,991,722,217,51,17,4618,5,81,727,958,805,503,148,22,7,3254,0,85,966,1809,1572,997,247,30,11,5715,0,17,161,462,380,225,66,6,0,1311,0,13,148,545,627,424,85,23,7,1877,220,440,818,548,395,349,258,247,208,3487,4,14,50,36,40,78,69,25,12,323,5960,7635,14539,13751,11465,9868,7963,4240,1579,76995
LGA51400,65,45,80,91,99,130,237,140,36,921,82,88,126,126,145,133,151,88,13,946,61,117,147,156,160,128,132,64,9,966,35,154,187,185,199,151,84,29,10,1033,12,106,219,262,258,202,67,25,4,1156,0,61,172,177,248,183,51,8,0,909,5,38,136,243,213,168,41,5,3,862,0,17,122,168,213,142,21,3,0,684,0,23,187,340,414,239,49,4,0,1261,0,6,28,59,94,68,13,0,0,270,0,0,25,89,111,68,15,6,0,312,97,34,84,107,108,99,78,48,16,676,0,0,5,0,0,4,0,0,0,9,1369,853,1805,2334,2583,2156,1538,659,132,13431
LGA51470,0,0,9,0,3,3,18,12,0,54,0,0,0,4,0,4,4,0,0,25,4,3,4,4,8,10,9,6,4,40,0,8,3,13,3,10,4,0,0,52,0,3,8,7,0,8,3,0,0,35,0,5,5,7,10,8,0,0,0,35,0,0,4,9,3,4,6,0,0,31,0,0,0,5,3,0,0,0,0,12,0,0,4,4,10,6,0,0,0,30,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,3,0,0,0,5,8,0,3,28,12,10,12,15,0,86,0,0,5,0,0,0,0,0,0,5,17,30,59,90,65,97,93,47,4,510
LGA51540,5,20,28,25,38,72,190,109,7,495,21,31,52,51,49,112,207,94,16,630,12,31,68,55,53,89,111,25,4,459,10,42,90,66,73,110,90,36,8,524,9,32,89,62,100,133,100,29,6,551,0,24,81,68,78,64,53,9,5,383,0,16,67,58,65,69,35,5,3,318,0,3,50,54,57,62,28,0,0,262,0,9,77,117,112,112,40,3,0,468,0,0,21,18,20,32,9,0,0,92,0,0,19,35,41,52,19,0,0,154,67,88,182,142,166,147,155,77,16,1039,0,29,52,17,7,4,0,0,0,109,269,381,967,868,984,1347,1571,593,98,7078
LGA51610,0,0,0,0,9,7,24,13,3,57,4,3,5,10,13,14,17,9,3,79,11,10,5,10,3,11,8,6,0,64,0,6,12,7,21,18,15,0,0,83,0,4,11,16,25,30,9,6,0,104,0,0,10,21,15,24,0,0,0,74,0,5,10,12,27,18,4,0,0,81,0,3,8,9,13,13,4,0,0,53,0,5,15,25,30,24,6,0,0,112,0,0,4,10,10,5,3,0,0,27,0,0,0,0,13,3,0,0,0,18,16,10,6,33,37,28,27,6,0,161,0,0,0,0,0,0,0,0,0,0,94,47,116,192,253,250,189,66,9,1213
LGA51680,19,21,20,29,31,36,96,59,20,332,33,15,29,37,44,57,65,36,5,326,12,27,28,36,57,45,44,25,5,280,14,41,51,54,69,75,40,16,4,356,4,29,44,61,95,68,23,9,0,336,0,14,34,53,66,79,17,4,0,281,0,8,43,60,73,74,23,4,0,285,0,3,29,55,57,41,3,0,0,191,0,9,41,90,133,104,12,0,0,400,0,0,18,27,27,25,0,0,0,95,0,0,8,19,46,41,7,7,0,127,41,16,36,41,66,75,45,29,14,373,0,0,4,3,0,0,0,0,0,8,407,245,477,661,883,931,625,298,74,4605
LGA51710,0,0,0,3,6,9,15,6,0,51,6,3,7,5,8,7,10,3,0,52,0,3,6,10,7,11,11,4,0,50,3,10,16,5,13,15,6,0,0,70,0,6,37,20,20,15,16,0,0,112,3,3,32,15,23,15,12,0,0,103,0,5,28,30,29,23,13,0,0,139,0,6,20,26,23,19,12,0,0,111,0,4,20,45,54,32,16,0,0,175,0,0,4,3,13,7,10,0,0,39,0,0,6,6,3,10,6,0,0,29,12,43,199,120,97,54,33,3,0,566,0,0,0,0,0,0,0,0,0,5,57,93,390,321,318,268,205,42,4,1706
LGA51750,23,62,42,25,37,44,73,105,64,472,8,75,45,26,59,48,105,93,55,521,7,54,64,37,39,60,75,93,36,473,3,48,72,41,65,67,101,87,33,519,5,72,105,65,71,86,95,90,39,622,0,38,113,75,78,78,72,51,31,541,9,32,138,80,88,78,63,53,13,558,0,8,96,71,79,67,51,39,18,440,3,12,182,192,213,160,87,68,35,954,0,3,41,77,79,67,38,16,9,338,0,0,53,268,407,255,128,61,17,1201,42,41,71,48,65,49,54,65,73,509,7,0,11,9,7,0,8,0,0,40,862,702,1162,1162,1447,1234,1139,991,518,9220
LGA51820,257,540,562,590,610,697,1352,1042,456,6099,337,758,850,864,740,756,954,493,182,5934,208,820,1081,1048,850,818,684,317,106,5928,154,947,1662,1344,1188,981,575,165,60,7072,61,814,2353,1778,1651,1279,515,120,23,8597,18,521,1998,1691,1409,1043,353,64,4,7101,8,232,1861,1653,1475,1017,268,38,9,6569,7,111,1318,1502,1160,741,165,28,3,5022,3,123,1894,2921,2410,1317,278,31,4,8980,0,25,370,687,487,286,68,7,7,1932,0,16,286,824,762,422,111,17,6,2446,258,317,765,701,539,436,442,470,409,4337,17,10,27,16,24,43,45,9,0,193,6510,7353,17297,17914,15298,12527,9260,4697,1797,92652
LGA51860,0,0,3,0,0,4,11,3,0,33,0,8,4,5,3,10,9,5,0,42,0,3,3,5,6,6,12,0,0,36,0,8,13,6,9,9,7,0,0,48,0,3,14,6,10,10,0,0,0,39,0,0,7,4,4,8,0,0,0,31,0,3,4,7,4,10,0,5,0,21,0,0,3,3,5,5,4,0,0,26,0,0,8,12,6,15,3,0,0,46,0,0,0,4,3,3,0,0,0,13,0,0,0,0,3,6,3,7,0,14,3,5,21,13,13,36,21,13,0,128,0,0,3,0,0,0,0,0,0,3,14,41,77,84,76,143,89,42,10,580
LGA51890,13,26,65,52,56,108,213,136,52,723,28,28,78,82,72,87,95,46,16,527,23,43,62,73,66,77,87,36,14,484,5,39,83,64,75,64,56,23,0,415,8,40,73,82,76,115,69,5,0,469,4,27,59,62,84,69,24,9,0,332,7,26,55,66,63,69,15,0,0,294,0,29,54,60,61,58,9,0,0,272,0,15,95,150,174,116,9,0,0,565,0,7,16,23,33,25,6,0,0,110,0,0,11,22,27,27,3,4,0,92,55,35,73,95,79,71,88,74,50,622,3,0,3,0,0,0,0,0,0,3,503,406,910,989,1117,1261,1124,548,179,7040
LGA51960,9,9,19,8,16,21,55,25,6,162,9,4,13,19,18,22,22,10,0,119,5,16,14,8,17,21,16,4,0,107,8,11,23,20,24,23,15,4,0,138,3,11,23,29,42,33,17,0,0,161,3,21,33,24,33,23,3,0,0,136,3,13,40,30,33,29,9,0,0,158,4,12,32,42,35,26,5,0,0,159,0,20,134,111,129,89,12,0,0,500,0,3,41,35,37,27,3,0,0,149,0,7,34,42,55,37,9,0,0,184,54,90,284,251,265,182,74,23,5,1215,0,0,0,0,0,0,0,0,0,3,204,260,765,691,783,645,339,88,14,3796
LGA52030,0,3,0,3,3,13,42,26,3,100,0,5,12,5,7,18,23,9,3,81,0,5,0,6,7,13,19,7,0,54,0,0,7,9,9,9,9,5,0,53,0,7,9,11,16,16,13,4,3,66,0,3,8,5,3,16,7,3,0,38,0,0,9,7,13,20,0,4,0,45,0,0,7,7,6,8,6,0,0,35,0,0,6,6,12,15,9,0,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,8,7,0,0,21,4,9,14,12,22,31,19,16,12,143,0,0,0,0,0,0,0,0,0,0,22,32,87,92,109,224,214,103,23,918
LGA52100,0,6,0,7,3,6,25,17,11,78,0,3,3,7,5,9,16,10,6,64,8,9,10,12,6,6,4,4,0,62,0,10,12,9,10,15,10,0,0,74,0,3,13,18,11,15,7,3,0,74,3,6,12,13,10,16,7,0,0,65,0,0,14,10,16,8,8,0,0,60,0,0,9,5,3,8,9,0,0,36,0,0,7,14,15,10,10,0,0,53,0,0,0,4,4,5,0,0,0,6,0,0,0,0,10,0,3,0,0,14,4,0,6,7,6,8,8,10,6,53,0,0,0,0,0,0,0,0,0,4,26,47,109,116,113,134,152,68,38,799
LGA52170,19,41,13,12,35,29,53,47,26,274,15,40,29,13,28,39,53,48,21,293,3,45,36,26,21,27,46,39,11,258,6,21,41,21,39,39,54,33,11,270,0,38,59,28,42,56,69,41,14,354,0,25,73,27,56,68,56,29,8,353,0,27,102,55,51,57,55,31,6,381,0,10,109,43,48,54,42,32,4,346,0,3,155,137,149,113,91,40,10,695,0,9,36,58,64,67,38,19,0,290,0,0,55,250,416,313,159,45,4,1250,12,11,29,42,24,37,37,46,50,286,0,3,8,7,6,7,4,0,0,41,553,453,832,818,1089,1049,890,541,211,6440
