LGA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA50840,1794,1819,3618,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,11,15,28,0,0,0,0,0,3,3,0,5,0,4,3,0,0,0,0,0,0,9,9,20,14,0,18,0,4,4,0,0,0,0,0,0,0,4,8,0,0,0,13,19,33,76,76,152,4,5,8,8,21,27,0,0,5,0,3,10,29,24,56,0,0,3,0,0,0,0,6,11,306,293,600,19,14,32,0,6,5,50,54,104,232,181,408,0,3,9,2593,2585,5177
LGA50910,356,350,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,13,8,17,0,0,0,3,6,9,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,16,13,35,0,0,0,0,0,0,7,9,17,52,44,97,0,0,0,454,448,909
LGA50980,8809,9124,17933,0,0,0,0,0,5,12,34,50,23,68,91,6,8,10,3,5,10,7,4,12,66,80,151,0,0,3,6,15,20,47,34,88,10,28,39,0,3,4,0,0,0,46,57,101,57,39,99,3,18,26,6,8,9,0,0,0,21,19,44,3,5,8,51,56,106,227,236,462,4,3,11,95,131,226,4,14,19,7,19,28,77,94,168,9,12,30,11,23,32,10,65,75,641,694,1334,38,44,85,12,20,27,294,355,644,1670,1793,3461,79,102,181,12373,13201,25576
LGA51080,414,377,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,20,0,0,0,0,4,6,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,20,20,41,0,3,5,0,0,0,5,7,11,55,70,125,0,0,0,515,498,1017
LGA51120,383,336,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,0,0,0,8,9,15,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,12,21,30,3,0,6,0,0,0,8,3,13,92,64,153,0,0,0,522,438,968
LGA51190,11836,12221,24061,0,0,3,3,4,7,26,32,63,34,68,102,12,8,20,7,8,10,0,7,9,56,62,117,11,10,20,12,18,31,164,119,276,30,51,83,14,6,23,6,4,20,78,73,158,113,106,220,22,17,41,38,23,53,11,9,25,46,56,105,20,29,47,57,56,117,445,404,851,21,18,42,192,282,469,18,38,55,19,28,42,176,185,363,25,27,50,38,48,82,17,65,86,1038,1076,2120,48,33,79,24,47,69,318,385,701,889,920,1810,27,24,52,15889,16576,32469
LGA51260,14441,15503,29945,50,20,69,0,0,6,38,68,104,17,34,46,6,7,9,8,4,10,4,7,11,83,140,227,5,0,6,4,17,19,94,71,163,26,54,79,0,5,4,0,0,0,76,101,173,66,39,100,10,36,47,20,29,51,0,0,0,33,32,64,9,10,19,72,82,154,472,467,935,15,10,27,45,109,155,13,22,32,15,39,57,229,262,491,24,27,49,5,32,42,13,75,94,1669,1942,3608,76,76,158,33,38,65,355,429,788,1062,1179,2242,40,38,74,19140,20991,40131
LGA51310,9336,9755,19087,0,0,3,4,7,15,77,80,160,163,228,391,13,25,37,23,23,38,6,9,10,72,85,156,20,25,47,45,53,96,203,200,405,33,55,93,43,47,92,3,5,3,177,194,371,125,121,243,42,80,127,28,33,61,4,6,9,207,261,467,24,30,57,76,60,134,224,208,433,5,12,19,40,55,93,26,38,67,130,142,274,274,284,561,38,42,77,14,23,43,29,42,66,1286,1161,2446,135,168,302,26,52,75,569,719,1291,257,331,581,34,34,65,13805,14677,28483
LGA51330,21548,21397,42953,121,108,236,202,184,382,61,76,140,2157,2400,4553,33,42,72,84,66,156,11,24,37,124,146,276,15,23,36,422,435,856,3970,3546,7513,780,972,1753,218,180,397,129,106,239,190,191,381,269,263,533,64,162,227,514,580,1094,55,50,113,2788,3066,5856,378,351,729,116,128,241,913,824,1736,787,335,1116,697,845,1546,84,99,183,887,1102,1990,493,533,1024,756,693,1450,162,247,409,107,293,398,2680,2557,5236,168,140,313,296,382,679,3034,3262,6301,1493,1458,2948,181,161,342,46981,47429,94408
LGA51400,6234,6673,12915,0,0,0,7,8,21,23,30,49,8,7,17,4,0,3,8,7,13,0,0,0,28,37,65,0,0,0,0,0,5,65,66,128,8,14,16,3,0,5,0,0,0,30,30,61,8,10,17,0,7,6,5,7,15,8,9,20,9,21,30,0,4,5,26,23,49,244,232,471,19,14,35,131,171,303,5,9,19,9,17,25,322,326,647,5,8,11,0,15,16,5,24,32,595,626,1225,25,25,51,8,10,17,222,273,496,315,340,656,3,6,9,8408,9054,17459
LGA51470,215,175,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,16,17,33,0,0,3,0,0,0,4,9,14,44,51,91,6,4,5,306,269,575
LGA51540,2802,2605,5405,0,0,0,0,0,0,10,8,19,0,9,13,16,16,33,0,0,0,3,5,11,18,28,51,0,6,5,0,3,8,21,17,37,3,6,10,5,0,4,0,0,0,15,14,33,21,19,36,8,14,17,8,7,13,0,0,0,28,26,51,0,0,0,28,12,42,89,58,145,4,0,5,18,35,56,6,3,3,0,3,3,26,14,40,6,0,6,9,17,20,3,8,14,285,274,562,14,13,32,55,58,118,113,105,220,620,540,1156,75,32,109,4298,3972,8266
LGA51610,572,552,1127,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,30,0,0,0,0,0,0,0,0,0,0,0,0,13,9,16,0,0,0,0,0,0,0,0,0,48,50,100,3,0,9,0,0,0,10,7,21,94,99,193,0,0,0,770,760,1533
LGA51680,1969,1920,3891,0,0,0,0,0,0,8,8,11,0,0,0,0,0,7,0,0,0,0,0,0,11,13,25,0,0,0,0,0,3,11,9,25,0,0,0,0,0,0,3,0,0,11,8,16,6,3,8,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,21,10,33,97,78,176,0,0,0,5,12,20,3,4,4,7,12,21,33,41,73,0,0,0,0,0,0,0,9,10,333,434,764,5,10,15,8,4,3,54,54,110,243,216,462,6,5,8,2846,2874,5719
LGA51710,418,346,765,4,0,4,0,0,0,0,0,0,10,3,12,0,0,0,0,0,0,12,0,12,0,5,3,0,0,0,0,4,4,19,6,21,6,11,17,15,0,15,12,0,12,5,0,4,0,0,0,0,0,0,7,0,5,8,0,8,158,147,304,0,0,0,4,0,4,26,20,51,6,0,6,16,14,34,0,0,0,30,12,39,9,3,13,12,0,12,0,0,0,4,6,15,35,24,64,0,5,6,12,0,13,121,16,132,225,179,401,3,0,5,1174,814,1987
LGA51750,3360,3655,7014,0,0,0,0,3,4,34,31,71,117,160,273,0,6,11,5,0,7,3,0,4,25,38,56,5,3,6,28,28,58,43,53,98,11,22,35,14,25,39,3,0,3,40,48,86,25,15,36,31,51,85,5,7,14,0,0,0,33,72,114,0,0,0,23,19,47,80,87,170,0,0,3,0,8,14,9,11,21,67,57,130,120,134,254,18,18,39,3,3,6,4,13,16,555,541,1088,45,64,107,9,10,21,236,292,529,222,255,484,26,19,44,5223,5764,10991
LGA51820,35473,36385,71864,22,15,38,68,61,132,113,186,293,701,877,1577,517,544,1064,46,51,95,26,26,50,232,312,546,17,10,25,155,166,321,1163,1116,2286,284,465,754,196,187,382,27,20,52,374,345,718,850,750,1600,51,166,222,195,219,409,32,30,66,723,872,1593,74,79,158,157,160,316,1634,1462,3098,132,109,240,1247,1505,2747,146,181,324,443,541,975,968,1048,2012,169,177,343,60,133,190,78,294,380,4556,4700,9257,227,217,446,102,175,275,3082,3707,6787,1874,1864,3741,101,106,213,56306,59270,115575
LGA51860,242,234,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,23,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,7,0,7,4,0,8,0,0,0,0,0,0,0,0,0,10,8,21,0,0,0,0,0,0,5,8,12,77,78,154,3,0,3,366,348,708
LGA51890,3520,3421,6937,0,0,0,0,0,0,4,5,6,5,5,7,4,0,6,0,0,0,0,0,3,23,24,43,0,0,0,0,0,0,11,6,11,10,3,15,3,0,8,0,0,0,5,7,17,23,19,35,0,5,7,5,0,8,0,0,0,0,3,7,0,0,0,13,10,22,107,95,203,3,0,4,15,30,45,6,10,10,0,4,4,28,21,51,0,0,0,0,0,0,0,8,9,214,208,425,3,6,12,0,4,4,36,36,71,338,285,623,8,3,3,4376,4219,8589
LGA51960,1388,992,2383,5,0,4,0,0,0,3,0,4,7,0,10,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,0,9,4,10,3,15,14,0,0,0,0,0,0,10,3,13,0,0,0,0,0,0,4,4,0,0,0,0,0,8,10,5,0,7,0,0,0,183,125,311,0,0,0,21,30,54,3,0,3,0,0,0,21,11,34,8,0,8,0,0,0,7,10,14,90,46,141,4,0,8,0,0,3,55,31,83,900,442,1343,3,0,3,2737,1753,4488
LGA52030,433,359,792,0,6,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,20,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,28,31,51,0,0,0,0,0,3,3,4,11,77,62,139,0,0,0,568,483,1052
LGA52100,411,391,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,14,27,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,35,0,0,0,0,0,0,4,10,14,25,33,57,0,0,4,482,485,965
LGA52170,2736,2796,5533,0,0,0,0,0,0,14,27,40,11,17,31,3,9,8,0,0,4,0,0,0,14,16,28,0,3,3,7,17,21,18,10,26,0,16,17,3,4,3,0,0,0,41,41,89,29,18,50,0,6,6,0,7,4,0,3,4,15,25,36,0,0,0,13,10,24,62,67,128,0,0,0,0,0,0,8,12,19,14,24,38,61,67,128,7,3,9,0,4,7,0,3,10,390,351,743,46,66,120,0,5,10,128,143,267,111,129,241,27,24,51,3774,3925,7689
LGA52240,409,341,756,3,0,10,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,35,0,0,0,6,6,12,3,0,5,0,0,0,6,7,11,0,0,0,0,0,0,0,0,0,38,38,70,0,0,5,0,4,4,5,13,17,62,56,115,0,0,0,558,488,1043
LGA52310,344,303,648,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,6,12,20,0,0,0,0,0,3,0,0,0,0,0,0,4,5,7,0,0,0,0,0,0,0,6,0,31,34,64,0,0,0,0,0,0,3,0,3,46,40,82,3,0,3,450,412,862
LGA52380,270,97,362,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,23,11,26,0,0,0,8,6,14,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,33,11,47,0,0,0,0,0,0,14,8,20,26,16,45,3,0,3,403,156,560
LGA52450,569,474,1042,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,18,25,0,0,0,21,26,47,0,0,0,0,0,0,8,4,17,0,0,0,0,0,0,0,0,0,31,27,58,0,0,0,0,0,0,4,6,5,40,49,85,0,0,0,694,625,1318
LGA52520,486,443,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,14,37,0,0,0,62,44,104,0,0,0,0,0,0,13,10,21,0,0,0,0,0,0,0,0,0,24,24,49,0,0,0,0,0,0,7,9,17,114,101,219,0,0,0,731,657,1392
LGA52590,1406,1210,2620,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,3,5,0,5,6,9,20,0,0,0,0,0,0,6,0,6,3,7,10,0,0,0,0,0,0,0,4,10,10,4,14,0,0,3,0,3,3,0,0,0,0,0,0,7,0,5,3,3,6,48,50,96,0,0,0,5,11,13,0,3,6,0,0,0,12,18,36,0,0,0,0,6,6,0,6,6,114,93,208,5,3,6,5,3,4,39,34,75,283,185,473,22,9,26,1988,1684,3671
LGA52660,5394,5620,11019,5,0,6,0,0,0,3,9,14,12,15,25,3,0,3,0,0,0,0,0,0,19,24,36,0,0,0,3,5,10,43,40,85,9,9,13,9,5,10,3,3,11,24,23,50,14,18,28,3,5,8,12,9,19,0,0,0,9,10,21,3,4,6,32,40,72,220,179,398,6,5,11,34,76,108,10,4,13,7,18,27,97,115,210,7,3,7,12,14,16,4,22,24,404,445,848,17,23,43,7,20,20,127,129,258,329,336,666,9,9,17,6879,7228,14107
LGA52730,2090,2195,4284,0,0,0,0,0,0,8,11,18,4,3,9,0,4,4,0,0,0,0,0,0,19,38,62,0,0,0,0,0,0,11,8,19,0,13,18,0,0,0,0,0,0,9,13,19,10,3,13,4,4,7,0,0,6,0,0,0,6,6,6,0,0,0,22,24,43,63,60,117,0,0,0,0,13,15,3,3,13,0,7,11,41,39,78,4,3,6,0,0,0,0,7,12,361,372,730,15,20,40,9,6,16,76,86,159,306,317,621,5,7,4,3061,3281,6336
LGA52800,3523,3334,6867,0,0,0,3,0,8,0,3,0,5,6,13,0,0,0,0,0,0,3,3,10,12,12,24,0,0,0,0,0,0,20,19,41,0,3,6,0,0,4,0,0,0,11,12,24,5,7,15,0,4,4,5,0,4,0,0,0,11,9,15,0,0,4,5,6,10,95,88,185,0,0,0,23,18,40,0,0,0,0,4,3,20,17,37,4,3,7,0,3,4,3,13,16,139,107,245,10,8,21,0,0,6,75,66,143,751,726,1477,15,26,42,4765,4521,9279
LGA52870,2206,2244,4440,9,0,11,0,0,0,4,9,16,0,0,3,0,0,0,0,0,0,0,3,3,17,22,38,0,0,3,0,3,0,6,3,9,0,9,7,0,0,0,0,0,0,10,10,14,23,20,44,0,4,3,3,3,6,0,0,0,8,8,16,0,0,0,15,21,32,68,66,129,10,4,10,3,19,22,5,5,12,0,6,4,31,27,54,0,0,0,6,19,23,0,8,4,244,273,513,8,8,17,10,10,18,49,49,93,193,169,361,7,20,31,2930,3036,5964
LGA52940,304,268,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,13,16,23,0,0,0,0,0,0,3,6,12,39,26,60,0,0,0,360,326,685
LGA53010,253,225,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,10,9,15,0,0,0,0,0,0,0,3,6,91,48,137,0,0,5,366,303,674
LGA53080,369,242,615,3,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,31,20,53,0,0,0,0,3,5,0,0,0,0,0,0,4,4,10,4,0,4,0,0,0,6,6,11,38,23,62,0,0,0,0,3,4,14,10,25,146,86,226,9,5,7,638,417,1056
LGA53150,2567,2882,5448,0,0,0,0,0,0,12,24,32,0,14,15,11,10,15,3,0,7,0,0,3,18,29,53,0,0,0,3,10,7,10,22,26,4,8,11,5,4,11,0,0,0,33,46,77,42,52,99,6,8,10,3,4,10,0,0,0,11,10,24,0,0,0,17,14,28,81,57,143,0,0,5,3,18,18,0,3,9,10,12,21,36,35,68,3,0,4,0,0,0,5,8,12,402,396,798,28,37,65,0,6,3,127,142,272,135,152,290,34,3,34,3629,4009,7641
LGA53220,6829,3138,9967,3,0,8,11,0,9,19,11,28,30,20,52,11,0,15,6,0,6,20,7,25,29,15,43,6,0,4,10,4,14,119,28,142,37,28,64,18,3,21,4,0,4,125,34,156,27,6,31,0,6,4,13,3,13,0,0,6,46,14,59,10,0,13,21,12,31,882,362,1242,24,0,24,258,102,354,11,3,13,28,10,41,158,58,214,19,3,17,3,9,6,14,58,71,694,194,894,18,10,19,17,4,21,554,202,757,5049,1171,6219,95,30,126,15196,5544,20742
