LGA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA53290,6,0,5,7,22,43,80,116,65,354,0,0,0,3,0,7,8,0,5,29,73,86,172,190,234,186,182,152,40,1311,427,670,1566,1660,1869,1872,1461,895,284,10706
LGA53360,0,0,0,5,4,10,33,45,0,97,0,3,7,0,0,0,0,0,0,13,17,22,60,49,48,67,85,27,7,387,108,285,898,768,731,1025,1265,417,44,5542
LGA53430,9,4,13,18,40,56,169,299,200,809,0,4,13,6,13,18,24,38,45,160,67,146,334,292,329,278,251,220,228,2153,621,1814,4389,4437,4283,4343,3520,1888,876,26170
LGA53570,3,0,16,16,13,23,46,52,21,181,0,5,7,0,3,8,4,4,6,37,6,21,50,35,59,69,95,65,10,409,107,208,581,540,707,835,905,451,84,4420
LGA53640,0,0,3,4,0,4,8,6,3,26,0,0,0,0,0,0,0,0,0,4,3,4,14,17,5,21,20,0,3,87,23,59,182,157,148,178,140,34,8,933
LGA53710,0,0,0,0,0,6,14,4,4,33,0,0,0,0,0,0,0,0,0,0,10,5,3,10,17,20,18,10,4,98,22,39,67,112,121,158,157,67,24,769
LGA53780,49,74,224,389,391,507,718,582,353,3299,8,39,266,339,351,292,215,135,72,1718,401,374,948,916,720,499,511,461,347,5167,3618,8276,17225,19389,15696,12567,9953,5065,1856,93658
LGA53800,18,15,24,37,64,152,281,373,208,1177,0,12,16,21,22,30,34,36,28,191,226,197,455,511,431,407,361,278,153,3018,1264,2062,4600,4804,5173,5087,4166,2193,842,30190
LGA53920,34,22,37,35,43,35,52,11,3,261,0,0,3,9,5,5,22,26,3,73,32,42,108,112,100,94,94,33,9,632,223,342,751,656,578,585,500,125,17,3778
LGA53990,9,6,24,24,37,65,148,199,99,606,0,3,8,6,4,12,4,17,6,56,87,57,137,143,144,179,165,117,64,1091,785,1224,3113,3616,3554,3525,2831,1391,393,20434
LGA54060,0,0,3,7,5,9,37,47,16,126,0,0,0,0,0,0,0,3,0,3,14,12,49,55,56,94,89,68,10,449,82,122,269,387,479,673,741,388,81,3235
LGA54130,0,0,0,0,0,0,8,5,0,14,0,0,0,0,0,0,0,0,0,0,5,4,9,13,17,16,18,0,0,85,18,51,133,161,147,185,146,42,10,890
LGA54170,19,12,52,71,87,158,435,542,404,1787,8,3,28,28,41,51,44,70,42,327,176,208,492,548,533,453,529,596,459,3986,4214,8815,15770,20727,21983,20720,17263,7703,2837,120031
LGA54200,21,3,47,42,83,126,277,330,178,1104,0,9,27,50,50,42,35,28,23,260,112,111,238,305,224,227,215,249,174,1858,1562,3090,6193,7747,7551,6889,5987,3510,1266,43792
LGA54280,11,13,25,56,62,95,134,106,46,555,3,4,12,29,23,17,14,3,3,110,145,247,675,620,500,542,370,132,72,3306,888,2067,5139,4678,4143,3676,1952,693,197,23419
LGA54310,10,11,18,24,50,52,85,41,6,285,0,3,16,18,8,9,5,3,0,73,185,306,1189,1250,1046,807,325,78,6,5185,590,1369,4996,5343,4199,2992,1397,360,24,21268
LGA54340,0,3,19,24,22,20,34,48,29,210,0,4,7,11,23,18,30,8,5,115,30,30,67,79,47,53,59,37,24,423,137,248,535,479,485,517,419,226,98,3154
LGA54410,0,0,4,0,0,13,11,14,8,57,0,0,0,0,0,0,0,0,0,5,6,6,17,3,24,24,14,37,14,151,31,39,102,111,151,196,144,110,43,933
LGA54480,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,6,13,11,4,5,5,0,48,4,19,60,79,81,48,46,18,0,363
LGA54550,6,6,0,0,3,8,9,17,12,54,0,0,0,0,0,0,0,0,0,0,8,8,16,16,22,35,14,28,16,162,36,71,175,248,230,317,199,139,55,1474
LGA54620,0,0,0,3,7,3,9,8,9,37,0,0,0,0,0,0,0,0,0,4,3,11,15,14,8,22,12,5,8,102,25,66,148,155,171,191,123,48,23,954
LGA54690,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,5,0,18,11,5,27,39,55,58,60,24,3,284
LGA54760,0,0,0,0,0,0,4,12,3,20,0,0,0,0,0,0,0,3,0,0,0,5,9,11,11,8,9,3,0,64,6,20,75,100,115,100,82,39,10,553
LGA54830,21,21,53,66,95,128,209,189,84,862,4,6,31,60,60,38,34,19,10,266,142,130,376,381,262,206,182,102,34,1815,1302,2947,7500,7487,5462,3998,2643,1292,410,33034
LGA54900,0,0,0,0,5,4,8,0,3,17,0,0,0,0,0,0,0,0,0,3,5,10,7,15,18,25,8,5,0,91,31,62,149,185,178,198,126,58,12,998
LGA54970,0,0,0,3,9,17,9,5,3,43,0,0,0,4,0,0,0,0,0,5,19,110,444,400,427,306,51,0,0,1754,46,246,920,833,874,681,140,19,0,3759
LGA55040,0,5,0,8,11,8,11,7,0,57,0,0,0,0,0,0,0,0,0,7,27,163,447,388,301,210,59,11,0,1611,59,312,930,784,640,497,205,32,5,3454
LGA55110,43,20,48,99,124,224,560,811,474,2403,4,4,18,30,31,37,42,36,14,220,205,211,431,435,480,428,594,731,577,4098,2307,4279,8683,9354,10264,11049,11518,7401,2668,67532
LGA55180,0,0,11,10,17,24,66,101,61,285,0,0,8,9,9,6,7,8,6,61,37,23,65,80,120,122,96,74,37,654,252,377,929,987,1233,1511,1161,605,209,7262
LGA55250,4,5,9,4,5,9,16,16,0,62,0,0,4,0,0,0,0,0,0,3,18,62,167,141,155,101,43,10,0,696,51,176,506,410,421,363,197,47,0,2180
LGA55320,13,15,23,51,50,127,318,505,473,1568,0,5,22,31,33,45,66,57,74,334,169,147,423,409,402,432,550,599,623,3760,2734,6086,10706,13113,13434,12563,11376,6718,3416,80144
LGA55390,0,0,0,3,6,3,0,0,0,11,0,0,0,0,0,4,0,0,0,8,7,50,125,128,108,77,29,7,0,523,16,125,311,312,284,211,75,11,0,1353
LGA55460,3,0,0,3,14,16,27,19,18,104,0,0,0,0,0,0,0,0,0,4,27,29,56,57,48,56,42,22,5,335,83,174,384,374,415,444,363,155,68,2461
LGA55530,0,0,0,0,0,0,8,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,35,31,14,3,111,3,18,40,57,72,106,99,41,4,447
LGA55600,0,0,6,0,4,6,16,18,8,61,0,0,0,0,0,0,0,0,0,0,15,19,37,30,45,52,41,23,14,284,54,120,256,244,318,355,277,141,47,1812
LGA55670,0,0,0,0,0,3,7,8,0,19,0,0,0,0,0,0,0,0,0,0,21,6,7,11,6,21,45,16,3,144,30,33,61,66,80,105,127,51,20,577
LGA55740,0,0,0,4,13,5,17,23,21,83,0,0,0,0,4,8,4,0,0,28,17,24,53,50,45,47,50,50,47,377,236,539,968,1110,1305,1077,929,566,218,6953
LGA55810,0,6,0,0,5,3,11,4,0,25,0,0,0,0,3,0,0,0,0,6,20,34,118,134,127,107,41,7,0,592,27,71,227,252,254,240,137,24,3,1231
LGA55880,0,0,0,0,0,0,5,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,5,0,3,0,34,0,12,45,64,73,79,49,13,16,364
LGA55950,0,0,3,0,0,0,4,6,0,17,0,0,0,0,0,0,0,0,0,0,3,0,7,9,10,12,9,4,0,54,16,13,60,65,81,93,80,46,9,465
LGA56090,11,8,27,29,49,83,166,223,119,709,3,3,15,35,50,41,16,21,8,190,68,69,223,212,207,204,172,169,137,1453,1014,1929,4078,4712,5394,5384,4312,2346,734,29905
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,12,0,0,23,24,26,22,35,0,0,136
LGA56230,3,3,6,14,34,56,125,186,95,525,0,0,9,0,8,7,10,4,3,41,77,43,107,121,136,128,164,152,73,1004,518,787,1670,1866,2143,2332,2337,1360,399,13407
LGA56300,0,0,0,0,5,5,7,11,9,34,0,0,0,0,0,0,0,0,0,4,3,0,14,25,21,42,33,25,7,180,26,21,102,189,177,288,329,144,26,1311
LGA56370,0,0,0,0,0,0,0,5,12,26,0,0,0,0,0,0,0,0,0,0,4,5,14,6,17,22,12,15,11,109,11,24,105,81,109,105,82,62,39,620
LGA56460,5,0,3,3,6,12,29,56,35,149,0,4,0,3,0,3,4,7,4,21,32,33,73,63,59,60,67,38,27,457,146,265,534,526,596,640,537,319,162,3719
LGA56580,0,4,0,4,8,15,17,43,45,130,0,0,0,3,0,6,3,3,6,35,29,25,63,73,77,62,118,111,103,657,580,1383,1827,2462,3139,2718,2474,1540,708,16830
LGA56620,7,7,17,12,22,25,21,9,0,123,0,0,0,0,7,3,6,9,0,24,9,12,36,31,42,31,11,3,0,179,82,119,239,218,204,155,58,21,3,1098
LGA56730,7,0,19,9,22,44,103,99,59,360,0,3,0,5,5,5,4,4,4,33,65,91,224,223,186,159,145,115,59,1262,329,556,1201,1255,1450,1594,1403,707,232,8732
LGA56790,0,0,0,0,5,15,64,56,10,159,0,0,0,0,0,0,0,9,4,16,22,28,40,54,68,121,129,47,13,527,71,131,310,412,493,856,981,387,93,3733
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,11,10,11,3,0,55,8,23,14,20,42,43,52,10,4,212
LGA56930,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,5,0,0,6,4,5,6,9,3,33,56,94,109,110,212,219,174,98,45,1111
LGA57000,0,0,0,0,0,3,6,11,0,14,0,0,0,0,0,0,0,0,0,0,13,16,70,93,69,69,31,3,4,373,15,51,196,221,194,190,81,31,11,992
LGA57080,5,7,21,16,26,29,59,56,31,258,0,12,37,28,8,13,18,6,10,125,158,444,1128,838,647,551,431,239,99,4530,1245,3799,9054,5426,3393,3058,2280,1111,382,29757
LGA57140,4,0,3,3,0,3,13,14,3,43,0,0,0,0,0,0,0,0,0,0,0,3,4,8,14,14,11,18,6,77,20,46,87,96,116,179,157,97,26,816
LGA57210,6,3,4,5,9,10,43,30,21,141,3,6,15,10,11,4,0,0,0,53,27,16,40,72,71,84,73,54,37,476,158,188,459,556,735,854,788,323,116,4178
LGA57280,5,8,18,31,42,50,48,31,8,244,0,0,7,15,20,12,10,6,9,74,134,216,813,766,684,538,200,47,13,3410,473,940,3663,3454,2690,2164,853,206,35,14473
LGA57350,0,0,0,0,0,0,13,16,7,40,0,0,0,0,0,0,0,0,0,0,8,9,27,20,44,42,53,16,11,218,19,18,93,76,120,152,171,87,40,772
LGA57420,0,0,0,0,3,6,14,22,10,53,0,0,0,0,0,0,0,0,0,5,6,23,63,51,70,56,24,13,5,308,41,140,455,343,416,414,234,119,30,2185
LGA57490,40,36,76,125,166,290,534,601,324,2185,6,10,27,48,66,52,57,47,21,319,354,503,1036,856,686,559,582,660,423,5661,4058,7792,17540,17468,16925,14657,10417,6039,2055,96960
LGA57630,0,0,0,0,0,3,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,39,23,27,23,5,9,0,137,6,20,46,29,40,73,47,22,0,274
LGA57700,11,10,17,26,37,61,101,121,49,426,0,3,6,15,18,13,9,14,3,82,55,55,163,159,156,124,102,77,33,922,922,1669,4650,4550,3849,3205,2062,929,254,22086
LGA57770,0,0,0,0,6,11,28,24,4,80,0,0,0,0,0,0,0,0,0,4,10,22,46,55,58,108,111,48,6,465,27,86,333,295,316,625,659,216,14,2582
LGA57840,12,0,23,26,29,56,99,132,123,498,3,0,20,19,27,30,33,23,9,158,55,131,286,208,178,197,251,313,393,2016,1118,3430,6364,5621,5141,5003,4595,2464,1234,34968
LGA57910,25,41,237,332,428,601,1149,1800,1248,5863,10,21,196,286,300,330,303,293,249,1983,375,604,1794,1536,1086,876,998,1000,750,9013,4585,13156,36122,33904,27446,23486,19517,12395,5769,176384
LGA57980,0,0,7,14,8,15,24,27,45,138,0,0,0,5,3,0,11,4,0,19,26,45,127,122,104,86,137,138,84,862,315,1007,2585,2409,2124,1948,1872,1152,432,13839
LGA58050,44,42,196,310,369,483,744,718,368,3280,13,20,137,223,243,223,176,112,68,1220,383,418,1077,1006,875,684,657,499,339,5925,4345,9424,22569,22273,19065,16143,10682,5191,1763,111459
LGA58190,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,4,3,0,11,12,3,4,0,47,9,13,42,36,61,70,34,27,9,294
LGA58260,0,0,0,3,0,0,4,7,3,15,0,0,0,0,0,0,0,0,0,4,0,5,17,21,12,18,5,8,0,93,7,19,67,92,79,90,75,45,6,487
LGA58330,0,0,3,9,13,20,37,33,24,128,0,0,0,0,3,0,0,0,0,0,18,11,43,39,70,114,83,59,12,444,97,138,324,401,616,882,789,346,69,3656
LGA58400,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,8,7,8,0,32,5,8,36,17,38,55,53,23,0,241
LGA58470,0,0,0,5,0,7,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,13,5,0,24,7,7,23,37,41,62,68,14,0,259
LGA58510,11,5,19,31,30,53,121,178,168,606,0,6,19,30,36,50,20,33,19,211,85,205,491,386,326,286,260,340,409,2775,854,3025,7553,5913,4369,3737,2845,1660,1039,30994
LGA58540,0,0,0,0,0,4,5,9,0,19,0,0,0,0,0,0,0,0,0,3,5,0,7,10,14,16,20,9,0,86,16,25,68,100,107,149,111,48,12,634
LGA58570,0,7,16,17,28,43,124,220,224,688,0,9,17,8,13,33,23,54,73,229,34,136,475,290,199,184,133,138,78,1669,578,2476,7887,6092,4545,3703,2430,1185,640,29523
LGA58610,0,0,3,0,3,7,8,17,12,50,0,0,0,0,0,4,0,0,0,3,10,6,23,16,22,20,25,13,0,149,45,59,160,180,193,251,261,148,46,1340
LGA58680,0,0,0,0,0,0,4,9,0,18,0,0,0,0,0,0,0,0,0,3,10,5,7,12,13,16,14,8,0,88,15,20,36,55,95,82,75,44,9,437
LGA58760,46,44,205,366,453,574,820,846,431,3800,7,32,158,313,387,376,263,138,85,1761,447,452,1014,1051,899,691,670,733,504,6454,6152,13021,27989,29867,27389,20750,14317,7592,2571,149649
LGA58820,0,0,0,3,3,20,42,61,28,158,0,0,0,0,0,0,0,4,4,12,16,17,30,38,59,40,38,53,31,324,127,168,351,475,575,640,565,289,98,3294
LGA58890,0,0,0,0,6,0,6,6,7,19,0,0,0,0,0,0,0,0,0,4,0,5,8,18,16,16,8,5,3,72,11,33,58,77,120,142,103,47,24,610
LGA59030,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,17,20,20,16,3,0,0,83,0,18,50,65,69,79,38,18,8,349
LGA59100,0,0,0,0,0,0,4,4,5,11,0,0,0,0,0,0,0,0,0,0,0,7,16,9,18,31,9,11,3,103,16,26,70,63,76,124,76,51,11,521
LGA59170,0,0,0,0,0,0,4,10,3,13,0,0,0,0,0,0,0,0,0,4,0,4,13,17,13,12,12,12,4,80,15,33,112,151,111,153,106,68,17,757
LGA59250,0,0,0,0,7,3,10,4,0,21,0,0,0,0,0,0,0,0,0,0,11,41,150,110,106,53,27,0,0,488,22,103,343,259,257,145,66,9,0,1205
LGA59310,0,0,3,4,0,0,3,14,4,29,0,0,0,0,0,0,0,0,0,0,4,8,12,19,12,14,17,8,0,86,37,55,143,167,153,189,184,78,20,1025
LGA59320,0,0,0,0,0,0,6,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,6,10,5,0,38,5,22,42,49,50,81,58,16,0,326
LGA59330,0,0,0,0,0,0,4,10,0,16,0,0,0,0,0,0,0,0,0,0,0,3,5,8,5,0,8,10,4,56,8,26,49,45,55,72,74,57,8,393
LGA59340,21,7,20,30,34,63,59,42,3,279,5,0,0,4,9,11,19,8,0,49,79,106,307,259,278,242,160,40,17,1487,283,566,1747,1559,1499,1695,1237,237,33,8865
LGA59350,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,42,176,109,123,81,30,10,0,571,6,68,300,181,211,165,70,21,4,1030
LGA59360,0,0,0,6,3,9,10,12,4,58,0,0,0,0,0,0,0,0,0,0,0,33,104,109,109,95,28,9,0,478,12,98,346,333,373,365,167,52,20,1769
LGA59370,0,0,0,7,0,13,34,47,24,115,0,0,0,0,0,0,0,0,0,3,12,8,26,23,39,64,49,58,29,298,65,87,252,338,374,620,652,372,106,2868
LGA59799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
