ILOC_CODE_2021,M_0_4_Has_need_for_assist,M_0_4_Does_not_need_assist,M_0_4_Need_for_assistance_ns,M_0_4_Tot,M_5_14_Has_need_for_assist,M_5_14_Does_not_need_assist,M_5_14_Need_for_assistance_ns,M_5_14_Tot,M_15_19_Has_need_for_assist,M_15_19_Does_not_need_assist,M_15_19_Need_for_assist_ns,M_15_19_Tot,M_20_24_Has_need_for_assist,M_20_24_Does_not_need_assist,M_20_24_Need_for_assist_ns,M_20_24_Tot,M_25_34_Has_need_for_assist,M_25_34_Does_not_need_assist,M_25_34_Need_for_assist_ns,M_25_34_Tot,M_35_44_Has_need_for_assist,M_35_44_Does_not_need_assist,M_35_44_Need_for_assist_ns,M_35_44_Tot,M_45_54_Has_need_for_assist,M_45_54_Does_not_need_assist,M_45_54_Need_for_assist_ns,M_45_54_Tot,M_55_64_Has_need_for_assist,M_55_64_Does_not_need_assist,M_55_64_Need_for_assist_ns,M_55_64_Tot,M_65_over_Has_need_for_assist,M_65ov_Does_not_need_assist,M_65_over_Need_for_assist_ns,M_65_over_Tot,M_Tot_Has_need_for_assist,M_Tot_Does_not_need_assist,M_Tot_Need_for_assist_ns,M_Tot_Tot,F_0_4_Has_need_for_assist,F_0_4_Does_not_need_assist,F_0_4_Need_for_assistance_ns,F_0_4_Tot,F_5_14_Has_need_for_assist,F_5_14_Does_not_need_assist,F_5_14_Need_for_assistance_ns,F_5_14_Tot,F_15_19_Has_need_for_assist,F_15_19_Does_not_need_assist,F_15_19_Need_for_assist_ns,F_15_19_Tot,F_20_24_Has_need_for_assist,F_20_24_Does_not_need_assist,F_20_24_Need_for_assist_ns,F_20_24_Tot,F_25_34_Has_need_for_assist,F_25_34_Does_not_need_assist,F_25_34_Need_for_assist_ns,F_25_34_Tot,F_35_44_Has_need_for_assist,F_35_44_Does_not_need_assist,F_35_44_Need_for_assist_ns,F_35_44_Tot,F_45_54_Has_need_for_assist,F_45_54_Does_not_need_assist,F_45_54_Need_for_assist_ns,F_45_54_Tot,F_55_64_Has_need_for_assist,F_55_64_Does_not_need_assist,F_55_64_Need_for_assist_ns,F_55_64_Tot,F_65ov_Has_need_for_assist,F_65ov_Does_not_need_assist,F_65_over_Need_for_assist_ns,F_65_over_Tot,F_Tot_Has_need_for_assist,F_Tot_Does_not_need_assist,F_Tot_Need_for_assist_ns,F_Tot_Tot,P_0_4_Has_need_for_assist,P_0_4_Does_not_need_assist,P_0_4_Need_for_assistance_ns,P_0_4_Tot,P_5_14_Has_need_for_assist,P_5_14_Does_not_need_assist,P_5_14_Need_for_assistance_ns,P_5_14_Tot,P_15_19_Has_need_for_assist,P_15_19_Does_not_need_assist,P_15_19_Need_for_assist_ns,P_15_19_Tot,P_20_24_Has_need_for_assist,P_20_24_Does_not_need_assist,P_20_24_Need_for_assist_ns,P_20_24_Tot,P_25_34_Has_need_for_assist,P_25_34_Does_not_need_assist,P_25_34_Need_for_assist_ns,P_25_34_Tot,P_35_44_Has_need_for_assist,P_35_44_Does_not_need_assist,P_35_44_Need_for_assist_ns,P_35_44_Tot,P_45_54_Has_need_for_assist,P_45_54_Does_not_need_assist,P_45_54_Need_for_assist_ns,P_45_54_Tot,P_55_64_Has_need_for_assist,P_55_64_Does_not_need_assist,P_55_64_Need_for_assist_ns,P_55_64_Tot,P_65_over_Has_need_for_assist,P_65_ov_Does_not_need_assist,P_65_over_Need_for_assist_ns,P_65_over_Tot,P_Tot_Has_need_for_assist,P_Tot_Does_not_need_assist,P_Tot_Need_for_assist_ns,P_Tot_Tot
ILOC50200102,0,10,0,10,0,12,5,11,0,6,0,6,0,4,0,4,3,9,0,10,5,3,0,3,0,0,0,3,0,4,0,6,0,4,0,4,8,52,5,57,0,12,0,12,0,15,0,17,0,3,0,3,0,3,3,3,0,9,4,10,0,4,0,4,4,10,0,19,5,0,0,4,0,0,0,3,9,56,7,75,0,14,0,14,0,21,5,28,0,11,0,11,0,7,3,8,3,17,8,22,5,6,0,10,4,14,0,20,4,8,0,12,0,4,0,5,16,102,16,130
ILOC50200201,0,3,0,3,0,17,0,17,0,0,0,0,0,7,0,7,0,10,0,10,0,3,0,3,0,17,0,17,0,3,0,3,0,4,0,3,0,64,0,63,0,4,0,5,0,9,0,15,0,0,0,0,0,4,0,4,0,10,0,7,0,0,0,0,0,14,0,13,0,6,0,6,0,5,0,5,0,52,0,55,0,10,0,7,0,27,0,31,0,6,0,6,0,9,0,9,0,20,0,22,0,4,0,5,0,29,0,32,0,8,0,8,0,8,0,9,0,121,0,129
ILOC50200202,0,4,0,4,0,5,0,9,0,4,0,4,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,28,0,32,0,0,0,0,0,10,0,10,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,9,0,7,0,7,0,4,0,4,0,0,0,0,0,33,0,33,0,4,0,4,0,8,0,11,0,5,0,5,0,4,0,4,0,8,0,8,0,9,0,9,0,4,0,8,0,9,0,9,0,4,0,6,0,55,0,64
ILOC50200301,0,0,0,5,0,4,0,5,0,3,0,3,0,4,0,4,0,3,0,3,0,0,0,0,0,5,0,5,0,4,0,4,0,0,0,3,0,23,0,32,0,0,0,0,0,5,0,5,0,3,0,3,0,0,0,0,0,9,0,9,0,0,0,0,0,8,0,8,0,3,0,3,0,0,0,0,0,28,0,28,0,0,0,5,0,4,0,6,0,5,0,5,0,5,0,5,0,5,0,7,0,3,0,3,0,10,0,8,0,7,0,6,0,3,0,3,0,42,0,48
ILOC50200302,0,3,0,3,0,11,0,12,0,3,0,3,0,0,0,0,0,8,0,8,0,4,0,4,0,3,0,3,0,11,0,6,0,4,0,5,0,47,0,44,0,6,0,6,0,13,0,13,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0,3,0,7,0,7,0,7,0,9,0,6,0,6,0,48,0,53,0,8,0,8,0,20,0,21,0,7,0,7,0,3,0,3,0,8,0,8,0,4,0,9,0,11,0,11,0,15,0,12,0,10,0,11,0,86,0,90
ILOC50200303,0,13,0,13,3,13,0,18,0,4,0,4,3,5,0,10,0,13,0,13,0,6,0,6,0,9,0,12,0,3,0,10,0,0,0,6,6,66,0,92,0,4,0,4,3,25,0,28,0,0,0,0,0,8,0,8,0,6,0,6,0,7,0,8,0,5,0,7,0,6,0,9,0,10,0,14,3,71,0,84,0,15,0,15,3,44,0,47,0,16,0,16,3,11,0,14,0,17,0,18,0,17,0,19,0,17,0,22,3,8,0,12,3,14,0,20,12,159,0,183
ILOC50200401,4,71,3,72,13,138,5,154,3,65,0,74,0,46,0,48,0,60,4,67,4,59,4,68,4,43,0,55,5,36,0,47,7,27,0,34,40,545,16,619,0,65,0,66,4,140,7,153,0,54,0,56,5,60,3,64,0,90,6,95,5,69,4,73,9,66,4,75,8,45,5,64,17,40,0,54,48,629,29,700,4,132,3,143,17,282,12,312,3,118,3,123,4,104,3,110,0,152,9,162,6,129,6,138,16,113,7,127,17,89,6,109,20,66,3,89,87,1185,52,1313
ILOC50200402,0,33,0,32,7,94,4,105,0,28,3,31,0,18,22,41,0,42,48,88,0,33,44,72,0,40,18,62,3,21,5,26,7,10,0,13,17,319,144,470,0,34,0,34,0,87,3,98,6,40,0,42,0,28,0,28,0,39,5,48,0,35,4,44,0,35,4,36,6,37,0,40,6,22,0,29,18,357,16,399,0,67,5,71,11,187,6,198,4,64,3,73,0,48,22,65,0,82,48,138,3,63,47,113,5,69,21,98,9,56,7,70,12,28,0,46,44,664,159,872
ILOC50200403,3,29,0,37,5,74,4,84,4,34,9,42,0,23,5,29,5,41,3,51,5,20,3,27,0,34,4,35,0,23,0,24,10,15,0,28,32,293,28,357,0,40,5,46,7,64,11,80,0,26,0,34,0,35,0,36,0,48,5,54,0,46,3,47,7,35,0,39,3,39,4,42,7,20,0,29,24,353,28,407,3,72,9,82,7,136,21,165,6,67,8,78,3,59,5,65,5,92,5,103,3,61,6,77,6,67,3,74,6,63,6,66,18,37,0,56,57,654,63,766
ILOC50200404,3,36,0,35,4,90,7,100,4,38,0,42,0,24,0,29,0,35,0,40,9,27,0,33,0,33,3,35,0,23,0,30,6,25,0,31,26,331,10,375,0,32,0,35,0,86,8,94,0,41,4,51,0,24,0,25,3,42,0,44,5,43,3,44,4,32,0,38,5,25,3,35,21,16,0,41,38,341,18,407,6,71,0,69,12,177,4,189,4,77,10,95,0,49,0,50,3,79,0,88,6,71,4,83,6,65,3,73,5,53,3,67,30,40,0,68,72,682,24,782
ILOC50200501,0,8,0,10,0,27,0,30,0,17,3,16,0,19,0,15,0,16,0,17,0,17,0,20,0,14,0,14,6,21,0,23,9,9,0,17,15,148,3,162,0,18,0,23,0,33,0,34,0,16,0,16,0,18,0,19,0,17,0,17,0,17,0,20,5,12,0,13,0,29,0,27,9,12,0,20,14,172,0,189,0,28,0,32,4,65,0,64,0,33,4,33,0,30,0,37,0,30,0,37,0,40,0,45,5,28,0,25,4,48,0,52,9,26,3,38,22,328,7,363
ILOC50200601,0,0,0,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,10,0,15,0,3,0,3,0,0,0,0,0,4,0,4,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,30
ILOC50200602,0,26,0,30,0,33,0,32,0,19,3,21,0,16,3,16,0,23,3,30,0,18,0,18,0,15,3,14,0,21,4,28,6,9,0,10,6,180,16,199,0,18,0,16,0,32,0,38,0,21,0,19,0,26,4,30,0,17,6,29,0,19,3,22,0,17,8,27,0,18,4,24,9,14,0,20,9,182,25,225,0,42,6,41,0,66,3,67,0,36,4,40,0,40,6,46,0,48,7,59,0,33,3,41,0,31,10,38,0,42,7,47,9,18,0,27,9,356,46,406
ILOC50200701,0,10,0,10,0,7,0,7,0,9,0,9,0,3,0,3,0,0,0,0,0,3,0,3,0,9,0,9,0,0,0,5,0,0,0,0,0,41,0,46,0,3,0,3,0,10,0,10,0,3,0,3,0,4,0,4,0,3,0,3,0,5,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,32,0,32,0,8,0,8,0,17,0,17,0,11,0,11,0,7,0,7,0,9,0,9,0,4,0,4,0,8,0,8,0,5,0,10,0,3,0,3,0,72,0,77
ILOC50200702,0,10,0,10,0,13,0,12,0,0,0,0,0,0,0,0,0,9,0,9,0,7,0,6,0,13,5,19,0,20,0,20,9,9,0,11,9,81,5,87,0,5,0,5,0,6,0,6,0,3,0,3,0,8,0,8,0,6,0,6,0,0,0,0,0,10,0,10,0,7,0,7,0,0,0,7,0,45,0,52,0,16,0,16,0,19,0,20,0,7,0,7,0,8,0,8,0,12,0,12,0,13,0,13,0,20,5,23,0,27,0,27,10,8,0,17,10,130,5,143
ILOC50300101,0,41,0,44,5,57,0,58,0,40,0,48,0,16,0,16,5,19,0,23,0,18,0,20,6,11,0,11,0,23,0,19,5,14,0,24,21,239,0,263,0,25,0,26,0,40,4,42,0,29,0,29,0,24,0,24,0,36,0,38,0,20,0,26,0,31,0,27,3,19,0,24,4,12,0,15,7,236,4,251,0,71,3,72,6,100,3,107,0,68,0,75,0,36,0,36,5,53,4,56,0,40,3,40,5,41,0,47,4,40,0,45,10,26,0,38,30,475,13,516
ILOC50300102,0,11,0,10,0,9,0,9,0,3,0,3,0,8,3,9,0,5,0,5,0,11,0,11,0,8,0,10,0,11,0,12,0,3,0,7,0,69,3,76,0,13,0,15,0,22,0,22,0,9,0,12,0,3,0,3,0,7,0,7,0,8,0,8,0,9,0,13,0,9,0,9,0,10,0,9,0,90,0,98,3,17,0,22,0,34,0,34,0,11,0,13,0,7,3,8,0,15,0,15,0,21,0,21,5,20,0,24,0,19,0,22,4,12,0,18,12,156,3,177
ILOC50300201,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,4,5,12,0,4,0,4,3,10,0,10,3,35,5,41,0,0,0,3,0,9,0,15,0,7,0,6,0,0,3,5,0,3,0,5,0,8,0,11,0,4,0,4,0,6,0,6,0,6,0,9,0,43,3,64,0,4,0,9,0,22,0,16,0,12,0,8,0,0,3,6,0,8,5,9,0,14,0,13,0,12,5,11,0,15,0,15,4,16,0,19,4,103,13,106
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
ILOC50300204,0,14,0,14,0,5,0,6,0,9,0,9,0,0,0,0,0,13,0,13,0,3,0,0,0,3,0,6,0,9,0,7,0,0,0,4,0,56,0,59,0,7,0,7,0,9,0,9,0,14,0,14,0,15,0,15,0,6,0,6,0,9,0,10,0,5,0,5,0,4,0,4,0,6,0,4,0,75,0,74,0,18,0,19,0,11,0,13,0,15,0,15,0,12,0,12,0,19,0,19,0,9,0,11,0,13,0,12,0,12,0,9,7,5,0,6,7,114,0,116
ILOC50300205,0,5,0,5,0,5,0,6,0,11,0,11,0,4,0,4,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,34,0,8,0,8,0,5,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,3,0,3,0,7,0,7,0,0,0,0,0,0,0,0,0,29,0,30,0,10,0,10,0,11,0,19,0,13,0,13,0,3,0,3,0,14,0,13,0,3,0,3,0,3,0,3,0,8,0,8,0,5,0,4,0,70,0,76
ILOC50300206,0,5,0,5,0,5,0,7,0,0,0,0,0,4,0,4,0,6,0,6,0,0,0,0,4,5,0,7,0,7,0,7,0,4,0,9,4,36,0,45,0,0,4,3,0,0,0,4,0,3,0,3,0,10,0,10,0,6,0,8,0,4,0,4,0,4,0,4,0,3,0,6,0,4,0,4,0,34,4,46,0,5,4,8,0,7,0,10,0,8,0,4,0,13,0,13,0,13,0,12,0,3,0,3,4,8,0,14,0,10,0,9,0,6,0,9,4,73,4,82
ILOC50300301,5,117,14,135,13,214,30,256,0,68,15,88,3,82,33,118,7,139,65,212,8,80,52,136,7,84,34,124,6,64,13,83,13,25,7,47,62,873,263,1199,0,101,18,113,8,201,19,222,6,85,7,95,4,63,3,72,5,122,11,136,7,98,26,128,8,95,11,112,9,65,6,87,18,45,9,69,65,875,110,1034,5,221,34,247,18,415,47,476,6,156,28,184,9,146,37,186,11,261,80,348,12,176,78,262,10,178,49,240,18,130,21,171,32,70,11,115,121,1753,385,2229
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300401,0,9,0,9,0,8,0,8,0,0,0,0,0,4,0,4,0,0,0,0,0,5,0,5,0,0,0,0,0,6,0,6,0,0,0,0,0,32,0,32,0,3,0,3,0,6,0,6,0,4,0,4,0,0,0,0,0,7,0,7,0,5,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,29,0,25,0,12,0,12,0,11,0,11,0,4,0,4,0,0,0,0,0,11,0,11,0,11,0,11,0,4,0,4,0,12,0,12,0,0,0,3,0,65,0,68
ILOC50300402,0,3,0,5,0,5,0,9,0,7,0,7,0,6,0,9,0,5,0,8,0,10,0,10,3,12,0,16,0,3,0,3,3,0,0,5,6,51,0,72,0,6,0,3,0,8,0,8,0,5,0,5,0,0,0,0,0,12,0,13,0,7,0,7,0,11,0,13,0,4,0,4,0,0,0,3,0,53,0,56,0,5,0,11,0,15,0,15,0,15,0,15,0,7,0,10,0,14,0,22,0,13,0,13,3,21,5,31,0,3,0,3,8,0,0,10,11,93,5,130
ILOC50300403,0,3,0,3,0,16,4,16,0,6,0,6,0,3,0,4,0,5,0,6,0,5,0,5,0,3,0,3,0,7,0,7,0,0,0,0,0,48,4,50,0,5,0,5,0,12,0,12,0,7,0,9,0,0,0,0,0,9,0,9,0,5,0,3,0,4,0,4,0,0,0,0,0,3,0,3,0,45,0,45,0,7,0,7,0,25,4,30,0,14,0,12,0,8,0,6,0,19,0,19,0,12,0,13,0,8,0,8,0,0,0,0,0,0,0,0,0,93,4,95
ILOC50300405,0,0,0,0,0,15,0,15,0,8,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,4,0,4,0,0,0,0,0,33,0,33,0,6,0,6,0,8,0,8,0,6,0,6,0,4,0,4,0,7,0,7,0,8,0,8,0,4,0,4,0,0,0,0,0,3,0,3,0,46,0,46,0,5,0,5,0,20,0,20,0,15,0,15,0,7,0,7,0,9,0,9,0,11,0,11,0,6,0,6,0,5,0,5,0,0,0,0,0,78,0,78
ILOC50300406,0,5,0,5,0,9,0,14,0,5,3,10,0,3,0,8,0,8,0,8,0,3,0,5,0,3,0,7,0,0,0,0,0,3,0,3,0,39,3,60,0,0,0,0,0,15,0,20,0,6,0,8,0,5,0,4,0,12,0,18,0,8,5,9,4,4,0,9,0,4,0,7,0,4,0,4,4,58,5,79,0,9,0,9,0,31,8,33,0,14,6,13,0,11,5,13,0,23,0,21,0,11,7,17,0,12,0,14,0,4,0,9,0,6,0,6,0,121,26,135
ILOC50300407,0,5,0,5,0,11,0,11,0,3,0,3,0,3,0,3,0,3,0,9,0,8,3,11,0,5,0,3,0,4,0,3,6,0,0,8,6,42,3,56,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,5,0,5,0,5,0,9,0,6,0,7,0,0,0,4,6,0,0,8,6,21,0,43,0,7,0,7,0,6,0,12,0,13,0,13,0,0,0,0,0,13,0,15,0,13,3,16,0,10,0,14,4,4,0,4,11,3,4,13,15,69,7,94
