DATE,MONTH,SEX,CLIENT GROUP,MEASURE,VALUE
2017-11-30,Nov17,Male,Number of nights in short-term/emergency accommodation,,6741.0
2017-11-30,Nov17,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,9.0
2017-11-30,Nov17,Male,Number of clients who are at risk of homelessness,,929.0
2017-11-30,Nov17,Male,Number of clients who are homeless,,1004.0
2017-11-30,Nov17,Male,Number of clients accommodated in short-term/emergency accommodation,,524.0
2017-12-31,Dec17,Female,Number of clients who are homeless,,1230.0
2017-12-31,Dec17,Male,Number of clients who have experienced family and domestic violence,,540.0
2017-12-31,Dec17,Male,Number of indigenous clients,,710.0
2017-12-31,Dec17,Female,Number of clients who are at risk of homelessness,,2242.0
2017-12-31,Dec17,Female,Number of clients accommodated in short-term/emergency accommodation,,932.0
2017-12-31,Dec17,Male,Number of clients with a current mental health issue,,466.0
2017-12-31,Dec17,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,55.0
2017-12-31,Dec17,Female,Number of clients with problematic drug or alcohol issues,,330.0
2017-12-31,Dec17,Female,Number of clients with a current mental health issue,,888.0
2017-12-31,Dec17,Female,Number of clients who have experienced family and domestic violence,,2074.0
2017-12-31,Dec17,Female,Number of indigenous clients,,1445.0
2017-12-31,Dec17,Female,Number of nights in short-term/emergency accommodation,,10234.0
2017-12-31,Dec17,Male,Number of clients with problematic drug or alcohol issues,,284.0
2017-12-31,Dec17,Male,Number of nights in short-term/emergency accommodation,,7015.0
2017-12-31,Dec17,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,14.0
2017-12-31,Dec17,Male,Number of clients who are at risk of homelessness,,942.0
2017-12-31,Dec17,Male,Number of clients who are homeless,,938.0
2017-12-31,Dec17,Male,Number of clients accommodated in short-term/emergency accommodation,,540.0
2018-01-31,Jan18,Male,Number of clients who have experienced family and domestic violence,,559.0
2018-01-31,Jan18,Female,Number of clients who are at risk of homelessness,,2171.0
2018-01-31,Jan18,Female,Number of clients who are homeless,,1439.0
2018-01-31,Jan18,Female,Number of clients accommodated in short-term/emergency accommodation,,1022.0
2018-01-31,Jan18,Female,Number of clients with problematic drug or alcohol issues,,350.0
2018-01-31,Jan18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,58.0
2018-01-31,Jan18,Male,Number of clients with a current mental health issue,,531.0
2018-01-31,Jan18,Female,Number of clients with a current mental health issue,,951.0
2018-01-31,Jan18,Female,Number of clients who have experienced family and domestic violence,,2132.0
2018-01-31,Jan18,Female,Number of indigenous clients,,1549.0
2018-01-31,Jan18,Female,Number of nights in short-term/emergency accommodation,,10960.0
2018-01-31,Jan18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,13.0
2018-01-31,Jan18,Male,Number of indigenous clients,,708.0
2018-01-31,Jan18,Male,Number of clients with problematic drug or alcohol issues,,315.0
2018-01-31,Jan18,Male,Number of nights in short-term/emergency accommodation,,7510.0
2018-01-31,Jan18,Male,Number of clients who are at risk of homelessness,,936.0
2018-01-31,Jan18,Male,Number of clients who are homeless,,1042.0
2018-01-31,Jan18,Male,Number of clients accommodated in short-term/emergency accommodation,,558.0
2018-02-28,Feb18,Female,Number of clients who are at risk of homelessness,,2172.0
2018-02-28,Feb18,Male,Number of clients with a current mental health issue,,552.0
2018-02-28,Feb18,Male,Number of clients who have experienced family and domestic violence,,558.0
2018-02-28,Feb18,Male,Number of indigenous clients,,692.0
2018-02-28,Feb18,Female,Number of clients who are homeless,,1379.0
2018-02-28,Feb18,Male,Number of clients with problematic drug or alcohol issues,,350.0
2018-02-28,Feb18,Female,Number of nights in short-term/emergency accommodation,,9510.0
2018-02-28,Feb18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,48.0
2018-02-28,Feb18,Female,Number of clients with problematic drug or alcohol issues,,357.0
2018-02-28,Feb18,Female,Number of clients with a current mental health issue,,1011.0
2018-02-28,Feb18,Female,Number of clients who have experienced family and domestic violence,,2118.0
2018-02-28,Feb18,Female,Number of clients accommodated in short-term/emergency accommodation,,871.0
2018-02-28,Feb18,Female,Number of indigenous clients,,1460.0
2018-02-28,Feb18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,10.0
2018-02-28,Feb18,Male,Number of clients accommodated in short-term/emergency accommodation,,525.0
2018-02-28,Feb18,Male,Number of nights in short-term/emergency accommodation,,6801.0
2018-02-28,Feb18,Male,Number of clients who are at risk of homelessness,,942.0
2018-02-28,Feb18,Male,Number of clients who are homeless,,1023.0
2018-03-31,Mar18,Male,Number of clients with a current mental health issue,,535.0
2018-03-31,Mar18,Male,Number of clients who have experienced family and domestic violence,,571.0
2018-03-31,Mar18,Male,Number of indigenous clients,,752.0
2018-03-31,Mar18,Female,Number of clients who are at risk of homelessness,,2244.0
2018-03-31,Mar18,Female,Number of clients who are homeless,,1375.0
2018-03-31,Mar18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,54.0
2018-03-31,Mar18,Female,Number of nights in short-term/emergency accommodation,,10777.0
2018-03-31,Mar18,Female,Number of clients with problematic drug or alcohol issues,,378.0
2018-03-31,Mar18,Female,Number of clients with a current mental health issue,,988.0
2018-03-31,Mar18,Female,Number of clients who have experienced family and domestic violence,,2057.0
2018-03-31,Mar18,Male,Number of clients with problematic drug or alcohol issues,,322.0
2018-03-31,Mar18,Female,Number of clients accommodated in short-term/emergency accommodation,,918.0
2018-03-31,Mar18,Female,Number of indigenous clients,,1551.0
2018-03-31,Mar18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,13.0
2018-03-31,Mar18,Male,Number of clients accommodated in short-term/emergency accommodation,,558.0
2018-03-31,Mar18,Male,Number of nights in short-term/emergency accommodation,,7465.0
2018-03-31,Mar18,Male,Number of clients who are at risk of homelessness,,974.0
2018-03-31,Mar18,Male,Number of clients who are homeless,,1032.0
2018-04-30,Apr18,Female,Number of clients accommodated in short-term/emergency accommodation,,858.0
2018-04-30,Apr18,Male,Number of indigenous clients,,737.0
2018-04-30,Apr18,Female,Number of clients who are at risk of homelessness,,2128.0
2018-04-30,Apr18,Female,Number of clients who are homeless,,1305.0
2018-04-30,Apr18,Female,Number of nights in short-term/emergency accommodation,,9755.0
2018-04-30,Apr18,Male,Number of clients who have experienced family and domestic violence,,544.0
2018-04-30,Apr18,Female,Number of clients with problematic drug or alcohol issues,,379.0
2018-04-30,Apr18,Female,Number of clients with a current mental health issue,,925.0
2018-04-30,Apr18,Female,Number of clients who have experienced family and domestic violence,,1950.0
2018-04-30,Apr18,Female,Number of indigenous clients,,1476.0
2018-04-30,Apr18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,47.0
2018-04-30,Apr18,Male,Number of clients with a current mental health issue,,536.0
2018-04-30,Apr18,Male,Number of clients with problematic drug or alcohol issues,,338.0
2018-04-30,Apr18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,14.0
2018-04-30,Apr18,Male,Number of clients who are at risk of homelessness,,913.0
2018-04-30,Apr18,Male,Number of clients who are homeless,,1010.0
2018-04-30,Apr18,Male,Number of clients accommodated in short-term/emergency accommodation,,503.0
2018-04-30,Apr18,Male,Number of nights in short-term/emergency accommodation,,7367.0
2018-05-31,May18,Male,Number of clients who have experienced family and domestic violence,,538.0
2018-05-31,May18,Male,Number of indigenous clients,,711.0
2018-05-31,May18,Female,Number of clients who are at risk of homelessness,,2110.0
2018-05-31,May18,Female,Number of clients who are homeless,,1347.0
2018-05-31,May18,Female,Number of clients accommodated in short-term/emergency accommodation,,812.0
2018-05-31,May18,Female,Number of clients with problematic drug or alcohol issues,,370.0
2018-05-31,May18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,56.0
2018-05-31,May18,Female,Number of clients with a current mental health issue,,959.0
2018-05-31,May18,Female,Number of clients who have experienced family and domestic violence,,1988.0
2018-05-31,May18,Female,Number of indigenous clients,,1439.0
2018-05-31,May18,Male,Number of clients with a current mental health issue,,576.0
2018-05-31,May18,Female,Number of nights in short-term/emergency accommodation,,10118.0
2018-05-31,May18,Male,Number of clients with problematic drug or alcohol issues,,338.0
2018-05-31,May18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,13.0
2018-05-31,May18,Male,Number of nights in short-term/emergency accommodation,,7506.0
2018-05-31,May18,Male,Number of clients who are at risk of homelessness,,941.0
2018-05-31,May18,Male,Number of clients who are homeless,,1008.0
2018-05-31,May18,Male,Number of clients accommodated in short-term/emergency accommodation,,515.0
2018-06-30,Jun18,Male,Number of clients who have experienced family and domestic violence,,552.0
2018-06-30,Jun18,Male,Number of indigenous clients,,692.0
2018-06-30,Jun18,Female,Number of clients who are at risk of homelessness,,2116.0
2018-06-30,Jun18,Female,Number of clients who are homeless,,1342.0
2018-06-30,Jun18,Female,Number of clients accommodated in short-term/emergency accommodation,,838.0
2018-06-30,Jun18,Female,Number of clients with problematic drug or alcohol issues,,362.0
2018-06-30,Jun18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,53.0
2018-06-30,Jun18,Female,Number of clients with a current mental health issue,,984.0
2018-06-30,Jun18,Female,Number of clients who have experienced family and domestic violence,,2027.0
2018-06-30,Jun18,Female,Number of indigenous clients,,1443.0
2018-06-30,Jun18,Male,Number of clients with a current mental health issue,,549.0
2018-06-30,Jun18,Female,Number of nights in short-term/emergency accommodation,,10003.0
2018-06-30,Jun18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,16.0
2018-06-30,Jun18,Male,Number of nights in short-term/emergency accommodation,,7053.0
2018-06-30,Jun18,Male,Number of clients with problematic drug or alcohol issues,,347.0
2018-06-30,Jun18,Male,Number of clients who are at risk of homelessness,,929.0
2018-06-30,Jun18,Male,Number of clients who are homeless,,1027.0
2018-06-30,Jun18,Male,Number of clients accommodated in short-term/emergency accommodation,,496.0
2018-07-31,Jul18,Female,Number of clients who are homeless,,1350.0
2018-07-31,Jul18,Male,Number of clients who have experienced family and domestic violence,,559.0
2018-07-31,Jul18,Male,Number of indigenous clients,,721.0
2018-07-31,Jul18,Female,Number of clients who are at risk of homelessness,,2190.0
2018-07-31,Jul18,Female,Number of clients accommodated in short-term/emergency accommodation,,907.0
2018-07-31,Jul18,Male,Number of clients with a current mental health issue,,575.0
2018-07-31,Jul18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,52.0
2018-07-31,Jul18,Female,Number of clients with problematic drug or alcohol issues,,399.0
2018-07-31,Jul18,Female,Number of clients with a current mental health issue,,1020.0
2018-07-31,Jul18,Female,Number of clients who have experienced family and domestic violence,,2117.0
2018-07-31,Jul18,Female,Number of indigenous clients,,1471.0
2018-07-31,Jul18,Female,Number of nights in short-term/emergency accommodation,,10117.0
2018-07-31,Jul18,Male,Number of clients with problematic drug or alcohol issues,,341.0
2018-07-31,Jul18,Male,Number of nights in short-term/emergency accommodation,,7591.0
2018-07-31,Jul18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,14.0
2018-07-31,Jul18,Male,Number of clients who are at risk of homelessness,,945.0
2018-07-31,Jul18,Male,Number of clients who are homeless,,1078.0
2018-07-31,Jul18,Male,Number of clients accommodated in short-term/emergency accommodation,,539.0
2018-08-31,Aug18,Female,Number of clients who are homeless,,1324.0
2018-08-31,Aug18,Male,Number of clients who have experienced family and domestic violence,,615.0
2018-08-31,Aug18,Male,Number of indigenous clients,,768.0
2018-08-31,Aug18,Female,Number of clients who are at risk of homelessness,,2273.0
2018-08-31,Aug18,Female,Number of clients accommodated in short-term/emergency accommodation,,879.0
2018-08-31,Aug18,Female,Number of indigenous clients,,1513.0
2018-08-31,Aug18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,61.0
2018-08-31,Aug18,Male,Number of clients with a current mental health issue,,569.0
2018-08-31,Aug18,Female,Number of clients with a current mental health issue,,1071.0
2018-08-31,Aug18,Female,Number of clients who have experienced family and domestic violence,,2168.0
2018-08-31,Aug18,Female,Number of nights in short-term/emergency accommodation,,10754.0
2018-08-31,Aug18,Male,Number of clients with problematic drug or alcohol issues,,354.0
2018-08-31,Aug18,Female,Number of clients with problematic drug or alcohol issues,,415.0
2018-08-31,Aug18,Male,Number of nights in short-term/emergency accommodation,,7311.0
2018-08-31,Aug18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,16.0
2018-08-31,Aug18,Male,Number of clients who are at risk of homelessness,,965.0
2018-08-31,Aug18,Male,Number of clients who are homeless,,1049.0
2018-08-31,Aug18,Male,Number of clients accommodated in short-term/emergency accommodation,,548.0
2018-09-30,Sep18,Female,Number of clients who are homeless,,1336.0
2018-09-30,Sep18,Male,Number of clients who have experienced family and domestic violence,,541.0
2018-09-30,Sep18,Male,Number of indigenous clients,,714.0
2018-09-30,Sep18,Female,Number of clients who are at risk of homelessness,,2175.0
2018-09-30,Sep18,Female,Number of clients accommodated in short-term/emergency accommodation,,835.0
2018-09-30,Sep18,Male,Number of clients with a current mental health issue,,546.0
2018-09-30,Sep18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,35.0
2018-09-30,Sep18,Female,Number of clients with problematic drug or alcohol issues,,392.0
2018-09-30,Sep18,Female,Number of clients with a current mental health issue,,1060.0
2018-09-30,Sep18,Female,Number of clients who have experienced family and domestic violence,,2073.0
2018-09-30,Sep18,Female,Number of indigenous clients,,1463.0
2018-09-30,Sep18,Female,Number of nights in short-term/emergency accommodation,,10131.0
2018-09-30,Sep18,Male,Number of clients with problematic drug or alcohol issues,,325.0
2018-09-30,Sep18,Male,Number of nights in short-term/emergency accommodation,,6951.0
2018-09-30,Sep18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,14.0
2018-09-30,Sep18,Male,Number of clients who are at risk of homelessness,,930.0
2018-09-30,Sep18,Male,Number of clients who are homeless,,980.0
2018-09-30,Sep18,Male,Number of clients accommodated in short-term/emergency accommodation,,494.0
2018-10-31,Oct18,Male,Number of indigenous clients,,757.0
2018-10-31,Oct18,Female,Number of clients who are at risk of homelessness,,2343.0
2018-10-31,Oct18,Female,Number of clients who are homeless,,1416.0
2018-10-31,Oct18,Female,Number of clients accommodated in short-term/emergency accommodation,,945.0
2018-10-31,Oct18,Female,Number of nights in short-term/emergency accommodation,,10361.0
2018-10-31,Oct18,Female,Number of clients with a current mental health issue,,1097.0
2018-10-31,Oct18,Female,Number of clients with problematic drug or alcohol issues,,402.0
2018-10-31,Oct18,Female,Number of clients who have experienced family and domestic violence,,2251.0
2018-10-31,Oct18,Female,Number of indigenous clients,,1641.0
2018-10-31,Oct18,Male,Number of clients who have experienced family and domestic violence,,605.0
2018-10-31,Oct18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,47.0
2018-10-31,Oct18,Male,Number of clients with a current mental health issue,,567.0
2018-10-31,Oct18,Male,Number of clients with problematic drug or alcohol issues,,345.0
2018-10-31,Oct18,Male,Number of nights in short-term/emergency accommodation,,6962.0
2018-10-31,Oct18,Male,Number of clients accommodated in short-term/emergency accommodation,,518.0
2018-10-31,Oct18,Male,Number of clients who are homeless,,1089.0
2018-10-31,Oct18,Male,Number of clients who are at risk of homelessness,,967.0
2018-10-31,Oct18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,14.0
2018-11-30,Nov18,Male,Number of indigenous clients,,747.0
2018-11-30,Nov18,Male,Number of clients with a current mental health issue,,558.0
2018-11-30,Nov18,Female,Number of clients who are at risk of homelessness,,2293.0
2018-11-30,Nov18,Male,Number of clients who have experienced family and domestic violence,,590.0
2018-11-30,Nov18,Female,Number of clients who are homeless,,1356.0
2018-11-30,Nov18,Female,Number of indigenous clients,,1556.0
2018-11-30,Nov18,Female,Number of nights in short-term/emergency accommodation,,10364.0
2018-11-30,Nov18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,54.0
2018-11-30,Nov18,Female,Number of clients with problematic drug or alcohol issues,,409.0
2018-11-30,Nov18,Female,Number of clients with a current mental health issue,,1093.0
2018-11-30,Nov18,Female,Number of clients who have experienced family and domestic violence,,2150.0
2018-11-30,Nov18,Female,Number of clients accommodated in short-term/emergency accommodation,,861.0
2018-11-30,Nov18,Male,Number of clients with problematic drug or alcohol issues,,351.0
2018-11-30,Nov18,Male,Number of clients who are homeless,,1044.0
2018-11-30,Nov18,Male,Number of nights in short-term/emergency accommodation,,6721.0
2018-11-30,Nov18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,15.0
2018-11-30,Nov18,Male,Number of clients who are at risk of homelessness,,1010.0
2018-11-30,Nov18,Male,Number of clients accommodated in short-term/emergency accommodation,,491.0
2018-12-31,Dec18,Female,Number of clients who are homeless,,1349.0
2018-12-31,Dec18,Male,Number of clients who have experienced family and domestic violence,,601.0
2018-12-31,Dec18,Male,Number of indigenous clients,,803.0
2018-12-31,Dec18,Female,Number of clients who are at risk of homelessness,,2437.0
2018-12-31,Dec18,Female,Number of clients accommodated in short-term/emergency accommodation,,1133.0
2018-12-31,Dec18,Female,Number of indigenous clients,,1740.0
2018-12-31,Dec18,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,67.0
2018-12-31,Dec18,Female,Number of clients with problematic drug or alcohol issues,,386.0
2018-12-31,Dec18,Female,Number of clients with a current mental health issue,,1010.0
2018-12-31,Dec18,Female,Number of clients who have experienced family and domestic violence,,2250.0
2018-12-31,Dec18,Male,Number of clients with a current mental health issue,,520.0
2018-12-31,Dec18,Female,Number of nights in short-term/emergency accommodation,,11819.0
2018-12-31,Dec18,Male,Number of clients with problematic drug or alcohol issues,,334.0
2018-12-31,Dec18,Male,Number of clients who are homeless,,990.0
2018-12-31,Dec18,Male,Number of nights in short-term/emergency accommodation,,7607.0
2018-12-31,Dec18,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,18.0
2018-12-31,Dec18,Male,Number of clients who are at risk of homelessness,,1035.0
2018-12-31,Dec18,Male,Number of clients accommodated in short-term/emergency accommodation,,605.0
2019-01-31,Jan19,Male,Number of clients who have experienced family and domestic violence,,638.0
2019-01-31,Jan19,Male,Number of indigenous clients,,902.0
2019-01-31,Jan19,Female,Number of clients who are at risk of homelessness,,2564.0
2019-01-31,Jan19,Female,Number of clients who are homeless,,1426.0
2019-01-31,Jan19,Female,Number of clients accommodated in short-term/emergency accommodation,,1240.0
2019-01-31,Jan19,Male,Number of clients with a current mental health issue,,568.0
2019-01-31,Jan19,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,70.0
2019-01-31,Jan19,Female,Number of clients with problematic drug or alcohol issues,,439.0
2019-01-31,Jan19,Female,Number of clients with a current mental health issue,,1095.0
2019-01-31,Jan19,Female,Number of clients who have experienced family and domestic violence,,2350.0
2019-01-31,Jan19,Female,Number of indigenous clients,,1899.0
2019-01-31,Jan19,Female,Number of nights in short-term/emergency accommodation,,12505.0
2019-01-31,Jan19,Male,Number of clients with problematic drug or alcohol issues,,379.0
2019-01-31,Jan19,Male,Number of nights in short-term/emergency accommodation,,8082.0
2019-01-31,Jan19,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,26.0
2019-01-31,Jan19,Male,Number of clients who are at risk of homelessness,,1109.0
2019-01-31,Jan19,Male,Number of clients who are homeless,,1091.0
2019-01-31,Jan19,Male,Number of clients accommodated in short-term/emergency accommodation,,701.0
2019-02-28,Feb19,Male,Number of clients who have experienced family and domestic violence,,628.0
2019-02-28,Feb19,Female,Number of clients who are at risk of homelessness,,2492.0
2019-02-28,Feb19,Female,Number of clients who are homeless,,1408.0
2019-02-28,Feb19,Female,Number of clients accommodated in short-term/emergency accommodation,,1099.0
2019-02-28,Feb19,Female,Number of nights in short-term/emergency accommodation,,11126.0
2019-02-28,Feb19,Female,Number of clients with a current mental health issue,,1074.0
2019-02-28,Feb19,Female,Number of clients with problematic drug or alcohol issues,,452.0
2019-02-28,Feb19,Male,Number of clients with a current mental health issue,,574.0
2019-02-28,Feb19,Female,Number of clients who have experienced family and domestic violence,,2287.0
2019-02-28,Feb19,Female,Number of indigenous clients,,1697.0
2019-02-28,Feb19,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,68.0
2019-02-28,Feb19,Male,Number of clients with problematic drug or alcohol issues,,371.0
2019-02-28,Feb19,Male,Number of indigenous clients,,860.0
2019-02-28,Feb19,Male,Number of nights in short-term/emergency accommodation,,7746.0
2019-02-28,Feb19,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,19.0
2019-02-28,Feb19,Male,Number of clients who are at risk of homelessness,,1107.0
2019-02-28,Feb19,Male,Number of clients who are homeless,,1102.0
2019-02-28,Feb19,Male,Number of clients accommodated in short-term/emergency accommodation,,662.0
2019-03-31,Mar19,Male,Number of clients who have experienced family and domestic violence,,652.0
2019-03-31,Mar19,Male,Number of indigenous clients,,905.0
2019-03-31,Mar19,Female,Number of clients who are at risk of homelessness,,2568.0
2019-03-31,Mar19,Female,Number of clients who are homeless,,1545.0
2019-03-31,Mar19,Female,Number of clients accommodated in short-term/emergency accommodation,,1148.0
2019-03-31,Mar19,Female,Number of clients with problematic drug or alcohol issues,,454.0
2019-03-31,Mar19,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,60.0
2019-03-31,Mar19,Female,Number of clients with a current mental health issue,,1091.0
2019-03-31,Mar19,Female,Number of clients who have experienced family and domestic violence,,2322.0
2019-03-31,Mar19,Female,Number of indigenous clients,,1869.0
2019-03-31,Mar19,Male,Number of clients with a current mental health issue,,593.0
2019-03-31,Mar19,Female,Number of nights in short-term/emergency accommodation,,12782.0
2019-03-31,Mar19,Male,Number of clients with problematic drug or alcohol issues,,381.0
