DATE,STATE,MONTH,CLIENT GROUP,MEASURE,VALUE
2023-04-30,NSW,Apr23,Number of clients with a current mental health issue,,7908.0
2023-04-30,NSW,Apr23,Number of clients with problematic drug or alcohol issues,,1690.0
2023-04-30,NSW,Apr23,Number of indigenous clients,,7314.0
2023-04-30,NSW,Apr23,Number of nights in short-term/emergency accommodation,,46708.0
2017-08-31,NSW,Aug17,Number of clients accommodated in short-term/emergency accommodation,,2398.0
2017-08-31,NSW,Aug17,Number of clients financially assisted with payments for short term/emergency accommodation,,175.0
2017-08-31,NSW,Aug17,Number of clients who are at risk of homelessness,,10808.0
2017-08-31,NSW,Aug17,Number of clients who are homeless,,10064.0
2017-08-31,NSW,Aug17,Number of clients who have experienced family and domestic violence,,7207.0
2017-08-31,NSW,Aug17,Number of clients with a current mental health issue,,7050.0
2017-08-31,NSW,Aug17,Number of clients with problematic drug or alcohol issues,,2265.0
2017-08-31,NSW,Aug17,Number of indigenous clients,,6286.0
2017-08-31,NSW,Aug17,Number of nights in short-term/emergency accommodation,,46826.0
2018-08-31,NSW,Aug18,Number of clients accommodated in short-term/emergency accommodation,,2390.0
2018-08-31,NSW,Aug18,Number of clients financially assisted with payments for short term/emergency accommodation,,193.0
2018-08-31,NSW,Aug18,Number of clients who are at risk of homelessness,,11911.0
2018-08-31,NSW,Aug18,Number of clients who are homeless,,10750.0
2018-08-31,NSW,Aug18,Number of clients who have experienced family and domestic violence,,8239.0
2018-08-31,NSW,Aug18,Number of clients with a current mental health issue,,7684.0
2018-08-31,NSW,Aug18,Number of clients with problematic drug or alcohol issues,,2310.0
2018-08-31,NSW,Aug18,Number of indigenous clients,,6850.0
2018-08-31,NSW,Aug18,Number of nights in short-term/emergency accommodation,,46249.0
2019-08-31,NSW,Aug19,Number of clients accommodated in short-term/emergency accommodation,,2438.0
2019-08-31,NSW,Aug19,Number of clients financially assisted with payments for short term/emergency accommodation,,181.0
2019-08-31,NSW,Aug19,Number of clients who are at risk of homelessness,,12158.0
2019-08-31,NSW,Aug19,Number of clients who are homeless,,10097.0
2019-08-31,NSW,Aug19,Number of clients who have experienced family and domestic violence,,7786.0
2019-08-31,NSW,Aug19,Number of clients with a current mental health issue,,7754.0
2019-08-31,NSW,Aug19,Number of clients with problematic drug or alcohol issues,,2213.0
2019-08-31,NSW,Aug19,Number of indigenous clients,,6848.0
2019-08-31,NSW,Aug19,Number of nights in short-term/emergency accommodation,,47404.0
2020-08-31,NSW,Aug20,Number of clients accommodated in short-term/emergency accommodation,,2088.0
2020-08-31,NSW,Aug20,Number of clients financially assisted with payments for short term/emergency accommodation,,157.0
2020-08-31,NSW,Aug20,Number of clients who are at risk of homelessness,,11708.0
2020-08-31,NSW,Aug20,Number of clients who are homeless,,10233.0
2020-08-31,NSW,Aug20,Number of clients who have experienced family and domestic violence,,8004.0
2020-08-31,NSW,Aug20,Number of clients with a current mental health issue,,7959.0
2020-08-31,NSW,Aug20,Number of clients with problematic drug or alcohol issues,,2059.0
2020-08-31,NSW,Aug20,Number of indigenous clients,,6792.0
2020-08-31,NSW,Aug20,Number of nights in short-term/emergency accommodation,,41458.0
2021-08-31,NSW,Aug21,Number of clients accommodated in short-term/emergency accommodation,,1880.0
2021-08-31,NSW,Aug21,Number of clients financially assisted with payments for short term/emergency accommodation,,135.0
2021-08-31,NSW,Aug21,Number of clients who are at risk of homelessness,,12373.0
2021-08-31,NSW,Aug21,Number of clients who are homeless,,10998.0
2021-08-31,NSW,Aug21,Number of clients who have experienced family and domestic violence,,8425.0
2021-08-31,NSW,Aug21,Number of clients with a current mental health issue,,8682.0
2021-08-31,NSW,Aug21,Number of clients with problematic drug or alcohol issues,,1942.0
2021-08-31,NSW,Aug21,Number of indigenous clients,,7435.0
2021-08-31,NSW,Aug21,Number of nights in short-term/emergency accommodation,,41307.0
2022-08-31,NSW,Aug22,Number of clients accommodated in short-term/emergency accommodation,,2155.0
2022-08-31,NSW,Aug22,Number of clients financially assisted with payments for short term/emergency accommodation,,190.0
2022-08-31,NSW,Aug22,Number of clients who are at risk of homelessness,,11461.0
2022-08-31,NSW,Aug22,Number of clients who are homeless,,11183.0
2022-08-31,NSW,Aug22,Number of clients who have experienced family and domestic violence,,8011.0
2022-08-31,NSW,Aug22,Number of clients with a current mental health issue,,8102.0
2022-08-31,NSW,Aug22,Number of clients with problematic drug or alcohol issues,,1691.0
2022-08-31,NSW,Aug22,Number of indigenous clients,,7416.0
2022-08-31,NSW,Aug22,Number of nights in short-term/emergency accommodation,,44637.0
2017-12-31,NSW,Dec17,Number of clients accommodated in short-term/emergency accommodation,,2254.0
2017-12-31,NSW,Dec17,Number of clients financially assisted with payments for short term/emergency accommodation,,146.0
2017-12-31,NSW,Dec17,Number of clients who are at risk of homelessness,,10456.0
2017-12-31,NSW,Dec17,Number of clients who are homeless,,9551.0
2017-12-31,NSW,Dec17,Number of clients who have experienced family and domestic violence,,7070.0
2017-12-31,NSW,Dec17,Number of clients with a current mental health issue,,6594.0
2017-12-31,NSW,Dec17,Number of clients with problematic drug or alcohol issues,,2123.0
2017-12-31,NSW,Dec17,Number of indigenous clients,,6003.0
2017-12-31,NSW,Dec17,Number of nights in short-term/emergency accommodation,,46071.0
2018-12-31,NSW,Dec18,Number of clients accommodated in short-term/emergency accommodation,,2177.0
2018-12-31,NSW,Dec18,Number of clients financially assisted with payments for short term/emergency accommodation,,167.0
2018-12-31,NSW,Dec18,Number of clients who are at risk of homelessness,,11305.0
2018-12-31,NSW,Dec18,Number of clients who are homeless,,9956.0
2018-12-31,NSW,Dec18,Number of clients who have experienced family and domestic violence,,7542.0
2018-12-31,NSW,Dec18,Number of clients with a current mental health issue,,7216.0
2018-12-31,NSW,Dec18,Number of clients with problematic drug or alcohol issues,,2102.0
2018-12-31,NSW,Dec18,Number of indigenous clients,,6382.0
2018-12-31,NSW,Dec18,Number of nights in short-term/emergency accommodation,,42908.0
2019-12-31,NSW,Dec19,Number of clients accommodated in short-term/emergency accommodation,,2373.0
2019-12-31,NSW,Dec19,Number of clients financially assisted with payments for short term/emergency accommodation,,148.0
2019-12-31,NSW,Dec19,Number of clients who are at risk of homelessness,,11713.0
2019-12-31,NSW,Dec19,Number of clients who are homeless,,9460.0
2019-12-31,NSW,Dec19,Number of clients who have experienced family and domestic violence,,7320.0
2019-12-31,NSW,Dec19,Number of clients with a current mental health issue,,7382.0
2019-12-31,NSW,Dec19,Number of clients with problematic drug or alcohol issues,,1993.0
2019-12-31,NSW,Dec19,Number of indigenous clients,,6361.0
2019-12-31,NSW,Dec19,Number of nights in short-term/emergency accommodation,,46947.0
2020-12-31,NSW,Dec20,Number of clients accommodated in short-term/emergency accommodation,,2285.0
2020-12-31,NSW,Dec20,Number of clients financially assisted with payments for short term/emergency accommodation,,198.0
2020-12-31,NSW,Dec20,Number of clients who are at risk of homelessness,,12048.0
2020-12-31,NSW,Dec20,Number of clients who are homeless,,10368.0
2020-12-31,NSW,Dec20,Number of clients who have experienced family and domestic violence,,8141.0
2020-12-31,NSW,Dec20,Number of clients with a current mental health issue,,7988.0
2020-12-31,NSW,Dec20,Number of clients with problematic drug or alcohol issues,,1951.0
2020-12-31,NSW,Dec20,Number of indigenous clients,,7098.0
2020-12-31,NSW,Dec20,Number of nights in short-term/emergency accommodation,,44498.0
2021-12-31,NSW,Dec21,Number of clients accommodated in short-term/emergency accommodation,,1994.0
2021-12-31,NSW,Dec21,Number of clients financially assisted with payments for short term/emergency accommodation,,208.0
2021-12-31,NSW,Dec21,Number of clients who are at risk of homelessness,,11916.0
2021-12-31,NSW,Dec21,Number of clients who are homeless,,10522.0
2021-12-31,NSW,Dec21,Number of clients who have experienced family and domestic violence,,8219.0
2021-12-31,NSW,Dec21,Number of clients with a current mental health issue,,8228.0
2021-12-31,NSW,Dec21,Number of clients with problematic drug or alcohol issues,,1719.0
2021-12-31,NSW,Dec21,Number of indigenous clients,,7178.0
2021-12-31,NSW,Dec21,Number of nights in short-term/emergency accommodation,,42524.0
2022-12-31,NSW,Dec22,Number of clients accommodated in short-term/emergency accommodation,,2217.0
2022-12-31,NSW,Dec22,Number of clients financially assisted with payments for short term/emergency accommodation,,178.0
2022-12-31,NSW,Dec22,Number of clients who are at risk of homelessness,,10693.0
2022-12-31,NSW,Dec22,Number of clients who are homeless,,11003.0
2022-12-31,NSW,Dec22,Number of clients who have experienced family and domestic violence,,7565.0
2022-12-31,NSW,Dec22,Number of clients with a current mental health issue,,7724.0
2022-12-31,NSW,Dec22,Number of clients with problematic drug or alcohol issues,,1545.0
2022-12-31,NSW,Dec22,Number of indigenous clients,,7265.0
2022-12-31,NSW,Dec22,Number of nights in short-term/emergency accommodation,,46480.0
2018-02-28,NSW,Feb18,Number of clients accommodated in short-term/emergency accommodation,,2311.0
2018-02-28,NSW,Feb18,Number of clients financially assisted with payments for short term/emergency accommodation,,180.0
2018-02-28,NSW,Feb18,Number of clients who are at risk of homelessness,,11130.0
2018-02-28,NSW,Feb18,Number of clients who are homeless,,10305.0
2018-02-28,NSW,Feb18,Number of clients who have experienced family and domestic violence,,7735.0
2018-02-28,NSW,Feb18,Number of clients with a current mental health issue,,7105.0
2018-02-28,NSW,Feb18,Number of clients with problematic drug or alcohol issues,,2253.0
2018-02-28,NSW,Feb18,Number of indigenous clients,,6516.0
2018-02-28,NSW,Feb18,Number of nights in short-term/emergency accommodation,,42190.0
2019-02-28,NSW,Feb19,Number of clients accommodated in short-term/emergency accommodation,,2438.0
2019-02-28,NSW,Feb19,Number of clients financially assisted with payments for short term/emergency accommodation,,206.0
2019-02-28,NSW,Feb19,Number of clients who are at risk of homelessness,,11718.0
2019-02-28,NSW,Feb19,Number of clients who are homeless,,10647.0
2019-02-28,NSW,Feb19,Number of clients who have experienced family and domestic violence,,7966.0
2019-02-28,NSW,Feb19,Number of clients with a current mental health issue,,7638.0
2019-02-28,NSW,Feb19,Number of clients with problematic drug or alcohol issues,,2253.0
2019-02-28,NSW,Feb19,Number of indigenous clients,,6555.0
2019-02-28,NSW,Feb19,Number of nights in short-term/emergency accommodation,,43209.0
2020-02-29,NSW,Feb20,Number of clients accommodated in short-term/emergency accommodation,,2609.0
2020-02-29,NSW,Feb20,Number of clients financially assisted with payments for short term/emergency accommodation,,186.0
2020-02-29,NSW,Feb20,Number of clients who are at risk of homelessness,,12269.0
2020-02-29,NSW,Feb20,Number of clients who are homeless,,10428.0
2020-02-29,NSW,Feb20,Number of clients who have experienced family and domestic violence,,7996.0
2020-02-29,NSW,Feb20,Number of clients with a current mental health issue,,7753.0
2020-02-29,NSW,Feb20,Number of clients with problematic drug or alcohol issues,,2099.0
2020-02-29,NSW,Feb20,Number of indigenous clients,,6899.0
2020-02-29,NSW,Feb20,Number of nights in short-term/emergency accommodation,,47946.0
2021-02-28,NSW,Feb21,Number of clients accommodated in short-term/emergency accommodation,,2336.0
2021-02-28,NSW,Feb21,Number of clients financially assisted with payments for short term/emergency accommodation,,202.0
2021-02-28,NSW,Feb21,Number of clients who are at risk of homelessness,,12475.0
2021-02-28,NSW,Feb21,Number of clients who are homeless,,11103.0
2021-02-28,NSW,Feb21,Number of clients who have experienced family and domestic violence,,8639.0
2021-02-28,NSW,Feb21,Number of clients with a current mental health issue,,8434.0
2021-02-28,NSW,Feb21,Number of clients with problematic drug or alcohol issues,,2012.0
2021-02-28,NSW,Feb21,Number of indigenous clients,,7677.0
2021-02-28,NSW,Feb21,Number of nights in short-term/emergency accommodation,,41364.0
2022-02-28,NSW,Feb22,Number of clients accommodated in short-term/emergency accommodation,,2160.0
2022-02-28,NSW,Feb22,Number of clients financially assisted with payments for short term/emergency accommodation,,206.0
2022-02-28,NSW,Feb22,Number of clients who are at risk of homelessness,,11705.0
2022-02-28,NSW,Feb22,Number of clients who are homeless,,11061.0
2022-02-28,NSW,Feb22,Number of clients who have experienced family and domestic violence,,8270.0
2022-02-28,NSW,Feb22,Number of clients with a current mental health issue,,8183.0
2022-02-28,NSW,Feb22,Number of clients with problematic drug or alcohol issues,,1738.0
2022-02-28,NSW,Feb22,Number of indigenous clients,,7297.0
2022-02-28,NSW,Feb22,Number of nights in short-term/emergency accommodation,,40188.0
2023-02-28,NSW,Feb23,Number of clients accommodated in short-term/emergency accommodation,,2334.0
2023-02-28,NSW,Feb23,Number of clients financially assisted with payments for short term/emergency accommodation,,187.0
2023-02-28,NSW,Feb23,Number of clients who are at risk of homelessness,,11448.0
2023-02-28,NSW,Feb23,Number of clients who are homeless,,11655.0
2023-02-28,NSW,Feb23,Number of clients who have experienced family and domestic violence,,8300.0
2023-02-28,NSW,Feb23,Number of clients with a current mental health issue,,8019.0
2023-02-28,NSW,Feb23,Number of clients with problematic drug or alcohol issues,,1709.0
2023-02-28,NSW,Feb23,Number of indigenous clients,,7734.0
2023-02-28,NSW,Feb23,Number of nights in short-term/emergency accommodation,,45228.0
2018-01-31,NSW,Jan18,Number of clients accommodated in short-term/emergency accommodation,,2394.0
2018-01-31,NSW,Jan18,Number of clients financially assisted with payments for short term/emergency accommodation,,159.0
2018-01-31,NSW,Jan18,Number of clients who are at risk of homelessness,,10826.0
2018-01-31,NSW,Jan18,Number of clients who are homeless,,10060.0
2018-01-31,NSW,Jan18,Number of clients who have experienced family and domestic violence,,7523.0
2018-01-31,NSW,Jan18,Number of clients with a current mental health issue,,6998.0
2018-01-31,NSW,Jan18,Number of clients with problematic drug or alcohol issues,,2234.0
2018-01-31,NSW,Jan18,Number of indigenous clients,,6284.0
2018-01-31,NSW,Jan18,Number of nights in short-term/emergency accommodation,,45822.0
2019-01-31,NSW,Jan19,Number of clients accommodated in short-term/emergency accommodation,,2463.0
2019-01-31,NSW,Jan19,Number of clients financially assisted with payments for short term/emergency accommodation,,233.0
2019-01-31,NSW,Jan19,Number of clients who are at risk of homelessness,,11500.0
2019-01-31,NSW,Jan19,Number of clients who are homeless,,10523.0
2019-01-31,NSW,Jan19,Number of clients who have experienced family and domestic violence,,7913.0
2019-01-31,NSW,Jan19,Number of clients with a current mental health issue,,7665.0
2019-01-31,NSW,Jan19,Number of clients with problematic drug or alcohol issues,,2269.0
2019-01-31,NSW,Jan19,Number of indigenous clients,,6472.0
2019-01-31,NSW,Jan19,Number of nights in short-term/emergency accommodation,,45156.0
2020-01-31,NSW,Jan20,Number of clients accommodated in short-term/emergency accommodation,,2602.0
2020-01-31,NSW,Jan20,Number of clients financially assisted with payments for short term/emergency accommodation,,211.0
2020-01-31,NSW,Jan20,Number of clients who are at risk of homelessness,,12018.0
2020-01-31,NSW,Jan20,Number of clients who are homeless,,10172.0
2020-01-31,NSW,Jan20,Number of clients who have experienced family and domestic violence,,7891.0
2020-01-31,NSW,Jan20,Number of clients with a current mental health issue,,7719.0
2020-01-31,NSW,Jan20,Number of clients with problematic drug or alcohol issues,,2066.0
2020-01-31,NSW,Jan20,Number of indigenous clients,,6681.0
2020-01-31,NSW,Jan20,Number of nights in short-term/emergency accommodation,,49702.0
2021-01-31,NSW,Jan21,Number of clients accommodated in short-term/emergency accommodation,,2207.0
2021-01-31,NSW,Jan21,Number of clients financially assisted with payments for short term/emergency accommodation,,180.0
2021-01-31,NSW,Jan21,Number of clients who are at risk of homelessness,,11739.0
2021-01-31,NSW,Jan21,Number of clients who are homeless,,10551.0
2021-01-31,NSW,Jan21,Number of clients who have experienced family and domestic violence,,8362.0
2021-01-31,NSW,Jan21,Number of clients with a current mental health issue,,8048.0
2021-01-31,NSW,Jan21,Number of clients with problematic drug or alcohol issues,,1929.0
2021-01-31,NSW,Jan21,Number of indigenous clients,,7095.0
2021-01-31,NSW,Jan21,Number of nights in short-term/emergency accommodation,,44224.0
2022-01-31,NSW,Jan22,Number of clients accommodated in short-term/emergency accommodation,,1989.0
2022-01-31,NSW,Jan22,Number of clients financially assisted with payments for short term/emergency accommodation,,199.0
2022-01-31,NSW,Jan22,Number of clients who are at risk of homelessness,,11536.0
2022-01-31,NSW,Jan22,Number of clients who are homeless,,10695.0
2022-01-31,NSW,Jan22,Number of clients who have experienced family and domestic violence,,8165.0
2022-01-31,NSW,Jan22,Number of clients with a current mental health issue,,8093.0
2022-01-31,NSW,Jan22,Number of clients with problematic drug or alcohol issues,,1693.0
2022-01-31,NSW,Jan22,Number of indigenous clients,,7072.0
2022-01-31,NSW,Jan22,Number of nights in short-term/emergency accommodation,,41958.0
2023-01-31,NSW,Jan23,Number of clients accommodated in short-term/emergency accommodation,,2326.0
2023-01-31,NSW,Jan23,Number of clients financially assisted with payments for short term/emergency accommodation,,193.0
2023-01-31,NSW,Jan23,Number of clients who are at risk of homelessness,,10688.0
2023-01-31,NSW,Jan23,Number of clients who are homeless,,11474.0
2023-01-31,NSW,Jan23,Number of clients who have experienced family and domestic violence,,7940.0
2023-01-31,NSW,Jan23,Number of clients with a current mental health issue,,7810.0
2023-01-31,NSW,Jan23,Number of clients with problematic drug or alcohol issues,,1597.0
2023-01-31,NSW,Jan23,Number of indigenous clients,,7469.0
2023-01-31,NSW,Jan23,Number of nights in short-term/emergency accommodation,,47417.0
2017-07-31,NSW,Jul17,Number of clients accommodated in short-term/emergency accommodation,,2333.0
2017-07-31,NSW,Jul17,Number of clients financially assisted with payments for short term/emergency accommodation,,175.0
2017-07-31,NSW,Jul17,Number of clients who are at risk of homelessness,,10696.0
2017-07-31,NSW,Jul17,Number of clients who are homeless,,10027.0
2017-07-31,NSW,Jul17,Number of clients who have experienced family and domestic violence,,7068.0
2017-07-31,NSW,Jul17,Number of clients with a current mental health issue,,6937.0
2017-07-31,NSW,Jul17,Number of clients with problematic drug or alcohol issues,,2210.0
2017-07-31,NSW,Jul17,Number of indigenous clients,,6197.0
2017-07-31,NSW,Jul17,Number of nights in short-term/emergency accommodation,,45550.0
2018-07-31,NSW,Jul18,Number of clients accommodated in short-term/emergency accommodation,,2432.0
2018-07-31,NSW,Jul18,Number of clients financially assisted with payments for short term/emergency accommodation,,203.0
2018-07-31,NSW,Jul18,Number of clients who are at risk of homelessness,,11664.0
2018-07-31,NSW,Jul18,Number of clients who are homeless,,10377.0
2018-07-31,NSW,Jul18,Number of clients who have experienced family and domestic violence,,8005.0
2018-07-31,NSW,Jul18,Number of clients with a current mental health issue,,7486.0
2018-07-31,NSW,Jul18,Number of clients with problematic drug or alcohol issues,,2218.0
2018-07-31,NSW,Jul18,Number of indigenous clients,,6611.0
2018-07-31,NSW,Jul18,Number of nights in short-term/emergency accommodation,,46215.0
2019-07-31,NSW,Jul19,Number of clients accommodated in short-term/emergency accommodation,,2502.0
2019-07-31,NSW,Jul19,Number of clients financially assisted with payments for short term/emergency accommodation,,230.0
2019-07-31,NSW,Jul19,Number of clients who are at risk of homelessness,,12028.0
2019-07-31,NSW,Jul19,Number of clients who are homeless,,10224.0
2019-07-31,NSW,Jul19,Number of clients who have experienced family and domestic violence,,7832.0
2019-07-31,NSW,Jul19,Number of clients with a current mental health issue,,7791.0
2019-07-31,NSW,Jul19,Number of clients with problematic drug or alcohol issues,,2236.0
2019-07-31,NSW,Jul19,Number of indigenous clients,,6737.0
2019-07-31,NSW,Jul19,Number of nights in short-term/emergency accommodation,,46941.0
2020-07-31,NSW,Jul20,Number of clients accommodated in short-term/emergency accommodation,,2061.0
2020-07-31,NSW,Jul20,Number of clients financially assisted with payments for short term/emergency accommodation,,156.0
2020-07-31,NSW,Jul20,Number of clients who are at risk of homelessness,,11783.0
2020-07-31,NSW,Jul20,Number of clients who are homeless,,10185.0
2020-07-31,NSW,Jul20,Number of clients who have experienced family and domestic violence,,7936.0
2020-07-31,NSW,Jul20,Number of clients with a current mental health issue,,7947.0
2020-07-31,NSW,Jul20,Number of clients with problematic drug or alcohol issues,,2054.0
2020-07-31,NSW,Jul20,Number of indigenous clients,,6564.0
2020-07-31,NSW,Jul20,Number of nights in short-term/emergency accommodation,,41446.0
2021-07-31,NSW,Jul21,Number of clients accommodated in short-term/emergency accommodation,,2020.0
2021-07-31,NSW,Jul21,Number of clients financially assisted with payments for short term/emergency accommodation,,195.0
2021-07-31,NSW,Jul21,Number of clients who are at risk of homelessness,,12657.0
2021-07-31,NSW,Jul21,Number of clients who are homeless,,11064.0
2021-07-31,NSW,Jul21,Number of clients who have experienced family and domestic violence,,8484.0
2021-07-31,NSW,Jul21,Number of clients with a current mental health issue,,8684.0
2021-07-31,NSW,Jul21,Number of clients with problematic drug or alcohol issues,,1909.0
2021-07-31,NSW,Jul21,Number of indigenous clients,,7484.0
2021-07-31,NSW,Jul21,Number of nights in short-term/emergency accommodation,,43419.0
2022-07-31,NSW,Jul22,Number of clients accommodated in short-term/emergency accommodation,,2142.0
2022-07-31,NSW,Jul22,Number of clients financially assisted with payments for short term/emergency accommodation,,182.0
2022-07-31,NSW,Jul22,Number of clients who are at risk of homelessness,,11155.0
2022-07-31,NSW,Jul22,Number of clients who are homeless,,10949.0
2022-07-31,NSW,Jul22,Number of clients who have experienced family and domestic violence,,7769.0
2022-07-31,NSW,Jul22,Number of clients with a current mental health issue,,7867.0
2022-07-31,NSW,Jul22,Number of clients with problematic drug or alcohol issues,,1647.0
2022-07-31,NSW,Jul22,Number of indigenous clients,,7187.0
2022-07-31,NSW,Jul22,Number of nights in short-term/emergency accommodation,,45265.0
2018-06-30,NSW,Jun18,Number of clients accommodated in short-term/emergency accommodation,,2351.0
2018-06-30,NSW,Jun18,Number of clients financially assisted with payments for short term/emergency accommodation,,180.0
2018-06-30,NSW,Jun18,Number of clients who are at risk of homelessness,,11683.0
2018-06-30,NSW,Jun18,Number of clients who are homeless,,10350.0
2018-06-30,NSW,Jun18,Number of clients who have experienced family and domestic violence,,7841.0
2018-06-30,NSW,Jun18,Number of clients with a current mental health issue,,7387.0
2018-06-30,NSW,Jun18,Number of clients with problematic drug or alcohol issues,,2196.0
2018-06-30,NSW,Jun18,Number of indigenous clients,,6568.0
2018-06-30,NSW,Jun18,Number of nights in short-term/emergency accommodation,,45807.0
2019-06-30,NSW,Jun19,Number of clients accommodated in short-term/emergency accommodation,,2481.0
2019-06-30,NSW,Jun19,Number of clients financially assisted with payments for short term/emergency accommodation,,222.0
2019-06-30,NSW,Jun19,Number of clients who are at risk of homelessness,,12136.0
2019-06-30,NSW,Jun19,Number of clients who are homeless,,10124.0
2019-06-30,NSW,Jun19,Number of clients who have experienced family and domestic violence,,7714.0
2019-06-30,NSW,Jun19,Number of clients with a current mental health issue,,7689.0
2019-06-30,NSW,Jun19,Number of clients with problematic drug or alcohol issues,,2164.0
2019-06-30,NSW,Jun19,Number of indigenous clients,,6679.0
2019-06-30,NSW,Jun19,Number of nights in short-term/emergency accommodation,,46102.0
2020-06-30,NSW,Jun20,Number of clients accommodated in short-term/emergency accommodation,,1989.0
2020-06-30,NSW,Jun20,Number of clients financially assisted with payments for short term/emergency accommodation,,172.0
2020-06-30,NSW,Jun20,Number of clients who are at risk of homelessness,,11944.0
2020-06-30,NSW,Jun20,Number of clients who are homeless,,10407.0
2020-06-30,NSW,Jun20,Number of clients who have experienced family and domestic violence,,8105.0
2020-06-30,NSW,Jun20,Number of clients with a current mental health issue,,7974.0
2020-06-30,NSW,Jun20,Number of clients with problematic drug or alcohol issues,,2037.0
2020-06-30,NSW,Jun20,Number of indigenous clients,,6734.0
2020-06-30,NSW,Jun20,Number of nights in short-term/emergency accommodation,,38784.0
2021-06-30,NSW,Jun21,Number of clients accommodated in short-term/emergency accommodation,,2245.0
2021-06-30,NSW,Jun21,Number of clients financially assisted with payments for short term/emergency accommodation,,193.0
2021-06-30,NSW,Jun21,Number of clients who are at risk of homelessness,,12848.0
2021-06-30,NSW,Jun21,Number of clients who are homeless,,11082.0
2021-06-30,NSW,Jun21,Number of clients who have experienced family and domestic violence,,8676.0
2021-06-30,NSW,Jun21,Number of clients with a current mental health issue,,8655.0
2021-06-30,NSW,Jun21,Number of clients with problematic drug or alcohol issues,,1911.0
