SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,198,65,111,127,97,87,58,12,0,754,1380,459,774,916,646,390,197,44,0,4813
SAL50082,47,29,20,27,21,33,20,16,0,218,643,360,339,369,385,378,347,239,74,3129
SAL50083,125,99,112,130,125,99,70,51,53,863,2617,1456,2277,2349,2040,1718,1300,737,431,14916
SAL50084,27,8,20,12,23,20,15,10,11,148,200,115,196,166,199,196,154,95,40,1362
SAL50085,0,0,6,8,6,0,0,0,0,16,18,3,11,19,24,23,14,5,3,117
SAL50086,74,45,44,45,58,44,37,16,10,367,916,517,579,717,747,638,542,318,139,5123
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,4,12,4,0,6,7,14,4,0,0,57
SAL50089,0,0,0,0,0,0,0,0,0,0,3,11,6,7,7,0,0,0,0,41
SAL50090,144,107,150,108,71,47,33,23,5,686,1767,1155,1697,1537,1001,714,630,320,97,8924
SAL50091,54,43,34,39,52,35,17,11,3,286,1077,605,743,890,782,665,483,262,113,5614
SAL50092,30,21,12,17,25,25,8,4,0,148,570,411,218,362,483,444,261,141,30,2914
SAL50093,190,112,116,92,82,92,42,20,8,751,1741,1122,1160,1194,1092,1232,914,343,108,8918
SAL50094,0,0,0,0,0,0,0,0,0,6,21,20,7,18,14,14,9,3,5,111
SAL50095,0,8,16,7,5,5,10,7,0,47,15,12,52,37,25,26,32,6,0,198
SAL50096,5,0,0,3,0,0,4,0,0,19,12,4,4,5,9,4,5,6,0,55
SAL50097,6,0,3,3,0,0,0,0,0,9,22,4,8,10,16,20,22,8,0,116
SAL50098,110,83,77,63,65,53,17,6,4,476,1968,1074,1303,1384,1161,799,473,165,57,8387
SAL50099,0,0,0,0,0,3,0,0,0,3,12,0,6,0,0,8,0,0,0,33
SAL50100,0,0,0,0,0,3,3,0,0,12,14,15,16,0,17,18,14,0,0,104
SAL50101,7,0,0,3,3,3,0,0,0,19,30,10,8,19,35,20,14,4,0,146
SAL50102,56,35,35,36,31,27,12,11,4,236,802,419,600,633,474,503,359,121,42,3943
SAL50103,3,5,0,0,0,3,5,0,0,12,35,43,15,16,38,63,39,19,3,271
SAL50104,11,17,8,13,20,22,8,0,0,107,236,159,209,207,186,210,156,56,27,1451
SAL50105,97,81,141,104,87,65,38,15,6,631,1076,860,1460,1115,863,719,555,263,120,7033
SAL50106,5,4,0,0,4,5,0,0,0,19,36,10,21,27,28,38,16,10,9,193
SAL50107,0,5,0,0,0,0,0,0,0,4,27,15,10,18,32,25,10,10,0,150
SAL50108,0,0,0,0,0,0,0,0,0,0,7,5,6,3,0,5,4,0,0,28
SAL50109,8,5,0,3,4,0,0,3,0,19,36,16,12,22,14,18,22,10,0,144
SAL50110,102,41,52,48,43,24,12,5,0,326,1417,885,847,952,769,562,283,107,22,5835
SAL50111,77,170,204,113,79,50,69,167,255,1193,910,1915,2118,1052,589,478,549,750,673,9043
SAL50112,19,17,15,10,15,23,15,10,0,123,215,163,162,183,197,205,177,83,28,1422
SAL50113,0,0,0,5,0,0,0,0,0,8,8,0,7,4,9,6,4,0,0,38
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,119,52,48,62,39,22,6,7,0,363,1746,764,945,1163,730,375,216,86,12,6039
SAL50116,21,12,8,11,17,16,21,17,3,123,134,70,73,110,118,168,231,124,46,1061
SAL50117,63,39,34,46,33,36,28,25,23,324,967,688,616,664,788,831,612,373,177,5712
SAL50118,6,3,0,3,11,5,0,0,0,33,112,93,42,71,114,114,78,36,13,680
SAL50119,51,41,37,35,52,43,45,49,26,374,1061,794,617,783,941,918,794,478,261,6643
SAL50120,0,0,0,0,0,0,3,0,0,5,0,5,0,0,6,0,4,0,0,20
SAL50121,0,0,0,5,6,0,4,0,0,18,30,18,10,19,41,38,43,18,0,209
SAL50122,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,6,0,0,18
SAL50123,56,29,56,48,24,30,10,0,0,246,416,150,319,299,169,164,70,19,7,1616
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,0,0,0,0,0,0,3,9,5,11,3,12,8,0,4,0,60
SAL50126,11,12,11,14,16,17,18,13,3,111,217,114,79,114,150,192,179,98,29,1172
SAL50127,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9
SAL50128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50129,20,8,11,22,11,9,4,0,0,85,222,109,132,167,171,192,171,53,14,1223
SAL50130,0,0,0,0,3,3,3,0,0,11,7,0,7,4,9,14,3,0,0,50
SAL50131,0,3,0,0,5,3,0,0,0,9,10,15,3,6,15,7,19,0,0,88
SAL50132,32,16,13,26,13,17,24,14,5,161,181,123,115,135,175,189,205,161,104,1388
SAL50133,0,0,0,0,0,0,0,0,0,5,15,0,3,7,6,23,20,8,6,84
SAL50134,0,0,0,0,0,0,0,0,0,3,4,3,5,0,5,10,7,6,0,41
SAL50135,0,0,0,0,0,0,0,0,0,4,7,3,6,10,4,7,3,0,0,39
SAL50136,0,0,0,0,0,3,3,0,0,5,6,3,6,0,0,14,5,3,0,40
SAL50137,25,8,20,17,18,23,14,7,0,133,275,102,202,235,234,247,132,54,13,1498
SAL50138,5,0,0,0,0,3,0,0,0,9,11,0,0,9,4,10,0,0,0,33
SAL50139,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,14,3,0,0,42
SAL50140,0,0,0,0,0,0,4,0,0,3,9,8,4,5,11,33,28,9,3,108
SAL50141,0,0,0,0,4,0,0,0,0,12,18,0,0,8,17,0,13,0,0,52
SAL50142,4,3,0,0,4,9,4,8,0,28,34,21,7,13,39,47,35,15,0,210
SAL50143,14,9,3,7,4,7,5,0,0,51,54,22,29,28,36,19,9,4,0,199
SAL50144,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
SAL50145,5,0,0,5,0,0,3,3,0,17,18,18,0,20,21,23,24,5,0,133
SAL50146,0,0,0,0,4,4,0,0,0,3,3,0,7,0,9,8,0,3,0,30
SAL50147,0,6,15,10,10,14,0,0,0,60,0,5,29,22,26,20,3,0,0,118
SAL50148,24,27,21,32,25,25,28,17,20,215,1004,711,469,709,750,662,540,404,303,5549
SAL50149,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,4,4,0,0,18
SAL50150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50151,0,0,3,0,0,0,0,4,0,9,16,3,8,10,20,29,28,20,3,131
SAL50152,0,3,0,0,4,3,0,0,0,9,7,5,4,0,12,7,3,0,0,45
SAL50153,0,0,0,0,0,0,0,0,0,3,4,0,3,0,4,6,4,4,0,35
SAL50154,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10
SAL50155,0,0,0,0,0,0,0,0,0,0,9,4,0,3,5,4,4,0,0,36
SAL50156,0,0,0,0,0,0,0,0,0,8,9,0,4,6,0,3,6,0,0,28
SAL50157,0,0,0,0,0,0,0,0,0,4,13,10,5,7,21,21,23,9,0,111
SAL50158,0,0,0,0,0,0,0,0,0,8,12,0,8,10,8,9,13,6,0,62
SAL50159,246,133,164,144,113,156,97,20,4,1074,1102,572,763,706,640,699,411,112,22,5026
SAL50160,0,0,0,0,0,0,3,0,0,6,9,3,0,8,6,9,19,0,0,57
SAL50161,12,5,3,4,4,11,14,4,0,55,104,65,59,89,102,168,191,75,15,859
SAL50162,0,3,0,4,3,5,0,0,0,26,94,51,12,58,79,74,58,27,6,455
SAL50163,0,0,0,0,3,0,0,0,0,4,19,3,4,10,16,8,7,5,0,68
SAL50164,0,0,0,0,0,0,0,0,0,10,18,0,4,12,17,12,8,4,0,85
SAL50165,3,0,0,0,0,0,10,6,0,16,11,0,8,12,6,18,30,8,5,106
SAL50166,0,0,0,0,0,0,0,0,0,4,5,0,0,6,0,4,3,3,0,31
SAL50167,0,0,0,0,0,0,0,0,0,8,23,0,7,13,10,10,13,0,0,81
SAL50168,9,7,5,7,0,9,0,0,0,36,126,69,83,76,90,74,72,43,15,653
SAL50169,25,6,12,20,24,15,17,0,0,129,259,105,95,162,165,214,149,76,10,1239
SAL50170,0,0,0,0,0,0,0,0,0,0,8,4,10,4,6,0,0,0,0,28
SAL50171,0,3,0,0,0,4,0,0,0,7,14,5,4,5,3,7,4,0,0,37
SAL50172,30,5,16,14,18,21,15,10,0,130,159,65,67,97,111,156,126,97,30,907
SAL50173,114,49,99,68,27,12,9,0,0,372,2433,873,2382,1638,654,346,144,42,0,8512
SAL50174,10,0,3,6,4,0,0,0,0,29,27,10,18,24,14,27,13,11,0,141
SAL50175,0,0,0,0,0,0,0,0,0,0,9,0,4,3,4,16,10,3,0,42
SAL50176,3,0,0,0,0,0,0,0,0,4,3,0,7,3,4,3,0,0,0,28
SAL50177,3,0,0,0,7,8,4,3,0,28,59,24,39,38,51,80,81,34,4,426
SAL50178,22,11,16,18,16,11,9,4,5,103,414,291,278,264,312,235,183,88,58,2132
SAL50179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50180,41,29,24,29,44,41,47,15,7,274,485,236,231,282,410,489,575,258,77,3064
SAL50181,8,7,7,10,12,7,9,0,0,60,195,132,70,138,168,143,105,33,7,983
SAL50182,0,0,0,0,0,0,0,0,0,0,5,5,0,5,3,6,6,0,0,25
SAL50183,71,29,37,47,53,60,63,30,32,417,676,353,338,478,517,526,691,492,385,4464
SAL50184,9,6,9,0,13,8,0,0,0,47,211,94,66,131,116,81,18,0,0,724
SAL50185,54,29,24,26,29,31,11,13,0,217,206,91,139,111,146,142,125,58,13,1038
SAL50186,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,3,0,3,0,20
SAL50187,100,48,35,44,34,19,12,8,0,298,819,392,460,428,342,264,169,55,11,2941
SAL50188,3,3,0,0,8,0,0,0,0,23,43,30,23,17,46,37,37,10,4,240
SAL50189,24,16,6,14,10,13,7,4,0,92,123,53,66,77,99,107,91,69,38,725
SAL50190,173,114,179,135,152,130,80,26,13,1003,811,528,761,669,660,665,587,209,44,4930
SAL50191,0,0,0,0,0,0,3,0,0,6,18,8,15,11,16,14,7,4,0,101
SAL50192,14,0,0,0,0,5,4,4,0,27,40,15,22,21,21,44,34,14,0,210
SAL50193,7,0,3,4,5,6,0,0,0,26,46,4,16,34,26,22,19,0,0,175
SAL50194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50195,4,0,0,3,0,5,6,0,0,19,26,11,7,17,21,57,86,19,0,250
SAL50196,11,11,20,10,19,11,15,12,6,120,143,57,80,95,81,89,113,62,22,741
SAL50197,28,16,17,11,18,18,11,5,0,119,221,148,127,124,172,159,140,77,17,1179
SAL50198,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,3,4,4,0,17
SAL50199,3,0,0,0,3,4,4,0,0,14,4,8,0,0,12,15,7,5,0,53
SAL50200,121,91,161,176,107,91,19,0,0,774,638,409,722,710,506,385,128,27,0,3527
SAL50201,44,37,13,36,32,38,60,53,63,373,1494,841,591,1082,952,822,1049,667,368,7865
SAL50202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50203,0,0,0,0,0,0,0,0,0,4,13,6,9,11,17,7,10,0,0,77
SAL50204,0,0,0,0,5,0,0,0,0,0,31,9,10,24,17,39,39,15,0,179
SAL50205,0,0,0,0,0,0,0,0,0,3,3,0,6,0,11,7,9,5,0,35
SAL50206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50207,88,75,65,67,69,60,39,18,0,478,1057,760,679,628,809,703,518,197,35,5388
SAL50208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
SAL50209,0,0,0,0,0,0,0,0,0,0,8,0,6,4,3,14,7,3,0,37
SAL50210,33,40,50,55,71,61,48,28,13,398,439,380,497,516,621,675,556,279,167,4136
SAL50211,0,0,0,0,0,0,0,0,0,4,11,0,5,4,0,3,0,0,0,22
SAL50212,3,0,0,4,0,4,0,0,0,11,5,5,0,4,3,9,0,4,0,29
SAL50213,4,3,0,0,0,0,0,0,0,15,10,3,0,16,6,0,7,4,0,55
SAL50214,0,0,0,0,0,0,0,0,0,0,10,0,3,8,5,8,10,0,5,50
SAL50215,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,9,8,0,0,28
SAL50216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50217,5,0,7,8,3,4,4,0,0,37,199,75,69,125,100,93,68,35,4,766
SAL50218,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,11
SAL50219,0,32,123,93,40,19,4,5,0,315,8,28,129,93,46,25,9,9,0,346
SAL50220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50221,29,27,14,25,36,21,9,0,0,164,861,547,313,550,730,562,284,65,8,3922
SAL50222,5,0,7,6,4,0,5,3,0,32,78,22,30,54,60,31,37,15,0,335
SAL50223,5,7,0,6,5,0,0,0,0,16,20,12,6,17,20,8,11,3,0,102
SAL50224,0,0,0,0,0,0,0,0,0,4,8,3,3,0,0,0,0,0,0,20
SAL50225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,11
SAL50226,42,68,99,103,143,103,50,33,0,646,298,382,685,568,551,506,340,145,32,3509
SAL50227,4,3,3,7,6,0,0,0,0,16,113,80,178,116,67,52,24,18,0,638
SAL50228,13,32,40,29,26,40,35,20,3,229,183,172,191,171,224,292,358,219,82,1892
SAL50229,260,147,143,125,115,64,34,26,4,917,3186,2058,1833,1911,1850,1063,730,324,68,13026
SAL50230,366,120,169,155,93,68,42,27,8,1042,5429,1995,3277,2999,1831,1334,835,368,117,18193
SAL50231,239,134,251,204,251,318,244,112,12,1769,1514,722,1281,1160,1162,1430,1511,534,49,9365
SAL50232,0,0,0,0,0,0,0,0,0,0,4,3,12,3,0,6,4,0,0,42
SAL50233,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,6
SAL50234,3,0,0,0,0,3,0,0,0,18,48,11,25,26,24,23,24,11,3,193
SAL50235,25,11,21,18,24,16,14,9,5,141,293,178,215,207,252,200,201,257,164,1964
SAL50236,0,0,0,0,0,0,0,0,0,5,5,5,3,0,4,10,11,7,0,45
SAL50237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,9
SAL50238,51,5,4,9,8,11,5,0,0,101,136,79,94,61,51,48,23,0,0,493
SAL50239,0,9,7,0,0,0,0,0,0,14,4,23,9,0,0,0,0,0,0,38
SAL50240,109,62,56,47,46,35,34,11,3,394,910,555,569,582,493,552,451,188,58,4353
SAL50241,0,3,0,0,0,0,0,0,0,10,8,5,8,10,5,0,0,0,0,38
SAL50242,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,5,0,0,12
SAL50243,0,0,0,0,0,0,0,0,0,7,11,6,6,9,13,12,3,9,0,71
SAL50244,0,0,0,0,3,0,0,0,0,3,9,0,0,0,3,5,0,0,0,24
SAL50245,317,467,643,546,378,212,93,56,18,2721,6713,4958,4285,5331,4804,3853,2568,1049,414,33972
SAL50246,83,95,179,81,47,46,24,19,5,579,1055,1007,2075,1020,521,464,356,180,66,6746
SAL50247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50248,0,3,0,5,4,12,6,0,0,34,70,41,56,49,71,104,106,23,9,531
SAL50249,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11
SAL50250,0,0,0,0,3,0,0,0,0,10,23,13,36,23,38,60,86,24,0,301
SAL50251,36,34,15,21,32,20,28,13,4,204,526,268,236,310,365,314,292,138,39,2471
SAL50252,7,3,0,0,0,0,0,0,0,18,13,16,5,7,23,27,17,15,0,127
SAL50253,0,13,31,33,25,12,5,0,0,129,0,19,63,65,46,27,21,0,0,241
SAL50254,0,0,0,0,0,0,4,6,0,10,0,3,0,4,4,3,7,8,0,26
SAL50255,6,3,7,8,6,8,3,0,0,38,78,50,50,52,65,71,43,9,6,435
SAL50256,0,0,0,0,4,0,0,0,0,12,4,0,0,3,6,3,4,0,0,27
SAL50257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50258,0,0,0,0,0,0,0,0,0,3,17,8,13,10,15,26,11,7,6,107
SAL50259,8,4,0,0,4,0,0,0,0,21,19,13,7,6,23,18,23,3,3,120
SAL50260,16,10,8,9,11,4,4,5,0,70,237,168,101,139,215,137,96,36,3,1130
SAL50261,136,85,92,67,66,59,25,22,13,563,862,613,702,605,603,668,511,312,171,5038
SAL50262,70,31,23,36,33,31,26,12,5,267,1574,723,445,976,942,763,967,471,189,7054
SAL50263,63,65,85,47,55,41,18,21,9,394,976,767,1399,1054,765,644,591,270,121,6596
SAL50264,0,0,0,0,0,0,0,0,0,8,20,3,8,14,8,13,28,11,0,99
SAL50265,8,6,0,3,0,4,3,0,0,32,127,104,67,62,97,110,109,50,16,737
SAL50266,11,13,3,21,9,7,13,9,0,75,62,32,43,64,44,65,70,31,10,413
SAL50267,4,36,56,21,18,15,18,11,5,189,43,50,93,72,56,93,115,62,19,597
SAL50268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50269,99,58,27,54,62,37,27,3,0,378,1560,1049,680,993,1172,837,464,188,37,6980
SAL50270,0,0,0,4,0,0,0,0,0,6,9,5,0,7,9,6,9,3,0,44
SAL50271,0,0,0,0,0,0,0,0,0,0,21,4,12,10,9,10,0,0,0,63
SAL50272,8,0,0,0,0,0,0,0,0,9,20,12,13,17,14,13,3,0,0,90
SAL50273,100,78,50,52,53,41,28,24,9,440,826,452,467,502,452,426,394,232,60,3814
SAL50274,10,187,480,355,154,41,29,3,0,1269,119,291,533,418,281,190,95,35,9,1986
SAL50275,0,27,54,36,40,31,3,0,0,192,8,33,73,60,74,59,3,0,0,316
SAL50276,5,0,0,0,0,0,5,0,0,11,21,17,21,18,16,35,22,12,0,174
SAL50277,110,64,62,60,63,27,27,20,4,434,1896,720,1243,1369,855,644,419,172,36,7348
SAL50278,8,26,20,18,20,8,12,8,9,139,62,108,106,84,102,113,134,89,51,845
SAL50279,0,4,9,0,10,8,12,3,4,37,66,22,58,42,53,102,118,46,17,519
SAL50280,8,0,8,4,5,9,9,3,0,40,26,12,22,19,27,40,30,8,0,183
SAL50281,9,18,16,20,25,26,12,0,0,121,249,154,147,186,188,199,159,61,9,1348
SAL50282,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,5,0,0,0,14
SAL50283,0,0,0,0,0,3,0,0,0,4,8,4,8,0,12,6,6,3,0,57
SAL50284,7,0,3,5,0,0,0,0,0,19,18,4,18,18,19,27,14,8,0,134
SAL50285,0,0,0,0,4,4,0,4,5,15,15,7,6,11,15,18,15,15,4,107
SAL50286,0,0,0,3,0,0,0,0,0,5,10,5,4,11,12,5,10,9,0,66
SAL50287,0,0,0,0,4,3,0,0,0,9,20,0,6,12,13,6,13,6,0,68
SAL50288,0,0,4,3,4,0,0,0,0,12,0,10,7,3,13,10,8,7,0,54
SAL50289,0,0,14,8,11,3,0,0,0,37,0,9,65,38,41,28,4,0,0,181
SAL50290,18,6,17,6,11,28,9,8,0,104,302,205,169,199,273,307,189,68,21,1737
