SAL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SAL50043,15,3,0,0,0,0,3,0,0,23
SAL50044,4,0,0,0,0,0,8,5,0,14
SAL50045,15,3,0,3,0,0,0,3,0,24
SAL50046,9,0,0,0,0,0,0,0,0,11
SAL50047,0,0,0,0,0,0,0,0,0,4
SAL50048,35,7,17,0,14,0,5,47,3,125
SAL50049,0,0,0,0,0,0,0,0,0,6
SAL50050,11,0,10,0,0,0,0,0,0,25
SAL50051,45,69,103,82,57,39,59,34,10,504
SAL50052,23,16,23,11,9,7,10,19,0,103
SAL50053,597,1198,787,617,786,518,331,488,88,5408
SAL50054,1811,2752,3206,2603,2288,1501,1622,1647,317,17752
SAL50055,359,755,908,1123,592,471,743,972,162,6086
SAL50056,54,42,35,23,15,17,21,31,4,236
SAL50057,3,0,0,3,0,0,0,0,0,8
SAL50058,0,0,0,0,0,0,0,0,0,0
SAL50059,7,4,6,5,3,6,6,3,0,41
SAL50060,0,0,0,0,0,0,0,0,0,0
SAL50061,803,1224,1561,1173,1211,884,875,1073,175,8984
SAL50062,12,0,0,4,0,0,0,3,0,16
SAL50063,9,4,3,0,0,5,4,5,0,24
SAL50064,9,4,0,0,0,0,4,0,0,20
SAL50065,10,7,8,0,6,0,3,6,0,38
SAL50066,29,29,27,13,22,19,18,6,3,174
SAL50067,17,46,85,0,9,3,152,27,4,336
SAL50068,115,136,137,60,98,70,47,49,22,731
SAL50069,489,857,1020,837,766,545,478,692,110,5794
SAL50070,0,0,0,0,0,0,0,0,0,0
SAL50071,11,4,0,3,4,4,5,4,0,39
SAL50072,6,0,0,6,0,0,3,0,0,15
SAL50073,7,3,0,4,0,0,0,0,0,12
SAL50074,7,0,0,0,0,0,0,3,0,16
SAL50075,40,56,95,56,41,48,48,41,9,424
SAL50076,12,15,41,10,8,0,12,15,0,104
SAL50077,37,34,19,11,25,12,10,18,5,160
SAL50078,704,1539,725,636,744,407,284,367,71,5476
SAL50079,240,671,194,176,237,143,60,104,22,1847
SAL50080,0,0,0,0,0,0,0,0,0,0
SAL50081,317,464,493,283,285,128,200,188,55,2412
SAL50082,143,224,224,212,186,172,105,172,21,1460
SAL50083,1162,2548,957,917,1054,532,365,514,110,8156
SAL50084,65,159,94,95,62,46,53,63,7,641
SAL50085,39,4,0,0,3,0,3,9,0,64
SAL50086,386,896,340,300,252,162,77,133,42,2589
SAL50087,0,0,0,0,0,0,0,0,0,0
SAL50088,16,4,5,0,0,0,0,5,0,33
SAL50089,15,6,0,0,0,0,4,3,0,31
SAL50090,328,733,785,620,516,322,481,567,91,4445
SAL50091,429,927,344,325,405,204,107,186,32,2952
SAL50092,231,273,312,150,241,123,94,113,34,1564
SAL50093,289,434,790,579,511,365,402,577,86,4044
SAL50094,7,6,16,6,10,4,5,6,0,65
SAL50095,20,18,19,12,18,5,5,13,3,111
SAL50096,0,0,0,0,3,3,0,3,0,15
SAL50097,14,6,9,0,9,0,6,4,3,55
SAL50098,500,890,842,533,628,390,327,448,65,4627
SAL50099,9,0,0,0,0,0,0,0,0,13
SAL50100,27,0,6,0,3,0,4,14,0,59
SAL50101,15,8,8,8,6,7,6,4,0,62
SAL50102,200,421,413,225,312,180,121,202,35,2108
SAL50103,32,27,20,13,20,12,3,7,0,138
SAL50104,69,98,131,100,69,59,75,93,15,712
SAL50105,367,710,646,447,439,256,388,359,62,3673
SAL50106,24,8,17,6,10,0,14,14,0,96
SAL50107,21,14,17,7,8,10,9,8,6,96
SAL50108,13,6,5,0,3,0,0,0,0,16
SAL50109,31,13,3,4,5,4,8,6,0,78
SAL50110,289,421,467,395,352,293,301,324,71,2920
SAL50111,224,766,456,724,347,394,380,663,110,4062
SAL50112,96,154,110,97,78,71,50,72,13,741
SAL50113,15,0,0,6,5,0,0,3,0,31
SAL50114,0,0,0,0,0,0,0,0,0,0
SAL50115,238,380,533,392,411,279,372,338,49,2989
SAL50116,69,40,52,38,28,23,43,44,9,344
SAL50117,313,684,481,302,441,239,166,241,31,2903
SAL50118,70,92,46,34,32,25,22,30,6,365
SAL50119,618,1080,331,337,453,274,96,189,31,3405
SAL50120,3,0,0,0,0,0,0,0,0,8
SAL50121,15,19,14,6,0,5,9,14,0,75
SAL50122,3,0,0,0,0,0,0,0,0,10
SAL50123,97,198,120,145,112,53,40,56,25,862
SAL50124,0,0,0,0,0,0,0,0,0,0
SAL50125,24,0,0,0,0,0,6,5,0,32
SAL50126,76,53,73,65,54,21,64,59,5,474
SAL50127,0,0,0,5,0,0,0,0,0,4
SAL50128,0,0,0,0,0,0,0,0,0,4
SAL50129,62,93,112,74,76,38,67,83,10,618
SAL50130,21,0,0,0,0,0,0,7,0,34
SAL50131,0,0,7,9,5,6,9,3,3,33
SAL50132,65,123,85,99,80,53,38,80,14,621
SAL50133,10,3,3,0,0,0,0,5,6,35
SAL50134,8,6,0,0,0,0,0,7,0,20
SAL50135,8,3,3,0,0,0,0,3,0,26
SAL50136,7,0,0,0,0,0,0,3,0,17
SAL50137,67,106,216,41,61,13,219,83,15,821
SAL50138,6,5,0,0,0,4,5,0,0,18
SAL50139,14,0,0,0,0,0,0,5,0,25
SAL50140,22,0,8,8,0,7,7,5,3,64
SAL50141,16,0,3,0,0,0,0,0,0,22
SAL50142,13,11,17,7,7,8,8,5,0,83
SAL50143,12,7,24,0,7,4,17,10,0,85
SAL50144,0,0,0,0,0,0,0,0,0,3
SAL50145,6,8,14,5,8,0,8,6,0,63
SAL50146,4,0,0,0,0,0,0,10,0,16
SAL50147,0,0,21,5,0,0,17,5,0,55
SAL50148,402,917,287,267,321,228,87,157,28,2691
SAL50149,5,0,0,0,0,0,0,0,0,11
SAL50150,0,0,0,0,0,0,0,0,0,0
SAL50151,26,5,0,6,0,5,7,11,0,55
SAL50152,3,0,5,0,5,6,0,3,0,19
SAL50153,12,5,0,0,0,0,0,4,0,26
SAL50154,0,0,0,0,0,0,0,0,0,0
SAL50155,0,0,6,0,0,0,3,7,0,13
SAL50156,3,5,0,0,0,0,0,0,0,12
SAL50157,19,19,14,6,0,0,0,8,0,56
SAL50158,20,5,0,0,4,0,0,3,0,32
SAL50159,152,170,528,210,236,187,473,263,49,2276
SAL50160,20,6,0,4,0,0,0,0,0,33
SAL50161,35,51,69,42,36,19,40,45,14,340
SAL50162,39,51,36,25,30,13,8,23,5,231
SAL50163,14,3,5,3,0,3,0,5,0,30
SAL50164,25,0,5,0,0,0,8,0,0,40
SAL50165,21,4,3,9,8,3,0,0,0,51
SAL50166,17,6,0,0,0,0,0,0,0,14
SAL50167,23,0,0,0,5,0,3,8,0,44
SAL50168,64,99,54,38,42,20,13,31,8,361
SAL50169,65,79,103,66,64,34,81,84,10,582
SAL50170,13,0,0,0,0,0,3,0,3,19
SAL50171,8,4,0,0,0,0,3,3,0,22
SAL50172,66,43,45,34,38,23,38,52,8,348
SAL50173,374,701,826,761,630,377,571,427,93,4763
SAL50174,14,14,15,8,10,4,0,8,0,63
SAL50175,7,7,0,0,5,3,4,0,0,23
SAL50176,8,0,0,0,0,0,0,0,0,11
SAL50177,74,17,34,20,15,11,6,36,6,217
SAL50178,143,369,118,113,113,71,38,74,13,1040
SAL50179,0,0,0,0,0,0,0,0,0,0
SAL50180,153,207,205,170,106,101,129,149,23,1252
SAL50181,93,102,108,53,68,50,35,26,22,559
SAL50182,3,3,0,0,3,0,0,0,0,13
SAL50183,186,275,298,266,214,165,109,234,33,1779
SAL50184,60,63,94,51,87,28,39,16,3,439
SAL50185,62,81,49,46,47,22,33,40,11,391
SAL50186,0,3,0,0,0,0,0,5,0,4
SAL50187,74,100,190,167,112,114,164,187,25,1137
SAL50188,22,14,23,11,12,8,21,9,3,127
SAL50189,70,32,28,33,25,22,29,49,4,285
SAL50190,305,457,255,281,248,156,104,189,57,2055
SAL50191,43,11,0,4,3,0,0,10,0,72
SAL50192,15,8,9,7,6,3,15,13,0,74
SAL50193,42,11,10,4,3,0,4,13,0,88
SAL50194,0,0,0,0,0,0,0,0,0,0
SAL50195,21,8,12,3,14,4,7,11,0,80
SAL50196,80,24,56,33,26,8,38,35,0,301
SAL50197,62,49,99,62,44,34,67,74,6,503
SAL50198,5,0,4,0,0,0,0,0,4,13
SAL50199,17,6,5,0,4,0,0,3,0,25
SAL50200,189,215,497,141,192,114,273,272,45,1934
SAL50201,436,1287,320,347,443,222,133,195,67,3440
SAL50202,0,0,0,0,0,0,0,0,0,0
SAL50203,34,0,0,0,9,0,6,3,0,53
SAL50204,12,14,8,7,13,4,9,4,3,80
SAL50205,3,0,4,0,0,0,4,0,0,17
SAL50206,4,0,0,0,0,0,0,0,0,6
SAL50207,300,349,562,294,361,189,334,308,62,2750
SAL50208,0,0,0,0,0,0,0,0,0,10
SAL50209,10,0,0,0,0,0,0,0,0,24
SAL50210,289,669,310,198,211,146,116,195,21,2148
SAL50211,9,0,0,0,0,3,3,0,0,8
SAL50212,11,0,0,0,0,0,4,3,0,16
SAL50213,24,4,0,0,0,0,0,0,0,32
SAL50214,10,3,0,0,5,0,0,0,0,26
SAL50215,15,0,0,0,0,0,0,0,0,17
SAL50216,0,0,0,0,0,0,0,0,0,0
SAL50217,47,54,76,37,54,20,38,45,3,385
SAL50218,0,3,0,0,0,0,0,0,0,7
SAL50219,6,0,3,0,0,0,0,0,0,14
SAL50220,0,0,0,0,0,0,0,3,0,3
SAL50221,413,563,293,217,341,203,80,110,39,2246
SAL50222,40,35,28,12,13,13,12,10,0,164
SAL50223,9,5,5,4,0,3,5,5,0,43
SAL50224,4,0,0,0,0,0,0,0,0,3
SAL50225,0,5,0,0,0,0,0,0,0,4
SAL50226,391,500,211,195,230,125,116,140,26,1926
SAL50227,46,123,80,46,75,23,12,18,0,432
SAL50228,91,119,119,99,69,71,51,108,13,739
SAL50229,545,920,1103,993,793,700,525,718,124,6416
SAL50230,788,1130,1735,1198,1230,759,1090,884,162,8977
SAL50231,723,967,464,473,510,276,191,315,82,4006
SAL50232,11,0,0,0,0,4,3,4,0,27
SAL50233,3,0,0,0,0,0,0,0,0,3
SAL50234,26,12,16,4,3,5,11,12,3,87
SAL50235,38,77,119,81,82,65,90,99,20,665
SAL50236,3,0,5,4,0,4,3,4,0,20
SAL50237,0,0,0,0,0,0,0,0,0,5
SAL50238,13,17,15,16,8,3,0,23,4,101
SAL50239,0,0,0,0,4,0,0,20,0,27
SAL50240,112,151,302,215,202,171,263,288,34,1733
SAL50241,14,0,0,0,0,0,0,0,0,22
SAL50242,5,6,0,0,0,0,0,0,0,4
SAL50243,17,0,0,0,0,6,0,0,0,31
SAL50244,0,0,0,0,0,0,5,0,0,7
SAL50245,1968,4203,2361,1886,2298,1527,1176,1389,265,17076
SAL50246,228,643,530,551,355,259,395,503,101,3570
SAL50247,0,0,0,0,0,0,0,0,0,0
SAL50248,27,30,45,27,32,20,26,31,3,238
SAL50249,0,3,0,0,0,0,0,0,0,8
SAL50250,26,40,10,10,18,8,6,5,0,124
SAL50251,100,142,200,155,94,98,138,178,18,1126
SAL50252,15,8,8,0,11,3,6,6,0,65
SAL50253,16,5,29,3,10,5,27,5,0,100
SAL50254,6,0,0,0,0,0,0,0,0,11
SAL50255,48,36,41,13,32,14,13,30,9,242
SAL50256,5,0,0,0,0,0,0,0,0,15
SAL50257,0,0,0,0,0,0,0,0,0,3
SAL50258,17,21,13,7,5,5,4,4,0,70
SAL50259,4,5,8,7,0,0,13,9,0,42
SAL50260,75,91,144,74,78,50,62,59,17,640
SAL50261,120,186,351,302,179,205,230,428,35,2025
SAL50262,597,1171,352,315,437,278,85,185,46,3466
SAL50263,410,1044,495,386,482,225,204,271,53,3567
SAL50264,9,4,5,3,4,0,0,8,0,40
SAL50265,64,78,63,32,34,30,17,25,3,349
SAL50266,58,23,22,18,19,9,25,23,0,194
SAL50267,20,39,23,15,23,7,6,20,4,158
SAL50268,0,0,0,0,0,0,0,0,0,0
SAL50269,434,759,677,499,594,343,217,320,70,3909
SAL50270,18,3,4,0,3,0,0,0,0,32
SAL50271,24,3,0,0,0,0,3,7,0,35
SAL50272,36,10,0,0,4,0,3,13,0,58
SAL50273,196,222,303,189,216,178,251,201,37,1797
SAL50274,46,53,96,35,50,32,41,47,9,412
SAL50275,9,15,24,5,4,3,38,13,4,115
SAL50276,35,8,19,10,6,7,18,10,0,105
SAL50277,417,772,622,476,548,273,312,346,62,3830
SAL50278,31,51,58,62,24,40,21,52,4,348
SAL50279,36,25,22,23,25,7,15,45,7,220
SAL50280,14,7,13,5,11,5,7,8,5,77
SAL50281,67,127,94,84,86,47,61,47,8,618
SAL50282,5,0,0,0,0,0,0,3,0,12
SAL50283,21,4,0,0,0,0,0,8,0,36
SAL50284,31,13,8,5,4,5,3,17,0,75
SAL50285,21,10,0,8,0,0,0,8,0,51
SAL50286,11,6,5,0,3,5,0,3,0,41
SAL50287,20,0,0,4,3,0,0,0,5,37
SAL50288,5,0,3,5,0,0,7,3,3,33
SAL50289,12,16,35,6,7,0,48,28,0,142
SAL50290,98,142,180,113,115,77,77,77,21,908
SAL50291,73,63,109,45,73,22,63,47,6,497
SAL50292,8,0,0,0,0,0,0,0,0,15
SAL50293,310,749,106,208,196,147,36,79,31,1865
SAL50294,693,1291,128,251,346,236,49,102,56,3167
SAL50295,9,3,29,18,15,8,23,20,13,141
SAL50296,779,1804,218,431,441,310,63,145,62,4254
SAL50297,630,1130,1145,1073,925,651,503,748,122,6920
SAL50298,0,0,0,0,0,0,0,0,0,5
SAL50299,3,8,3,0,4,0,0,0,0,17
SAL50300,0,0,0,0,0,0,0,0,0,0
SAL50301,356,749,694,556,545,380,440,466,101,4288
SAL50302,10,0,4,4,3,3,0,0,0,29
SAL50303,0,0,0,0,0,0,0,0,0,0
SAL50304,80,233,140,115,143,82,67,66,15,952
SAL50305,0,0,0,0,0,0,0,0,0,10
SAL50306,19,0,0,0,6,0,6,3,0,27
SAL50307,7,10,11,0,7,10,3,3,0,52
SAL50308,0,0,0,0,0,0,0,3,0,3
SAL50309,68,136,88,85,70,60,71,59,20,654
SAL50310,172,239,619,340,240,220,444,457,59,2790
SAL50311,0,0,0,0,0,0,9,6,0,24
SAL50312,33,56,57,41,40,31,31,39,5,334
SAL50313,12,20,19,9,21,8,6,11,3,97
SAL50314,3,4,4,0,0,0,0,8,0,19
SAL50315,8,4,0,0,0,0,0,0,0,14
SAL50316,1114,2975,721,844,947,551,254,414,119,7946
SAL50317,35,6,12,9,7,0,10,22,0,106
SAL50318,300,455,314,244,282,175,93,112,29,1996
SAL50319,5,0,0,3,4,0,0,3,0,13
SAL50320,90,140,215,183,113,113,172,169,34,1226
SAL50321,418,587,416,263,359,244,119,208,39,2665
SAL50322,43,27,59,28,21,11,35,38,5,273
SAL50323,9,3,37,4,0,0,47,9,0,112
SAL50324,216,680,470,377,330,207,187,261,62,2786
SAL50325,194,328,67,73,130,65,9,37,13,913
SAL50326,0,0,0,0,0,0,0,0,0,4
SAL50327,29,33,76,30,32,16,124,35,11,392
SAL50328,3,0,0,0,0,0,0,4,0,12
SAL50329,201,264,443,400,269,219,317,394,37,2546
SAL50330,36,16,41,21,15,11,30,26,5,195
SAL50331,29,4,0,0,5,0,7,17,0,66
SAL50332,10,0,5,7,0,0,0,0,0,27
SAL50333,12,0,16,5,16,4,10,14,0,78
SAL50334,22,39,47,19,23,17,40,22,3,234
SAL50335,24,8,6,6,13,6,20,14,0,95
SAL50336,0,0,0,0,0,0,0,0,0,0
SAL50337,5,9,5,0,0,0,0,3,0,30
SAL50338,107,101,73,65,65,28,16,49,10,523
SAL50339,4,0,0,0,0,0,0,3,0,6
SAL50340,70,35,48,30,31,29,32,45,10,337
SAL50341,17,37,80,4,17,0,74,11,0,241
SAL50342,0,3,5,0,0,0,0,6,0,11
SAL50343,781,1729,180,354,353,281,53,97,80,3906
SAL50344,12,0,4,0,0,0,3,3,0,25
SAL50345,6,0,0,0,0,0,3,10,0,13
SAL50346,5,3,3,0,0,4,0,4,0,22
SAL50347,173,230,197,128,129,92,73,142,18,1184
SAL50348,9,0,0,0,3,0,0,4,0,14
SAL50349,17,3,0,0,0,0,0,4,0,26
SAL50350,321,741,647,414,452,236,190,307,58,3375
SAL50351,16,0,0,0,0,0,5,3,0,24
SAL50352,83,7,15,15,12,6,27,35,4,195
SAL50353,133,609,67,467,139,209,49,156,27,1864
SAL50354,26,27,18,16,16,9,9,6,5,127
SAL50355,13,9,14,5,9,4,18,3,0,76
SAL50356,7,10,7,3,0,0,5,5,0,51
SAL50357,30,23,20,12,29,16,22,31,3,189
SAL50358,4,0,0,3,0,0,0,0,0,9
SAL50359,25,14,9,7,14,4,13,11,5,97
SAL50360,5,0,0,0,0,0,0,0,0,5
SAL50361,0,0,0,0,0,0,0,0,0,7
SAL50362,7,0,0,0,3,0,0,0,0,11
SAL50363,14,49,81,0,8,0,114,33,4,299
SAL50364,80,33,58,35,40,33,27,66,7,367
SAL50365,15,0,0,4,0,0,0,7,0,39
SAL50366,9,4,0,0,0,0,0,0,0,16
SAL50367,449,837,587,469,580,358,153,277,51,3756
SAL50368,12,10,17,12,15,7,6,11,0,85
SAL50369,8,0,0,0,0,0,0,0,0,16
SAL50370,6,16,32,0,6,0,48,8,0,119
SAL50371,104,376,40,94,76,54,16,45,11,812
SAL50372,15,15,10,5,10,0,11,15,0,81
SAL50373,6,0,0,4,3,3,3,0,0,19
SAL50374,419,999,56,144,220,141,23,47,39,2090
SAL50375,97,53,55,22,57,28,44,42,6,397
SAL50376,417,911,833,634,570,430,406,538,69,4800
SAL50377,42,7,6,4,0,0,11,14,0,79
SAL50378,81,128,188,51,80,19,64,61,7,687
SAL50379,0,0,0,0,0,0,0,0,0,0
SAL50380,93,154,62,84,66,17,27,48,9,551
SAL50381,4,6,0,0,4,0,0,0,0,15
SAL50382,49,19,16,4,13,8,38,18,5,182
SAL50383,5,4,0,0,0,0,0,0,0,8
SAL50384,480,790,530,456,561,374,249,369,62,3869
SAL50385,5,0,0,0,0,0,0,0,0,10
SAL50386,34,31,45,23,32,17,41,35,3,269
SAL50387,54,56,63,28,49,29,37,39,10,366
SAL50388,76,17,18,10,13,0,15,17,0,169
SAL50389,101,111,149,105,149,60,69,59,22,837
SAL50390,314,607,206,184,205,122,63,88,28,1811
SAL50391,4,4,5,0,0,0,0,0,0,16
SAL50392,3,0,0,3,0,0,0,0,0,11
SAL50393,14,0,0,0,0,0,0,0,0,20
SAL50394,7,0,0,0,0,0,0,0,0,10
SAL50395,0,0,0,0,0,0,0,0,0,5
SAL50396,249,387,541,360,271,284,274,299,55,2711
SAL50397,278,445,491,475,369,248,346,270,31,2965
SAL50398,0,0,3,0,9,0,0,5,0,26
SAL50399,36,14,20,7,13,12,15,31,0,150
SAL50400,66,68,101,50,62,39,52,59,12,499
SAL50401,7,10,3,0,0,0,3,6,0,30
SAL50402,22,0,3,6,7,0,4,5,5,48
SAL50403,152,138,143,113,107,52,61,118,19,896
SAL50404,115,233,169,116,105,82,51,132,13,1014
SAL50405,161,332,120,253,161,59,57,91,22,1254
SAL50406,7,0,0,0,0,0,0,0,0,8
SAL50407,6,9,8,9,3,3,0,6,0,37
SAL50408,6,4,0,0,0,0,0,0,0,17
SAL50409,1524,3194,1515,1336,1633,1127,531,960,215,12028
SAL50410,4,0,0,0,0,0,4,0,0,7
SAL50411,15,13,14,10,16,7,5,10,0,93
SAL50412,23,12,14,3,10,3,3,13,0,73
SAL50413,4,7,0,0,3,0,4,3,0,22
SAL50414,14,0,10,0,5,0,0,27,0,61
SAL50415,224,418,233,242,260,133,69,126,28,1733
SAL50416,70,79,107,64,59,57,55,82,16,598
SAL50417,23,8,0,0,3,0,0,5,0,37
SAL50418,0,0,0,0,0,0,0,0,0,3
SAL50419,141,150,207,131,123,80,157,207,21,1221
SAL50420,6,3,5,3,4,0,0,0,0,17
SAL50421,20,5,3,3,8,4,4,7,0,45
SAL50422,0,0,0,0,0,0,0,0,0,0
SAL50423,791,1719,531,518,566,388,130,273,68,4980
SAL50424,47,17,25,19,20,0,24,28,4,187
SAL50425,3,3,8,4,0,0,0,5,0,19
SAL50426,82,141,135,129,88,64,63,59,16,783
SAL50427,0,0,0,0,0,0,0,4,0,4
SAL50428,12,18,10,0,12,0,8,5,0,73
SAL50429,10,0,0,0,0,0,0,4,0,20
SAL50430,14,9,4,0,5,0,0,3,0,37
SAL50431,238,322,424,402,290,254,259,318,50,2556
SAL50432,6,0,0,0,0,0,0,0,0,12
SAL50433,8,0,0,0,0,0,0,0,0,10
SAL50434,12,3,0,0,0,0,0,0,0,14
SAL50435,14,21,19,13,17,8,22,0,0,113
SAL50436,34,11,10,10,14,5,5,9,3,106
SAL50437,24,15,16,17,10,9,15,13,0,117
SAL50438,1211,2480,942,773,1024,580,234,406,92,7744
SAL50439,0,0,0,0,0,0,0,0,0,0
SAL50440,7,0,0,0,0,0,0,0,0,7
SAL50441,424,601,595,348,271,270,101,313,50,2986
SAL50442,65,77,53,37,25,4,28,29,0,320
SAL50443,12,0,0,0,3,0,0,0,0,17
SAL50444,0,0,0,0,0,0,0,0,0,0
SAL50445,5,0,0,0,0,0,0,5,0,14
SAL50446,22,34,33,38,20,6,42,28,7,230
SAL50447,12,17,0,0,4,0,0,0,0,37
SAL50448,0,3,3,4,0,0,0,6,0,11
SAL50449,11,3,0,0,0,0,0,0,0,19
SAL50450,20,3,0,3,4,0,3,5,0,51
SAL50451,10,3,3,0,4,0,0,0,0,17
SAL50452,163,257,321,247,198,183,154,256,23,1792
SAL50453,225,596,536,439,383,277,330,416,69,3271
SAL50454,45,54,60,43,52,33,42,41,15,388
SAL50455,12,0,0,0,0,0,0,5,0,20
SAL50456,3,0,0,0,0,0,0,0,0,3
SAL50457,746,1472,316,398,399,296,74,176,46,3932
SAL50458,13,9,0,0,0,0,7,8,0,42
SAL50459,13,0,4,0,0,0,3,7,0,31
SAL50460,0,0,0,0,0,0,0,0,0,0
SAL50461,0,0,0,0,0,0,0,0,0,4
SAL50462,9,0,5,3,4,0,0,3,0,27
SAL50463,12,0,0,0,0,0,0,0,0,8
SAL50464,1116,2592,741,825,845,397,281,460,103,7359
SAL50465,61,10,9,6,11,6,5,14,0,115
SAL50466,4,0,0,0,0,0,0,0,0,7
SAL50467,7,3,14,10,8,6,20,10,3,81
SAL50468,769,2000,658,697,664,366,261,437,86,5935
SAL50469,12,0,0,0,0,0,0,0,6,12
SAL50470,8,0,0,4,0,0,4,0,0,16
SAL50471,34,3,3,4,7,3,0,7,0,67
SAL50472,276,432,711,479,440,436,460,512,64,3810
SAL50473,176,330,308,218,246,150,118,175,35,1758
SAL50474,273,582,387,274,346,184,99,155,29,2328
SAL50475,18,0,0,0,0,0,0,4,0,30
SAL50476,171,279,313,301,242,174,133,162,23,1805
SAL50477,38,38,17,18,25,10,25,36,3,206
SAL50478,3,0,0,0,5,0,0,0,0,12
SAL50479,8,0,0,0,0,0,0,0,0,4
SAL50480,30,3,4,9,8,3,6,0,0,64
SAL50481,28,17,28,29,20,21,10,13,3,165
SAL50482,1035,1413,1852,1675,1626,1178,1161,1228,220,11385
SAL50483,15,0,0,0,0,0,0,3,0,23
SAL50484,211,418,280,204,229,126,100,178,29,1780
SAL50485,0,6,7,0,3,0,6,0,0,22
SAL50486,21,25,16,8,15,8,5,9,4,113
SAL50487,20,5,12,4,3,0,15,17,0,77
SAL50488,0,0,0,0,0,0,0,0,0,0
SAL50489,3,0,0,0,0,0,0,0,0,6
SAL50490,3,0,0,0,0,0,0,0,0,3
SAL50491,132,245,289,260,167,193,177,150,25,1657
SAL50492,161,184,181,108,112,67,100,126,20,1062
SAL50493,0,0,0,0,0,0,0,0,0,0
SAL50494,0,3,11,8,0,0,0,5,0,24
SAL50495,0,0,0,0,0,0,0,0,0,0
SAL50496,6,0,4,0,0,0,0,0,0,13
SAL50497,380,434,422,319,302,176,117,277,62,2492
SAL50498,24,23,29,11,17,5,12,11,3,131
SAL50499,8,3,5,0,3,0,0,3,0,26
SAL50500,207,330,408,282,250,179,193,216,34,2098
SAL50501,31,21,17,5,14,0,3,14,0,115
SAL50502,197,496,293,271,259,156,154,201,24,2046
SAL50503,0,0,0,0,0,0,3,4,0,7
SAL50504,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,0,0,0,0,0,4
SAL50508,68,160,46,120,53,22,15,33,13,524
SAL50509,0,0,0,0,0,0,0,0,0,0
SAL50510,888,1876,225,351,477,258,67,141,58,4337
SAL50511,0,0,0,0,0,0,0,0,0,0
SAL50512,33,23,20,13,12,5,6,23,3,137
SAL50513,16,0,4,0,0,5,3,12,4,43
SAL50514,0,0,0,0,0,0,0,3,0,3
SAL50515,9,0,6,0,0,0,3,4,0,16
SAL50516,12,33,83,0,8,0,79,15,0,232
SAL50517,68,71,96,40,66,28,38,60,11,484
SAL50518,576,820,1242,709,914,534,745,607,123,6276
SAL50519,28,68,246,14,21,0,178,113,5,682
SAL50520,81,12,11,9,15,0,15,55,0,206
SAL50521,18,41,51,5,9,4,51,14,0,191
SAL50522,750,1957,538,617,457,282,143,280,71,5098
