SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50060,0,0,0,0,0,0,0,0,0,0
SAL50061,3546,2618,2363,2234,2481,2824,1544,658,198,18459
SAL50062,4,0,0,7,0,5,6,7,0,33
SAL50063,0,5,0,3,4,16,18,12,0,58
SAL50064,13,0,3,9,6,11,11,3,0,54
SAL50065,4,4,11,3,13,15,5,0,0,60
SAL50066,89,30,44,52,55,59,34,25,0,383
SAL50067,0,27,74,69,65,39,3,0,0,275
SAL50068,203,204,165,148,193,219,155,62,18,1377
SAL50069,3127,1458,2262,2018,1239,753,365,107,19,11351
SAL50070,0,0,0,0,0,0,0,0,0,0
SAL50071,19,3,7,12,19,7,6,4,0,72
SAL50072,0,0,0,0,0,4,5,0,0,17
SAL50073,0,5,0,0,3,0,3,0,0,16
SAL50074,8,0,8,4,0,10,5,0,0,47
SAL50075,145,141,75,106,165,131,105,69,12,940
SAL50076,0,3,13,10,12,8,0,0,0,45
SAL50077,42,37,13,35,54,50,41,30,3,302
SAL50078,1892,1056,1448,1619,1520,1392,1069,566,267,10837
SAL50079,705,492,368,512,540,450,413,248,101,3832
SAL50080,0,0,0,0,0,0,0,0,0,0
SAL50081,1375,462,753,922,636,264,65,4,0,4496
SAL50082,650,359,347,377,405,397,411,264,73,3272
SAL50083,2618,1476,2361,2434,2102,1780,1346,740,428,15288
SAL50084,201,119,204,162,214,212,154,104,41,1400
SAL50085,20,3,11,20,24,24,14,5,3,123
SAL50086,935,534,602,749,788,678,551,336,147,5315
SAL50087,0,0,0,0,0,0,0,0,0,0
SAL50088,12,4,0,6,7,16,7,0,0,54
SAL50089,5,9,6,9,13,0,0,0,0,53
SAL50090,1773,1166,1743,1568,1031,735,648,330,101,9092
SAL50091,1085,604,751,915,789,685,504,271,114,5716
SAL50092,582,421,222,383,536,459,272,144,29,3038
SAL50093,1745,1140,1197,1221,1131,1283,930,356,114,9112
SAL50094,24,21,0,21,23,19,9,3,5,128
SAL50095,5,5,24,8,3,4,9,0,0,58
SAL50096,10,4,3,5,9,8,5,6,0,56
SAL50097,23,9,11,12,14,23,22,8,0,126
SAL50098,1969,1085,1350,1447,1224,847,489,172,53,8617
SAL50099,8,0,8,0,0,10,3,0,0,41
SAL50100,22,15,12,5,21,15,14,10,0,109
SAL50101,30,15,8,18,37,26,14,4,0,157
SAL50102,801,432,652,663,500,513,380,123,37,4094
SAL50103,32,37,13,15,36,65,45,19,3,264
SAL50104,243,166,213,219,199,221,156,60,29,1514
SAL50105,1066,828,1425,1119,847,722,559,260,132,6959
SAL50106,36,19,20,27,28,44,18,10,9,203
SAL50107,27,22,11,15,36,27,9,10,0,159
SAL50108,3,8,3,3,0,5,4,0,0,23
SAL50109,36,13,4,23,16,15,20,10,0,143
SAL50110,1427,892,870,978,779,576,282,105,20,5929
SAL50111,889,1911,2195,1058,603,467,543,728,656,9051
SAL50112,220,160,169,174,212,210,203,85,34,1463
SAL50113,8,0,7,4,9,6,4,0,0,38
SAL50114,0,0,0,0,0,0,0,0,0,0
SAL50115,1752,777,1000,1195,757,392,221,86,12,6196
SAL50116,134,80,69,110,119,173,242,126,54,1109
SAL50117,969,707,639,680,841,851,638,396,186,5892
SAL50118,115,90,49,71,113,124,88,44,18,713
SAL50119,1081,813,667,846,974,968,865,485,262,6961
SAL50120,0,5,0,0,6,0,4,0,0,20
SAL50121,27,17,6,20,39,39,56,19,0,225
SAL50122,3,0,3,3,0,0,6,0,0,18
SAL50123,419,148,300,296,176,133,52,17,4,1540
SAL50124,0,0,0,0,0,0,0,0,0,0
SAL50125,9,8,14,3,9,8,0,4,0,59
SAL50126,206,119,90,113,167,201,188,97,28,1215
SAL50127,0,0,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,0,0,0,0,0,4
SAL50129,221,118,142,168,182,201,197,58,14,1296
SAL50130,8,5,7,10,13,13,3,0,0,58
SAL50131,16,15,3,9,15,9,14,0,0,86
SAL50132,171,119,110,135,191,190,205,151,108,1381
SAL50133,13,4,3,8,5,22,15,7,0,85
SAL50134,4,0,7,0,5,12,7,6,0,39
SAL50135,15,3,6,10,3,11,3,0,0,45
SAL50136,6,0,5,0,0,17,5,0,0,40
SAL50137,278,84,136,151,146,189,128,54,13,1178
SAL50138,11,0,0,9,4,3,4,0,0,32
SAL50139,3,0,3,0,9,14,3,0,0,42
SAL50140,15,10,7,10,19,33,32,9,3,128
SAL50141,20,4,3,3,17,0,13,0,0,60
SAL50142,39,20,5,11,47,46,36,9,0,217
SAL50143,52,19,20,32,41,22,0,4,0,182
SAL50144,3,0,0,0,0,0,0,0,0,5
SAL50145,18,18,0,18,20,29,24,5,0,149
SAL50146,3,0,7,0,9,9,0,3,0,32
SAL50147,0,5,16,11,11,4,0,0,0,48
SAL50148,1020,718,497,718,770,681,562,408,300,5684
SAL50149,3,0,4,3,3,5,4,0,0,22
SAL50150,0,0,0,0,0,0,0,0,0,0
SAL50151,17,0,10,10,23,24,34,15,0,143
SAL50152,7,12,7,0,12,13,3,0,0,48
SAL50153,3,4,4,0,5,4,4,4,0,31
SAL50154,0,0,0,0,0,4,0,0,0,4
SAL50155,9,4,0,3,5,3,4,0,0,37
SAL50156,9,0,4,6,0,5,6,0,0,29
SAL50157,13,6,9,8,20,19,23,9,0,110
SAL50158,12,3,8,10,11,6,16,7,0,71
SAL50159,1113,578,741,685,633,634,363,109,21,4872
SAL50160,9,3,0,8,6,12,16,0,0,53
SAL50161,105,58,67,97,115,189,192,74,15,910
SAL50162,95,53,12,60,79,79,61,34,6,475
SAL50163,14,3,0,7,21,14,5,8,0,75
SAL50164,18,0,0,6,21,12,8,3,0,84
SAL50165,14,3,8,14,6,12,29,8,5,104
SAL50166,5,0,0,6,0,4,3,3,0,33
SAL50167,27,4,7,15,16,10,11,0,0,91
SAL50168,127,70,81,83,93,90,68,43,15,669
SAL50169,262,111,102,168,166,230,167,75,10,1304
SAL50170,5,0,9,0,9,0,0,0,0,28
SAL50171,14,5,3,5,3,7,4,0,0,38
SAL50172,153,73,67,103,120,165,125,97,30,938
SAL50173,2423,868,2444,1698,693,351,136,42,0,8665
SAL50174,22,10,14,20,12,21,12,11,0,113
SAL50175,7,0,4,3,4,11,14,3,0,40
SAL50176,3,0,8,3,8,3,0,0,0,29
SAL50177,63,24,43,38,48,79,83,37,6,424
SAL50178,426,289,276,276,311,238,188,90,60,2153
SAL50179,0,0,0,0,0,0,0,0,0,0
SAL50180,493,254,233,296,428,507,607,276,76,3168
SAL50181,191,134,75,139,182,156,110,36,7,1025
SAL50182,0,5,0,3,3,6,3,0,0,25
SAL50183,635,310,330,456,477,459,688,521,391,4269
SAL50184,217,103,65,139,124,87,24,6,0,759
SAL50185,213,90,137,108,142,127,101,53,12,993
SAL50186,0,0,0,0,3,4,0,3,0,17
SAL50187,825,395,471,438,350,261,169,50,6,2968
SAL50188,43,30,21,13,48,46,43,8,4,249
SAL50189,119,58,57,75,95,109,99,75,38,732
SAL50190,747,451,638,555,554,472,260,90,30,3797
SAL50191,26,7,15,11,20,17,8,4,0,109
SAL50192,40,15,22,19,21,40,37,14,4,211
SAL50193,47,12,19,31,26,22,19,0,0,173
SAL50194,0,0,0,0,0,0,0,0,0,0
SAL50195,25,11,8,17,19,28,18,4,0,125
SAL50196,142,57,65,85,79,93,130,69,24,742
SAL50197,216,153,129,120,168,169,142,82,17,1195
SAL50198,3,0,3,3,3,6,4,4,0,27
SAL50199,11,3,0,3,11,15,4,4,0,56
SAL50200,645,375,590,579,400,305,82,18,0,2990
SAL50201,1493,856,605,1091,984,863,1086,681,376,8030
SAL50202,0,0,0,0,0,0,0,0,0,0
SAL50203,13,8,9,11,17,11,10,0,0,82
SAL50204,31,9,9,26,15,37,28,6,0,159
SAL50205,3,3,5,0,9,5,7,5,0,29
SAL50206,0,0,0,0,0,0,0,0,0,6
SAL50207,1077,782,726,653,862,747,524,201,38,5605
SAL50208,0,0,0,0,0,0,0,0,0,0
SAL50209,8,0,9,4,3,15,7,3,0,48
SAL50210,429,369,455,458,559,628,576,303,179,3948
SAL50211,11,0,5,4,0,0,0,0,0,19
SAL50212,5,8,0,4,3,9,0,4,0,26
SAL50213,12,3,3,16,6,4,13,4,0,61
SAL50214,11,0,4,7,4,10,4,0,3,51
SAL50215,8,0,0,3,0,13,8,0,0,30
SAL50216,0,0,0,0,0,0,0,0,0,0
SAL50217,196,77,69,129,109,101,68,33,9,788
SAL50218,0,0,0,3,0,0,0,3,0,11
SAL50219,8,26,130,93,46,25,9,9,0,340
SAL50220,0,0,0,0,0,0,0,0,0,3
SAL50221,867,554,329,576,766,606,291,67,8,4071
SAL50222,70,26,23,48,62,25,33,11,0,309
SAL50223,20,16,6,17,24,13,18,3,0,114
SAL50224,8,5,3,0,8,0,0,0,0,22
SAL50225,0,0,0,0,0,0,0,0,0,0
SAL50226,245,322,617,444,353,365,302,107,28,2779
SAL50227,118,79,190,122,68,55,23,18,0,677
SAL50228,173,155,175,157,228,280,351,228,86,1838
SAL50229,3198,2092,1909,1984,1991,1128,755,338,72,13473
SAL50230,5466,2062,3454,3155,1938,1432,880,373,120,18878
SAL50231,1315,628,994,879,815,621,359,99,25,5730
SAL50232,4,3,12,3,8,11,11,0,0,56
SAL50233,0,0,0,0,0,4,0,0,0,4
SAL50234,48,16,24,23,24,26,25,9,3,198
SAL50235,291,169,224,210,257,202,201,263,165,1975
SAL50236,5,5,3,0,4,8,11,7,0,38
SAL50237,0,0,0,0,5,0,3,0,0,11
SAL50238,145,79,89,66,56,46,15,0,0,500
SAL50239,4,14,9,0,0,0,0,0,0,26
SAL50240,911,568,582,592,510,578,457,191,58,4442
SAL50241,8,4,8,10,5,0,0,0,0,35
SAL50242,0,0,4,0,0,0,0,0,0,5
SAL50243,10,6,6,9,7,11,4,3,0,57
SAL50244,11,0,5,0,3,5,0,0,0,26
SAL50245,6690,4921,4369,5463,4948,4010,2615,1066,415,34504
SAL50246,1069,1015,2118,1056,539,476,364,182,67,6875
SAL50247,0,0,0,0,0,0,0,0,0,4
SAL50248,75,42,60,48,77,107,99,23,9,538
SAL50249,0,0,0,0,3,0,0,0,0,0
SAL50250,0,0,8,5,0,0,0,0,0,18
SAL50251,528,275,255,320,391,341,317,149,39,2606
SAL50252,18,18,11,7,22,32,17,15,0,136
SAL50253,0,10,39,10,11,8,3,0,0,79
SAL50254,0,3,0,4,9,3,4,3,0,25
SAL50255,71,55,55,51,70,75,48,13,8,444
SAL50256,4,5,0,3,6,3,4,0,0,29
SAL50257,0,0,0,0,0,0,0,0,0,0
SAL50258,20,8,12,10,18,25,9,7,6,112
SAL50259,19,13,9,10,19,22,21,6,0,118
SAL50260,238,166,103,150,232,142,93,40,3,1163
SAL50261,877,605,726,611,612,697,533,319,176,5155
SAL50262,1579,734,473,1006,1000,819,1042,492,185,7330
SAL50263,966,778,1461,1086,784,670,594,280,125,6733
SAL50264,22,8,4,10,3,13,25,12,0,103
SAL50265,133,100,63,68,98,116,109,53,16,754
SAL50266,66,33,48,69,47,64,62,23,11,407
SAL50267,23,38,60,40,29,44,25,15,11,281
SAL50268,0,0,0,0,0,0,0,0,0,0
SAL50269,1554,1054,718,1028,1234,872,493,185,40,7178
SAL50270,11,3,0,7,9,10,9,3,0,49
SAL50271,19,0,12,10,9,10,0,4,0,57
SAL50272,25,12,10,20,14,15,3,0,0,103
SAL50273,836,475,485,532,484,443,412,243,64,3968
SAL50274,115,290,537,424,289,187,96,32,9,1987
SAL50275,8,10,34,20,13,16,0,0,0,103
SAL50276,20,20,15,20,16,36,18,15,0,171
SAL50277,1893,731,1285,1379,882,637,412,168,36,7419
SAL50278,61,89,73,54,80,82,115,91,49,689
SAL50279,61,23,55,36,49,92,92,53,16,480
SAL50280,28,17,17,16,25,31,27,9,0,164
SAL50281,248,153,148,190,187,200,157,65,9,1355
SAL50282,0,5,0,4,6,7,0,0,0,18
SAL50283,8,4,8,0,12,6,9,5,0,60
SAL50284,13,3,18,20,19,22,19,5,0,122
SAL50285,15,12,10,7,16,23,16,9,4,109
SAL50286,12,5,4,11,12,11,10,6,3,68
SAL50287,20,3,6,16,13,6,15,6,0,72
SAL50288,0,3,0,3,8,12,3,7,0,37
SAL50289,0,0,22,12,12,5,0,0,0,41
SAL50290,303,222,183,213,297,325,200,66,24,1821
SAL50291,190,109,101,120,168,174,125,42,9,1034
SAL50292,11,0,0,9,0,3,4,4,0,32
SAL50293,683,469,357,529,541,442,339,211,61,3638
SAL50294,1205,973,382,582,1121,998,646,575,319,6805
SAL50295,53,29,32,36,46,60,56,19,4,330
SAL50296,1311,1228,1123,970,1150,1061,1032,916,452,9248
SAL50297,2984,1776,2462,2172,1774,1468,841,360,71,13904
SAL50298,0,0,0,0,0,0,0,0,0,3
SAL50299,0,0,0,0,0,0,4,0,0,8
SAL50300,0,0,0,0,0,0,0,0,0,0
SAL50301,1526,1172,1774,1345,1032,838,618,357,197,8864
SAL50302,10,7,3,5,5,5,3,6,0,49
SAL50303,0,0,0,0,0,0,0,0,0,0
SAL50304,148,274,471,218,161,125,84,36,6,1521
SAL50305,0,6,10,0,0,0,0,0,0,15
SAL50306,6,7,3,0,5,14,9,3,3,42
SAL50307,20,5,9,17,9,21,21,3,0,108
SAL50308,0,3,0,5,3,4,3,0,0,17
SAL50309,281,208,317,328,272,195,150,60,14,1821
SAL50310,1391,809,837,839,928,1053,1053,524,169,7599
SAL50311,10,8,3,6,10,8,9,0,0,55
SAL50312,136,72,90,92,81,87,66,53,23,694
SAL50313,27,23,20,17,31,45,40,7,0,205
SAL50314,7,4,0,7,4,6,11,3,5,49
SAL50315,3,0,0,0,4,6,0,3,0,15
SAL50316,1941,1868,2757,2117,1549,1519,1513,901,628,14786
SAL50317,69,28,26,34,48,35,32,15,0,280
SAL50318,581,483,260,411,545,691,453,193,51,3675
SAL50319,0,4,0,0,4,5,0,6,0,16
SAL50320,740,460,395,415,485,550,675,464,170,4366
SAL50321,839,602,488,621,780,803,718,379,108,5345
SAL50322,106,71,47,66,101,114,68,28,12,604
SAL50323,3,0,9,5,8,4,0,0,0,34
SAL50324,921,628,1114,871,701,540,457,371,96,5698
SAL50325,352,223,156,246,307,216,143,62,30,1751
SAL50326,5,3,0,0,3,0,0,3,0,11
SAL50327,123,60,63,82,132,154,117,35,4,773
SAL50328,0,0,0,0,0,0,5,0,0,13
SAL50329,1159,740,856,733,844,972,792,426,164,6696
SAL50330,95,52,33,54,59,53,47,21,7,420
SAL50331,41,15,16,22,23,16,8,0,0,136
SAL50332,12,0,3,9,12,7,12,5,3,56
SAL50333,18,6,10,19,19,33,14,5,0,126
SAL50334,68,47,38,52,118,156,134,49,5,664
SAL50335,20,20,25,22,18,35,26,15,0,179
SAL50336,0,0,0,0,0,0,0,0,0,0
SAL50337,7,3,8,3,21,14,9,0,4,70
SAL50338,30,33,63,39,24,31,23,3,0,245
SAL50339,0,0,0,0,3,6,0,0,0,9
SAL50340,98,62,75,71,74,94,118,68,40,701
SAL50341,20,11,38,33,17,18,9,3,0,143
SAL50342,0,4,7,0,0,0,0,0,0,14
SAL50343,1216,989,895,824,1063,1082,919,550,210,7750
SAL50344,8,5,11,5,13,3,4,0,0,55
SAL50345,0,3,7,0,4,6,0,0,0,19
SAL50346,4,0,3,7,13,10,13,0,0,54
SAL50347,653,163,217,494,376,288,185,74,23,2482
SAL50348,5,3,0,0,8,3,0,3,0,19
SAL50349,0,3,3,6,7,9,0,0,0,31
SAL50350,1321,618,1242,1036,740,618,541,270,68,6456
SAL50351,9,7,7,3,4,11,3,4,3,43
SAL50352,114,45,40,63,62,72,62,44,4,505
SAL50353,304,1781,743,353,145,157,251,182,52,3975
SAL50354,37,32,26,32,45,39,44,12,7,272
SAL50355,28,13,9,13,20,28,23,14,0,153
SAL50356,11,4,8,3,24,28,19,3,0,97
SAL50357,71,33,37,42,60,91,85,31,7,456
SAL50358,11,0,7,3,4,4,4,0,0,27
SAL50359,4,11,9,5,16,22,52,11,0,140
SAL50360,3,0,0,0,0,3,8,0,0,26
SAL50361,15,0,14,7,0,5,0,0,0,45
SAL50362,0,0,0,0,0,3,0,5,0,12
SAL50363,0,15,53,36,23,5,0,0,0,139
SAL50364,149,156,111,80,90,91,85,45,24,824
SAL50365,12,4,3,6,12,9,12,4,0,62
SAL50366,3,3,0,3,0,8,0,0,0,20
SAL50367,1210,988,792,797,1128,1036,543,264,67,6834
SAL50368,23,18,16,12,20,37,20,11,0,157
SAL50369,9,0,0,3,4,5,0,3,0,32
SAL50370,0,3,6,6,6,6,3,0,0,32
SAL50371,272,221,180,219,230,177,147,90,17,1551
SAL50372,13,17,14,9,45,49,39,15,3,190
SAL50373,6,3,4,0,4,15,12,6,5,58
SAL50374,821,652,261,452,657,584,565,319,92,4398
SAL50375,186,78,120,133,81,99,63,42,25,826
SAL50376,2442,1355,1186,1460,1421,955,608,293,48,9770
SAL50377,22,21,16,10,25,30,11,0,3,150
SAL50378,358,108,163,235,223,156,35,13,0,1282
SAL50379,0,0,0,0,0,0,0,0,0,0
SAL50380,302,146,184,147,111,95,38,20,7,1051
SAL50381,12,0,4,3,3,0,0,3,0,26
SAL50382,45,30,34,28,41,53,34,31,0,292
SAL50383,0,0,3,4,10,5,5,4,4,31
SAL50384,1637,1235,711,1158,1266,685,386,214,54,7347
SAL50385,0,0,0,0,3,4,3,4,0,15
SAL50386,124,68,64,65,86,69,63,42,11,588
SAL50387,102,80,60,63,129,129,77,22,10,669
SAL50388,68,28,27,48,51,63,48,26,12,371
SAL50389,323,203,184,190,226,237,154,53,10,1591
SAL50390,763,377,237,492,568,521,452,255,58,3725
SAL50391,3,0,0,3,3,5,20,0,0,41
SAL50392,0,0,0,4,6,0,0,0,0,9
SAL50393,3,0,4,0,12,9,0,0,0,33
SAL50394,3,0,0,0,3,5,3,0,0,18
SAL50395,0,0,0,0,8,3,0,0,0,8
SAL50396,1445,706,692,859,910,878,1096,500,63,7143
SAL50397,1447,584,1377,1154,504,253,143,26,6,5507
SAL50398,4,8,6,4,5,0,5,0,0,24
SAL50399,81,36,22,34,47,73,28,9,0,327
SAL50400,228,127,95,142,166,128,53,23,3,973
SAL50401,7,3,0,7,15,11,17,4,0,56
SAL50402,24,4,5,17,17,13,8,0,0,93
SAL50403,112,66,127,93,101,140,135,65,8,849
SAL50404,432,272,191,308,318,370,422,271,108,2691
SAL50405,650,374,554,418,430,413,271,87,24,3222
SAL50406,3,3,0,4,0,0,0,0,0,16
SAL50407,9,9,10,6,16,16,16,6,0,82
SAL50408,8,5,0,5,5,8,4,0,0,28
SAL50409,3718,2777,2968,3120,3322,3065,2532,1847,815,24169
SAL50410,3,4,5,0,4,0,0,0,0,13
SAL50411,32,16,15,25,31,37,25,9,0,195
SAL50412,40,8,10,23,28,20,23,4,0,161
SAL50413,0,4,0,0,0,0,0,0,0,9
SAL50414,6,9,12,5,6,10,5,0,0,68
SAL50415,878,297,537,633,495,306,114,21,4,3291
SAL50416,224,116,111,142,170,251,239,125,24,1393
SAL50417,14,0,4,11,7,15,0,0,0,53
SAL50418,0,0,0,0,0,5,0,0,0,5
SAL50419,553,282,281,359,357,420,421,259,100,3035
SAL50420,12,0,10,5,3,9,7,0,0,51
SAL50421,10,10,7,5,11,18,13,5,0,81
SAL50422,0,0,0,0,0,0,0,0,0,0
SAL50423,1702,1041,1530,1476,1271,1021,663,335,164,9205
SAL50424,86,40,26,58,56,40,90,41,10,436
SAL50425,17,3,7,10,6,7,7,0,0,52
SAL50426,392,180,245,210,233,156,130,44,12,1605
SAL50427,3,0,0,0,3,0,0,0,0,7
SAL50428,9,6,0,4,5,10,9,0,0,38
SAL50429,10,0,5,6,9,0,0,0,0,34
SAL50430,9,5,0,9,15,5,7,7,0,59
SAL50431,906,655,598,623,835,1024,1177,809,341,6957
SAL50432,5,0,0,4,0,7,3,6,0,33
SAL50433,9,0,3,4,21,11,8,3,0,52
SAL50434,0,4,9,0,7,3,0,4,0,27
SAL50435,38,27,21,19,38,56,40,20,6,266
SAL50436,22,63,10,18,20,38,19,4,5,193
SAL50437,53,18,40,31,43,47,50,26,0,299
SAL50438,3455,1717,1184,2270,2324,1779,1957,988,314,15982
SAL50439,0,0,0,0,0,0,0,0,0,0
SAL50440,6,0,5,0,0,3,0,0,0,11
SAL50441,1406,483,653,1038,881,681,765,404,96,6413
SAL50442,39,20,33,23,20,18,16,6,0,169
SAL50443,10,7,5,3,10,8,12,6,0,53
SAL50444,0,0,0,0,4,0,0,0,0,6
SAL50445,3,0,5,5,0,5,5,5,0,30
SAL50446,96,40,52,53,72,86,83,32,16,524
SAL50447,15,6,4,11,10,21,39,16,3,120
SAL50448,3,0,0,7,7,5,3,6,0,41
SAL50449,6,0,0,7,4,4,0,3,0,35
SAL50450,20,6,17,6,17,9,7,5,0,96
SAL50451,12,0,3,8,3,6,6,4,0,46
SAL50452,574,417,475,438,509,548,534,383,137,4019
SAL50453,1372,858,1514,1064,653,544,334,132,47,6512
SAL50454,191,78,91,105,90,112,83,37,12,798
SAL50455,3,9,0,4,3,9,12,0,0,43
SAL50456,5,0,0,0,0,0,0,0,0,9
SAL50457,1374,912,717,925,1198,1081,876,471,254,7819
SAL50458,4,3,6,3,0,0,0,0,0,13
SAL50459,3,7,4,5,7,7,4,0,0,39
SAL50460,0,0,0,0,0,0,0,0,0,0
SAL50461,0,3,0,0,4,0,0,0,0,7
SAL50462,0,0,0,10,3,11,13,6,0,43
SAL50463,3,0,0,3,0,3,3,0,0,17
SAL50464,873,1232,3449,2106,1319,1292,964,352,98,11681
SAL50465,36,21,19,22,34,42,23,6,0,211
SAL50466,0,3,0,0,15,0,3,0,0,18
SAL50467,21,7,15,15,29,82,88,43,9,311
SAL50468,1749,1254,2263,1823,1413,1017,649,294,110,10569
SAL50469,5,0,3,0,0,11,0,6,0,19
SAL50470,10,0,3,5,11,4,0,0,0,38
SAL50471,18,13,17,9,22,32,22,3,3,140
SAL50472,1653,945,1076,1078,1043,1011,913,663,292,8669
SAL50473,679,393,562,562,450,431,372,204,65,3703
SAL50474,894,451,528,652,557,656,549,272,97,4657
SAL50475,23,0,16,10,4,12,5,0,0,70
SAL50476,1044,431,867,575,386,217,137,46,0,3705
SAL50477,13,20,22,15,9,20,22,10,0,120
SAL50478,0,6,0,0,6,4,3,0,0,22
SAL50479,5,0,0,0,0,0,7,0,0,9
SAL50480,28,15,7,14,19,25,20,0,0,133
SAL50481,50,23,36,29,53,75,67,21,0,356
SAL50482,6477,3264,3492,3939,3163,1959,1216,808,349,24668
SAL50483,4,5,7,0,4,0,3,5,0,25
SAL50484,625,364,627,613,454,358,241,194,135,3600
SAL50485,0,0,3,0,5,0,0,0,0,8
SAL50486,10,20,16,13,25,32,67,63,49,285
SAL50487,10,12,12,25,18,21,28,10,0,142
SAL50488,0,0,0,0,0,0,0,0,0,0
SAL50489,0,0,0,0,0,5,0,0,0,3
SAL50490,0,0,0,0,0,3,0,0,0,5
SAL50491,621,392,419,415,477,676,1179,995,264,5429
SAL50492,276,182,249,198,204,308,247,265,154,2080
SAL50493,0,0,0,0,0,0,0,0,0,0
SAL50494,5,0,0,7,4,12,5,0,0,37
SAL50495,0,0,0,0,0,0,0,0,0,0
SAL50496,0,0,0,6,0,0,8,0,0,21
SAL50497,514,300,500,453,384,329,219,96,17,2806
SAL50498,0,4,13,0,11,10,4,0,0,49
SAL50499,7,7,4,3,5,14,12,3,0,55
SAL50500,779,540,513,522,710,910,945,487,133,5531
SAL50501,29,13,16,18,38,60,31,21,3,233
SAL50502,725,479,589,622,505,508,561,309,159,4457
SAL50503,3,4,0,0,3,4,0,0,0,8
SAL50504,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,3,0,0,0,0,4
SAL50508,239,146,235,175,144,158,58,19,9,1181
SAL50509,0,4,0,0,0,0,0,0,0,0
SAL50510,1885,1166,533,1032,1435,1219,767,408,172,8621
SAL50511,0,0,0,0,0,0,0,0,0,0
SAL50512,37,12,29,24,37,48,39,14,3,253
SAL50513,13,4,28,49,23,15,10,5,0,143
