POW_LGA_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
LGA54830,1862,349,452,655,1761,1377,559,14,90,7111
LGA54900,40,4,4,14,23,34,21,0,4,148
LGA54970,241,56,90,105,278,182,114,3,17,1074
LGA55040,201,49,78,115,254,175,142,8,28,1052
LGA55110,2017,321,439,889,2216,1905,778,14,109,8692
LGA55180,360,32,32,47,86,91,120,8,33,821
LGA55250,105,30,44,46,113,61,104,4,15,518
LGA55320,4669,1036,1490,2199,4183,3562,2262,52,200,19654
LGA55390,91,13,36,34,76,73,43,0,6,380
LGA55460,68,6,23,29,31,39,24,0,3,230
LGA55530,8,0,0,6,11,0,0,0,0,19
LGA55600,43,8,8,24,30,16,24,0,4,156
LGA55670,10,5,3,4,3,8,3,0,0,43
LGA55740,275,81,81,123,217,216,176,9,12,1173
LGA55810,47,12,14,25,36,28,32,0,3,194
LGA55880,17,0,0,0,3,5,3,0,3,24
LGA55950,13,0,7,0,6,6,0,0,5,30
LGA56090,1076,165,198,275,553,398,237,12,45,2960
LGA56160,3,0,0,0,5,0,3,0,0,12
LGA56230,537,68,95,159,314,258,108,0,33,1578
LGA56300,64,3,9,7,10,10,14,0,3,123
LGA56370,17,0,0,0,12,15,8,0,3,57
LGA56460,146,22,21,26,85,85,71,15,12,483
LGA56580,1469,307,472,669,1115,971,690,8,53,5759
LGA56620,23,5,8,4,3,12,6,0,0,55
LGA56730,375,68,57,94,228,223,87,3,19,1161
LGA56790,60,6,5,18,22,11,12,0,5,149
LGA56860,0,0,0,4,4,0,0,0,0,7
LGA56930,96,12,26,47,61,48,48,3,7,347
LGA57000,57,9,15,26,54,44,19,4,13,235
LGA57080,17175,4419,6376,9480,16427,14353,10172,310,794,79508
LGA57140,34,6,0,3,5,10,0,0,5,62
LGA57210,174,20,33,65,132,57,65,6,18,573
LGA57280,649,112,203,313,785,723,473,18,55,3339
LGA57350,12,5,3,3,0,3,15,0,3,42
LGA57420,106,18,41,41,103,97,79,0,14,508
LGA57490,3140,570,821,1321,3234,2559,1060,34,155,12901
LGA57630,3,0,3,0,4,0,0,0,0,15
LGA57700,558,94,132,210,461,375,200,4,35,2059
LGA57770,28,6,4,13,12,19,57,0,3,152
LGA57840,1424,293,402,603,1222,1083,948,5,49,6024
LGA57910,8515,2067,2696,3899,7333,6656,4670,59,419,36314
LGA57980,1954,432,615,910,1568,1430,1006,21,95,8035
LGA58050,6135,1416,1758,2510,5925,4825,2793,62,354,25779
LGA58190,0,5,0,3,0,3,3,0,0,18
LGA58260,14,0,0,0,9,10,7,0,0,41
LGA58330,97,9,7,21,23,21,6,0,6,187
LGA58400,9,0,0,0,0,5,0,0,5,17
LGA58470,3,0,0,0,0,0,3,0,0,9
LGA58510,2981,792,1052,1574,3138,2849,2417,37,167,15011
LGA58540,20,6,14,13,9,19,4,0,0,90
LGA58570,2467,553,714,1094,1997,1933,1767,21,133,10677
LGA58610,40,3,8,6,13,9,30,3,9,123
LGA58680,4,0,6,0,3,4,6,0,0,19
LGA58760,5084,1379,1773,3068,6344,4801,2396,50,303,25193
LGA58820,156,11,17,31,77,70,34,0,14,411
LGA58890,27,4,0,0,3,9,4,0,5,39
LGA59030,21,9,5,11,5,3,5,0,0,61
LGA59100,12,0,0,0,4,0,4,0,0,31
LGA59170,17,0,3,5,9,15,12,0,3,63
LGA59250,92,24,50,62,99,81,50,0,12,462
LGA59310,33,6,9,7,17,16,11,0,5,101
LGA59320,9,4,5,3,14,11,12,5,4,56
LGA59330,16,0,0,0,3,3,3,0,0,33
LGA59340,211,46,49,50,132,139,196,31,20,872
LGA59350,41,9,23,15,40,28,11,0,4,182
LGA59360,91,12,29,48,95,68,47,0,9,407
LGA59370,78,11,21,16,23,24,20,0,11,207
LGA59499,6105,1200,1702,2320,4460,3800,2728,65,414,22790
LGA59799,116,31,45,56,97,76,47,0,14,480
