LGA_CODE_2021,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
LGA50840,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,3,0,4,0,7,0,4,0,0,0,4,0,7,4,22,0,35,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,10,3,4,0,3,9,19,0,22,0,6,0,6,4,0,0,3,0,5,0,5,0,7,0,7,4,3,0,11,0,10,0,7,6,9,0,16,13,41,0,53
LGA50910,0,0,5,3,0,3,0,7,0,0,0,0,0,0,0,5,0,7,0,8,0,4,0,3,0,9,0,7,6,18,0,29,0,8,0,9,0,3,0,7,0,0,0,3,0,4,0,3,0,3,0,8,0,6,0,6,0,4,0,4,0,28,0,39,0,4,5,8,0,8,4,10,0,0,0,3,4,6,0,5,3,7,0,14,0,9,0,14,0,11,0,13,4,46,7,64
LGA50980,13,154,26,192,19,136,28,186,28,282,47,354,35,223,42,301,26,168,36,234,20,127,20,173,11,85,12,109,155,1174,216,1543,15,172,25,215,24,133,21,178,59,293,31,383,68,237,34,339,43,184,16,242,32,169,13,218,11,114,17,145,256,1299,162,1717,32,323,51,403,45,270,46,359,85,571,76,737,101,454,84,641,66,353,55,474,54,302,35,390,26,197,23,251,411,2472,377,3259
LGA51080,0,3,8,10,0,6,0,6,0,0,0,0,0,3,3,4,4,4,0,8,0,3,0,8,0,0,0,0,4,25,9,43,0,0,3,7,0,0,0,0,0,6,0,12,3,5,4,7,0,5,0,6,3,0,3,6,0,0,0,6,9,26,12,49,8,9,9,19,0,7,0,12,0,12,0,15,6,8,3,15,6,8,0,12,7,8,3,10,0,0,0,4,20,48,22,86
LGA51120,0,0,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,11,0,11,0,3,0,6,0,3,0,3,0,0,0,0,0,7,0,8,0,4,0,5,0,4,0,4,0,0,0,0,3,17,0,25
LGA51190,0,43,3,49,4,54,17,70,10,80,49,133,9,34,34,71,10,49,19,74,4,34,12,50,5,29,5,37,40,321,128,485,6,76,7,89,3,65,3,73,16,76,0,89,13,55,3,66,16,64,3,85,7,48,0,51,0,46,0,46,57,419,25,501,9,120,8,135,9,114,16,138,26,152,52,225,18,84,38,138,19,112,19,152,8,79,13,99,8,78,6,92,97,737,147,986
LGA51260,0,41,0,41,0,36,0,37,7,44,3,48,3,29,5,36,8,26,0,36,7,23,6,27,0,17,0,17,16,214,9,243,4,39,0,39,3,22,0,26,4,37,0,44,3,38,0,39,10,36,0,42,0,17,0,21,0,27,6,29,27,202,12,239,4,83,0,86,3,55,3,62,10,82,3,93,6,63,5,75,15,59,4,79,12,35,4,48,0,41,6,43,48,420,15,483
LGA51310,0,7,0,6,0,3,0,7,0,8,0,8,0,7,0,8,0,8,0,11,0,4,0,0,0,3,0,3,10,39,0,46,3,5,0,9,0,6,0,5,0,10,0,10,0,0,0,0,0,6,0,6,0,0,0,0,4,7,0,7,3,38,0,44,8,14,0,17,0,14,0,16,0,20,0,20,0,10,0,6,0,15,0,15,4,4,0,4,4,10,0,15,14,76,0,93
LGA51330,4,63,5,70,3,55,0,63,11,76,7,87,4,40,6,50,8,46,0,58,7,30,0,34,3,28,0,32,40,340,17,393,11,65,5,78,3,62,0,65,13,78,0,86,11,50,0,62,15,46,4,58,5,33,0,41,8,32,3,44,64,363,14,448,11,125,7,149,5,117,3,128,20,152,7,173,20,89,3,118,22,94,5,118,14,61,0,80,4,65,4,76,102,704,34,844
LGA51400,0,31,0,28,0,14,0,14,0,27,0,29,6,19,0,21,5,21,0,25,0,12,0,11,0,5,0,8,14,123,0,140,0,26,0,29,0,18,0,21,3,33,4,40,3,23,0,25,12,17,0,27,5,15,0,13,0,6,0,10,25,138,4,171,0,54,0,61,5,31,0,34,10,56,4,71,9,43,0,52,15,34,0,52,3,22,0,28,0,17,0,15,46,260,6,309
LGA51470,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,4,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
LGA51540,0,24,3,33,0,22,0,24,13,27,0,40,6,20,4,28,10,34,0,47,8,35,4,45,9,41,3,55,43,213,16,272,0,32,0,36,11,22,0,30,14,36,0,54,3,33,0,33,21,47,0,70,13,38,0,53,3,55,6,64,59,265,11,340,6,58,9,72,10,44,0,52,22,70,0,95,9,54,5,67,26,84,8,112,20,73,4,95,10,93,10,114,104,477,28,611
LGA51610,0,0,0,0,0,0,0,0,0,4,0,4,0,7,0,7,0,5,0,8,0,4,0,4,0,0,0,0,0,23,0,23,0,8,0,8,0,0,0,0,3,4,0,7,0,3,0,3,0,7,0,3,0,0,0,6,0,4,0,4,4,20,0,26,0,9,0,9,0,0,0,0,3,5,0,11,0,7,0,7,3,6,0,12,0,5,0,9,0,4,0,4,7,41,0,46
LGA51680,0,22,0,24,0,0,0,0,6,4,0,6,0,0,0,5,0,3,0,8,0,3,0,3,0,3,0,6,5,41,0,51,0,17,0,17,0,0,0,0,0,5,0,5,0,0,0,7,0,4,0,7,0,7,0,4,0,0,0,0,8,34,0,40,0,43,0,46,0,0,0,4,6,7,0,8,6,8,0,12,4,9,0,8,0,7,0,14,3,8,0,7,16,78,0,91
LGA51710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,5,0,8
LGA51750,0,20,0,22,0,3,0,4,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,38,0,9,0,9,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,20,0,24,0,26,0,25,0,11,0,13,0,9,0,9,0,5,0,5,0,5,0,10,0,0,0,0,0,0,0,5,4,56,0,63
LGA51820,6,95,4,112,11,92,0,106,10,148,3,160,12,86,3,102,22,71,3,92,11,41,4,59,5,42,0,42,73,579,24,674,6,94,7,111,9,102,0,109,20,158,10,187,26,102,0,126,23,86,0,103,17,55,0,79,12,37,7,53,108,634,27,765,11,198,11,218,14,197,3,214,35,299,11,346,38,187,7,229,36,154,3,195,32,101,7,135,10,82,8,98,182,1210,46,1444
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51890,4,25,0,31,0,20,0,23,0,18,0,21,3,13,0,18,3,10,0,12,3,11,0,17,0,19,0,16,19,114,3,134,0,17,0,14,0,10,0,15,3,20,0,25,0,21,0,22,6,7,0,11,3,9,0,13,0,3,3,8,14,90,4,107,7,41,0,46,5,29,0,33,4,37,0,44,9,34,0,42,6,19,0,21,8,22,0,33,0,24,0,21,31,205,11,245
LGA51960,0,15,0,17,0,4,0,3,0,21,0,26,0,7,0,7,0,12,0,19,0,17,0,17,0,9,0,14,6,89,6,104,0,18,0,20,4,17,0,15,0,17,3,19,0,20,0,26,3,16,0,15,0,10,0,10,0,14,0,15,12,109,7,123,0,36,3,36,4,21,3,22,3,35,5,47,0,29,0,28,3,28,0,33,0,26,0,30,0,28,0,30,16,198,15,230
LGA52030,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,4,0,0,0,0,0,5,0,6,0,0,0,0,3,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,6,0,6,0,5,0,5,0,18,0,17,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,6,0,0,0,0,0,7,0,7,0,5,0,4,3,24,0,27
LGA52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,4,0,4,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,7,0,7,0,4,0,0,0,13,5,15
LGA52170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,8,0,6,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,8,0,7,0,0,0,0,0,7,0,7,0,17,0,23
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,3,0,3,0,9,0,8,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,11,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,0,0,0,6,3,9,5,17
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,3,5,0,0,9
LGA52380,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,4,0,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,5,0,5,0,0,0,4,0,11,3,14
LGA52450,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,7,0,7,0,0,0,0,0,20,0,20,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,3,4,12,0,16,0,11,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,11,0,11,4,5,0,6,3,35,0,33
LGA52520,0,0,0,0,0,4,0,3,0,0,0,4,0,7,0,7,0,3,0,6,0,5,0,4,0,0,0,3,5,23,4,34,0,0,0,0,0,0,0,0,0,4,0,8,0,5,0,5,3,0,0,3,0,5,0,8,0,4,0,4,7,19,0,25,0,0,0,0,0,0,0,3,0,8,0,4,0,13,0,13,3,3,0,12,0,11,4,15,0,3,0,8,7,42,3,53
LGA52590,0,4,0,8,0,5,0,5,0,7,0,7,0,5,0,5,0,6,0,6,0,4,0,3,0,3,0,5,4,34,4,38,0,4,0,4,0,0,0,0,0,9,0,9,0,7,0,6,0,5,0,7,0,4,0,9,0,10,0,8,4,34,0,42,0,10,0,9,0,11,0,11,4,12,0,15,0,12,0,10,0,11,0,10,0,8,0,15,4,13,0,12,10,65,0,81
LGA52660,0,20,0,21,3,12,0,17,4,16,0,18,3,16,0,22,0,10,0,10,9,17,0,19,0,0,0,0,15,92,4,110,0,28,0,29,0,11,0,11,3,26,0,34,8,19,0,29,4,20,0,27,3,11,0,17,0,11,0,15,23,129,5,152,0,41,0,49,0,22,0,28,6,50,3,52,7,32,0,45,6,30,0,37,12,28,0,38,0,11,0,13,36,221,5,264
LGA52730,0,5,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,14,0,14,0,0,0,3,0,0,0,0,0,3,0,3,3,4,0,5,0,8,0,4,0,5,0,5,4,5,0,6,6,20,0,33,0,10,0,9,0,0,0,0,0,9,0,9,3,4,0,7,0,7,0,10,0,9,0,9,4,5,0,6,6,39,0,47
LGA52800,7,172,8,184,15,143,24,185,34,254,82,374,20,226,46,297,21,192,34,247,14,139,15,162,3,85,9,103,117,1212,217,1551,13,169,16,193,29,133,10,173,59,268,15,344,41,231,12,292,57,171,12,234,31,135,10,173,14,106,4,126,235,1219,76,1528,18,339,23,379,45,282,30,354,93,521,99,715,64,456,60,585,75,365,42,479,37,273,23,334,24,195,11,230,352,2429,296,3076
LGA52870,0,7,0,10,0,9,0,9,0,7,0,8,5,5,0,5,0,9,0,12,7,6,0,13,0,0,0,0,10,39,0,53,0,8,0,13,0,6,0,6,0,3,0,9,0,7,0,7,4,13,0,17,0,5,0,5,3,3,0,3,10,46,0,58,5,13,0,17,0,16,0,16,7,12,0,17,5,8,0,11,4,24,0,24,7,15,0,19,3,3,0,3,18,87,0,105
LGA52940,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,6,0,6,0,3,0,5,0,0,0,0,0,8,0,8,0,0,0,0,0,19,0,17
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,9,0,10,5,0,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,4,10,0,10,5,0,0,5,0,3,0,3,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,5,0,0,3,4,17,0,21
LGA53080,0,0,0,0,0,4,0,4,0,5,0,7,0,0,0,0,0,4,0,7,0,7,0,7,0,9,0,9,0,32,5,38,0,3,0,3,0,0,4,10,0,6,0,8,0,6,0,4,0,0,0,4,0,6,0,6,0,4,0,4,3,28,9,37,0,4,0,4,0,8,4,13,4,13,0,14,0,8,0,3,0,7,4,14,0,9,0,9,0,9,0,9,3,63,5,74
LGA53150,0,8,0,8,0,6,0,6,0,6,0,6,0,0,0,0,3,6,0,9,0,0,0,0,0,0,0,0,3,23,0,29,0,4,0,4,0,0,0,0,0,9,0,9,0,6,0,4,0,0,0,3,0,0,0,0,0,3,0,6,4,25,0,29,0,5,0,5,0,6,0,6,0,11,0,11,0,4,0,3,5,9,0,9,0,0,0,0,0,4,0,4,3,44,0,53
LGA53220,26,62,3,86,10,58,0,72,23,126,8,161,24,108,13,148,12,73,3,92,10,52,4,66,5,22,0,31,106,507,32,646,12,72,5,86,18,45,4,63,23,114,9,148,34,101,8,139,17,39,0,64,13,38,0,54,8,31,0,38,119,434,29,588,33,130,6,171,28,102,4,133,46,239,14,306,57,207,16,282,32,118,7,150,20,91,3,118,11,50,3,66,228,945,61,1234
LGA53290,5,41,4,50,3,15,0,17,5,18,0,28,5,21,0,21,0,21,4,24,4,21,0,28,0,19,3,23,21,156,13,193,0,30,5,32,0,21,0,25,3,33,0,39,5,21,0,31,8,24,0,37,5,24,0,26,0,19,0,21,26,174,7,212,5,70,15,87,0,37,0,43,8,51,0,66,10,39,0,51,8,47,7,54,8,45,0,53,0,44,3,47,41,336,22,401
LGA53360,0,3,5,4,0,4,0,4,0,6,0,6,0,10,0,10,5,3,0,6,4,5,0,3,0,0,0,4,4,28,3,36,0,0,0,0,0,3,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,4,19,3,23,0,11,5,6,0,3,0,3,0,10,0,13,0,7,0,11,5,10,0,13,0,8,0,8,0,0,0,4,7,41,4,57
LGA53430,0,28,0,27,0,13,0,10,6,26,0,32,0,29,0,25,4,28,7,38,3,25,0,27,3,15,0,19,18,153,10,183,0,23,3,27,3,20,5,28,5,41,0,44,0,27,0,37,8,26,0,24,3,20,0,28,0,15,4,22,22,173,10,208,0,54,4,55,3,31,3,38,9,67,0,80,4,57,0,62,10,49,7,62,6,46,0,55,4,35,4,39,41,332,22,392
LGA53570,0,8,0,8,0,5,0,5,0,6,0,9,0,3,0,3,0,12,0,12,0,6,0,10,0,8,0,11,5,46,3,50,0,0,0,0,0,4,0,4,0,8,0,8,0,9,0,9,0,9,0,6,3,9,0,10,5,0,0,4,12,34,0,41,0,7,0,7,0,10,0,10,4,13,0,17,0,8,0,8,0,14,0,19,3,14,0,15,5,6,0,14,10,76,3,91
LGA53640,0,0,0,0,0,0,0,0,0,5,0,7,4,3,0,5,0,0,0,7,0,3,0,6,0,0,0,4,6,19,6,32,0,4,0,5,0,0,0,5,0,4,0,9,0,6,0,7,0,3,0,3,0,3,0,3,0,8,0,8,5,30,0,38,0,4,0,9,0,3,0,3,3,12,0,12,3,12,0,17,5,6,0,5,0,7,0,13,0,11,0,8,10,49,5,69
LGA53710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,9,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,3,11,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,3,0,0,0,0,0,0,0,3,0,0,6,7,0,16,3,20
LGA53780,6,107,30,140,13,138,56,200,23,158,156,338,14,120,89,224,20,109,42,171,7,70,10,89,13,65,8,84,91,764,381,1236,12,117,10,141,14,111,19,141,33,183,51,268,40,136,41,216,27,116,21,167,26,81,5,112,17,77,6,94,170,825,150,1144,15,222,41,279,23,241,69,342,59,345,205,609,53,254,126,434,42,226,59,333,33,152,16,202,27,143,13,180,259,1588,532,2375
