POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6713,82,117,191,48,89,20,70,66,9,692
POA6714,991,1390,2281,839,1025,535,934,919,199,9105
POA6716,35,51,182,36,25,9,162,62,11,574
POA6718,17,29,25,50,19,11,19,35,0,201
POA6720,90,100,351,98,110,37,198,115,29,1132
POA6721,346,413,589,129,314,102,255,181,46,2387
POA6722,387,608,1354,517,554,329,907,593,159,5402
POA6725,663,1101,651,734,658,351,263,462,123,5002
POA6726,422,705,357,409,341,199,144,261,50,2889
POA6728,173,330,150,328,168,63,82,168,36,1501
POA6740,54,77,40,86,38,14,27,49,14,406
POA6743,451,581,367,415,359,145,173,326,82,2895
POA6751,159,225,548,145,162,72,540,224,57,2130
POA6753,234,355,966,239,252,131,873,400,78,3523
POA6754,31,35,144,34,44,24,259,66,20,669
POA6758,25,57,190,22,20,0,182,52,4,570
POA6760,23,34,103,25,13,8,97,79,13,394
POA6762,21,56,98,13,10,0,90,29,0,320
POA6765,59,129,51,103,52,21,14,44,29,498
POA6770,101,150,75,146,48,21,32,70,34,681
