POA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA6014,85,183,19,13,11,7,11,12,9,338,38,113,14,3,11,5,6,16,4,214,268,446,183,15,44,23,50,45,3,1080,67,56,105,9,7,8,9,23,0,277,19,25,18,4,3,0,10,8,0,95,35,435,6,43,0,3,6,8,5,546,28,92,3,10,3,4,10,11,0,162,428,447,42,37,80,68,49,80,15,1245,91,253,18,51,31,12,20,34,6,518,11,54,15,10,5,14,4,6,0,133,20,7,48,12,0,7,6,18,0,119,0,0,3,0,0,0,0,3,0,5,9,20,5,4,0,0,0,4,6,53,18,4,7,3,7,0,4,12,9,68,1121,2144,492,211,218,159,175,280,55,4848,31,137,22,29,33,7,0,5,3,258,8,26,9,3,6,0,0,4,0,65,31,95,18,11,11,3,0,7,0,181,4,48,9,7,16,8,0,3,0,94,4,22,8,0,5,0,0,3,0,59
POA6015,25,60,3,5,0,3,0,0,3,100,11,15,0,0,0,0,0,0,0,34,108,102,35,7,12,4,9,8,9,284,25,25,24,4,8,3,0,0,0,89,6,11,0,0,0,0,0,0,0,21,8,184,6,6,3,0,0,0,4,201,6,13,0,0,0,3,0,0,0,30,172,156,6,6,23,19,4,4,5,400,40,80,0,14,11,6,0,5,0,152,7,16,3,0,0,4,0,0,0,33,3,0,9,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,15,7,4,3,0,0,0,0,4,4,22,432,654,88,42,62,48,15,23,21,1400,11,27,4,4,6,0,0,4,0,60,0,0,0,0,0,0,0,0,0,4,13,22,0,0,3,0,0,0,0,35,5,19,0,0,0,0,0,0,0,23,5,3,0,0,0,0,0,0,0,13
POA6016,22,70,14,4,0,0,3,12,0,131,22,65,12,0,5,9,7,10,0,133,114,202,147,15,13,17,35,48,4,592,30,38,72,4,9,6,3,11,0,180,17,19,7,3,0,0,7,3,0,56,9,101,3,16,4,4,0,13,6,158,13,51,0,10,4,3,6,10,0,95,175,200,25,25,47,41,41,72,3,631,29,117,7,23,21,12,16,17,3,233,15,43,9,8,6,12,0,7,0,102,9,0,35,6,0,0,8,11,0,72,0,0,0,0,0,0,0,0,0,6,3,8,4,0,0,0,4,4,0,26,5,9,6,0,5,3,3,6,12,44,475,924,334,127,112,114,130,217,37,2465,12,72,8,11,12,0,0,6,0,122,3,13,7,10,3,0,0,3,0,45,15,42,5,10,3,3,3,4,0,77,6,36,7,0,4,3,0,0,0,63,3,16,3,4,4,0,0,5,0,36
POA6017,0,19,7,6,0,0,3,5,0,48,9,24,9,0,4,7,11,21,0,80,27,72,62,10,3,9,18,23,0,221,7,8,40,5,0,5,5,10,3,87,0,4,6,0,0,0,0,13,0,26,4,32,4,12,6,0,0,7,0,67,9,26,0,6,0,0,8,7,0,49,37,50,15,14,30,21,36,47,3,246,4,24,7,9,5,0,8,19,0,72,0,18,9,5,0,4,5,3,0,44,3,0,39,5,0,4,9,10,0,67,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,5,0,17,3,0,7,0,4,0,3,0,0,20,107,272,212,75,53,56,107,159,11,1046,5,18,5,4,0,3,0,4,0,33,0,13,0,9,3,3,0,8,0,31,0,12,3,3,6,3,3,12,0,46,0,11,3,0,0,0,0,0,0,16,0,4,0,3,3,3,0,7,0,16
POA6018,92,293,31,12,30,15,7,6,3,486,101,208,28,10,21,9,11,9,4,401,459,810,736,50,92,51,97,78,30,2405,166,90,402,14,39,26,39,53,10,848,34,50,38,3,4,0,11,15,3,152,62,403,29,68,13,7,11,13,12,616,65,216,16,23,5,5,9,12,0,349,638,720,82,69,183,125,40,63,14,1920,123,264,30,101,37,28,22,33,10,656,42,117,41,20,18,21,7,16,4,288,38,11,93,11,8,10,18,20,0,205,0,0,0,0,0,0,0,0,0,9,18,28,18,9,6,12,5,9,0,107,24,23,43,13,9,3,18,18,31,175,1863,3234,1572,412,473,314,293,351,119,8618,55,215,29,38,63,21,3,6,11,433,15,53,8,3,25,7,0,8,0,114,44,130,23,8,30,6,8,4,0,260,21,64,17,5,19,11,5,3,0,147,8,31,8,5,16,9,0,5,0,86
POA6019,60,216,23,11,11,3,3,8,0,342,44,105,22,5,4,13,6,3,3,199,252,486,472,32,55,31,65,70,16,1473,115,47,304,19,20,6,33,32,8,585,18,26,37,0,6,4,12,8,0,113,33,281,8,59,11,14,11,8,0,431,39,162,13,15,10,0,6,0,6,256,401,383,45,52,84,89,35,38,14,1135,98,186,21,75,30,17,7,17,0,459,27,85,33,15,7,15,5,17,0,204,16,0,64,13,3,3,9,17,0,128,0,0,0,0,3,0,0,0,0,3,15,17,7,8,4,0,4,0,5,66,16,16,35,8,4,8,15,12,28,139,1129,2018,1079,304,259,211,216,231,92,5543,44,130,21,16,32,7,9,6,3,268,11,11,4,0,0,5,0,0,0,37,29,79,30,8,20,5,5,10,0,190,7,59,19,12,12,10,0,11,0,121,17,34,11,3,6,4,0,3,0,83
POA6020,46,133,15,6,13,3,0,3,5,232,48,80,18,0,5,3,0,0,6,161,319,345,374,28,57,31,49,44,6,1255,127,40,222,10,15,10,24,27,4,482,24,27,23,5,5,7,3,10,0,99,29,162,11,34,7,6,5,7,0,261,57,124,4,13,3,4,3,4,0,215,365,361,30,38,75,93,9,18,16,1009,67,124,10,46,29,19,5,13,6,315,20,52,20,11,11,13,3,10,0,148,14,5,24,3,0,3,10,5,0,75,0,0,0,0,0,0,0,0,0,0,17,9,6,8,3,0,4,3,0,53,21,13,18,13,7,11,0,12,18,103,1143,1486,791,212,235,192,123,152,74,4410,26,76,9,18,29,3,0,0,3,170,6,16,6,4,9,0,0,0,0,37,15,44,15,6,13,3,0,0,0,94,8,21,12,7,7,4,0,0,0,58,9,19,12,4,3,0,0,3,3,56
POA6021,33,76,18,9,5,9,9,6,4,164,38,105,24,6,12,9,13,9,6,213,181,333,419,24,48,33,96,82,20,1236,87,32,235,11,23,7,26,41,3,464,4,3,14,5,0,0,3,22,0,56,27,147,8,18,9,5,4,0,0,226,20,80,0,7,4,0,5,6,0,124,213,279,39,35,94,77,41,51,10,838,33,83,15,48,24,16,8,10,0,245,14,45,19,12,12,13,3,3,0,136,21,4,75,11,7,9,19,12,0,164,0,0,0,0,0,0,0,0,0,0,10,5,10,4,3,0,11,4,6,53,10,10,27,6,8,0,11,9,21,99,686,1206,912,194,238,196,255,253,72,4012,19,76,26,12,26,8,0,0,5,163,8,24,5,6,9,9,0,3,0,62,13,55,17,7,5,9,3,9,0,123,5,29,4,3,16,3,0,0,0,64,6,11,0,4,6,5,0,0,0,32
POA6022,5,33,3,0,4,0,0,0,0,48,14,27,9,0,0,0,0,4,0,58,40,71,142,4,11,9,28,14,0,324,19,4,109,6,0,4,5,16,0,163,3,0,4,0,0,0,0,0,0,18,5,27,0,6,0,0,0,0,0,48,5,40,0,6,0,0,0,0,0,55,30,47,13,9,19,13,10,5,4,139,13,22,4,11,0,4,0,4,0,55,6,10,8,3,3,0,0,0,0,37,3,0,14,0,0,0,0,6,0,24,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,16,0,0,6,0,0,4,3,0,6,25,138,293,317,51,51,30,55,58,8,1006,3,19,4,6,5,0,0,0,0,43,0,7,0,4,0,0,0,0,0,13,0,11,0,0,3,0,0,0,0,17,0,11,0,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3
POA6023,34,87,15,3,6,5,5,3,0,160,36,88,16,3,10,4,9,3,6,166,212,277,337,17,29,17,49,34,8,981,50,32,179,3,16,7,23,22,0,337,14,20,14,0,3,4,0,7,0,70,29,92,14,22,4,0,0,3,0,176,20,95,0,4,0,6,6,0,0,143,218,211,29,24,62,41,17,16,5,620,45,95,11,37,15,11,3,6,0,223,13,37,11,8,4,3,3,6,0,78,18,4,23,7,4,3,3,3,0,60,0,0,0,0,0,0,0,0,0,0,7,11,5,3,3,0,3,0,0,39,7,4,19,5,5,4,5,6,11,66,707,1055,672,142,159,105,127,120,35,3116,10,53,7,6,20,0,0,4,0,104,3,16,6,4,11,0,0,0,0,35,4,38,7,3,10,0,0,5,0,75,3,19,9,0,11,3,0,0,0,44,9,13,0,0,4,0,0,0,0,32
POA6024,21,57,9,5,6,4,5,4,0,111,25,68,15,0,5,7,8,6,0,139,103,149,380,16,22,17,59,50,6,810,41,18,213,8,10,9,23,39,6,368,8,13,13,0,0,5,7,7,3,53,13,50,8,21,3,7,3,4,0,112,20,82,7,3,4,0,0,0,0,115,105,118,27,11,59,35,7,9,5,376,29,53,7,42,18,6,20,7,0,190,3,31,16,9,5,8,5,6,0,97,13,0,27,8,3,4,13,12,0,81,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,3,5,26,3,5,26,4,5,4,5,16,9,81,384,651,755,130,158,101,158,164,43,2550,5,54,15,11,4,0,3,0,0,97,6,12,0,0,7,0,0,3,0,27,8,18,10,5,6,0,0,5,0,56,3,15,6,3,4,6,0,0,0,33,0,18,5,0,5,7,0,3,0,37
POA6025,47,132,24,6,11,3,5,3,5,234,67,121,33,9,16,4,11,13,0,277,354,442,872,50,80,43,99,96,16,2062,116,32,509,24,28,13,35,65,12,833,31,21,48,0,8,9,21,21,0,150,56,172,19,63,6,12,7,14,5,348,39,150,7,15,7,7,10,6,0,234,386,347,39,38,112,67,36,33,7,1074,71,127,38,97,26,16,10,13,6,395,27,61,36,11,9,18,8,16,4,194,30,3,63,5,9,11,16,12,0,156,0,0,0,0,0,0,4,0,0,5,16,11,17,12,3,0,5,9,0,75,19,11,53,12,3,4,11,23,15,166,1259,1636,1769,363,323,194,271,320,79,6212,26,117,29,14,30,14,6,0,4,233,11,24,3,5,16,0,0,5,0,66,18,44,17,13,13,5,4,3,0,120,10,25,7,7,10,8,0,4,0,75,4,28,10,7,11,0,0,4,0,66
POA6026,28,96,18,12,4,3,0,3,0,169,40,106,29,7,14,7,4,10,0,216,225,340,569,46,73,33,99,72,4,1466,70,32,294,12,26,11,38,53,7,553,16,10,25,4,6,4,0,8,3,81,28,88,11,35,10,0,3,8,0,187,30,133,4,16,7,0,7,5,0,195,269,251,47,29,99,56,27,13,10,812,43,96,11,88,10,12,18,10,0,287,9,42,31,4,8,16,7,13,0,127,18,6,44,4,4,7,14,12,0,117,0,0,0,0,0,0,0,0,0,5,9,18,19,0,0,3,4,4,0,58,14,10,33,7,7,8,9,5,8,104,791,1216,1136,278,271,173,237,212,50,4363,6,61,14,6,22,12,5,3,0,144,10,20,7,3,8,0,0,0,0,49,10,24,20,3,7,6,8,0,0,78,4,15,12,5,4,3,0,0,0,40,10,25,0,4,4,0,0,0,0,46
POA6027,51,146,33,13,17,17,12,17,3,307,74,187,49,11,21,22,14,16,6,388,416,532,1331,67,116,57,203,173,47,2943,147,29,714,40,31,17,86,101,21,1187,32,21,45,7,11,4,12,24,0,165,63,205,35,80,10,9,9,20,9,434,54,229,18,20,9,3,15,5,3,359,379,340,78,62,143,106,65,67,16,1270,69,150,50,163,49,22,28,25,8,560,21,69,29,17,12,23,15,14,0,200,38,14,113,25,19,14,22,19,0,265,0,0,0,0,0,0,0,3,0,9,28,16,23,16,10,7,12,11,7,130,31,22,61,14,13,9,21,23,45,234,1403,1972,2566,537,461,307,516,525,175,8460,30,125,33,27,42,12,6,6,0,297,4,35,4,10,19,6,0,0,0,90,10,58,30,6,28,11,8,11,0,164,11,27,22,10,14,11,0,7,0,98,15,22,13,4,3,8,0,6,0,88
POA6028,30,64,18,13,5,9,3,5,0,156,49,131,25,8,19,3,8,9,0,246,326,313,731,52,74,38,86,87,29,1738,102,33,357,23,19,18,44,56,12,670,15,15,29,0,4,0,4,7,0,73,32,159,20,47,8,0,5,0,4,275,23,82,5,8,4,3,9,5,0,146,308,256,68,43,95,59,28,38,8,904,51,80,27,103,29,26,13,23,0,350,17,30,19,12,4,12,9,11,0,122,31,0,59,12,4,9,20,14,0,146,0,0,0,0,0,0,0,0,0,0,6,14,19,10,5,0,4,0,7,68,10,18,37,11,7,3,6,20,21,130,1012,1210,1403,338,282,178,235,279,84,5024,12,69,16,6,18,8,0,0,0,135,16,14,0,3,14,0,0,0,0,54,10,27,18,12,9,0,0,4,0,80,5,12,4,0,11,7,0,0,0,55,13,8,10,7,10,4,0,3,0,41
POA6029,11,15,0,0,3,0,0,0,0,25,5,11,0,0,0,0,0,0,0,24,33,51,48,5,4,3,0,9,0,159,21,16,23,5,6,0,3,0,0,72,3,0,0,0,0,0,0,0,0,5,7,36,0,0,6,0,0,0,0,49,0,11,0,0,0,0,0,0,0,19,41,60,4,8,11,20,0,6,5,150,7,17,0,5,5,3,0,0,0,42,0,4,6,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,6,0,0,0,0,0,0,7,141,235,93,19,31,26,12,17,13,580,0,16,0,3,3,0,0,0,0,28,0,5,0,0,0,0,0,0,0,9,4,7,4,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,5
POA6030,15,79,19,10,9,5,6,3,3,166,45,140,47,10,22,11,16,14,0,310,284,324,1218,61,117,57,227,175,32,2491,104,34,601,19,24,19,93,124,10,1030,14,7,46,0,4,6,21,28,3,132,28,118,16,77,12,9,18,13,6,298,28,114,9,19,4,3,12,5,0,211,270,215,68,56,134,77,66,60,7,951,48,103,34,165,42,21,24,27,7,474,22,48,34,17,11,21,15,26,0,198,36,3,117,29,13,22,36,34,3,288,5,0,0,0,0,4,0,0,0,15,11,10,27,15,9,6,24,13,0,112,38,6,71,14,9,4,31,24,58,247,953,1207,2306,487,431,271,589,556,130,6925,22,57,31,21,21,11,3,0,0,162,0,32,6,3,15,7,3,3,0,75,15,31,21,12,13,5,8,13,0,124,8,18,7,10,7,7,0,5,0,65,11,14,14,8,3,14,8,3,0,57
POA6031,12,21,15,4,0,3,3,5,0,69,19,92,26,10,13,12,15,10,0,196,132,143,613,20,42,13,101,73,12,1165,35,14,258,18,15,6,43,57,5,449,4,9,15,0,6,0,7,24,0,66,19,65,9,29,6,7,9,6,0,144,14,60,11,13,0,4,3,0,4,111,110,91,30,28,55,36,55,19,3,430,28,49,18,74,19,15,27,27,0,259,11,12,13,9,6,6,11,11,4,75,15,9,70,7,15,7,25,20,0,167,0,0,5,0,0,0,0,0,0,9,7,6,13,7,3,4,3,0,0,49,8,0,33,10,8,5,19,20,35,130,418,581,1130,229,174,111,318,272,70,3319,8,41,20,16,14,10,0,4,0,103,5,11,3,3,7,0,3,5,0,41,4,8,14,4,5,4,4,0,0,51,0,9,7,3,11,7,0,0,0,33,3,5,6,0,7,4,0,8,0,35
POA6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,10,3,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,6,4,11,11,4,0,0,4,14,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6033,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,9,8,14,0,0,0,3,3,0,34,0,0,4,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,7,26,14,17,0,4,0,4,9,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
POA6034,0,9,0,0,3,0,0,0,0,16,6,6,7,3,0,0,0,0,0,28,7,19,127,4,9,6,36,16,0,221,7,6,53,0,0,6,9,6,0,91,0,0,6,0,0,0,3,3,0,11,3,8,0,0,3,3,3,5,0,24,3,11,0,0,0,5,0,0,0,18,19,18,11,4,6,11,8,0,0,74,7,13,0,26,0,0,10,3,0,57,0,7,3,0,0,0,7,3,0,24,10,0,16,0,0,4,3,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,15,0,3,7,0,3,0,0,0,4,19,65,94,230,49,34,27,82,48,5,636,3,0,0,5,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
POA6035,4,4,3,5,0,0,0,0,0,14,6,14,4,0,0,7,0,6,4,53,49,41,293,14,21,9,78,51,11,564,27,4,180,12,7,3,41,36,3,311,4,6,10,3,0,0,5,6,3,43,16,39,5,16,0,0,3,4,0,90,0,20,0,8,0,0,7,0,0,38,44,26,16,11,19,19,20,11,6,165,10,24,9,35,7,3,12,8,0,102,5,14,0,0,0,10,4,5,0,40,10,3,30,5,0,4,22,11,0,78,0,0,0,0,0,0,0,0,0,0,6,3,7,9,0,0,6,6,6,37,10,3,25,3,0,7,17,11,10,87,188,198,592,126,71,59,204,152,50,1631,5,7,4,0,8,5,0,0,0,25,0,4,0,0,3,0,0,0,0,13,0,5,6,4,0,0,4,4,0,34,0,4,0,0,7,4,0,0,0,13,9,3,5,3,0,0,0,4,0,28
POA6036,11,23,11,7,5,0,8,3,0,57,31,64,26,4,5,9,5,12,0,149,99,126,535,24,33,22,98,54,13,1015,41,11,277,13,7,14,48,47,7,459,9,5,15,3,0,0,4,13,0,50,12,52,6,43,0,4,9,5,4,129,9,57,5,8,4,4,4,0,0,90,113,87,23,31,51,39,33,24,6,403,38,25,20,58,18,11,11,16,3,209,6,13,18,9,4,13,3,10,0,73,14,4,53,16,10,4,19,17,5,137,0,0,0,0,0,0,0,0,0,0,6,5,14,11,4,0,9,10,4,49,6,5,32,5,4,0,11,16,28,109,379,479,1035,225,148,127,270,219,65,2941,3,32,6,11,13,4,0,0,0,67,4,9,7,3,7,5,0,8,0,47,3,5,12,3,3,7,4,9,3,55,3,0,7,5,4,0,0,0,0,17,4,5,6,7,0,3,0,3,0,26
POA6037,0,4,3,0,0,0,0,0,0,10,5,7,3,0,4,0,0,0,0,18,20,11,134,0,5,6,41,27,6,250,5,3,50,4,0,0,17,12,0,90,0,3,5,0,3,0,0,3,0,26,3,9,6,6,0,0,0,0,0,22,4,8,0,4,0,0,0,0,0,12,10,8,9,0,3,6,0,0,0,39,0,9,6,11,5,0,3,5,0,36,0,3,0,0,0,0,0,0,0,9,0,0,15,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,8,0,0,0,0,4,0,12,57,68,230,26,18,10,72,62,7,547,0,8,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,8
POA6038,7,21,8,0,0,0,0,0,0,41,11,37,11,10,7,0,0,0,0,83,68,67,342,12,13,4,59,36,4,610,25,10,168,12,10,3,30,39,4,302,3,0,9,0,0,0,7,6,0,34,8,42,13,24,0,0,5,7,0,111,5,34,5,7,0,4,7,0,0,57,68,53,16,16,23,17,18,24,0,247,10,32,12,67,14,7,13,8,0,177,6,15,10,5,4,6,3,9,0,60,11,7,51,12,6,3,18,9,0,112,0,0,4,0,0,0,0,0,0,4,4,3,3,5,0,0,11,4,0,35,3,0,16,3,6,3,10,6,12,50,234,323,674,183,88,55,173,154,25,1912,3,16,4,9,0,4,0,8,0,46,5,8,6,0,4,0,0,0,0,25,0,12,9,0,0,0,3,6,0,38,0,9,4,4,0,0,0,0,0,14,0,3,3,0,0,0,0,0,0,11
POA6041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,54,0,0,0,12,9,0,85,3,0,13,0,0,0,4,4,0,27,3,0,5,0,0,0,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,3,0,0,6,0,0,19,20,15,83,4,3,4,36,20,5,188,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7
