POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6012,3623,4006,7622,1563,884,2452,631,1197,1833,94,116,213,103,107,212,2392,2310,4700,1005,1487,2492,4.4,4.6,4.5,66.1,57.7,61.7,63.2,55,58.9,518,489,1010,113,212,321,1098,1204,2299,297,370,658,348,202,551,12,32,43,26,69,99,388,300,687,3346,3729,7078,702,842,1538,2127,2379,4506,1749,2001,3757
POA6014,8455,9259,17711,4157,2473,6638,1521,2988,4504,221,293,511,235,246,485,6143,6001,12144,2049,3006,5051,3.9,4.1,4,72.6,64.8,68.5,69.8,62.2,65.8,1359,1187,2545,279,526,813,2705,3071,5778,744,915,1663,844,491,1326,53,73,117,76,185,264,969,740,1707,8803,9334,18139,1498,1649,3145,5611,5907,11520,4182,4605,8786
POA6015,2726,2877,5601,1182,573,1758,485,855,1337,56,81,137,68,63,129,1795,1567,3364,839,1228,2060,4,3.8,3.9,66,54.5,60.1,63.4,52.4,57.7,454,313,765,91,160,253,923,905,1825,182,299,486,196,96,294,9,22,30,28,59,89,230,172,409,2829,2930,5757,393,407,799,2005,2106,4107,1151,1153,2301
POA6016,4102,4486,8583,2228,1403,3628,728,1561,2290,111,160,272,112,94,207,3180,3214,6396,753,1116,1865,3.6,3,3.3,77.5,71.8,74.5,74.7,69.6,72.1,500,517,1019,152,246,404,1160,1366,2523,394,465,859,527,286,811,27,41,73,45,93,144,601,424,1033,4345,4562,8904,672,740,1408,2617,2842,5460,2073,2189,4260
POA6017,1984,2022,4002,916,690,1609,381,567,947,75,82,148,68,57,128,1437,1397,2832,385,488,872,4.7,4.3,4.5,72.3,69.1,70.7,68.9,66.1,67.5,192,196,383,41,79,119,441,505,947,192,228,421,304,199,499,20,24,44,25,41,59,343,262,602,1663,1699,3357,364,415,771,775,803,1573,1165,1205,2375
POA6018,16136,18371,34508,8312,5161,13480,2231,5238,7463,445,630,1072,430,399,825,11416,11424,22842,3917,6158,10073,3.7,3.5,3.6,70.7,62.2,66.2,68.1,60,63.8,1422,1466,2883,502,883,1381,4020,5070,9086,1615,1940,3553,2760,1362,4121,125,192,317,208,409,615,3090,1965,5054,16119,17941,34051,2810,3126,5936,10137,11312,21452,7734,8685,16419
POA6019,9911,10488,20398,5095,3524,8625,1461,3068,4525,385,438,822,274,252,528,7217,7282,14499,2074,2732,4800,3.8,3.4,3.6,72.8,69.4,71.1,70.1,67,68.5,935,945,1877,287,536,825,2542,3214,5761,940,1195,2131,1731,833,2561,90,110,200,108,215,321,1928,1157,3083,9154,9353,18501,2053,2269,4319,5271,5444,10716,5321,5680,11004
POA6020,8938,9407,18347,4096,2109,6209,1417,3002,4421,254,339,593,230,194,424,5996,5654,11647,2623,3499,6120,3.9,3.4,3.7,67.1,60.1,63.5,64.5,58,61.2,746,588,1338,266,471,735,2198,2470,4668,946,1063,2006,1679,703,2385,61,105,166,111,277,393,1852,1086,2934,9503,9972,19473,1111,1158,2269,6773,7035,13809,3341,3593,6937
POA6021,8364,9186,17551,4075,2461,6533,1197,2533,3727,226,277,501,261,233,489,5753,5506,11259,2241,3322,5570,4.5,4.2,4.4,68.8,59.9,64.1,65.7,57.4,61.3,539,502,1043,151,261,409,1560,1873,3433,799,882,1677,1690,855,2540,86,114,204,91,198,290,1867,1168,3034,8395,9172,17565,1168,1228,2393,5787,6432,12219,3272,3498,6773
POA6022,2056,2124,4186,984,567,1547,275,606,878,74,90,164,63,50,115,1399,1314,2711,580,757,1341,4.6,4,4.3,67.9,61.9,64.8,64.8,59.4,62,91,87,181,53,86,131,331,472,806,225,283,508,572,240,809,12,36,48,26,39,69,610,316,922,2251,2291,4547,226,240,468,1615,1658,3273,685,732,1417
POA6023,6074,6460,12530,2961,1510,4472,864,2132,3000,171,234,409,204,146,357,4205,4026,8232,1682,2271,3955,4.9,3.7,4.3,69.3,62.4,65.7,65.9,60.1,62.9,489,413,904,173,334,507,1323,1602,2927,662,761,1422,1275,583,1857,68,80,158,67,171,240,1414,840,2254,6818,7044,13866,776,796,1575,5018,5167,10181,2208,2328,4530
POA6024,5457,5647,11105,2583,1466,4049,768,1681,2451,183,228,411,210,142,357,3741,3528,7265,1488,1953,3437,5.6,4.1,4.9,68.6,62.4,65.4,64.7,59.8,62.2,224,263,489,86,244,337,830,1143,1974,553,590,1150,1479,668,2156,60,84,143,80,172,247,1620,929,2551,5728,5860,11590,694,754,1443,4210,4216,8427,1846,2054,3893
POA6025,12505,13065,25574,6239,3434,9672,1758,4107,5865,403,499,898,413,337,752,8820,8373,17192,3214,4360,7577,4.7,4,4.4,70.5,64.1,67.2,67.2,61.5,64.3,690,641,1335,258,548,802,2096,2970,5069,1277,1565,2841,3343,1434,4775,115,180,289,173,344,515,3625,1953,5578,13210,13593,26804,1695,1810,3503,9321,9528,18849,4762,5089,9844
POA6026,8941,9689,18637,4322,2382,6712,1360,3097,4453,277,315,592,262,217,481,6224,6005,12234,2452,3479,5929,4.2,3.5,3.9,69.6,62,65.7,66.6,59.8,63.1,435,385,820,206,369,572,1460,1920,3380,987,1120,2106,2351,1085,3439,83,131,218,113,283,394,2551,1501,4055,9698,10341,20038,972,1049,2022,7299,7642,14945,2896,3238,6130
POA6027,17536,17767,35310,8674,4617,13292,2473,5642,8111,588,708,1298,638,494,1132,12374,11461,23833,4263,5654,9920,5.2,4.3,4.7,70.6,64.5,67.5,66.9,61.7,64.3,833,777,1612,300,620,922,2443,3440,5891,1727,2206,3930,4922,2219,7146,212,301,512,279,465,749,5416,2987,8397,17402,17571,34967,2838,2905,5742,12065,12334,24397,7159,7224,14382
POA6028,9465,9700,19164,5173,2725,7901,1381,3326,4709,344,357,696,309,300,607,7211,6708,13919,1909,2758,4669,4.3,4.4,4.4,76.2,69.1,72.6,72.9,66.1,69.5,478,400,875,190,299,496,1456,1981,3445,1008,1250,2258,2543,1153,3702,98,161,264,138,278,415,2779,1597,4379,9836,10017,19848,1407,1444,2846,6995,7115,14108,3764,3859,7625
POA6029,1127,1201,2330,518,263,786,205,407,608,43,46,86,33,20,52,794,739,1531,274,420,699,3.8,3,3.4,70.3,61.3,65.7,67.6,59.5,63.4,97,104,197,31,65,95,303,348,652,113,132,242,193,64,254,4,14,15,17,33,48,212,110,323,1121,1238,2358,187,186,376,818,896,1712,417,466,883
POA6030,15817,16985,32797,7633,4360,11997,2186,4902,7087,663,638,1299,674,662,1337,11154,10563,21715,3713,5655,9368,6.1,6.3,6.2,70.5,62.2,66.2,66.3,58.3,62.1,450,484,939,180,385,563,1487,2446,3930,1413,2094,3507,4514,2462,6974,252,389,643,244,417,661,5005,3266,8278,16090,16819,32902,2592,2834,5423,10742,11098,21839,6890,7531,14421
POA6031,6742,7199,13943,3827,2192,6023,924,2402,3320,301,345,642,256,266,520,5307,5202,10506,1116,1782,2897,4.8,5.1,5,78.7,72.3,75.4,74.9,68.6,71.6,187,202,383,72,182,249,673,1202,1875,585,912,1502,1997,1200,3198,101,168,274,104,187,290,2204,1554,3761,7455,7985,15439,1114,1189,2309,4979,5206,10184,3004,3285,6293
POA6032,88,79,167,38,14,50,20,33,50,0,5,8,4,3,7,65,54,116,14,19,28,3.1,5.6,4.2,74.4,70.1,72.4,72.1,66.2,69.3,3,0,0,0,4,5,8,3,13,7,7,19,27,9,34,3,0,3,4,0,3,27,17,42,77,67,145,14,15,28,62,53,118,26,26,46
POA6033,199,172,371,88,46,136,34,60,93,7,7,14,0,0,7,138,113,248,44,51,93,2.2,1.8,2,68.7,65.5,67.2,67.2,64.4,65.9,6,4,10,5,3,8,24,27,51,5,13,21,49,22,64,5,0,4,4,4,6,61,21,83,200,175,375,15,19,34,159,128,287,51,59,111
POA6034,1262,1409,2667,749,441,1195,126,407,532,67,98,158,51,50,105,995,1001,1992,167,344,511,5,5.4,5.2,78.7,71,74.6,74.8,67.1,70.7,25,22,47,9,33,37,95,220,315,120,216,339,415,259,670,19,34,48,17,32,53,451,327,775,1306,1427,2734,324,347,674,527,524,1058,913,1091,1999
POA6035,3989,4281,8266,1840,960,2807,435,1157,1596,207,169,379,170,184,349,2649,2476,5128,1027,1521,2545,6.3,7.4,6.8,66.5,57.8,62,62.3,53.5,57.8,64,80,146,30,100,137,224,468,692,326,511,836,1330,748,2081,67,112,184,57,111,169,1459,972,2428,4245,4448,8697,723,820,1538,2521,2522,5038,2055,2347,4402
POA6036,6402,7112,13511,3371,2000,5374,886,2210,3101,295,269,564,275,329,608,4828,4816,9645,1214,2044,3264,5.7,6.9,6.3,75.4,67.7,71.4,71.1,63,66.9,181,189,363,66,165,228,568,980,1546,546,907,1455,1851,1141,2995,114,158,268,81,173,256,2050,1477,3525,6767,7204,13969,1200,1395,2600,4131,4214,8342,3290,3857,7149
POA6037,1505,1451,2953,628,297,918,159,388,541,70,55,129,60,60,123,921,798,1721,437,541,975,6.5,7.7,7.1,61.2,55.3,58.3,57.2,51,54.1,13,18,31,13,28,45,64,161,224,102,181,283,509,235,738,31,36,62,23,34,54,556,300,855,1499,1448,2942,276,277,559,907,852,1754,749,782,1532
POA6038,3549,3937,7482,2114,1240,3349,439,1237,1678,149,177,324,157,165,322,2857,2817,5675,479,998,1477,5.5,5.9,5.7,80.5,71.6,75.8,76.1,67.4,71.5,116,125,241,52,107,155,399,667,1070,364,523,888,1094,681,1778,59,87,147,48,98,142,1206,863,2065,3715,4043,7758,828,1015,1843,1693,1774,3468,2448,2863,5312
POA6041,700,659,1357,216,110,327,63,150,210,54,23,75,19,14,29,344,300,644,290,313,606,5.2,4.4,4.8,49.4,45.2,47.4,46.9,43.2,45.1,6,10,15,0,15,13,19,52,77,22,70,94,245,86,329,10,14,23,5,16,20,259,118,373,627,594,1219,104,129,236,501,459,968,204,230,433
POA6042,61,38,100,13,0,14,10,3,8,0,0,0,0,4,0,19,12,27,24,20,44,10.5,20,13.8,32.8,25,29.6,29.3,20,25.5,0,0,0,0,0,0,9,5,7,7,3,8,14,6,14,0,0,0,0,0,0,14,7,17,37,29,67,11,5,21,26,23,45,24,15,41
POA6043,120,101,221,35,17,49,8,18,30,9,5,14,4,0,4,58,41,100,51,55,106,10.5,0,6.1,47.1,40.6,44.1,42.1,40.6,41.4,7,0,3,0,0,0,4,13,13,9,3,14,44,6,53,0,0,3,4,0,6,47,10,57,91,92,178,16,7,30,72,72,144,39,27,65
POA6044,621,560,1174,189,117,307,61,123,186,38,29,65,15,7,21,307,272,580,254,238,497,5.2,1.8,3.6,49.4,49.1,49.2,46.8,48.2,47.4,7,11,20,5,12,13,30,63,94,45,47,90,182,52,233,3,9,13,16,11,26,199,68,271,489,440,924,115,127,245,350,315,668,227,236,467
POA6050,6513,7045,13557,3057,2041,5092,1147,1957,3101,158,214,372,175,182,356,4530,4396,8926,1633,2341,3972,3.9,4.1,4,69.6,62.4,65.8,66.9,59.8,63.2,720,667,1385,204,354,555,1915,2054,3968,552,738,1292,808,435,1243,39,97,134,70,131,202,920,665,1578,6007,6403,12413,1182,1321,2502,3938,4158,8095,2954,3283,6237
POA6051,5738,5729,11470,2948,2110,5062,902,1536,2443,178,196,372,207,199,406,4244,4034,8279,1123,1392,2514,4.9,4.9,4.9,74,70.4,72.2,70.3,67,68.6,510,594,1103,153,259,417,1456,1661,3120,584,622,1205,920,585,1506,82,79,158,76,108,177,1075,773,1848,4928,4801,9730,1221,1323,2546,2639,2539,5176,3224,3312,6542
POA6052,4544,4991,9529,2344,1520,3860,690,1441,2133,125,205,323,136,119,258,3287,3284,6572,1040,1511,2554,4.1,3.7,3.9,72.4,65.8,68.9,69.4,63.4,66.3,376,413,789,131,269,406,1092,1339,2425,470,518,992,736,414,1147,31,62,93,34,95,131,803,567,1374,4577,4867,9446,745,805,1548,3011,3213,6223,2033,2181,4211
POA6053,6125,6546,12668,3086,2089,5177,940,1791,2727,208,260,467,184,180,362,4414,4316,8736,1419,1979,3398,4.2,4.1,4.2,72.1,66,68.9,69.1,63.2,66.1,412,538,954,197,321,511,1317,1625,2944,597,673,1269,1152,601,1752,46,96,147,66,130,192,1262,825,2090,6122,6434,12559,909,1004,1915,4028,4269,8302,2559,2797,5359
POA6054,8400,8894,17296,3846,2481,6328,1233,2293,3524,236,306,541,322,285,611,5638,5366,10998,2203,3086,5295,5.7,5.3,5.5,67.1,60.3,63.6,63.3,57.1,60.1,372,420,793,157,324,477,1139,1634,2773,681,861,1537,2005,1063,3069,130,152,279,99,206,306,2231,1430,3662,8391,8808,17200,1209,1226,2430,5733,6043,11773,3303,3487,6791
POA6055,12119,12533,24650,6981,3980,10960,1634,3576,5210,462,546,1007,327,376,704,9399,8481,17880,2118,3629,5745,3.5,4.4,3.9,77.6,67.7,72.5,74.9,64.7,69.7,566,673,1234,180,362,545,1743,2556,4294,1220,1412,2634,3181,1764,4942,172,209,380,164,291,457,3510,2265,5775,12875,12867,25751,2237,2327,4562,6873,6826,13691,6831,7126,13950
POA6056,16795,17421,34217,7648,4347,11989,2038,4495,6531,618,623,1241,652,554,1207,10955,10016,20972,4602,6338,10943,6,5.5,5.8,65.2,57.5,61.3,61.3,54.3,57.8,380,477,859,191,393,581,1364,2081,3451,1214,1798,3015,4631,2512,7138,284,398,686,233,440,670,5144,3350,8500,16197,16567,32767,2595,2803,5404,10955,11095,22048,6824,7325,14155
POA6057,6629,6942,13570,3400,1889,5286,829,1882,2712,258,292,552,216,202,424,4702,4265,8966,1574,2372,3945,4.6,4.8,4.7,70.9,61.4,66.1,67.7,58.5,63,120,133,251,64,152,217,495,857,1352,451,719,1169,2097,1069,3173,91,149,240,100,189,291,2292,1405,3701,6783,6920,13700,980,1073,2054,4944,5096,10043,2373,2540,4914
POA6058,5282,5408,10687,2654,1433,4093,588,1351,1939,196,191,391,202,170,375,3645,3145,6795,1315,1993,3310,5.6,5.4,5.5,69.1,58.2,63.6,65.2,55.1,60.1,113,109,226,39,98,135,407,661,1070,387,541,927,1640,877,2516,93,138,232,75,129,205,1806,1139,2953,5361,5421,10779,744,782,1525,3650,3680,7323,2084,2171,4261
POA6059,9761,10689,20446,4459,2734,7193,1540,2846,4389,248,324,579,331,267,596,6585,6171,12756,2753,4120,6871,5,4.3,4.7,67.5,57.7,62.4,64.1,55.2,59.5,597,614,1203,217,344,557,1910,2304,4213,985,1085,2068,1780,869,2642,78,153,239,125,258,385,1985,1285,3267,9696,10503,20199,1402,1419,2819,6763,7461,14221,3804,3991,7801
POA6060,10339,11595,21938,5301,3840,9137,1614,3068,4680,293,423,717,362,306,668,7571,7638,15206,2217,3465,5680,4.8,4,4.4,73.2,65.8,69.3,69.7,63.2,66.3,875,993,1868,256,480,735,2380,2940,5322,1068,1261,2325,1836,1046,2883,97,170,269,115,222,340,2050,1436,3483,9321,10430,19744,2002,2209,4214,5120,5852,10967,5586,6202,11793
POA6061,16528,17069,33596,6995,4303,11305,2747,4133,6883,584,613,1196,714,767,1490,11051,9815,20863,4154,6055,10210,6.5,7.8,7.1,66.8,57.5,62.1,62.5,53,57.7,824,801,1625,178,378,555,2208,2772,4984,1526,1738,3263,2938,1988,4920,245,309,554,229,359,586,3407,2649,6056,16021,16338,32361,2818,2857,5670,9205,9489,18695,8261,8460,16718
POA6062,14161,14474,28637,6384,3719,10101,2089,3743,5835,415,496,912,556,493,1048,9448,8447,17893,4019,5497,9518,5.9,5.8,5.9,66.7,58.3,62.5,62.8,55,58.8,631,697,1331,183,359,542,2137,2525,4660,1305,1459,2769,3116,1523,4638,172,241,408,170,368,544,3459,2134,5592,14042,14328,28369,2039,1996,4034,9473,9726,19195,5774,5804,11572
POA6063,5916,5957,11873,2757,1535,4288,873,1536,2405,213,189,403,289,253,543,4135,3513,7650,1489,2172,3654,7,7.2,7.1,69.9,59,64.4,65,54.7,59.8,143,171,309,50,99,149,577,765,1346,464,525,990,1395,805,2201,106,115,221,77,135,207,1583,1048,2627,6404,6277,12687,771,775,1540,4634,4517,9150,2114,2159,4275
POA6064,12437,12687,25122,5208,2798,8004,1870,3184,5058,389,393,785,661,553,1213,8128,6928,15051,3585,5046,8630,8.1,8,8.1,65.3,54.6,59.9,60,50.3,55.1,260,274,534,83,222,306,1003,1384,2387,805,1127,1933,2870,1558,4422,225,302,526,163,302,463,3258,2161,5415,13073,13252,26324,1468,1441,2910,9490,9533,19023,4241,4317,8560
POA6065,25781,27197,52977,13961,7746,21708,3535,8502,12039,990,1018,2006,835,851,1680,19324,18115,37440,5327,8248,13579,4.3,4.7,4.5,75,66.6,70.7,71.7,63.5,67.5,974,997,1971,305,686,995,3295,4887,8187,2404,3195,5595,6869,3610,10479,319,523,843,364,700,1065,7551,4842,12388,28476,29674,58152,3483,3750,7232,19510,20164,39674,10374,11277,21653
POA6066,7395,7522,14916,3491,1877,5372,1111,2162,3275,258,257,516,326,286,611,5191,4578,9768,1884,2662,4544,6.2,6.2,6.2,70.2,60.8,65.5,65.8,57,61.4,181,182,361,68,114,182,707,955,1664,524,711,1239,1896,1027,2928,122,140,259,107,204,317,2127,1376,3496,7982,8112,16093,745,761,1505,6135,6133,12269,2134,2271,4405
POA6067,16,22,37,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,19,31,50,0,50,13.3,0,5.9,6.7,0,2.9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,3,10,9,18,30,10,6,14,10,15,24,8,5,14
POA6068,11,0,10,3,0,4,3,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,57.1,100,62.5,57.1,100,62.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,5,0,3,0,0,0
POA6069,16617,17973,34593,9236,5493,14724,2071,5211,7281,691,708,1397,604,640,1243,12606,12045,24655,3096,5216,8309,4.8,5.3,5.1,75.9,67,71.3,72.2,63.5,67.7,472,540,1017,166,414,586,1516,2500,4014,1546,2115,3659,4771,2999,7767,289,416,702,224,442,669,5284,3852,9134,18362,19231,37594,2885,3227,6118,11622,12042,23665,7959,8936,16891
POA6070,1447,1507,2960,664,363,1024,240,495,736,62,53,114,42,37,80,1004,942,1949,391,511,898,4.1,4,4,69.6,62.5,65.9,66.7,59.9,63.3,133,119,247,50,95,140,320,418,740,158,188,346,279,131,408,11,18,32,16,47,62,308,190,498,1590,1603,3192,173,198,374,1187,1194,2385,500,525,1029
POA6071,1420,1481,2900,633,360,991,208,482,689,63,54,122,42,39,82,943,934,1881,382,488,868,4.3,4.1,4.2,66.7,63,64.8,63.8,60.5,62.1,90,96,189,49,58,108,211,328,540,148,197,344,365,155,516,14,23,41,24,33,55,400,211,610,1476,1516,2996,144,167,307,1163,1208,2372,385,410,794
POA6072,353,347,695,182,90,274,45,94,140,12,16,24,7,14,23,243,216,457,81,118,203,2.9,7.4,5,69.1,62.4,65.7,67,57.8,62.4,12,14,29,6,11,19,24,57,88,37,38,75,114,56,178,4,7,11,0,12,14,126,75,201,356,355,706,44,37,79,271,279,546,102,104,209
