POA_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
POA6012,12,68,0,17,8,0,0,0,0,108,4,17,0,0,0,0,0,0,0,27,113,480,20,72,87,27,3,18,15,835,0,0,0,0,0,0,0,0,0,0,12,24,0,30,22,8,0,4,0,102,18,9,3,23,17,9,0,7,0,94,15,4,16,42,23,12,0,5,0,119,0,3,0,8,4,0,0,0,0,16,3,0,0,4,11,3,0,0,0,25,0,10,3,0,5,0,0,0,0,18,5,10,0,4,9,0,0,0,8,28,252,881,47,214,211,71,3,43,21,1755,0,9,0,0,0,0,0,0,0,15,14,146,7,0,0,0,0,0,4,172,155,339,7,22,40,15,4,9,9,605,9,13,0,3,0,0,0,0,0,23,32,108,4,14,10,0,4,4,0,177,6,21,0,0,0,0,0,0,0,35,325,885,52,112,122,76,16,41,32,1673,0,0,0,0,0,0,0,0,0,0
POA6014,27,194,3,16,30,7,0,0,4,286,12,46,0,0,3,3,0,0,0,66,298,1314,46,178,279,78,7,64,12,2284,0,0,0,0,0,0,0,0,0,0,34,76,13,60,59,12,3,13,4,274,26,53,17,69,52,19,0,25,0,259,19,25,42,113,76,32,4,28,0,349,3,3,0,5,11,9,0,4,0,33,9,7,3,13,29,6,0,9,0,82,9,16,0,4,9,5,0,3,0,45,6,15,0,15,10,5,0,8,9,71,593,2352,145,550,645,199,23,207,52,4768,10,25,3,0,0,0,0,0,0,36,38,341,6,3,9,0,0,7,3,404,383,854,36,97,107,32,33,103,18,1662,23,51,0,3,3,0,0,4,3,84,70,288,7,19,34,7,0,5,4,434,22,57,0,3,12,5,0,0,0,98,812,2486,134,247,388,148,80,166,30,4508,0,0,0,0,0,0,0,0,0,0
POA6015,18,42,0,3,16,4,0,0,3,89,5,7,0,0,0,0,0,0,0,11,87,320,10,28,78,22,5,11,9,563,0,0,0,0,0,0,0,0,0,0,7,31,4,11,16,3,0,0,0,82,12,20,0,5,14,4,0,0,0,62,5,5,3,21,8,7,0,0,0,48,3,0,0,0,0,3,0,0,0,11,0,0,0,3,3,5,0,0,0,18,0,8,0,0,0,0,0,0,0,10,0,3,0,3,5,5,0,0,0,20,200,598,22,87,168,47,4,14,19,1162,0,17,0,0,0,0,0,0,0,20,21,102,0,0,0,0,0,0,0,124,160,202,6,4,27,3,0,0,8,419,7,16,0,0,0,0,0,0,0,25,32,80,4,4,16,4,0,0,0,143,5,7,0,0,5,0,0,0,0,19,281,706,22,52,111,43,11,12,22,1266,0,0,0,0,0,0,0,0,0,0
POA6016,18,108,0,10,12,4,0,0,0,153,5,19,0,0,0,4,0,0,0,35,159,641,28,120,109,34,6,47,10,1145,0,0,0,0,0,0,0,0,0,3,16,50,12,25,29,7,0,12,0,151,16,26,16,62,40,24,5,13,0,190,28,17,30,59,39,16,6,10,0,213,0,0,0,12,11,3,0,0,0,24,6,4,3,27,20,6,0,0,0,61,0,3,0,4,0,0,0,3,0,18,0,10,0,9,7,0,0,9,0,40,314,1144,95,381,296,109,16,131,16,2507,0,11,0,0,0,0,0,0,0,18,19,107,3,0,6,0,3,0,0,143,124,356,26,68,43,32,26,69,8,762,3,15,0,6,0,0,0,0,0,34,43,167,4,16,14,4,6,5,0,246,16,30,0,0,3,0,0,0,0,62,356,1148,69,168,158,77,45,128,19,2172,0,0,0,0,0,0,0,0,0,6
POA6017,3,27,0,6,5,0,0,3,0,50,0,6,0,0,0,0,0,0,0,8,35,191,20,68,46,30,8,36,0,429,0,0,0,0,0,0,0,0,0,0,13,13,4,7,9,3,0,9,5,51,10,10,11,44,20,13,0,15,0,114,15,9,13,45,27,15,8,14,0,140,4,0,0,0,11,0,3,5,0,26,7,0,0,0,10,0,0,0,0,30,0,4,0,0,0,0,0,0,0,11,0,0,0,5,0,5,0,5,0,24,94,325,60,215,149,73,14,117,17,1059,0,3,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0,14,26,113,16,49,29,14,19,61,0,324,0,6,0,3,0,0,0,6,0,13,9,36,0,6,6,0,3,8,0,76,5,8,0,0,0,0,0,0,0,19,78,332,60,96,59,44,47,98,7,819,0,0,0,0,0,0,0,0,0,0
POA6018,55,333,4,32,43,6,0,4,0,483,22,100,0,11,11,0,0,0,0,147,508,2305,78,299,526,163,16,44,31,3959,5,0,0,0,3,0,0,0,0,11,63,137,27,94,113,36,5,15,4,495,99,135,43,175,206,57,6,22,11,754,88,85,123,276,225,94,30,33,17,955,9,11,6,30,36,26,0,9,0,124,21,25,7,50,75,23,6,5,0,207,9,26,0,8,14,6,0,3,0,76,21,35,7,29,28,18,0,6,20,156,1059,4045,323,1056,1395,444,58,149,92,8609,11,44,0,0,10,0,0,0,0,59,42,322,4,4,13,3,0,0,0,401,422,1179,40,74,148,36,10,22,9,1948,20,59,0,0,4,0,0,5,0,88,129,510,22,45,59,4,3,8,0,784,50,127,6,20,19,0,0,0,0,222,1274,4103,253,420,732,279,66,124,70,7326,5,0,0,0,3,0,0,0,0,9
POA6019,41,209,0,23,25,0,0,6,4,311,16,55,0,10,5,0,0,0,0,85,367,1460,64,224,286,81,9,63,30,2587,0,0,0,6,3,6,0,0,0,11,40,89,19,50,79,20,0,8,0,305,59,89,28,120,124,40,11,20,0,486,52,58,102,161,140,56,19,29,7,629,6,4,5,15,27,12,0,0,0,82,13,17,9,32,47,9,3,0,0,127,7,17,0,9,10,7,0,0,0,57,6,32,3,22,20,11,0,8,21,119,771,2546,248,708,819,272,50,148,77,5640,11,29,0,5,0,0,0,0,0,47,37,196,0,6,8,0,0,0,6,257,314,754,26,47,75,29,8,13,9,1285,20,33,0,0,3,0,0,0,0,57,82,306,6,31,30,3,0,14,6,487,22,78,0,18,3,5,0,0,0,129,860,2549,175,326,397,166,55,120,52,4704,0,0,4,5,3,3,0,0,0,14
POA6020,26,157,4,17,20,6,0,0,0,237,18,46,0,3,5,0,0,0,0,67,219,1088,39,144,247,63,0,20,31,1850,0,0,0,3,0,0,0,0,0,6,35,97,23,50,62,20,3,6,5,296,36,73,15,82,68,27,0,0,0,309,50,48,57,143,125,48,0,18,0,489,6,0,5,18,19,8,0,0,0,54,16,19,5,17,54,19,0,3,0,134,3,17,0,7,13,3,0,0,0,47,10,24,4,14,24,6,0,0,9,95,506,1916,159,515,672,219,9,55,49,4106,10,16,0,0,0,0,0,0,0,27,22,161,8,7,3,5,0,0,0,203,232,459,15,17,62,7,3,3,14,813,15,37,0,0,4,0,0,0,0,59,67,229,8,23,34,10,4,0,0,372,30,52,0,11,11,0,0,0,0,104,694,1917,109,222,339,128,22,42,48,3526,0,5,0,3,0,0,0,0,0,9
POA6021,19,98,4,14,17,0,0,0,0,148,7,33,0,0,3,0,0,0,0,48,161,814,62,137,203,67,12,31,20,1509,0,0,0,0,4,0,0,0,0,7,28,49,13,53,47,29,3,6,0,225,33,41,24,116,130,27,6,12,6,400,41,38,102,175,157,57,4,30,5,608,6,3,4,9,31,16,0,5,0,78,10,14,0,23,49,18,0,9,0,119,3,11,5,6,14,0,0,3,0,43,8,14,3,27,20,14,0,9,7,108,380,1378,225,583,731,245,28,118,44,3728,5,6,0,0,3,0,0,0,0,14,12,111,4,0,7,0,0,0,4,138,152,377,21,46,51,34,16,20,10,732,8,24,0,0,3,0,0,0,0,34,36,144,5,19,18,0,0,3,0,234,15,39,3,6,3,0,0,0,0,68,397,1490,135,189,307,143,68,81,34,2831,0,0,0,0,4,0,0,0,0,10
POA6022,4,37,0,6,0,0,0,0,0,49,3,7,0,0,0,0,0,0,0,14,31,231,4,23,48,10,0,6,4,362,0,0,0,0,0,0,0,0,0,0,5,28,5,8,20,4,0,0,0,72,13,11,11,34,33,9,0,0,6,123,9,8,34,56,39,10,0,12,0,171,0,4,5,0,3,6,0,4,0,17,0,0,0,8,3,6,0,0,0,22,0,0,0,4,0,0,0,0,0,10,0,5,0,0,4,3,0,0,0,17,85,378,55,154,168,48,4,22,8,932,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,27,22,77,3,7,14,6,0,0,0,120,0,0,0,0,0,0,0,0,0,6,14,50,5,11,0,0,0,0,0,80,4,13,0,0,0,0,0,0,0,18,82,381,27,38,69,14,6,17,8,645,0,0,0,0,0,0,0,0,0,4
POA6023,24,111,5,20,25,4,0,0,0,190,8,33,0,3,5,0,0,0,0,50,112,764,29,88,174,29,0,15,10,1218,0,0,0,0,0,0,0,0,0,0,23,73,11,50,58,12,3,3,0,232,30,67,14,52,71,16,0,9,0,260,30,28,46,137,97,37,8,11,11,402,3,8,0,9,14,11,0,0,0,48,10,8,3,4,33,11,0,6,0,80,5,9,3,4,7,4,0,4,0,34,9,21,0,7,9,10,0,0,8,60,335,1355,117,389,521,125,11,44,36,2932,4,16,0,0,0,0,0,0,0,23,24,96,0,0,5,0,0,0,4,123,161,340,13,15,41,4,4,3,5,580,6,25,0,0,3,0,0,0,0,35,60,165,5,26,29,0,0,0,0,287,15,46,4,7,5,0,0,0,0,82,382,1319,85,118,225,65,25,33,13,2259,0,0,0,0,0,0,0,0,0,3
POA6024,19,93,0,15,11,0,0,0,0,147,5,38,0,0,4,0,0,0,0,46,85,549,20,82,102,25,4,14,8,895,0,0,0,0,0,0,0,0,0,0,16,44,11,26,38,0,0,5,0,140,28,45,22,52,60,23,3,4,4,234,32,33,60,147,142,47,4,31,0,495,0,3,0,10,16,18,0,8,0,60,0,0,4,18,47,6,0,3,0,93,0,5,4,6,4,4,0,0,0,24,5,14,0,11,15,0,3,8,3,57,228,987,126,379,461,130,16,64,29,2418,0,15,0,0,0,0,0,0,0,12,11,54,0,3,0,0,0,0,0,63,74,197,11,7,22,3,3,0,3,333,4,6,0,0,0,0,0,0,0,13,28,124,3,19,15,6,0,6,0,197,12,44,0,0,4,0,0,0,0,64,212,918,61,116,159,42,22,39,13,1575,0,0,0,0,0,0,0,0,0,0
POA6025,36,202,8,39,29,0,0,0,0,313,9,69,0,7,4,0,0,0,0,93,280,1395,56,187,287,76,9,33,16,2333,4,0,0,9,0,0,0,0,0,12,55,144,24,89,113,25,3,9,4,455,64,91,34,156,169,43,0,16,10,587,81,78,152,309,273,87,21,48,3,1049,10,5,13,24,35,22,0,8,0,112,15,18,12,42,71,15,5,6,0,183,7,17,0,9,19,3,0,0,0,61,11,28,4,26,34,17,0,8,17,147,637,2416,305,921,1081,298,41,128,55,5895,5,18,0,0,0,0,0,0,0,28,21,144,5,0,5,0,0,0,3,178,229,524,23,35,58,17,0,5,3,897,11,27,0,0,4,0,0,0,0,42,71,296,13,44,35,0,6,4,0,471,22,86,6,8,11,0,0,0,0,137,711,2206,167,275,405,126,37,68,39,4027,4,0,7,9,0,0,0,0,0,15
POA6026,19,148,0,29,20,6,0,3,0,213,11,31,0,4,9,0,0,0,0,57,158,915,36,123,209,43,12,12,6,1512,0,0,0,3,0,0,0,0,0,4,27,104,23,66,88,16,3,5,0,327,54,67,24,119,149,39,5,8,3,474,58,50,90,263,221,86,7,29,7,815,11,4,6,21,30,20,0,11,0,98,11,4,6,37,66,19,0,0,4,150,3,9,3,3,9,9,0,0,0,37,9,24,0,20,24,6,0,3,4,88,390,1587,207,696,854,244,31,82,31,4114,0,20,0,0,3,0,0,0,0,25,12,105,0,5,3,0,0,0,0,124,111,319,24,21,44,6,3,6,10,537,3,24,0,0,7,0,0,0,0,29,40,200,5,29,23,6,0,3,0,315,27,48,0,11,11,0,0,0,0,100,402,1531,125,179,298,89,30,37,13,2700,0,0,0,3,0,0,0,0,0,8
POA6027,31,223,8,42,36,3,0,0,0,340,14,79,0,7,10,0,0,0,0,116,304,1526,78,296,342,105,11,44,24,2736,0,0,0,3,0,0,0,0,0,9,60,159,33,115,144,38,5,14,5,573,94,147,59,293,250,83,15,42,6,988,113,107,205,493,390,162,22,82,23,1601,17,5,8,43,44,41,0,18,0,174,20,19,12,64,106,25,0,13,4,272,9,16,6,16,23,8,0,5,3,85,12,36,7,48,35,28,3,12,21,199,768,2761,445,1461,1438,508,68,237,91,7777,10,26,0,0,0,0,0,0,0,47,27,167,4,10,14,0,0,0,0,225,226,570,30,52,73,30,21,24,9,1024,8,34,0,0,9,0,0,0,0,58,57,327,11,45,38,7,0,0,5,490,40,106,4,18,12,5,0,0,0,191,723,2483,221,420,490,184,66,111,45,4739,4,0,0,3,0,0,0,0,0,13
POA6028,22,98,6,24,24,5,0,0,0,183,10,31,0,8,4,0,0,0,0,54,193,908,39,121,228,62,5,16,15,1596,0,0,0,0,3,0,0,0,0,7,52,91,17,67,113,24,5,10,0,387,65,88,28,158,148,44,0,10,11,546,54,55,118,277,221,83,14,24,4,845,11,6,0,22,45,22,0,5,0,112,14,15,7,24,63,21,3,13,3,160,5,9,3,10,13,3,0,4,0,46,8,23,0,19,28,8,0,13,12,106,482,1554,228,739,918,284,28,95,49,4377,5,19,0,0,5,0,0,0,0,33,12,86,0,0,0,0,0,3,0,108,147,322,12,21,42,16,5,3,4,585,10,25,0,0,0,0,0,0,0,34,35,164,10,29,30,4,0,6,6,278,29,46,0,18,5,0,0,0,0,99,511,1498,124,193,317,105,30,43,33,2855,0,0,4,0,3,0,0,0,0,11
POA6029,3,16,0,0,5,0,0,0,0,21,4,14,0,0,0,0,0,0,0,13,34,147,3,19,34,5,0,0,0,253,0,0,0,0,0,0,0,0,0,4,11,12,0,7,10,8,0,0,0,42,8,9,0,7,10,4,0,0,0,36,4,10,11,8,12,4,0,3,0,46,0,0,6,0,4,0,0,0,0,7,3,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,3,6,78,269,21,44,81,30,0,5,4,535,0,5,0,0,0,0,0,0,0,5,5,15,0,0,0,0,0,0,0,24,27,89,0,0,6,0,0,0,0,121,0,5,0,0,0,0,0,0,0,10,6,27,3,0,5,0,0,0,0,41,4,14,0,0,0,0,0,0,0,15,99,287,6,21,50,10,0,8,9,493,0,0,0,0,0,0,0,0,0,4
POA6030,17,129,6,46,18,4,0,4,0,230,3,44,3,5,3,5,0,0,0,66,198,1031,56,251,244,80,17,45,17,1940,3,0,0,5,5,0,0,0,0,8,60,117,29,95,137,20,8,18,0,485,105,125,50,353,236,68,16,43,15,1002,111,111,199,628,350,174,25,132,27,1757,30,7,12,56,71,55,5,22,0,254,22,13,19,65,75,30,3,18,0,248,9,13,4,14,20,14,9,7,0,86,10,21,8,24,58,20,0,15,14,175,604,1868,395,1580,1268,491,81,314,76,6675,6,20,0,0,0,0,0,0,0,30,13,68,0,0,4,0,0,0,0,89,112,370,14,37,61,34,11,9,9,657,5,17,0,0,0,0,0,0,0,33,36,190,7,51,22,8,0,7,3,323,16,54,4,6,6,8,3,0,0,98,434,1526,167,365,359,126,68,94,23,3170,4,3,0,5,5,0,0,0,0,13
POA6031,9,42,0,25,11,0,0,0,0,95,4,36,0,0,3,0,0,0,0,42,87,533,38,114,123,59,7,35,12,1006,0,0,0,3,0,0,0,0,0,3,23,51,12,43,52,14,4,10,5,209,50,62,31,180,121,34,5,18,4,510,42,61,127,309,236,79,26,47,4,932,9,3,4,22,33,19,9,27,0,122,9,10,6,34,41,19,0,12,4,128,0,4,0,6,15,4,0,3,0,39,7,18,3,23,22,15,0,11,23,116,258,926,233,769,676,250,57,163,58,3384,0,10,0,0,0,0,0,0,0,13,7,20,0,0,0,0,0,0,0,32,43,134,17,17,33,15,12,9,6,279,4,11,0,0,3,0,0,0,0,20,20,66,3,28,14,0,5,0,0,137,13,41,0,4,4,3,0,0,0,64,194,803,94,156,164,82,42,66,13,1616,0,3,0,3,0,0,0,0,0,7
POA6032,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,0,6,7,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0
POA6033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,0,5,3,4,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,4,9,8,3,0,3,0,58,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,5,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,7,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0
POA6034,0,12,0,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,14,104,5,25,21,6,0,3,0,174,5,0,0,3,0,0,0,0,0,0,3,8,0,13,5,0,0,3,0,33,12,14,4,52,27,13,0,0,6,132,10,8,27,72,46,14,5,12,4,202,3,0,0,4,6,4,0,0,0,23,0,3,3,12,3,0,0,4,0,26,3,4,0,4,3,0,0,0,0,7,0,0,5,5,5,3,0,0,5,14,56,166,33,191,123,42,9,28,9,665,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,21,0,0,7,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,30,147,12,24,26,9,0,5,0,261,5,0,0,3,0,0,0,0,0,5
POA6035,10,30,0,11,9,0,0,3,0,61,3,4,0,0,5,0,0,0,0,16,35,184,12,36,57,9,3,12,0,352,0,0,0,0,0,0,0,0,0,3,19,22,3,25,16,13,3,3,0,104,21,26,10,79,49,23,4,8,3,233,37,22,64,173,108,31,21,37,5,493,0,6,7,11,21,11,3,13,0,69,5,7,4,16,15,7,3,7,0,63,5,7,0,3,3,0,0,0,0,23,3,5,0,12,6,0,0,7,4,46,137,344,116,375,297,95,34,95,23,1527,0,4,0,0,0,0,0,0,0,4,0,7,0,0,5,0,0,0,0,15,15,48,7,5,4,4,0,0,0,88,0,6,0,0,0,0,0,0,0,7,9,32,0,16,9,0,0,3,0,72,6,6,0,0,5,0,0,0,0,26,60,257,28,61,69,19,6,24,4,518,0,0,0,0,0,0,0,0,0,3
POA6036,8,51,3,22,12,4,0,0,0,95,7,15,0,0,3,0,0,0,0,28,65,429,24,94,114,23,4,24,3,777,4,0,0,7,0,3,0,0,0,11,26,56,11,49,47,12,0,10,3,215,40,52,25,167,81,43,3,24,3,440,72,51,124,278,160,74,18,49,6,832,11,0,5,24,24,26,0,9,0,101,5,6,3,29,38,19,7,7,0,119,9,7,4,18,9,3,4,4,0,53,5,11,6,22,19,6,3,3,8,86,251,781,209,729,517,220,42,136,36,2923,0,4,0,0,0,0,0,0,0,10,5,17,0,4,0,0,0,0,0,27,46,135,11,28,24,4,6,3,0,264,0,13,0,0,0,0,0,0,0,15,11,73,3,25,14,5,3,0,0,134,15,25,0,5,3,0,0,0,0,43,163,639,64,134,140,53,25,43,5,1271,4,0,0,7,0,3,0,0,0,10
