POA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA6012,90,106,70,52,76,38,37,471,51,55,43,19,39,27,10,242,40,59,29,27,36,35,10,234,177,226,143,82,134,86,26,868,0,0,0,0,0,0,0,4,354,444,283,176,282,189,83,1817,0,7,14,8,15,7,8,57,4,14,5,9,8,4,0,44,7,6,3,12,6,3,0,37,12,16,24,16,31,12,13,115,0,0,0,0,0,0,0,0,15,52,46,43,52,29,19,262,368,492,333,225,338,221,101,2080
POA6014,303,441,260,172,184,109,39,1501,139,183,117,73,105,51,28,698,131,186,121,66,87,47,21,656,493,585,410,257,342,188,73,2345,8,0,0,0,0,0,0,13,1064,1398,909,569,724,392,169,5217,6,32,29,23,35,16,12,154,14,13,10,11,12,11,3,87,7,10,8,4,11,6,4,51,17,47,54,39,48,21,16,239,0,3,0,0,0,0,0,7,52,111,102,79,109,56,36,536,1115,1503,1008,649,833,453,203,5752
POA6015,41,75,65,53,80,37,26,381,24,49,40,39,44,21,12,228,32,74,41,36,33,14,17,249,75,172,140,113,160,115,44,816,0,0,0,0,0,0,0,0,172,371,284,243,317,188,103,1674,0,3,10,4,7,0,0,19,4,9,7,7,8,5,0,39,3,9,0,0,6,4,0,27,9,0,8,3,20,3,0,52,0,0,0,0,0,0,0,0,10,19,31,17,38,21,6,144,181,394,318,259,353,209,110,1824
POA6016,179,192,108,55,58,41,25,654,78,88,60,40,37,18,7,323,76,85,51,23,26,13,7,287,316,286,180,110,145,68,25,1131,0,0,0,0,0,0,0,5,657,647,401,229,262,136,62,2393,3,23,9,8,6,4,5,62,8,14,15,11,8,5,3,62,0,9,8,8,10,0,0,38,19,42,25,23,35,11,6,150,4,7,0,0,0,0,0,11,34,89,59,45,58,28,15,328,686,740,463,271,323,158,76,2719
POA6017,123,81,46,13,18,10,12,308,15,4,4,0,0,0,0,31,13,7,0,0,0,0,0,28,46,29,8,4,5,0,4,89,0,0,0,0,0,0,0,0,198,116,57,17,28,10,16,456,9,9,3,0,11,4,3,38,0,3,5,0,0,0,0,13,7,7,3,0,0,0,0,11,5,12,3,5,4,5,0,33,0,0,0,0,0,0,0,0,23,28,20,9,15,7,4,99,223,143,78,30,48,20,20,553
POA6018,657,667,384,265,323,194,89,2585,305,240,139,112,145,79,34,1050,284,285,141,106,126,46,46,1039,1045,918,553,378,497,237,111,3744,4,3,3,0,0,0,0,10,2296,2116,1221,864,1094,553,276,8420,31,70,63,52,61,41,22,339,19,43,38,42,51,26,6,242,20,41,33,14,32,23,13,176,72,151,115,84,105,40,24,586,4,6,0,4,0,0,0,16,147,314,249,206,251,133,65,1359,2441,2431,1466,1062,1354,691,348,9784
POA6019,300,297,164,98,144,99,39,1132,176,126,64,48,67,32,12,526,193,161,81,52,77,30,18,623,541,438,269,142,203,88,58,1742,4,6,3,0,0,0,0,9,1218,1022,584,344,491,251,132,4038,23,39,28,14,26,15,6,153,10,43,24,26,34,7,8,153,8,31,17,13,21,6,4,99,31,92,67,51,66,47,22,376,8,8,0,0,0,0,0,21,78,206,136,108,153,80,41,802,1301,1224,725,449,643,326,172,4840
POA6020,207,314,178,113,143,98,63,1118,133,187,112,60,105,53,31,683,98,169,109,73,84,36,18,592,521,712,478,288,356,154,79,2595,0,0,5,0,0,0,0,12,970,1386,886,534,690,346,191,5002,4,15,17,12,16,11,11,84,14,16,15,21,18,6,3,95,8,7,19,6,11,6,4,64,29,65,56,42,55,22,13,282,5,0,0,0,0,0,0,4,62,108,106,78,104,40,38,530,1034,1488,995,609,794,390,227,5534
POA6021,387,376,167,97,164,87,68,1352,126,97,54,30,59,22,11,402,133,106,48,33,29,19,10,372,381,413,229,157,211,92,45,1528,7,0,3,3,5,0,0,16,1035,1001,497,319,464,225,140,3680,15,39,29,25,35,19,22,183,11,28,12,10,20,9,3,99,6,17,11,5,11,5,0,55,46,80,48,46,59,19,8,295,7,4,3,0,0,0,0,11,78,167,101,89,117,51,32,643,1110,1167,599,407,581,274,173,4320
POA6022,83,79,38,16,30,13,19,278,43,22,12,15,10,6,0,110,47,42,15,15,16,3,0,150,153,135,75,45,58,16,3,490,5,0,0,0,0,0,0,4,338,274,144,91,115,43,28,1029,5,5,5,3,6,0,3,32,4,4,0,8,8,3,0,31,4,10,3,3,9,0,0,30,9,39,28,9,8,6,0,101,3,0,0,0,0,0,0,8,26,60,37,28,38,11,3,201,360,335,180,123,146,58,32,1232
POA6023,205,294,223,153,182,86,47,1193,113,138,85,48,62,22,19,491,121,117,88,69,62,24,10,482,373,473,324,207,253,92,34,1758,4,3,0,0,0,0,0,15,810,1027,722,484,564,229,105,3936,3,21,21,30,31,13,10,122,6,19,14,11,12,4,3,70,6,15,19,17,14,0,0,67,23,54,59,32,51,21,5,235,0,3,0,0,0,0,0,8,43,104,116,86,100,35,22,507,854,1134,835,566,660,266,123,4446
POA6024,215,155,72,66,80,45,24,668,111,95,82,30,44,15,7,384,107,73,44,26,44,16,3,310,372,337,193,127,154,64,21,1267,0,0,0,0,0,0,0,3,810,664,396,245,322,138,60,2634,5,17,15,11,16,11,3,85,5,25,18,20,15,3,7,88,9,17,15,12,17,6,4,75,34,78,57,46,61,17,11,300,0,4,0,4,0,0,0,12,54,141,109,94,108,41,20,562,864,802,502,333,434,175,82,3193
POA6025,456,440,306,214,305,166,108,1990,227,231,127,92,103,50,23,860,238,230,156,89,93,41,24,873,765,739,421,299,339,146,61,2776,6,4,5,0,0,0,0,16,1690,1640,1018,687,849,406,220,6511,24,50,39,32,52,31,16,237,21,41,39,20,34,5,6,158,26,26,27,22,32,10,6,153,72,139,127,68,103,43,25,572,4,10,3,4,0,0,0,16,148,266,225,148,221,82,47,1146,1838,1905,1245,834,1072,498,268,7657
POA6026,238,343,277,185,237,124,63,1469,135,179,107,70,98,35,13,653,144,196,99,51,81,30,20,617,446,558,344,227,270,127,59,2031,5,0,0,0,0,0,0,6,961,1282,830,529,688,326,150,4775,11,33,29,12,32,21,12,149,15,26,29,13,24,13,3,121,14,25,14,12,16,3,5,93,35,57,51,45,66,31,9,307,4,4,0,0,0,0,0,9,76,151,124,88,134,65,30,680,1044,1438,951,618,826,391,185,5455
POA6027,577,634,424,337,472,215,116,2771,297,304,156,90,131,46,34,1063,329,320,144,119,137,63,23,1130,793,812,481,317,352,111,55,2919,7,12,7,8,0,0,0,37,2004,2080,1218,864,1094,429,230,7918,35,88,57,59,85,47,33,398,30,61,42,41,46,10,7,231,26,49,37,29,28,13,10,192,96,178,128,97,113,40,28,675,7,3,3,0,5,0,0,20,191,379,268,228,274,105,75,1517,2192,2457,1477,1093,1367,538,298,9430
POA6028,418,560,410,304,457,235,161,2544,158,180,100,57,94,43,25,659,139,156,77,71,78,28,11,554,297,377,284,189,247,91,43,1525,5,0,0,5,0,0,0,8,1013,1279,873,626,880,399,237,5296,20,56,43,39,78,31,22,293,20,30,22,12,19,3,5,118,7,25,13,13,16,3,8,92,32,64,39,26,41,11,15,226,7,0,0,5,0,0,0,13,81,182,118,96,166,51,45,739,1091,1461,994,726,1038,453,283,6034
POA6029,13,13,17,9,10,7,5,82,17,21,16,13,15,7,6,98,18,27,13,18,24,5,6,104,83,104,60,39,55,47,15,414,0,0,0,0,0,0,0,4,133,167,109,70,110,71,31,689,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,11,0,0,3,0,0,0,0,9,0,5,5,0,6,4,0,19,0,0,0,0,0,0,0,0,3,12,7,6,13,4,5,40,139,176,110,81,123,75,37,732
POA6030,725,792,571,396,545,231,165,3423,277,251,111,85,102,43,19,891,261,244,127,67,96,33,18,837,620,678,396,256,305,80,35,2370,7,6,0,3,0,0,0,21,1892,1963,1210,804,1054,392,235,7542,86,124,123,86,127,46,30,620,56,101,73,49,47,13,3,330,55,76,46,41,46,13,11,283,184,276,173,148,168,38,8,1003,13,17,13,6,5,0,0,51,390,600,420,319,389,114,59,2288,2276,2558,1631,1122,1440,506,294,9833
POA6031,501,587,318,238,300,147,79,2167,171,168,75,41,40,12,0,508,155,159,63,38,52,10,0,484,488,401,180,141,141,43,18,1406,5,8,3,0,3,0,0,27,1314,1334,636,453,537,216,105,4592,51,94,60,34,72,18,20,347,26,37,20,13,24,7,0,127,17,27,23,18,21,3,4,118,86,130,86,64,60,12,0,445,9,5,3,3,0,0,0,18,181,296,197,138,177,43,29,1055,1495,1628,830,589,719,262,130,5645
POA6032,0,0,0,3,0,6,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,4,5,4,3,3,0,27,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,9,3,10,8,5,3,3,0,29
POA6033,0,7,3,5,4,0,0,18,4,4,5,0,0,0,0,9,7,9,7,0,5,0,0,19,3,12,3,5,5,0,0,35,0,0,0,0,0,0,0,0,15,22,15,15,22,4,9,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,15,27,14,18,22,4,3,96
POA6034,141,130,61,32,38,20,3,428,57,29,15,6,5,0,0,108,54,25,12,7,8,4,0,103,129,80,33,18,14,0,0,273,0,4,0,0,0,0,0,4,378,263,118,61,73,22,7,918,13,14,4,10,5,4,3,46,16,6,3,0,5,0,0,30,12,12,0,5,0,0,0,29,26,28,15,9,6,0,4,88,0,0,0,0,0,0,0,0,58,56,29,20,21,3,6,194,437,320,141,89,89,23,12,1113
POA6035,215,237,147,110,139,43,18,903,89,88,50,20,31,5,0,280,116,111,41,25,21,3,0,318,287,257,140,80,65,9,8,841,4,9,0,0,0,0,0,9,702,699,378,235,249,58,22,2352,26,37,39,24,21,7,4,154,20,26,13,9,3,0,0,69,17,33,18,7,11,0,4,85,78,118,84,45,47,3,3,382,3,6,0,0,6,0,0,10,135,217,154,81,87,12,13,703,837,915,533,317,342,74,35,3053
POA6036,392,428,305,213,336,131,78,1884,155,131,60,33,48,6,9,443,120,133,77,39,33,10,4,428,294,290,181,93,125,26,5,1014,12,6,7,0,0,0,0,22,975,988,633,381,546,176,93,3791,65,78,60,36,76,16,23,355,38,43,29,21,20,5,4,157,31,34,23,18,27,9,3,150,107,131,85,53,68,10,0,458,5,4,3,5,0,0,0,16,249,293,203,131,199,37,25,1138,1222,1278,834,516,740,215,122,4926
POA6037,40,47,37,20,24,3,0,171,14,30,24,8,10,0,0,83,30,34,23,7,19,5,0,121,119,129,73,44,29,7,0,411,0,0,0,0,0,0,0,3,196,249,166,77,87,13,0,797,3,0,0,5,5,0,0,19,3,11,6,0,0,0,0,22,4,4,3,0,0,0,0,9,14,33,10,14,8,0,0,82,7,0,0,0,0,0,0,7,26,48,22,19,14,0,0,138,224,298,185,98,99,18,3,929
POA6038,349,368,233,130,158,43,29,1304,132,94,31,15,16,0,0,289,108,88,25,17,14,0,0,257,256,185,69,33,40,3,5,597,4,3,0,0,0,0,0,7,844,733,361,195,233,59,31,2447,35,54,31,16,36,16,12,192,19,25,15,11,9,0,5,84,26,35,16,12,7,0,3,100,51,68,30,20,17,0,6,202,4,0,0,0,0,0,0,7,135,187,94,60,75,20,22,583,977,918,451,256,303,78,49,3031
POA6041,11,10,6,7,10,6,0,45,6,4,0,0,0,0,0,18,4,3,7,4,5,0,0,27,31,38,14,15,18,3,0,120,0,0,0,0,0,0,0,0,45,59,40,24,39,5,0,211,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,3,3,4,0,0,10,15,17,9,3,4,0,0,48,0,0,0,0,0,0,0,0,21,20,11,8,15,0,0,70,66,76,43,39,46,5,0,275
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,6
POA6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8
POA6044,3,0,3,0,0,0,0,8,0,0,0,4,0,0,0,4,3,6,0,0,8,0,0,11,28,18,20,15,16,3,0,95,0,0,0,0,0,0,0,0,29,24,23,19,20,3,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,13,35,26,28,20,22,3,0,136
POA6050,124,126,74,62,60,40,33,524,89,94,55,41,50,33,13,380,83,99,45,43,51,33,20,361,295,306,187,146,191,105,63,1290,3,3,0,0,0,0,0,13,598,636,361,279,353,209,128,2571,5,26,17,11,9,8,6,85,16,20,9,8,10,10,4,76,4,9,6,6,6,7,4,42,14,23,26,24,31,12,12,139,5,0,0,0,0,0,0,6,39,69,61,54,54,34,26,342,642,703,424,334,410,246,154,2907
POA6051,249,181,83,43,55,19,19,644,64,31,18,22,30,7,3,186,75,59,27,18,16,8,8,206,190,113,68,48,53,24,12,511,3,0,0,0,0,0,0,5,582,385,203,127,153,61,39,1549,28,26,27,20,16,9,9,132,12,19,12,12,7,4,4,65,8,11,12,8,0,5,0,46,24,35,25,21,18,4,0,131,3,5,0,0,0,0,0,6,83,94,75,55,43,20,12,380,661,475,278,183,191,82,53,1927
POA6052,146,129,79,40,57,35,22,513,97,100,53,27,32,20,7,330,91,76,37,26,35,10,12,291,285,260,148,97,115,78,32,1007,0,0,0,0,0,0,0,0,616,566,306,194,233,150,67,2139,0,12,15,17,9,8,5,74,10,25,10,7,12,4,0,68,0,9,11,9,0,8,0,37,28,47,30,26,29,9,7,179,4,0,0,0,0,0,0,5,45,94,67,52,50,32,21,360,664,652,376,246,290,177,89,2495
POA6053,227,180,90,46,73,54,21,692,127,107,62,44,48,21,7,425,134,89,47,34,37,11,12,371,379,318,177,118,141,65,28,1226,3,4,4,0,0,0,0,8,875,706,385,246,295,158,68,2728,23,20,9,17,22,6,5,101,15,19,12,8,9,3,7,68,9,14,11,8,10,10,4,62,37,55,40,33,49,11,7,225,0,0,0,0,0,0,0,9,85,110,64,69,93,33,23,469,956,815,451,314,384,188,86,3193
POA6054,256,251,113,74,91,57,36,877,137,138,64,45,54,19,14,471,140,105,61,30,36,15,11,405,519,408,247,162,187,81,27,1623,3,6,0,0,0,0,0,8,1058,905,486,307,371,171,84,3386,28,55,30,18,23,21,10,181,29,35,27,30,24,5,0,147,8,29,12,15,12,5,0,90,89,136,102,76,82,14,15,516,3,8,7,3,0,0,0,15,158,266,171,143,145,49,29,960,1216,1174,658,454,513,220,111,4346
POA6055,1430,1112,457,242,351,167,77,3834,276,180,84,43,58,19,13,676,258,182,80,52,60,9,6,651,939,634,300,197,213,61,34,2378,13,4,6,3,0,0,0,34,2913,2119,929,538,674,264,134,7576,63,70,61,35,43,20,14,304,30,47,19,14,8,8,4,129,27,29,20,14,19,11,8,118,134,178,94,65,79,27,9,586,6,0,3,0,0,0,0,15,249,319,196,139,152,66,30,1151,3164,2434,1125,678,826,334,168,8728
POA6056,341,350,199,137,174,93,38,1340,162,180,102,87,81,21,7,641,223,187,90,59,58,26,16,657,981,898,519,347,413,107,67,3332,6,10,3,3,0,3,0,27,1717,1617,923,634,729,249,128,5999,39,50,42,40,49,22,16,254,53,75,47,26,44,15,9,267,26,40,23,17,39,9,3,166,290,381,230,180,217,49,18,1362,16,20,12,0,0,0,0,53,425,562,355,265,353,97,50,2106,2142,2186,1276,896,1077,342,181,8102
POA6057,141,130,76,70,84,34,15,548,94,66,36,36,40,12,11,307,88,71,33,35,43,13,8,288,504,470,252,191,215,67,24,1718,8,3,6,5,0,0,0,19,829,755,406,329,384,125,59,2885,11,28,24,11,16,6,4,98,18,28,13,18,12,8,6,99,14,22,22,7,11,6,7,84,77,154,128,88,95,11,9,558,4,6,5,0,5,0,0,12,116,239,183,117,134,33,23,856,951,991,587,448,518,157,81,3738
POA6058,240,178,113,72,73,35,18,716,62,42,19,17,14,10,0,161,71,62,24,15,18,6,0,199,329,301,179,99,105,25,15,1051,4,7,3,0,3,0,0,12,704,589,339,199,210,76,33,2146,14,22,18,15,16,4,4,87,7,12,14,7,11,0,0,54,6,10,10,5,8,0,0,42,83,138,88,62,71,12,9,458,4,5,5,0,0,0,0,20,115,192,131,92,100,22,13,663,816,782,464,288,311,101,44,2812
